Time(ms),ADC,Voltage(V)
16.000,666,0.716
16.000,667,0.717
16.000,666,0.716
16.000,667,0.717
16.000,667,0.717
16.000,666,0.716
16.000,666,0.716
16.000,667,0.717
16.000,667,0.717
16.000,666,0.716
16.000,667,0.717
16.000,666,0.716
16.000,666,0.716
32.000,666,0.716
32.000,667,0.717
32.000,667,0.717
47.000,667,0.717
47.000,667,0.717
47.000,667,0.717
63.000,667,0.717
63.000,667,0.717
63.000,666,0.716
63.000,666,0.716
94.000,667,0.717
94.000,667,0.717
94.000,667,0.717
94.000,667,0.717
94.000,667,0.717
94.000,666,0.716
110.000,667,0.717
110.000,667,0.717
110.000,667,0.717
125.000,666,0.716
125.000,667,0.717
125.000,667,0.717
141.000,667,0.717
141.000,667,0.717
141.000,667,0.717
157.000,667,0.717
157.000,667,0.717
157.000,667,0.717
172.000,667,0.717
172.000,667,0.717
172.000,667,0.717
188.000,667,0.717
188.000,667,0.717
219.000,667,0.717
219.000,667,0.717
219.000,667,0.717
219.000,667,0.717
219.000,667,0.717
219.000,667,0.717
219.000,667,0.717
235.000,667,0.717
235.000,667,0.717
235.000,668,0.718
250.000,667,0.717
250.000,667,0.717
250.000,667,0.717
250.000,668,0.718
266.000,667,0.717
266.000,667,0.717
266.000,667,0.717
282.000,667,0.717
282.000,667,0.717
282.000,667,0.717
297.000,667,0.717
297.000,668,0.718
297.000,667,0.717
313.000,667,0.717
313.000,668,0.718
313.000,668,0.718
344.000,667,0.717
344.000,667,0.717
344.000,667,0.717
344.000,668,0.718
344.000,668,0.718
344.000,668,0.718
360.000,668,0.718
360.000,668,0.718
360.000,667,0.717
375.000,667,0.717
375.000,667,0.717
375.000,668,0.718
391.000,668,0.718
391.000,668,0.718
391.000,667,0.717
407.000,667,0.717
407.000,667,0.717
407.000,668,0.718
407.000,668,0.718
422.000,667,0.717
422.000,667,0.717
422.000,668,0.718
438.000,668,0.718
438.000,668,0.718
438.000,668,0.718
485.000,668,0.718
485.000,668,0.718
485.000,668,0.718
485.000,668,0.718
485.000,667,0.717
485.000,668,0.718
485.000,667,0.717
485.000,667,0.717
485.000,667,0.717
500.000,668,0.718
500.000,668,0.718
500.000,667,0.717
516.000,667,0.717
516.000,668,0.718
516.000,667,0.717
532.000,668,0.718
532.000,667,0.717
532.000,668,0.718
547.000,668,0.718
547.000,668,0.718
547.000,668,0.718
547.000,668,0.718
