Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
16.000,666,0.716,0.716273
16.000,667,0.717,0.716273
16.000,666,0.716,0.716364
16.000,667,0.717,0.716455
16.000,667,0.717,0.716455
16.000,666,0.716,0.716545
16.000,666,0.716,0.716545
16.000,667,0.717,0.716455
16.000,667,0.717,0.716455
16.000,666,0.716,0.716455
16.000,667,0.717,0.716455
16.000,666,0.716,0.716545
16.000,666,0.716,0.716636
32.000,666,0.716,0.716636
32.000,667,0.717,0.716636
32.000,667,0.717,0.716727
47.000,667,0.717,0.716636
47.000,667,0.717,0.716636
47.000,667,0.717,0.716727
63.000,667,0.717,0.716818
63.000,667,0.717,0.716818
63.000,666,0.716,0.716818
63.000,666,0.716,0.716818
94.000,667,0.717,0.716727
94.000,667,0.717,0.716727
94.000,667,0.717,0.716727
94.000,667,0.717,0.716727
94.000,667,0.717,0.716727
94.000,666,0.716,0.716818
110.000,667,0.717,0.716818
110.000,667,0.717,0.716818
110.000,667,0.717,0.716818
125.000,666,0.716,0.716818
125.000,667,0.717,0.716818
125.000,667,0.717,0.716909
141.000,667,0.717,0.716909
141.000,667,0.717,0.716909
141.000,667,0.717,0.716909
157.000,667,0.717,0.717000
157.000,667,0.717,0.717000
157.000,667,0.717,0.717000
172.000,667,0.717,0.717000
172.000,667,0.717,0.717000
172.000,667,0.717,0.717000
188.000,667,0.717,0.717000
188.000,667,0.717,0.717000
219.000,667,0.717,0.717000
219.000,667,0.717,0.717000
219.000,667,0.717,0.717000
219.000,667,0.717,0.717000
219.000,667,0.717,0.717091
219.000,667,0.717,0.717091
219.000,667,0.717,0.717091
235.000,667,0.717,0.717091
235.000,667,0.717,0.717182
235.000,668,0.718,0.717182
250.000,667,0.717,0.717182
250.000,667,0.717,0.717182
250.000,667,0.717,0.717182
250.000,668,0.718,0.717182
266.000,667,0.717,0.717182
266.000,667,0.717,0.717091
266.000,667,0.717,0.717182
282.000,667,0.717,0.717182
282.000,667,0.717,0.717182
282.000,667,0.717,0.717182
297.000,667,0.717,0.717273
297.000,668,0.718,0.717273
