Time(ms),ADC,Voltage(V)
0.000,686,0.738
32.000,686,0.738
32.000,686,0.738
47.000,686,0.738
47.000,686,0.738
47.000,686,0.738
47.000,685,0.737
47.000,686,0.738
47.000,685,0.737
47.000,685,0.737
47.000,686,0.738
47.000,686,0.738
47.000,686,0.738
47.000,686,0.738
47.000,685,0.737
47.000,685,0.737
47.000,685,0.737
47.000,685,0.737
63.000,686,0.738
63.000,686,0.738
63.000,686,0.738
78.000,686,0.738
78.000,686,0.738
78.000,686,0.738
94.000,686,0.738
94.000,686,0.738
94.000,686,0.738
94.000,686,0.738
110.000,686,0.738
110.000,686,0.738
110.000,686,0.738
125.000,686,0.738
125.000,686,0.738
157.000,686,0.738
172.000,685,0.737
172.000,686,0.738
172.000,686,0.738
172.000,686,0.738
172.000,686,0.738
172.000,686,0.738
172.000,686,0.738
172.000,686,0.738
172.000,686,0.738
188.000,686,0.738
188.000,686,0.738
188.000,686,0.738
203.000,686,0.738
203.000,686,0.738
203.000,686,0.738
219.000,686,0.738
219.000,686,0.738
219.000,686,0.738
235.000,686,0.738
235.000,686,0.738
235.000,686,0.738
250.000,686,0.738
250.000,686,0.738
250.000,686,0.738
250.000,686,0.738
266.000,686,0.738
282.000,686,0.738
313.000,686,0.738
313.000,686,0.738
313.000,686,0.738
313.000,686,0.738
313.000,686,0.738
313.000,686,0.738
313.000,686,0.738
313.000,686,0.738
313.000,686,0.738
313.000,686,0.738
328.000,686,0.738
328.000,686,0.738
328.000,686,0.738
344.000,686,0.738
344.000,686,0.738
344.000,686,0.738
360.000,687,0.739
360.000,687,0.739
360.000,687,0.739
375.000,687,0.739
375.000,687,0.739
375.000,687,0.739
391.000,687,0.739
391.000,687,0.739
407.000,687,0.739
422.000,687,0.739
422.000,687,0.739
438.000,687,0.739
438.000,687,0.739
438.000,687,0.739
438.000,687,0.739
438.000,687,0.739
438.000,687,0.739
438.000,686,0.738
438.000,687,0.739
453.000,687,0.739
453.000,687,0.739
453.000,687,0.739
469.000,687,0.739
469.000,687,0.739
469.000,687,0.739
485.000,687,0.739
485.000,687,0.739
485.000,687,0.739
500.000,687,0.739
500.000,687,0.739
500.000,687,0.739
516.000,687,0.739
516.000,687,0.739
563.000,687,0.739
563.000,687,0.739
563.000,687,0.739
563.000,687,0.739
563.000,687,0.739
563.000,687,0.739
563.000,687,0.739
578.000,687,0.739
578.000,687,0.739
578.000,687,0.739
578.000,687,0.739
578.000,687,0.739
578.000,688,0.740
578.000,687,0.739
594.000,687,0.739
594.000,688,0.740
594.000,687,0.739
610.000,687,0.739
610.000,687,0.739
610.000,687,0.739
625.000,688,0.740
625.000,687,0.739
625.000,687,0.739
641.000,688,0.740
641.000,688,0.740
641.000,687,0.739
657.000,688,0.740
672.000,688,0.740
672.000,688,0.740
703.000,687,0.739
703.000,688,0.740
703.000,687,0.739
703.000,688,0.740
703.000,688,0.740
703.000,687,0.739
703.000,688,0.740
703.000,688,0.740
703.000,688,0.740
703.000,688,0.740
719.000,688,0.740
719.000,687,0.739
735.000,688,0.740
735.000,688,0.740
735.000,687,0.739
735.000,687,0.739
750.000,687,0.739
750.000,687,0.739
766.000,688,0.740
766.000,688,0.740
766.000,688,0.740
766.000,688,0.740
782.000,688,0.740
828.000,688,0.740
828.000,688,0.740
828.000,688,0.740
828.000,687,0.739
828.000,687,0.739
828.000,688,0.740
828.000,687,0.739
828.000,688,0.740
828.000,688,0.740
828.000,688,0.740
828.000,688,0.740
844.000,687,0.739
844.000,688,0.740
844.000,688,0.740
860.000,688,0.740
860.000,688,0.740
860.000,688,0.740
875.000,688,0.740
875.000,688,0.740
875.000,688,0.740
891.000,688,0.740
891.000,688,0.740
891.000,688,0.740
891.000,688,0.740
907.000,688,0.740
907.000,688,0.740
938.000,688,0.740
953.000,688,0.740
953.000,688,0.740
953.000,688,0.740
953.000,688,0.740
953.000,688,0.740
953.000,688,0.740
953.000,688,0.740
953.000,688,0.740
953.000,688,0.740
969.000,688,0.740
969.000,688,0.740
969.000,688,0.740
985.000,688,0.740
985.000,688,0.740
985.000,688,0.740
1000.000,688,0.740
1000.000,688,0.740
1000.000,689,0.741
1016.000,689,0.741
1016.000,689,0.741
1016.000,690,0.742
1032.000,690,0.742
1032.000,689,0.741
1032.000,689,0.741
1047.000,690,0.742
1063.000,689,0.741
1063.000,690,0.742
1094.000,690,0.742
1094.000,690,0.742
1094.000,689,0.741
1094.000,689,0.741
1094.000,689,0.741
1094.000,690,0.742
1094.000,690,0.742
1094.000,690,0.742
1094.000,689,0.741
1094.000,690,0.742
1110.000,689,0.741
1110.000,690,0.742
1110.000,689,0.741
1125.000,652,0.701
1125.000,655,0.704
1125.000,654,0.703
1141.000,654,0.703
1141.000,654,0.703
1141.000,654,0.703
1172.000,654,0.703
1172.000,654,0.703
1172.000,654,0.703
1172.000,654,0.703
1172.000,654,0.703
1172.000,654,0.703
1188.000,654,0.703
1188.000,655,0.704
1188.000,654,0.703
1188.000,655,0.704
1219.000,655,0.704
1219.000,655,0.704
