Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,686,0.738,0.738000
32.000,686,0.738,0.737909
32.000,686,0.738,0.737909
47.000,686,0.738,0.737818
47.000,686,0.738,0.737727
47.000,686,0.738,0.737727
47.000,685,0.737,0.737727
47.000,686,0.738,0.737727
47.000,685,0.737,0.737727
47.000,685,0.737,0.737636
47.000,686,0.738,0.737545
47.000,686,0.738,0.737455
47.000,686,0.738,0.737455
47.000,686,0.738,0.737455
47.000,685,0.737,0.737545
47.000,685,0.737,0.737636
47.000,685,0.737,0.737636
47.000,685,0.737,0.737636
63.000,686,0.738,0.737636
63.000,686,0.738,0.737636
63.000,686,0.738,0.737727
78.000,686,0.738,0.737818
78.000,686,0.738,0.737909
78.000,686,0.738,0.738000
94.000,686,0.738,0.738000
94.000,686,0.738,0.738000
94.000,686,0.738,0.738000
94.000,686,0.738,0.738000
110.000,686,0.738,0.738000
110.000,686,0.738,0.737909
110.000,686,0.738,0.737909
125.000,686,0.738,0.737909
125.000,686,0.738,0.737909
157.000,686,0.738,0.737909
172.000,685,0.737,0.737909
172.000,686,0.738,0.737909
172.000,686,0.738,0.737909
172.000,686,0.738,0.737909
172.000,686,0.738,0.737909
172.000,686,0.738,0.737909
172.000,686,0.738,0.738000
172.000,686,0.738,0.738000
172.000,686,0.738,0.738000
188.000,686,0.738,0.738000
188.000,686,0.738,0.738000
188.000,686,0.738,0.738000
203.000,686,0.738,0.738000
203.000,686,0.738,0.738000
203.000,686,0.738,0.738000
219.000,686,0.738,0.738000
219.000,686,0.738,0.738000
219.000,686,0.738,0.738000
235.000,686,0.738,0.738000
235.000,686,0.738,0.738000
235.000,686,0.738,0.738000
250.000,686,0.738,0.738000
250.000,686,0.738,0.738000
250.000,686,0.738,0.738000
250.000,686,0.738,0.738000
266.000,686,0.738,0.738000
282.000,686,0.738,0.738000
313.000,686,0.738,0.738000
313.000,686,0.738,0.738000
313.000,686,0.738,0.738000
313.000,686,0.738,0.738000
313.000,686,0.738,0.738000
313.000,686,0.738,0.738000
313.000,686,0.738,0.738000
313.000,686,0.738,0.738000
313.000,686,0.738,0.738000
313.000,686,0.738,0.738000
328.000,686,0.738,0.738000
328.000,686,0.738,0.738091
328.000,686,0.738,0.738182
344.000,686,0.738,0.738273
344.000,686,0.738,0.738364
344.000,686,0.738,0.738455
360.000,687,0.739,0.738545
360.000,687,0.739,0.738636
360.000,687,0.739,0.738727
375.000,687,0.739,0.738818
375.000,687,0.739,0.738909
375.000,687,0.739,0.739000
391.000,687,0.739,0.739000
391.000,687,0.739,0.739000
407.000,687,0.739,0.739000
422.000,687,0.739,0.739000
422.000,687,0.739,0.739000
438.000,687,0.739,0.739000
438.000,687,0.739,0.738909
438.000,687,0.739,0.738909
438.000,687,0.739,0.738909
438.000,687,0.739,0.738909
438.000,687,0.739,0.738909
438.000,686,0.738,0.738909
438.000,687,0.739,0.738909
453.000,687,0.739,0.738909
453.000,687,0.739,0.738909
453.000,687,0.739,0.738909
469.000,687,0.739,0.738909
469.000,687,0.739,0.739000
469.000,687,0.739,0.739000
485.000,687,0.739,0.739000
485.000,687,0.739,0.739000
485.000,687,0.739,0.739000
500.000,687,0.739,0.739000
500.000,687,0.739,0.739000
500.000,687,0.739,0.739000
516.000,687,0.739,0.739000
516.000,687,0.739,0.739000
563.000,687,0.739,0.739000
563.000,687,0.739,0.739000
563.000,687,0.739,0.739000
563.000,687,0.739,0.739000
563.000,687,0.739,0.739000
563.000,687,0.739,0.739000
563.000,687,0.739,0.739000
578.000,687,0.739,0.739091
578.000,687,0.739,0.739091
578.000,687,0.739,0.739091
578.000,687,0.739,0.739182
578.000,687,0.739,0.739182
578.000,688,0.740,0.739182
578.000,687,0.739,0.739182
594.000,687,0.739,0.739182
594.000,688,0.740,0.739273
594.000,687,0.739,0.739273
610.000,687,0.739,0.739273
610.000,687,0.739,0.739273
610.000,687,0.739,0.739364
625.000,688,0.740,0.739364
