Time(ms),ADC,Voltage(V)
16.000,680,0.731
16.000,680,0.731
47.000,679,0.730
47.000,679,0.730
47.000,679,0.730
47.000,680,0.731
47.000,679,0.730
47.000,679,0.730
47.000,679,0.730
47.000,680,0.731
47.000,680,0.731
63.000,682,0.733
63.000,681,0.732
63.000,681,0.732
79.000,681,0.732
79.000,681,0.732
79.000,682,0.733
94.000,682,0.733
94.000,681,0.732
94.000,682,0.733
110.000,682,0.733
110.000,681,0.732
110.000,681,0.732
125.000,682,0.733
125.000,681,0.732
125.000,681,0.732
141.000,682,0.733
157.000,682,0.733
157.000,681,0.732
157.000,682,0.733
157.000,681,0.732
157.000,682,0.733
172.000,681,0.732
172.000,682,0.733
172.000,682,0.733
172.000,681,0.732
188.000,682,0.733
188.000,682,0.733
188.000,682,0.733
204.000,681,0.732
204.000,682,0.733
204.000,682,0.733
219.000,682,0.733
219.000,682,0.733
219.000,682,0.733
235.000,682,0.733
235.000,682,0.733
250.000,682,0.733
266.000,682,0.733
266.000,682,0.733
266.000,682,0.733
266.000,682,0.733
266.000,682,0.733
266.000,682,0.733
282.000,682,0.733
282.000,682,0.733
282.000,682,0.733
297.000,682,0.733
297.000,682,0.733
297.000,683,0.734
313.000,683,0.734
313.000,682,0.733
313.000,683,0.734
329.000,682,0.733
329.000,682,0.733
329.000,682,0.733
344.000,682,0.733
344.000,682,0.733
375.000,683,0.734
375.000,682,0.733
375.000,682,0.733
375.000,682,0.733
375.000,682,0.733
375.000,682,0.733
375.000,682,0.733
375.000,682,0.733
391.000,682,0.733
391.000,683,0.734
391.000,682,0.733
407.000,682,0.733
407.000,683,0.734
407.000,683,0.734
422.000,682,0.733
422.000,682,0.733
422.000,683,0.734
438.000,683,0.734
438.000,682,0.733
438.000,682,0.733
454.000,682,0.733
454.000,683,0.734
454.000,682,0.733
469.000,682,0.733
500.000,683,0.734
500.000,682,0.733
500.000,683,0.734
500.000,683,0.734
500.000,683,0.734
500.000,683,0.734
500.000,683,0.734
500.000,683,0.734
516.000,683,0.734
516.000,683,0.734
516.000,682,0.733
516.000,682,0.733
532.000,683,0.734
532.000,683,0.734
532.000,683,0.734
547.000,683,0.734
547.000,683,0.734
547.000,684,0.735
563.000,685,0.737
563.000,685,0.737
563.000,685,0.737
579.000,684,0.735
579.000,685,0.737
579.000,684,0.735
594.000,684,0.735
625.000,684,0.735
625.000,685,0.737
625.000,685,0.737
625.000,685,0.737
625.000,684,0.735
625.000,685,0.737
625.000,684,0.735
625.000,685,0.737
641.000,684,0.735
641.000,685,0.737
641.000,684,0.735
657.000,685,0.737
657.000,685,0.737
657.000,685,0.737
657.000,685,0.737
672.000,685,0.737
672.000,685,0.737
672.000,684,0.735
688.000,684,0.735
688.000,684,0.735
704.000,684,0.735
704.000,685,0.737
704.000,685,0.737
704.000,685,0.737
719.000,685,0.737
719.000,685,0.737
719.000,685,0.737
735.000,685,0.737
735.000,685,0.737
735.000,685,0.737
750.000,685,0.737
750.000,684,0.735
750.000,685,0.737
766.000,685,0.737
766.000,685,0.737
766.000,685,0.737
782.000,685,0.737
782.000,685,0.737
782.000,685,0.737
797.000,685,0.737
797.000,685,0.737
797.000,685,0.737
813.000,685,0.737
829.000,685,0.737
829.000,685,0.737
829.000,685,0.737
844.000,685,0.737
844.000,685,0.737
844.000,685,0.737
844.000,685,0.737
844.000,685,0.737
844.000,685,0.737
860.000,685,0.737
860.000,685,0.737
860.000,685,0.737
875.000,685,0.737
875.000,685,0.737
875.000,685,0.737
891.000,685,0.737
891.000,685,0.737
891.000,685,0.737
907.000,686,0.738
907.000,686,0.738
907.000,686,0.738
922.000,686,0.738
922.000,685,0.737
922.000,686,0.738
938.000,686,0.738
954.000,685,0.737
954.000,686,0.738
954.000,686,0.738
954.000,685,0.737
954.000,685,0.737
969.000,686,0.738
969.000,686,0.738
969.000,685,0.737
985.000,685,0.737
985.000,686,0.738
985.000,685,0.737
985.000,685,0.737
1000.000,685,0.737
1000.000,686,0.738
1000.000,685,0.737
1016.000,686,0.738
1016.000,686,0.738
1016.000,686,0.738
1032.000,686,0.738
1032.000,686,0.738
1047.000,686,0.738
1063.000,686,0.738
1063.000,686,0.738
1063.000,686,0.738
1063.000,686,0.738
1063.000,685,0.737
1063.000,686,0.738
1079.000,686,0.738
1079.000,686,0.738
1079.000,686,0.738
1094.000,686,0.738
1094.000,685,0.737
1094.000,685,0.737
1110.000,686,0.738
1110.000,686,0.738
1110.000,686,0.738
1110.000,686,0.738
1125.000,686,0.738
1125.000,686,0.738
1141.000,686,0.738
1141.000,686,0.738
1141.000,686,0.738
1157.000,686,0.738
1172.000,686,0.738
1172.000,686,0.738
1172.000,686,0.738
1172.000,686,0.738
1172.000,686,0.738
1172.000,686,0.738
1188.000,686,0.738
1188.000,686,0.738
1188.000,686,0.738
1204.000,686,0.738
1204.000,686,0.738
1204.000,686,0.738
1219.000,687,0.739
1219.000,686,0.738
1219.000,686,0.738
1235.000,687,0.739
1235.000,687,0.739
1235.000,686,0.738
1250.000,686,0.738
1250.000,686,0.738
1250.000,687,0.739
1266.000,687,0.739
1282.000,687,0.739
1282.000,686,0.738
1282.000,686,0.738
1282.000,686,0.738
1297.000,687,0.739
1297.000,686,0.738
1297.000,687,0.739
1297.000,687,0.739
1297.000,686,0.738
1313.000,687,0.739
1313.000,687,0.739
1313.000,686,0.738
1329.000,687,0.739
1329.000,687,0.739
1329.000,687,0.739
1344.000,687,0.739
1344.000,686,0.738
1344.000,687,0.739
1360.000,686,0.738
1360.000,687,0.739
1360.000,687,0.739
1375.000,686,0.738
1375.000,686,0.738
1375.000,687,0.739
1391.000,687,0.739
1407.000,686,0.738
1407.000,687,0.739
1407.000,687,0.739
1407.000,687,0.739
1407.000,687,0.739
1422.000,687,0.739
1422.000,687,0.739
1422.000,687,0.739
1438.000,687,0.739
1438.000,687,0.739
1438.000,687,0.739
1438.000,687,0.739
1454.000,687,0.739
1454.000,687,0.739
1454.000,687,0.739
1469.000,687,0.739
1469.000,687,0.739
1469.000,687,0.739
1485.000,687,0.739
1485.000,687,0.739
1485.000,687,0.739
1500.000,687,0.739
1516.000,687,0.739
1516.000,687,0.739
1532.000,687,0.739
1532.000,687,0.739
1532.000,687,0.739
1532.000,688,0.740
1532.000,687,0.739
1532.000,687,0.739
1547.000,687,0.739
1547.000,687,0.739
1547.000,687,0.739
1563.000,687,0.739
1563.000,687,0.739
1563.000,687,0.739
1579.000,687,0.739
1579.000,687,0.739
1579.000,687,0.739
1594.000,687,0.739
1594.000,687,0.739
1594.000,687,0.739
1610.000,687,0.739
1610.000,687,0.739
1610.000,687,0.739
1625.000,687,0.739
1641.000,687,0.739
1641.000,687,0.739
1641.000,688,0.740
1641.000,688,0.740
1641.000,688,0.740
1641.000,688,0.740
