Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
16.000,680,0.731,0.730727
16.000,680,0.731,0.730636
47.000,679,0.730,0.730545
47.000,679,0.730,0.730455
47.000,679,0.730,0.730455
47.000,680,0.731,0.730455
47.000,679,0.730,0.730636
47.000,679,0.730,0.730727
47.000,679,0.730,0.730909
47.000,680,0.731,0.731091
47.000,680,0.731,0.731273
63.000,682,0.733,0.731455
63.000,681,0.732,0.731727
63.000,681,0.732,0.731909
79.000,681,0.732,0.732182
79.000,681,0.732,0.732364
79.000,682,0.733,0.732455
94.000,682,0.733,0.732364
94.000,681,0.732,0.732455
94.000,682,0.733,0.732455
110.000,682,0.733,0.732455
110.000,681,0.732,0.732545
110.000,681,0.732,0.732545
125.000,682,0.733,0.732455
125.000,681,0.732,0.732545
125.000,681,0.732,0.732455
141.000,682,0.733,0.732455
157.000,682,0.733,0.732455
157.000,681,0.732,0.732545
157.000,682,0.733,0.732545
157.000,681,0.732,0.732545
157.000,682,0.733,0.732636
172.000,681,0.732,0.732636
172.000,682,0.733,0.732636
172.000,682,0.733,0.732636
172.000,681,0.732,0.732636
188.000,682,0.733,0.732727
188.000,682,0.733,0.732727
188.000,682,0.733,0.732818
204.000,681,0.732,0.732818
204.000,682,0.733,0.732818
204.000,682,0.733,0.732909
219.000,682,0.733,0.732909
219.000,682,0.733,0.732909
219.000,682,0.733,0.732909
235.000,682,0.733,0.733000
235.000,682,0.733,0.733000
250.000,682,0.733,0.733000
266.000,682,0.733,0.733000
266.000,682,0.733,0.733000
266.000,682,0.733,0.733000
266.000,682,0.733,0.733000
266.000,682,0.733,0.733000
266.000,682,0.733,0.733000
282.000,682,0.733,0.733091
282.000,682,0.733,0.733182
282.000,682,0.733,0.733182
297.000,682,0.733,0.733273
297.000,682,0.733,0.733273
297.000,683,0.734,0.733273
313.000,683,0.734,0.733273
313.000,682,0.733,0.733273
313.000,683,0.734,0.733273
329.000,682,0.733,0.733364
329.000,682,0.733,0.733364
329.000,682,0.733,0.733273
344.000,682,0.733,0.733182
344.000,682,0.733,0.733182
375.000,683,0.734,0.733091
375.000,682,0.733,0.733091
375.000,682,0.733,0.733091
375.000,682,0.733,0.733091
375.000,682,0.733,0.733182
375.000,682,0.733,0.733182
375.000,682,0.733,0.733091
375.000,682,0.733,0.733182
391.000,682,0.733,0.733273
391.000,683,0.734,0.733273
391.000,682,0.733,0.733273
407.000,682,0.733,0.733364
407.000,683,0.734,0.733455
407.000,683,0.734,0.733455
422.000,682,0.733,0.733455
422.000,682,0.733,0.733364
422.000,683,0.734,0.733455
438.000,683,0.734,0.733455
438.000,682,0.733,0.733364
438.000,682,0.733,0.733364
454.000,682,0.733,0.733364
454.000,683,0.734,0.733455
454.000,682,0.733,0.733455
469.000,682,0.733,0.733455
500.000,683,0.734,0.733545
500.000,682,0.733,0.733636
500.000,683,0.734,0.733727
500.000,683,0.734,0.733727
500.000,683,0.734,0.733818
500.000,683,0.734,0.733818
500.000,683,0.734,0.733727
500.000,683,0.734,0.733818
516.000,683,0.734,0.733818
516.000,683,0.734,0.733818
516.000,682,0.733,0.733818
516.000,682,0.733,0.733818
532.000,683,0.734,0.733909
532.000,683,0.734,0.734182
532.000,683,0.734,0.734455
547.000,683,0.734,0.734727
547.000,683,0.734,0.734909
547.000,684,0.735,0.735273
563.000,685,0.737,0.735364
563.000,685,0.737,0.735455
563.000,685,0.737,0.735545
579.000,684,0.735,0.735818
579.000,685,0.737,0.736091
579.000,684,0.735,0.736273
594.000,684,0.735,0.736091
625.000,684,0.735,0.736091
625.000,685,0.737,0.735909
625.000,685,0.737,0.736091
625.000,685,0.737,0.735909
625.000,684,0.735,0.736091
625.000,685,0.737,0.736091
625.000,684,0.735,0.736273
625.000,685,0.737,0.736273
641.000,684,0.735,0.736273
641.000,685,0.737,0.736273
641.000,684,0.735,0.736455
657.000,685,0.737,0.736455
657.000,685,0.737,0.736455
657.000,685,0.737,0.736273
657.000,685,0.737,0.736273
672.000,685,0.737,0.736091
672.000,685,0.737,0.736273
672.000,684,0.735,0.736273
688.000,684,0.735,0.736273
688.000,684,0.735,0.736273
704.000,684,0.735,0.736273
704.000,685,0.737,0.736273
704.000,685,0.737,0.736273
704.000,685,0.737,0.736455
719.000,685,0.737,0.736636
719.000,685,0.737,0.736818
719.000,685,0.737,0.736818
735.000,685,0.737,0.736818
735.000,685,0.737,0.736818
735.000,685,0.737,0.736818
750.000,685,0.737,0.736818
750.000,684,0.735,0.736818
750.000,685,0.737,0.736818
766.000,685,0.737,0.736818
766.000,685,0.737,0.736818
766.000,685,0.737,0.736818
782.000,685,0.737,0.736818
782.000,685,0.737,0.737000
782.000,685,0.737,0.737000
797.000,685,0.737,0.737000
797.000,685,0.737,0.737000
797.000,685,0.737,0.737000
813.000,685,0.737,0.737000
829.000,685,0.737,0.737000
829.000,685,0.737,0.737000
829.000,685,0.737,0.737000
844.000,685,0.737,0.737000
844.000,685,0.737,0.737000
844.000,685,0.737,0.737000
844.000,685,0.737,0.737000
844.000,685,0.737,0.737000
844.000,685,0.737,0.737000
860.000,685,0.737,0.737000
860.000,685,0.737,0.737000
860.000,685,0.737,0.737000
875.000,685,0.737,0.737000
875.000,685,0.737,0.737091
875.000,685,0.737,0.737182
891.000,685,0.737,0.737273
891.000,685,0.737,0.737364
891.000,685,0.737,0.737364
907.000,686,0.738,0.737455
907.000,686,0.738,0.737545
907.000,686,0.738,0.737545
922.000,686,0.738,0.737636
922.000,685,0.737,0.737727
922.000,686,0.738,0.737727
938.000,686,0.738,0.737636
954.000,685,0.737,0.737636
954.000,686,0.738,0.737636
954.000,686,0.738,0.737545
954.000,685,0.737,0.737545
954.000,685,0.737,0.737545
969.000,686,0.738,0.737455
969.000,686,0.738,0.737455
969.000,685,0.737,0.737364
985.000,685,0.737,0.737364
985.000,686,0.738,0.737364
985.000,685,0.737,0.737455
985.000,685,0.737,0.737455
1000.000,685,0.737,0.737455
1000.000,686,0.738,0.737545
1000.000,685,0.737,0.737636
1016.000,686,0.738,0.737636
1016.000,686,0.738,0.737727
1016.000,686,0.738,0.737818
1032.000,686,0.738,0.737909
1032.000,686,0.738,0.737909
1047.000,686,0.738,0.737909
1063.000,686,0.738,0.737909
1063.000,686,0.738,0.737909
1063.000,686,0.738,0.737909
1063.000,686,0.738,0.737909
1063.000,685,0.737,0.737909
1063.000,686,0.738,0.737818
1079.000,686,0.738,0.737727
1079.000,686,0.738,0.737727
1079.000,686,0.738,0.737727
1094.000,686,0.738,0.737727
1094.000,685,0.737,0.737818
1094.000,685,0.737,0.737818
1110.000,686,0.738,0.737818
1110.000,686,0.738,0.737818
1110.000,686,0.738,0.737818
1110.000,686,0.738,0.737818
1125.000,686,0.738,0.737909
1125.000,686,0.738,0.738000
1141.000,686,0.738,0.738000
1141.000,686,0.738,0.738000
1141.000,686,0.738,0.738000
1157.000,686,0.738,0.738000
1172.000,686,0.738,0.738000
1172.000,686,0.738,0.738000
1172.000,686,0.738,0.738000
1172.000,686,0.738,0.738000
1172.000,686,0.738,0.738000
1172.000,686,0.738,0.738000
1188.000,686,0.738,0.738000
1188.000,686,0.738,0.738091
1188.000,686,0.738,0.738091
1204.000,686,0.738,0.738091
1204.000,686,0.738,0.738182
1204.000,686,0.738,0.738273
1219.000,687,0.739,0.738273
1219.000,686,0.738,0.738273
1219.000,686,0.738,0.738273
1235.000,687,0.739,0.738364
1235.000,687,0.739,0.738455
1235.000,686,0.738,0.738545
1250.000,686,0.738,0.738455
1250.000,686,0.738,0.738455
1250.000,687,0.739,0.738455
1266.000,687,0.739,0.738455
1282.000,687,0.739,0.738364
1282.000,686,0.738,0.738455
1282.000,686,0.738,0.738545
1282.000,686,0.738,0.738545
1297.000,687,0.739,0.738545
1297.000,686,0.738,0.738545
1297.000,687,0.739,0.738455
1297.000,687,0.739,0.738545
1297.000,686,0.738,0.738636
1313.000,687,0.739,0.738727
1313.000,687,0.739,0.738727
1313.000,686,0.738,0.738727
1329.000,687,0.739,0.738727
1329.000,687,0.739,0.738636
1329.000,687,0.739,0.738727
1344.000,687,0.739,0.738727
1344.000,686,0.738,0.738636
1344.000,687,0.739,0.738636
1360.000,686,0.738,0.738636
1360.000,687,0.739,0.738636
1360.000,687,0.739,0.738545
1375.000,686,0.738,0.738545
1375.000,686,0.738,0.738636
1375.000,687,0.739,0.738636
1391.000,687,0.739,0.738727
1407.000,686,0.738,0.738727
1407.000,687,0.739,0.738727
1407.000,687,0.739,0.738818
1407.000,687,0.739,0.738909
1407.000,687,0.739,0.738909
1422.000,687,0.739,0.738909
1422.000,687,0.739,0.739000
1422.000,687,0.739,0.739000
1438.000,687,0.739,0.739000
1438.000,687,0.739,0.739000
1438.000,687,0.739,0.739000
1438.000,687,0.739,0.739000
1454.000,687,0.739,0.739000
1454.000,687,0.739,0.739000
1454.000,687,0.739,0.739000
1469.000,687,0.739,0.739000
1469.000,687,0.739,0.739000
1469.000,687,0.739,0.739000
1485.000,687,0.739,0.739000
1485.000,687,0.739,0.739000
1485.000,687,0.739,0.739000
1500.000,687,0.739,0.739000
1516.000,687,0.739,0.739091
1516.000,687,0.739,0.739091
1532.000,687,0.739,0.739091
1532.000,687,0.739,0.739091
1532.000,687,0.739,0.739091
1532.000,688,0.740,0.739091
1532.000,687,0.739,0.739091
1532.000,687,0.739,0.739091
1547.000,687,0.739,0.739091
1547.000,687,0.739,0.739091
1547.000,687,0.739,0.739091
1563.000,687,0.739,0.739000
1563.000,687,0.739,0.739000
1563.000,687,0.739,0.739000
1579.000,687,0.739,0.739000
1579.000,687,0.739,0.739000
1579.000,687,0.739,0.739000
1594.000,687,0.739,0.739000
1594.000,687,0.739,0.739000
1594.000,687,0.739,0.739000
1610.000,687,0.739,0.739000
1610.000,687,0.739,0.739091
1610.000,687,0.739,0.739182
1625.000,687,0.739,0.739273
1641.000,687,0.739,0.739364
1641.000,687,0.739,0.739455
1641.000,688,0.740,0.739545
1641.000,688,0.740,0.739636
1641.000,688,0.740,0.739727
1641.000,688,0.740,0.739727
1657.000,688,0.740,0.739818
1657.000,688,0.740,0.739909
1657.000,688,0.740,0.739909
1672.000,688,0.740,0.739818
1672.000,687,0.739,0.739818
1672.000,688,0.740,0.739818
1688.000,688,0.740,0.739818
1688.000,688,0.740,0.739818
1688.000,687,0.739,0.739818
1704.000,688,0.740,0.739818
1704.000,688,0.740,0.739909
1704.000,688,0.740,0.739909
1719.000,688,0.740,0.739818
1719.000,688,0.740,0.739818
1719.000,688,0.740,0.739909
1735.000,688,0.740,0.739909
1750.000,688,0.740,0.739909
1750.000,687,0.739,0.739909
1750.000,688,0.740,0.739909
1750.000,688,0.740,0.739909
1750.000,688,0.740,0.739909
1766.000,688,0.740,0.739909
1766.000,688,0.740,0.739909
1766.000,688,0.740,0.740000
1782.000,688,0.740,0.740000
1782.000,688,0.740,0.740000
1782.000,688,0.740,0.740000
1782.000,688,0.740,0.740000
1797.000,688,0.740,0.740000
1797.000,688,0.740,0.740000
1797.000,688,0.740,0.740000
1813.000,688,0.740,0.740000
1813.000,688,0.740,0.740000
1813.000,688,0.740,0.740000
1829.000,688,0.740,0.740091
1829.000,688,0.740,0.740091
1829.000,688,0.740,0.740091
1844.000,688,0.740,0.740091
1860.000,688,0.740,0.740182
1860.000,689,0.741,0.740182
1860.000,688,0.740,0.740182
1875.000,688,0.740,0.740182
1875.000,688,0.740,0.740182
1875.000,689,0.741,0.740182
1875.000,688,0.740,0.740182
1875.000,688,0.740,0.740091
1891.000,688,0.740,0.740091
1891.000,688,0.740,0.740091
1891.000,688,0.740,0.740091
1907.000,688,0.740,0.740091
1907.000,688,0.740,0.740182
1907.000,688,0.740,0.740273
1907.000,688,0.740,0.740364
1922.000,688,0.740,0.740364
1922.000,689,0.741,0.740364
1922.000,689,0.741,0.740364
1938.000,689,0.741,0.740455
1938.000,689,0.741,0.740545
1938.000,688,0.740,0.740636
1954.000,688,0.740,0.740636
1954.000,688,0.740,0.740636
1954.000,689,0.741,0.740636
1969.000,689,0.741,0.740636
1985.000,689,0.741,0.740545
1985.000,688,0.740,0.740636
1985.000,689,0.741,0.740727
1985.000,689,0.741,0.740818
1985.000,689,0.741,0.740727
2000.000,688,0.740,0.740636
2000.000,689,0.741,0.740636
2000.000,689,0.741,0.740636
2016.000,689,0.741,0.740636
2016.000,688,0.740,0.740636
2016.000,688,0.740,0.740636
2032.000,689,0.741,0.740727
2032.000,688,0.740,0.740727
2032.000,689,0.741,0.740727
2047.000,689,0.741,0.740727
2047.000,689,0.741,0.740818
2047.000,689,0.741,0.740909
2063.000,689,0.741,0.740909
2063.000,689,0.741,0.741000
2063.000,689,0.741,0.741000
2079.000,689,0.741,0.741000
2079.000,689,0.741,0.741000
2079.000,689,0.741,0.741000
2079.000,689,0.741,0.741000
2094.000,689,0.741,0.741000
