Time(ms),ADC,Voltage(V)
0.000,657,0.706
0.000,657,0.706
0.000,657,0.706
15.000,657,0.706
15.000,658,0.708
15.000,658,0.708
31.000,657,0.706
31.000,657,0.706
31.000,657,0.706
47.000,657,0.706
47.000,657,0.706
47.000,657,0.706
47.000,658,0.708
62.000,657,0.706
62.000,657,0.706
62.000,658,0.708
78.000,657,0.706
78.000,657,0.706
78.000,658,0.708
94.000,657,0.706
94.000,658,0.708
94.000,657,0.706
109.000,657,0.706
109.000,658,0.708
109.000,658,0.708
125.000,658,0.708
125.000,658,0.708
125.000,658,0.708
140.000,658,0.708
140.000,658,0.708
140.000,657,0.706
156.000,658,0.708
156.000,658,0.708
156.000,658,0.708
172.000,658,0.708
172.000,658,0.708
172.000,657,0.706
187.000,658,0.708
187.000,658,0.708
187.000,658,0.708
203.000,658,0.708
203.000,658,0.708
203.000,658,0.708
219.000,657,0.706
219.000,658,0.708
219.000,658,0.708
219.000,658,0.708
234.000,659,0.709
234.000,658,0.708
234.000,658,0.708
250.000,658,0.708
250.000,658,0.708
250.000,658,0.708
265.000,658,0.708
265.000,658,0.708
265.000,658,0.708
281.000,658,0.708
281.000,658,0.708
281.000,658,0.708
297.000,658,0.708
297.000,659,0.709
297.000,658,0.708
312.000,658,0.708
312.000,658,0.708
312.000,659,0.709
328.000,658,0.708
328.000,659,0.709
328.000,659,0.709
344.000,659,0.709
344.000,659,0.709
344.000,658,0.708
359.000,658,0.708
359.000,659,0.709
359.000,659,0.709
359.000,658,0.708
375.000,658,0.708
375.000,658,0.708
375.000,659,0.709
390.000,658,0.708
390.000,658,0.708
390.000,658,0.708
406.000,658,0.708
406.000,658,0.708
406.000,659,0.709
422.000,659,0.709
422.000,659,0.709
422.000,659,0.709
437.000,659,0.709
437.000,658,0.708
437.000,659,0.709
453.000,659,0.709
453.000,658,0.708
453.000,659,0.709
469.000,659,0.709
469.000,659,0.709
469.000,659,0.709
484.000,659,0.709
484.000,659,0.709
484.000,659,0.709
500.000,659,0.709
500.000,659,0.709
500.000,659,0.709
515.000,659,0.709
515.000,659,0.709
515.000,658,0.708
531.000,659,0.709
531.000,659,0.709
531.000,659,0.709
531.000,659,0.709
547.000,659,0.709
547.000,659,0.709
547.000,659,0.709
562.000,659,0.709
562.000,659,0.709
562.000,659,0.709
578.000,659,0.709
578.000,659,0.709
578.000,659,0.709
594.000,659,0.709
594.000,659,0.709
594.000,659,0.709
609.000,659,0.709
609.000,659,0.709
609.000,659,0.709
625.000,659,0.709
625.000,659,0.709
625.000,659,0.709
640.000,659,0.709
640.000,659,0.709
640.000,659,0.709
656.000,659,0.709
656.000,659,0.709
656.000,659,0.709
672.000,659,0.709
672.000,660,0.710
672.000,659,0.709
672.000,659,0.709
687.000,659,0.709
687.000,659,0.709
687.000,659,0.709
703.000,659,0.709
703.000,659,0.709
703.000,659,0.709
719.000,659,0.709
719.000,659,0.709
719.000,660,0.710
734.000,660,0.710
734.000,660,0.710
734.000,660,0.710
750.000,660,0.710
750.000,660,0.710
750.000,660,0.710
765.000,660,0.710
765.000,660,0.710
765.000,660,0.710
781.000,660,0.710
781.000,660,0.710
781.000,660,0.710
797.000,660,0.710
797.000,659,0.709
797.000,660,0.710
812.000,659,0.709
812.000,660,0.710
812.000,660,0.710
828.000,660,0.710
828.000,660,0.710
828.000,661,0.711
828.000,660,0.710
844.000,661,0.711
844.000,660,0.710
844.000,660,0.710
859.000,660,0.710
859.000,660,0.710
859.000,660,0.710
875.000,660,0.710
875.000,660,0.710
875.000,660,0.710
890.000,660,0.710
890.000,660,0.710
890.000,660,0.710
906.000,660,0.710
906.000,660,0.710
906.000,660,0.710
922.000,660,0.710
922.000,660,0.710
922.000,660,0.710
937.000,660,0.710
937.000,660,0.710
937.000,660,0.710
953.000,661,0.711
953.000,661,0.711
953.000,660,0.710
969.000,660,0.710
969.000,660,0.710
969.000,661,0.711
984.000,660,0.710
984.000,660,0.710
984.000,660,0.710
1000.000,660,0.710
1000.000,660,0.710
1000.000,660,0.710
1000.000,660,0.710
1015.000,660,0.710
1015.000,660,0.710
1015.000,660,0.710
1031.000,661,0.711
1031.000,660,0.710
1031.000,661,0.711
1047.000,661,0.711
1047.000,661,0.711
1047.000,660,0.710
1062.000,661,0.711
1062.000,661,0.711
1062.000,661,0.711
1078.000,661,0.711
1078.000,661,0.711
1078.000,660,0.710
1094.000,661,0.711
1094.000,661,0.711
1094.000,661,0.711
1109.000,661,0.711
1109.000,661,0.711
1109.000,661,0.711
1125.000,661,0.711
1125.000,661,0.711
1125.000,661,0.711
1140.000,661,0.711
1140.000,661,0.711
1140.000,661,0.711
1156.000,661,0.711
1156.000,661,0.711
1156.000,661,0.711
1156.000,661,0.711
1172.000,661,0.711
1172.000,661,0.711
1172.000,661,0.711
1187.000,661,0.711
1187.000,661,0.711
1187.000,661,0.711
1203.000,661,0.711
1203.000,661,0.711
1203.000,661,0.711
1219.000,661,0.711
1219.000,661,0.711
1219.000,661,0.711
1234.000,661,0.711
1234.000,661,0.711
1234.000,661,0.711
1250.000,661,0.711
1250.000,661,0.711
1250.000,661,0.711
1265.000,661,0.711
1265.000,661,0.711
1265.000,661,0.711
1281.000,661,0.711
1281.000,661,0.711
1281.000,661,0.711
1297.000,661,0.711
1297.000,661,0.711
1297.000,661,0.711
1297.000,661,0.711
1312.000,661,0.711
1312.000,661,0.711
1312.000,661,0.711
1328.000,661,0.711
1328.000,661,0.711
1328.000,662,0.712
1344.000,661,0.711
1344.000,662,0.712
1344.000,662,0.712
1359.000,662,0.712
1359.000,662,0.712
1359.000,662,0.712
1375.000,662,0.712
1375.000,662,0.712
1375.000,662,0.712
1390.000,661,0.711
1390.000,662,0.712
1390.000,662,0.712
1406.000,662,0.712
1406.000,662,0.712
1406.000,662,0.712
1422.000,662,0.712
1422.000,662,0.712
1422.000,662,0.712
1437.000,662,0.712
1437.000,662,0.712
1437.000,662,0.712
1453.000,662,0.712
1453.000,662,0.712
1453.000,662,0.712
1469.000,662,0.712
1469.000,662,0.712
1469.000,662,0.712
1469.000,662,0.712
1484.000,662,0.712
1484.000,662,0.712
1484.000,662,0.712
1500.000,662,0.712
1500.000,662,0.712
1500.000,662,0.712
1515.000,662,0.712
1515.000,662,0.712
1515.000,662,0.712
1531.000,662,0.712
1531.000,662,0.712
1531.000,662,0.712
1547.000,662,0.712
1547.000,662,0.712
1547.000,662,0.712
1562.000,663,0.713
1562.000,662,0.712
1562.000,662,0.712
1578.000,662,0.712
1578.000,662,0.712
1578.000,662,0.712
1594.000,663,0.713
1594.000,663,0.713
1594.000,662,0.712
1609.000,662,0.712
1609.000,663,0.713
1609.000,662,0.712
1625.000,663,0.713
1625.000,663,0.713
1625.000,662,0.712
1625.000,662,0.712
1640.000,662,0.712
1640.000,663,0.713
1640.000,663,0.713
1656.000,663,0.713
1656.000,663,0.713
1656.000,663,0.713
1672.000,663,0.713
1672.000,663,0.713
1687.000,662,0.712
1687.000,662,0.712
1687.000,662,0.712
1687.000,663,0.713
1703.000,662,0.712
1703.000,662,0.712
1703.000,662,0.712
1719.000,662,0.712
1719.000,662,0.712
1719.000,663,0.713
1734.000,662,0.712
1734.000,663,0.713
1734.000,662,0.712
1750.000,662,0.712
1750.000,663,0.713
1750.000,663,0.713
1765.000,663,0.713
1765.000,663,0.713
1765.000,663,0.713
1781.000,663,0.713
1781.000,663,0.713
1781.000,663,0.713
1781.000,663,0.713
1797.000,663,0.713
1797.000,663,0.713
1797.000,663,0.713
1812.000,663,0.713
1812.000,662,0.712
1812.000,663,0.713
1828.000,663,0.713
1828.000,663,0.713
1828.000,663,0.713
1844.000,663,0.713
1844.000,663,0.713
1844.000,662,0.712
1859.000,663,0.713
1859.000,663,0.713
1859.000,663,0.713
1875.000,663,0.713
1875.000,663,0.713
1875.000,663,0.713
1890.000,663,0.713
1890.000,663,0.713
1906.000,663,0.713
1906.000,663,0.713
1906.000,663,0.713
1906.000,663,0.713
1922.000,663,0.713
1922.000,663,0.713
1922.000,662,0.712
1922.000,663,0.713
1937.000,663,0.713
1937.000,663,0.713
1953.000,663,0.713
1953.000,663,0.713
1953.000,664,0.714
1953.000,664,0.714
1969.000,663,0.713
1969.000,663,0.713
1969.000,664,0.714
1984.000,664,0.714
1984.000,663,0.713
1984.000,664,0.714
2000.000,664,0.714
2000.000,664,0.714
2000.000,663,0.713
2015.000,664,0.714
2015.000,664,0.714
2015.000,663,0.713
2031.000,663,0.713
2031.000,664,0.714
2031.000,663,0.713
2047.000,663,0.713
2047.000,664,0.714
2047.000,663,0.713
2062.000,664,0.714
2062.000,664,0.714
2062.000,664,0.714
2078.000,664,0.714
2078.000,664,0.714
2078.000,663,0.713
2094.000,664,0.714
2094.000,663,0.713
2094.000,664,0.714
2109.000,664,0.714
2109.000,664,0.714
2109.000,664,0.714
2109.000,664,0.714
2125.000,663,0.713
2125.000,664,0.714
2125.000,664,0.714
2140.000,664,0.714
2140.000,664,0.714
2140.000,664,0.714
2156.000,663,0.713
2156.000,663,0.713
2156.000,664,0.714
2172.000,664,0.714
2172.000,664,0.714
2172.000,664,0.714
2187.000,664,0.714
2187.000,664,0.714
2187.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2203.000,664,0.714
2219.000,664,0.714
2219.000,664,0.714
2219.000,664,0.714
2234.000,664,0.714
2234.000,664,0.714
