Time(ms),ADC,Voltage(V)
382,149,0.728
392,149,0.728
402,150,0.733
412,149,0.728
422,149,0.728
432,149,0.728
442,149,0.728
452,149,0.728
462,149,0.728
472,149,0.728
482,148,0.723
492,148,0.723
502,149,0.728
512,149,0.728
522,149,0.728
532,149,0.728
542,148,0.723
552,149,0.728
562,148,0.723
572,148,0.723
582,148,0.723
592,148,0.723
602,148,0.723
612,148,0.723
622,148,0.723
632,148,0.723
642,148,0.723
652,148,0.723
662,148,0.723
672,147,0.718
683,147,0.718
693,147,0.718
703,148,0.723
713,148,0.723
723,147,0.718
733,147,0.718
743,147,0.718
753,148,0.723
763,147,0.718
773,147,0.718
783,147,0.718
793,146,0.714
803,147,0.718
813,147,0.718
823,147,0.718
833,146,0.714
843,146,0.714
854,146,0.714
864,146,0.714
874,146,0.714
884,146,0.714
894,146,0.714
904,146,0.714
914,146,0.714
924,146,0.714
934,146,0.714
944,146,0.714
954,146,0.714
964,145,0.709
974,145,0.709
984,145,0.709
994,145,0.709
1004,145,0.709
1014,146,0.714
1024,145,0.709
1034,146,0.714
1044,145,0.709
1054,145,0.709
1064,145,0.709
1074,145,0.709
1084,145,0.709
1094,145,0.709
1104,145,0.709
1114,146,0.714
1124,146,0.714
1134,146,0.714
1144,146,0.714
1154,146,0.714
1164,145,0.709
1174,146,0.714
1184,146,0.714
1195,146,0.714
1205,146,0.714
1215,147,0.718
1225,146,0.714
1235,146,0.714
1245,146,0.714
1255,146,0.714
1265,146,0.714
1275,146,0.714
1285,146,0.714
1295,146,0.714
1305,146,0.714
1315,147,0.718
1325,147,0.718
1335,147,0.718
1345,147,0.718
1355,147,0.718
1366,147,0.718
1376,147,0.718
1386,147,0.718
1396,147,0.718
1406,147,0.718
1416,148,0.723
1426,148,0.723
1436,148,0.723
1446,148,0.723
1456,148,0.723
1466,148,0.723
1476,148,0.723
1486,148,0.723
1496,148,0.723
1506,147,0.718
1516,148,0.723
1526,148,0.723
1536,148,0.723
1546,148,0.723
1556,148,0.723
1566,148,0.723
1576,148,0.723
1586,148,0.723
1596,148,0.723
1606,148,0.723
1616,150,0.733
1626,149,0.728
1636,149,0.728
1646,149,0.728
1656,149,0.728
1666,149,0.728
1676,149,0.728
1686,149,0.728
1696,149,0.728
1707,149,0.728
1717,149,0.728
1727,150,0.733
1737,150,0.733
1747,149,0.728
1757,150,0.733
1767,150,0.733
1777,150,0.733
1787,150,0.733
1797,150,0.733
1807,150,0.733
1817,150,0.733
1827,151,0.738
1837,150,0.733
1847,150,0.733
1857,151,0.738
1867,151,0.738
1878,151,0.738
1888,151,0.738
1898,151,0.738
1908,151,0.738
1918,150,0.733
1928,151,0.738
1938,151,0.738
1948,151,0.738
1958,151,0.738
1968,150,0.733
1978,151,0.738
1988,150,0.733
1998,150,0.733
2008,150,0.733
2018,150,0.733
2028,150,0.733
2038,150,0.733
2048,150,0.733
2058,150,0.733
2068,150,0.733
2078,149,0.728
2088,149,0.728
2098,149,0.728
2108,149,0.728
2118,149,0.728
2128,150,0.733
2138,149,0.728
2148,150,0.733
2158,149,0.728
2168,149,0.728
2178,149,0.728
2188,149,0.728
2198,148,0.723
2208,148,0.723
2219,148,0.723
2229,149,0.728
2239,149,0.728
2249,148,0.723
2259,149,0.728
2269,148,0.723
2279,148,0.723
2289,148,0.723
2299,148,0.723
2309,148,0.723
2319,148,0.723
2329,148,0.723
2339,148,0.723
2349,148,0.723
2359,148,0.723
2369,148,0.723
2379,147,0.718
2390,147,0.718
2400,147,0.718
2410,147,0.718
2420,147,0.718
2430,147,0.718
2440,147,0.718
2450,147,0.718
2460,147,0.718
2470,147,0.718
2480,147,0.718
2490,146,0.714
2500,146,0.714
2510,146,0.714
2520,146,0.714
2530,146,0.714
2540,146,0.714
2550,146,0.714
2560,146,0.714
2570,146,0.714
2580,146,0.714
2590,146,0.714
2600,146,0.714
2610,146,0.714
2620,145,0.709
2630,145,0.709
2640,146,0.714
2650,146,0.714
2660,146,0.714
2670,146,0.714
2680,145,0.709
2690,145,0.709
2700,145,0.709
2710,145,0.709
2720,145,0.709
2731,145,0.709
2741,146,0.714
2751,145,0.709
2761,145,0.709
2771,145,0.709
2781,145,0.709
2791,145,0.709
2801,146,0.714
2811,145,0.709
2821,145,0.709
2831,145,0.709
2841,146,0.714
2851,146,0.714
2861,146,0.714
2871,147,0.718
2881,146,0.714
2891,146,0.714
2902,146,0.714
2912,146,0.714
2922,146,0.714
2932,146,0.714
2942,146,0.714
2952,147,0.718
2962,147,0.718
2972,147,0.718
2982,147,0.718
2992,147,0.718
3002,147,0.718
3012,147,0.718
