Time(ms),ADC,Voltage(V)
392,216,1.056
402,215,1.051
412,215,1.051
422,215,1.051
432,215,1.051
442,215,1.051
452,215,1.051
462,215,1.051
472,215,1.051
482,215,1.051
492,215,1.051
502,215,1.051
512,214,1.046
522,214,1.046
532,215,1.051
542,215,1.051
552,214,1.046
562,215,1.051
572,214,1.046
582,215,1.051
592,215,1.051
602,215,1.051
612,215,1.051
622,215,1.051
632,214,1.046
642,215,1.051
652,215,1.051
662,215,1.051
672,214,1.046
683,215,1.051
693,214,1.046
703,214,1.046
713,215,1.051
723,214,1.046
733,214,1.046
743,215,1.051
753,215,1.051
763,214,1.046
773,214,1.046
783,214,1.046
793,214,1.046
803,214,1.046
813,214,1.046
823,214,1.046
833,214,1.046
843,214,1.046
854,214,1.046
864,214,1.046
874,214,1.046
884,214,1.046
894,213,1.041
904,214,1.046
914,214,1.046
924,213,1.041
934,213,1.041
944,214,1.046
954,214,1.046
964,214,1.046
974,213,1.041
984,213,1.041
994,213,1.041
1004,213,1.041
1014,213,1.041
1024,213,1.041
1034,213,1.041
1044,213,1.041
1054,213,1.041
1064,213,1.041
1074,213,1.041
1084,213,1.041
1094,213,1.041
1104,212,1.036
1114,212,1.036
1124,212,1.036
1134,212,1.036
1144,213,1.041
1154,213,1.041
1164,214,1.046
1174,214,1.046
1184,214,1.046
1195,213,1.041
1205,213,1.041
1215,213,1.041
1225,213,1.041
1235,213,1.041
1245,213,1.041
1255,213,1.041
1265,213,1.041
1275,213,1.041
1285,213,1.041
1295,213,1.041
1305,212,1.036
1315,213,1.041
1325,212,1.036
1335,212,1.036
1345,212,1.036
1355,213,1.041
1366,213,1.041
1376,212,1.036
1386,212,1.036
1396,212,1.036
1406,212,1.036
1416,212,1.036
1426,212,1.036
1436,212,1.036
1446,212,1.036
1456,212,1.036
1466,212,1.036
1476,212,1.036
1486,212,1.036
1496,212,1.036
1506,212,1.036
1516,212,1.036
1526,212,1.036
1536,212,1.036
1546,212,1.036
1556,212,1.036
1566,212,1.036
1576,212,1.036
1586,212,1.036
1596,212,1.036
1606,212,1.036
1616,211,1.031
1626,211,1.031
1636,211,1.031
1646,211,1.031
1656,212,1.036
1666,211,1.031
1676,212,1.036
1686,211,1.031
1696,211,1.031
1707,211,1.031
1717,211,1.031
1727,211,1.031
1737,211,1.031
1747,211,1.031
1757,211,1.031
1767,211,1.031
1777,211,1.031
1787,211,1.031
1797,211,1.031
1807,211,1.031
1817,210,1.026
1827,210,1.026
1837,210,1.026
1847,210,1.026
1857,210,1.026
1867,210,1.026
1878,211,1.031
1888,211,1.031
1898,211,1.031
1908,210,1.026
1918,210,1.026
1928,210,1.026
1938,210,1.026
1948,210,1.026
1958,210,1.026
1968,210,1.026
1978,210,1.026
1988,210,1.026
1998,210,1.026
2008,210,1.026
2018,210,1.026
2028,210,1.026
2038,209,1.022
2048,210,1.026
2058,210,1.026
2068,210,1.026
2078,210,1.026
2088,210,1.026
2098,210,1.026
2108,211,1.031
2118,210,1.026
2128,210,1.026
2138,210,1.026
2148,210,1.026
2158,210,1.026
2168,211,1.031
2178,211,1.031
2188,211,1.031
2198,211,1.031
2208,211,1.031
2219,211,1.031
2229,211,1.031
2239,211,1.031
2249,211,1.031
2259,211,1.031
2269,212,1.036
2279,211,1.031
2289,211,1.031
2299,211,1.031
2309,211,1.031
2319,212,1.036
2329,212,1.036
2339,212,1.036
2349,212,1.036
2359,212,1.036
2369,212,1.036
2379,212,1.036
2390,212,1.036
2400,213,1.041
2410,212,1.036
