Time(ms),ADC,Voltage(V)
0.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
16.000,669,0.719
32.000,669,0.719
32.000,669,0.719
32.000,669,0.719
47.000,670,0.720
47.000,669,0.719
47.000,669,0.719
63.000,669,0.719
63.000,669,0.719
63.000,669,0.719
78.000,669,0.719
94.000,669,0.719
94.000,669,0.719
94.000,669,0.719
94.000,668,0.718
94.000,669,0.719
110.000,669,0.719
110.000,669,0.719
110.000,669,0.719
125.000,669,0.719
141.000,669,0.719
141.000,669,0.719
157.000,670,0.720
157.000,669,0.719
157.000,669,0.719
157.000,670,0.720
157.000,669,0.719
157.000,670,0.720
157.000,669,0.719
172.000,670,0.720
172.000,670,0.720
172.000,669,0.719
188.000,669,0.719
203.000,669,0.719
203.000,670,0.720
203.000,670,0.720
203.000,669,0.719
203.000,670,0.720
219.000,669,0.719
219.000,670,0.720
219.000,670,0.720
235.000,670,0.720
235.000,670,0.720
235.000,670,0.720
250.000,670,0.720
282.000,670,0.720
282.000,670,0.720
282.000,670,0.720
282.000,670,0.720
282.000,670,0.720
282.000,670,0.720
282.000,670,0.720
282.000,670,0.720
297.000,670,0.720
297.000,670,0.720
328.000,670,0.720
328.000,670,0.720
328.000,670,0.720
328.000,670,0.720
328.000,670,0.720
328.000,670,0.720
328.000,671,0.722
328.000,670,0.720
344.000,670,0.720
344.000,670,0.720
344.000,670,0.720
360.000,670,0.720
360.000,670,0.720
360.000,670,0.720
375.000,670,0.720
375.000,670,0.720
407.000,670,0.720
407.000,670,0.720
407.000,670,0.720
407.000,670,0.720
407.000,670,0.720
407.000,670,0.720
407.000,670,0.720
422.000,670,0.720
422.000,670,0.720
453.000,671,0.722
453.000,671,0.722
453.000,671,0.722
453.000,671,0.722
453.000,671,0.722
453.000,671,0.722
453.000,671,0.722
453.000,671,0.722
469.000,671,0.722
469.000,670,0.720
469.000,671,0.722
485.000,671,0.722
485.000,671,0.722
485.000,671,0.722
500.000,671,0.722
500.000,670,0.720
500.000,671,0.722
516.000,671,0.722
532.000,670,0.720
532.000,671,0.722
532.000,671,0.722
532.000,671,0.722
532.000,671,0.722
547.000,670,0.720
547.000,671,0.722
547.000,671,0.722
563.000,671,0.722
578.000,671,0.722
578.000,671,0.722
578.000,671,0.722
578.000,671,0.722
578.000,671,0.722
594.000,671,0.722
594.000,670,0.720
594.000,671,0.722
610.000,671,0.722
610.000,672,0.723
610.000,671,0.722
610.000,671,0.722
625.000,671,0.722
625.000,671,0.722
625.000,671,0.722
657.000,672,0.723
657.000,671,0.722
657.000,672,0.723
657.000,671,0.722
657.000,671,0.722
657.000,672,0.723
672.000,671,0.722
672.000,672,0.723
672.000,671,0.722
688.000,671,0.722
703.000,672,0.723
703.000,671,0.722
703.000,672,0.723
703.000,672,0.723
703.000,671,0.722
719.000,672,0.723
719.000,672,0.723
719.000,672,0.723
735.000,672,0.723
735.000,672,0.723
735.000,673,0.724
750.000,672,0.723
750.000,672,0.723
750.000,672,0.723
766.000,672,0.723
782.000,672,0.723
782.000,672,0.723
782.000,672,0.723
782.000,673,0.724
782.000,672,0.723
782.000,672,0.723
797.000,672,0.723
797.000,672,0.723
797.000,673,0.724
828.000,672,0.723
828.000,672,0.723
828.000,672,0.723
828.000,672,0.723
828.000,672,0.723
828.000,673,0.724
844.000,673,0.724
844.000,674,0.725
844.000,673,0.724
860.000,674,0.725
860.000,673,0.724
860.000,673,0.724
875.000,673,0.724
891.000,673,0.724
891.000,673,0.724
891.000,673,0.724
891.000,673,0.724
891.000,673,0.724
907.000,673,0.724
907.000,674,0.725
907.000,673,0.724
907.000,673,0.724
922.000,673,0.724
922.000,674,0.725
922.000,673,0.724
953.000,673,0.724
953.000,674,0.725
953.000,674,0.725
953.000,674,0.725
953.000,674,0.725
953.000,674,0.725
969.000,674,0.725
969.000,674,0.725
969.000,674,0.725
985.000,674,0.725
1000.000,674,0.725
1000.000,674,0.725
1000.000,674,0.725
1000.000,674,0.725
1000.000,674,0.725
1016.000,675,0.726
1016.000,674,0.725
1016.000,674,0.725
1032.000,674,0.725
1032.000,674,0.725
1032.000,674,0.725
1047.000,675,0.726
1047.000,675,0.726
1047.000,674,0.725
1063.000,674,0.725
1078.000,675,0.726
1078.000,674,0.725
1078.000,674,0.725
1078.000,675,0.726
1078.000,674,0.725
1078.000,675,0.726
1094.000,675,0.726
1094.000,675,0.726
1094.000,674,0.725
1125.000,674,0.725
1125.000,675,0.726
1125.000,674,0.725
1125.000,675,0.726
1125.000,675,0.726
1125.000,674,0.725
1141.000,675,0.726
1141.000,675,0.726
1141.000,675,0.726
1157.000,675,0.726
1157.000,675,0.726
1157.000,675,0.726
1172.000,675,0.726
1172.000,675,0.726
1172.000,675,0.726
1188.000,675,0.726
1203.000,675,0.726
1203.000,675,0.726
1203.000,675,0.726
1203.000,675,0.726
1203.000,675,0.726
1203.000,675,0.726
1219.000,675,0.726
1219.000,675,0.726
1219.000,675,0.726
1250.000,675,0.726
1250.000,675,0.726
1250.000,675,0.726
1250.000,675,0.726
1250.000,675,0.726
1250.000,676,0.727
1266.000,675,0.726
1266.000,675,0.726
1266.000,675,0.726
1282.000,675,0.726
1282.000,675,0.726
1282.000,675,0.726
1313.000,675,0.726
1313.000,675,0.726
1313.000,675,0.726
1313.000,675,0.726
1313.000,675,0.726
1313.000,675,0.726
1328.000,675,0.726
1328.000,676,0.727
1328.000,675,0.726
1344.000,675,0.726
1344.000,675,0.726
1344.000,676,0.727
1360.000,676,0.727
1375.000,675,0.726
1375.000,676,0.727
1375.000,675,0.726
1375.000,676,0.727
1375.000,675,0.726
1375.000,676,0.727
1391.000,676,0.727
1391.000,676,0.727
1391.000,676,0.727
1422.000,676,0.727
1422.000,676,0.727
1422.000,676,0.727
1422.000,676,0.727
1422.000,676,0.727
1422.000,676,0.727
1438.000,676,0.727
1438.000,676,0.727
1438.000,676,0.727
1453.000,676,0.727
1453.000,676,0.727
1453.000,676,0.727
1469.000,676,0.727
1469.000,676,0.727
1469.000,676,0.727
1500.000,677,0.728
1500.000,676,0.727
1500.000,676,0.727
1500.000,676,0.727
1500.000,676,0.727
1500.000,676,0.727
1516.000,676,0.727
1516.000,676,0.727
1516.000,676,0.727
1532.000,677,0.728
1547.000,676,0.727
1547.000,676,0.727
1547.000,676,0.727
1547.000,676,0.727
1547.000,676,0.727
1547.000,676,0.727
1563.000,676,0.727
1563.000,676,0.727
1563.000,676,0.727
1578.000,677,0.728
1578.000,676,0.727
1578.000,677,0.728
1594.000,677,0.728
1594.000,677,0.728
1594.000,676,0.727
1625.000,676,0.727
1625.000,677,0.728
1625.000,677,0.728
1625.000,676,0.727
1625.000,676,0.727
1625.000,677,0.728
1641.000,676,0.727
1641.000,677,0.728
1641.000,676,0.727
1672.000,676,0.727
1672.000,676,0.727
1672.000,677,0.728
1672.000,676,0.727
1672.000,677,0.728
1672.000,676,0.727
1688.000,677,0.728
1688.000,677,0.728
1688.000,677,0.728
1688.000,677,0.728
1703.000,677,0.728
1703.000,676,0.727
1719.000,677,0.728
1735.000,677,0.728
1735.000,677,0.728
1735.000,677,0.728
1735.000,677,0.728
1735.000,677,0.728
1735.000,677,0.728
1750.000,676,0.727
1750.000,677,0.728
1750.000,676,0.727
1766.000,677,0.728
1766.000,677,0.728
1766.000,677,0.728
1797.000,677,0.728
1797.000,677,0.728
1797.000,677,0.728
1797.000,677,0.728
1797.000,677,0.728
1797.000,677,0.728
1813.000,677,0.728
1813.000,677,0.728
1813.000,677,0.728
1828.000,677,0.728
1828.000,677,0.728
1828.000,677,0.728
1844.000,677,0.728
1844.000,678,0.729
1860.000,677,0.728
1875.000,677,0.728
1875.000,677,0.728
1875.000,677,0.728
1875.000,677,0.728
1875.000,678,0.729
1875.000,677,0.728
1875.000,677,0.728
1891.000,677,0.728
1922.000,677,0.728
1922.000,677,0.728
1922.000,677,0.728
1922.000,677,0.728
1922.000,678,0.729
1922.000,677,0.728
1922.000,678,0.729
1922.000,678,0.729
1938.000,677,0.728
1938.000,677,0.728
1938.000,677,0.728
1953.000,677,0.728
1953.000,677,0.728
1953.000,677,0.728
1969.000,678,0.729
1969.000,678,0.729
2000.000,678,0.729
2000.000,678,0.729
2000.000,678,0.729
2000.000,678,0.729
2000.000,678,0.729
2000.000,678,0.729
2000.000,678,0.729
2000.000,678,0.729
2016.000,678,0.729
2047.000,678,0.729
2047.000,678,0.729
2047.000,678,0.729
2047.000,678,0.729
2047.000,678,0.729
2047.000,677,0.728
2047.000,678,0.729
2047.000,677,0.728
2063.000,678,0.729
2063.000,678,0.729
2063.000,678,0.729
2078.000,678,0.729
2078.000,678,0.729
2078.000,678,0.729
2094.000,679,0.730
2094.000,678,0.729
2125.000,678,0.729
2125.000,678,0.729
2125.000,679,0.730
2125.000,678,0.729
2125.000,678,0.729
2125.000,678,0.729
2125.000,678,0.729
2141.000,678,0.729
2141.000,678,0.729
2157.000,678,0.729
2172.000,678,0.729
2172.000,678,0.729
2172.000,678,0.729
2172.000,678,0.729
2172.000,679,0.730
2172.000,679,0.730
2172.000,678,0.729
2188.000,679,0.730
2188.000,678,0.729
2188.000,679,0.730
2203.000,678,0.729
2203.000,679,0.730
2203.000,679,0.730
2219.000,679,0.730
2219.000,678,0.729
2219.000,679,0.730
2235.000,679,0.730
2250.000,679,0.730
2282.000,679,0.730
