Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719000
16.000,669,0.719,0.719091
16.000,669,0.719,0.719091
32.000,669,0.719,0.719091
32.000,669,0.719,0.719091
32.000,669,0.719,0.719091
47.000,670,0.720,0.719091
47.000,669,0.719,0.719091
47.000,669,0.719,0.719091
63.000,669,0.719,0.719091
63.000,669,0.719,0.719091
63.000,669,0.719,0.719000
78.000,669,0.719,0.718909
94.000,669,0.719,0.718909
94.000,669,0.719,0.718909
94.000,669,0.719,0.718909
94.000,668,0.718,0.718909
94.000,669,0.719,0.718909
110.000,669,0.719,0.718909
110.000,669,0.719,0.719000
110.000,669,0.719,0.719000
125.000,669,0.719,0.719000
141.000,669,0.719,0.719182
141.000,669,0.719,0.719182
157.000,670,0.720,0.719273
157.000,669,0.719,0.719273
157.000,669,0.719,0.719364
157.000,670,0.720,0.719455
157.000,669,0.719,0.719455
157.000,670,0.720,0.719455
157.000,669,0.719,0.719364
172.000,670,0.720,0.719455
172.000,670,0.720,0.719545
172.000,669,0.719,0.719455
188.000,669,0.719,0.719545
203.000,669,0.719,0.719455
203.000,670,0.720,0.719545
203.000,670,0.720,0.719545
203.000,669,0.719,0.719545
203.000,670,0.720,0.719636
219.000,669,0.719,0.719727
219.000,670,0.720,0.719818
219.000,670,0.720,0.719818
235.000,670,0.720,0.719818
235.000,670,0.720,0.719909
235.000,670,0.720,0.719909
250.000,670,0.720,0.720000
282.000,670,0.720,0.720000
282.000,670,0.720,0.720000
282.000,670,0.720,0.720000
282.000,670,0.720,0.720000
282.000,670,0.720,0.720000
282.000,670,0.720,0.720000
282.000,670,0.720,0.720000
282.000,670,0.720,0.720000
297.000,670,0.720,0.720000
297.000,670,0.720,0.720000
328.000,670,0.720,0.720000
328.000,670,0.720,0.720182
328.000,670,0.720,0.720182
328.000,670,0.720,0.720182
328.000,670,0.720,0.720182
328.000,670,0.720,0.720182
328.000,671,0.722,0.720182
328.000,670,0.720,0.720182
344.000,670,0.720,0.720182
344.000,670,0.720,0.720182
344.000,670,0.720,0.720182
360.000,670,0.720,0.720182
360.000,670,0.720,0.720000
360.000,670,0.720,0.720000
375.000,670,0.720,0.720000
375.000,670,0.720,0.720000
407.000,670,0.720,0.720000
407.000,670,0.720,0.720000
407.000,670,0.720,0.720000
407.000,670,0.720,0.720000
407.000,670,0.720,0.720182
407.000,670,0.720,0.720364
407.000,670,0.720,0.720545
422.000,670,0.720,0.720727
422.000,670,0.720,0.720909
453.000,671,0.722,0.721091
453.000,671,0.722,0.721273
453.000,671,0.722,0.721455
453.000,671,0.722,0.721636
453.000,671,0.722,0.721636
453.000,671,0.722,0.721818
453.000,671,0.722,0.721818
453.000,671,0.722,0.721818
469.000,671,0.722,0.721818
469.000,670,0.720,0.721818
469.000,671,0.722,0.721636
485.000,671,0.722,0.721636
485.000,671,0.722,0.721636
485.000,671,0.722,0.721455
500.000,671,0.722,0.721455
500.000,670,0.720,0.721636
500.000,671,0.722,0.721636
516.000,671,0.722,0.721636
532.000,670,0.720,0.721455
532.000,671,0.722,0.721455
532.000,671,0.722,0.721455
532.000,671,0.722,0.721636
532.000,671,0.722,0.721636
547.000,670,0.720,0.721636
547.000,671,0.722,0.721818
547.000,671,0.722,0.721818
563.000,671,0.722,0.721818
578.000,671,0.722,0.721818
578.000,671,0.722,0.721636
578.000,671,0.722,0.721818
578.000,671,0.722,0.721818
578.000,671,0.722,0.721909
594.000,671,0.722,0.721909
594.000,670,0.720,0.721909
594.000,671,0.722,0.721909
610.000,671,0.722,0.721909
610.000,672,0.723,0.721909
610.000,671,0.722,0.722000
610.000,671,0.722,0.722000
625.000,671,0.722,0.722273
625.000,671,0.722,0.722273
625.000,671,0.722,0.722273
657.000,672,0.723,0.722273
657.000,671,0.722,0.722273
657.000,672,0.723,0.722364
657.000,671,0.722,0.722364
657.000,671,0.722,0.722364
657.000,672,0.723,0.722455
672.000,671,0.722,0.722364
672.000,672,0.723,0.722455
672.000,671,0.722,0.722455
688.000,671,0.722,0.722455
703.000,672,0.723,0.722545
703.000,671,0.722,0.722545
703.000,672,0.723,0.722636
703.000,672,0.723,0.722636
703.000,671,0.722,0.722727
719.000,672,0.723,0.722909
719.000,672,0.723,0.722909
719.000,672,0.723,0.723000
735.000,672,0.723,0.723000
735.000,672,0.723,0.723000
735.000,673,0.724,0.723091
750.000,672,0.723,0.723091
750.000,672,0.723,0.723091
750.000,672,0.723,0.723182
766.000,672,0.723,0.723182
782.000,672,0.723,0.723182
782.000,672,0.723,0.723091
782.000,672,0.723,0.723091
782.000,673,0.724,0.723182
782.000,672,0.723,0.723182
782.000,672,0.723,0.723182
797.000,672,0.723,0.723182
797.000,672,0.723,0.723182
797.000,673,0.724,0.723182
828.000,672,0.723,0.723182
828.000,672,0.723,0.723273
828.000,672,0.723,0.723455
828.000,672,0.723,0.723545
828.000,672,0.723,0.723727
828.000,673,0.724,0.723727
844.000,673,0.724,0.723818
844.000,674,0.725,0.723909
844.000,673,0.724,0.724000
860.000,674,0.725,0.724091
860.000,673,0.724,0.724182
860.000,673,0.724,0.724182
875.000,673,0.724,0.724182
891.000,673,0.724,0.724091
891.000,673,0.724,0.724182
891.000,673,0.724,0.724091
891.000,673,0.724,0.724091
891.000,673,0.724,0.724091
907.000,673,0.724,0.724182
907.000,674,0.725,0.724182
907.000,673,0.724,0.724182
907.000,673,0.724,0.724273
922.000,673,0.724,0.724364
922.000,674,0.725,0.724455
922.000,673,0.724,0.724545
953.000,673,0.724,0.724545
953.000,674,0.725,0.724636
953.000,674,0.725,0.724727
953.000,674,0.725,0.724818
953.000,674,0.725,0.724818
953.000,674,0.725,0.724909
969.000,674,0.725,0.725000
