Time(ms),ADC,Voltage(V)
0.000,679,0.730
0.000,679,0.730
15.000,679,0.730
15.000,679,0.730
15.000,679,0.730
31.000,680,0.731
31.000,679,0.730
31.000,680,0.731
31.000,679,0.730
47.000,680,0.731
47.000,680,0.731
47.000,680,0.731
62.000,681,0.732
62.000,681,0.732
62.000,681,0.732
78.000,681,0.732
78.000,681,0.732
78.000,681,0.732
93.000,681,0.732
93.000,682,0.733
93.000,681,0.732
109.000,681,0.732
109.000,681,0.732
109.000,681,0.732
125.000,681,0.732
125.000,682,0.733
125.000,682,0.733
140.000,681,0.732
140.000,682,0.733
140.000,682,0.733
156.000,681,0.732
156.000,682,0.733
156.000,682,0.733
172.000,681,0.732
172.000,682,0.733
172.000,682,0.733
187.000,682,0.733
187.000,682,0.733
187.000,682,0.733
203.000,682,0.733
203.000,682,0.733
203.000,682,0.733
218.000,681,0.732
218.000,682,0.733
218.000,682,0.733
218.000,682,0.733
234.000,682,0.733
234.000,682,0.733
234.000,682,0.733
250.000,682,0.733
250.000,682,0.733
250.000,682,0.733
265.000,682,0.733
265.000,682,0.733
265.000,682,0.733
281.000,682,0.733
281.000,682,0.733
281.000,682,0.733
297.000,682,0.733
297.000,682,0.733
297.000,682,0.733
312.000,682,0.733
312.000,682,0.733
312.000,682,0.733
328.000,682,0.733
328.000,681,0.732
328.000,682,0.733
343.000,682,0.733
343.000,682,0.733
343.000,682,0.733
343.000,682,0.733
359.000,682,0.733
359.000,682,0.733
359.000,682,0.733
375.000,682,0.733
375.000,682,0.733
375.000,682,0.733
390.000,682,0.733
390.000,682,0.733
390.000,682,0.733
406.000,683,0.734
406.000,682,0.733
406.000,683,0.734
422.000,682,0.733
422.000,682,0.733
422.000,682,0.733
437.000,682,0.733
437.000,683,0.734
437.000,683,0.734
453.000,683,0.734
453.000,683,0.734
453.000,683,0.734
468.000,683,0.734
468.000,684,0.735
468.000,685,0.737
484.000,685,0.737
484.000,685,0.737
484.000,685,0.737
500.000,685,0.737
500.000,684,0.735
