Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,679,0.730,0.730091
0.000,679,0.730,0.730091
15.000,679,0.730,0.730182
15.000,679,0.730,0.730182
15.000,679,0.730,0.730273
31.000,680,0.731,0.730364
31.000,679,0.730,0.730455
31.000,680,0.731,0.730636
31.000,679,0.730,0.730818
47.000,680,0.731,0.731000
47.000,680,0.731,0.731182
47.000,680,0.731,0.731273
62.000,681,0.732,0.731455
62.000,681,0.732,0.731545
62.000,681,0.732,0.731818
78.000,681,0.732,0.731909
78.000,681,0.732,0.732000
78.000,681,0.732,0.732091
93.000,681,0.732,0.732091
93.000,682,0.733,0.732091
93.000,681,0.732,0.732182
109.000,681,0.732,0.732273
109.000,681,0.732,0.732273
109.000,681,0.732,0.732364
125.000,681,0.732,0.732455
125.000,682,0.733,0.732364
125.000,682,0.733,0.732455
140.000,681,0.732,0.732545
140.000,682,0.733,0.732545
140.000,682,0.733,0.732636
156.000,681,0.732,0.732727
156.000,682,0.733,0.732727
156.000,682,0.733,0.732727
172.000,681,0.732,0.732818
172.000,682,0.733,0.732818
172.000,682,0.733,0.732818
187.000,682,0.733,0.732909
187.000,682,0.733,0.732818
187.000,682,0.733,0.732818
203.000,682,0.733,0.732909
203.000,682,0.733,0.732909
203.000,682,0.733,0.732909
218.000,681,0.732,0.732909
218.000,682,0.733,0.732909
218.000,682,0.733,0.732909
218.000,682,0.733,0.732909
234.000,682,0.733,0.732909
234.000,682,0.733,0.732909
234.000,682,0.733,0.733000
250.000,682,0.733,0.733000
250.000,682,0.733,0.733000
250.000,682,0.733,0.733000
265.000,682,0.733,0.733000
265.000,682,0.733,0.733000
265.000,682,0.733,0.733000
281.000,682,0.733,0.733000
281.000,682,0.733,0.733000
281.000,682,0.733,0.733000
297.000,682,0.733,0.733000
297.000,682,0.733,0.733000
297.000,682,0.733,0.732909
312.000,682,0.733,0.732909
312.000,682,0.733,0.732909
312.000,682,0.733,0.732909
328.000,682,0.733,0.732909
328.000,681,0.732,0.732909
328.000,682,0.733,0.732909
343.000,682,0.733,0.732909
343.000,682,0.733,0.732909
343.000,682,0.733,0.732909
343.000,682,0.733,0.732909
359.000,682,0.733,0.733000
359.000,682,0.733,0.733000
359.000,682,0.733,0.733000
375.000,682,0.733,0.733000
375.000,682,0.733,0.733091
375.000,682,0.733,0.733091
390.000,682,0.733,0.733182
390.000,682,0.733,0.733182
390.000,682,0.733,0.733182
406.000,683,0.734,0.733182
406.000,682,0.733,0.733182
406.000,683,0.734,0.733273
422.000,682,0.733,0.733364
422.000,682,0.733,0.733455
422.000,682,0.733,0.733545
437.000,682,0.733,0.733545
437.000,683,0.734,0.733636
437.000,683,0.734,0.733727
453.000,683,0.734,0.734091
453.000,683,0.734,0.734455
453.000,683,0.734,0.734818
468.000,683,0.734,0.735182
468.000,684,0.735,0.735455
468.000,685,0.737,0.735545
484.000,685,0.737,0.735636
484.000,685,0.737,0.735727
484.000,685,0.737,0.735818
500.000,685,0.737,0.736091
500.000,684,0.735,0.736273
500.000,684,0.735,0.736273
515.000,684,0.735,0.736273
515.000,684,0.735,0.736273
515.000,685,0.737,0.736273
515.000,685,0.737,0.736273
531.000,685,0.737,0.736455
531.000,685,0.737,0.736636
531.000,685,0.737,0.736818
547.000,685,0.737,0.737000
547.000,685,0.737,0.737000
547.000,685,0.737,0.737000
562.000,685,0.737,0.737000
562.000,685,0.737,0.737000
562.000,685,0.737,0.737000
578.000,685,0.737,0.737000
578.000,685,0.737,0.736818
578.000,685,0.737,0.736818
593.000,685,0.737,0.736636
593.000,685,0.737,0.736636
593.000,685,0.737,0.736636
609.000,684,0.735,0.736636
609.000,685,0.737,0.736455
609.000,684,0.735,0.736455
625.000,685,0.737,0.736455
625.000,685,0.737,0.736455
625.000,685,0.737,0.736455
640.000,684,0.735,0.736636
640.000,685,0.737,0.736636
640.000,685,0.737,0.736818
656.000,685,0.737,0.736818
656.000,685,0.737,0.736818
656.000,685,0.737,0.736818
656.000,685,0.737,0.737000
672.000,685,0.737,0.737000
672.000,685,0.737,0.737000
672.000,685,0.737,0.737000
687.000,685,0.737,0.737000
687.000,685,0.737,0.737000
687.000,685,0.737,0.737000
703.000,685,0.737,0.737000
703.000,685,0.737,0.737000
703.000,685,0.737,0.737000
718.000,685,0.737,0.737091
718.000,685,0.737,0.737091
718.000,685,0.737,0.737091
734.000,685,0.737,0.737091
734.000,685,0.737,0.737091
734.000,686,0.738,0.737091
750.000,685,0.737,0.737091
750.000,685,0.737,0.737182
750.000,685,0.737,0.737182
765.000,685,0.737,0.737273
765.000,685,0.737,0.737273
765.000,685,0.737,0.737182
781.000,686,0.738,0.737273
781.000,685,0.737,0.737364
781.000,686,0.738,0.737364
797.000,685,0.737,0.737364
797.000,685,0.737,0.737364
797.000,686,0.738,0.737364
812.000,686,0.738,0.737273
812.000,685,0.737,0.737273
812.000,685,0.737,0.737182
828.000,685,0.737,0.737273
828.000,685,0.737,0.737273
828.000,685,0.737,0.737273
828.000,685,0.737,0.737273
843.000,685,0.737,0.737364
843.000,686,0.738,0.737364
843.000,685,0.737,0.737364
859.000,686,0.738,0.737455
859.000,686,0.738,0.737455
859.000,686,0.738,0.737455
875.000,685,0.737,0.737455
875.000,685,0.737,0.737364
875.000,686,0.738,0.737364
890.000,685,0.737,0.737364
890.000,685,0.737,0.737364
890.000,685,0.737,0.737364
906.000,685,0.737,0.737364
906.000,685,0.737,0.737455
906.000,686,0.738,0.737455
922.000,686,0.738,0.737545
922.000,686,0.738,0.737636
922.000,685,0.737,0.737727
937.000,686,0.738,0.737818
937.000,686,0.738,0.737909
937.000,686,0.738,0.737818
953.000,686,0.738,0.737818
953.000,686,0.738,0.737818
953.000,686,0.738,0.737909
968.000,686,0.738,0.737909
968.000,685,0.737,0.737909
968.000,686,0.738,0.737909
984.000,686,0.738,0.737909
