Time(ms),ADC,Voltage(V)
0.000,699,0.752
0.000,699,0.752
0.000,700,0.753
0.000,701,0.754
0.000,701,0.754
0.000,701,0.754
0.000,703,0.756
0.000,702,0.755
0.000,703,0.756
0.000,703,0.756
0.000,703,0.756
0.000,702,0.755
0.000,702,0.755
0.000,701,0.754
0.000,701,0.754
0.000,701,0.754
0.000,701,0.754
0.000,702,0.755
0.000,702,0.755
0.000,702,0.755
0.000,702,0.755
0.000,702,0.755
0.000,701,0.754
16.000,701,0.754
16.000,701,0.754
63.000,701,0.754
79.000,700,0.753
79.000,700,0.753
79.000,700,0.753
79.000,700,0.753
79.000,700,0.753
79.000,699,0.752
79.000,699,0.752
79.000,699,0.752
79.000,698,0.751
79.000,699,0.752
94.000,698,0.751
94.000,698,0.751
94.000,697,0.749
94.000,697,0.749
94.000,696,0.748
110.000,697,0.749
110.000,696,0.748
110.000,696,0.748
125.000,695,0.747
125.000,695,0.747
125.000,695,0.747
141.000,695,0.747
141.000,694,0.746
141.000,694,0.746
157.000,693,0.745
157.000,694,0.746
157.000,693,0.745
172.000,693,0.745
172.000,692,0.744
204.000,692,0.744
235.000,693,0.745
235.000,692,0.744
235.000,691,0.743
235.000,691,0.743
235.000,690,0.742
235.000,690,0.742
235.000,690,0.742
235.000,689,0.741
235.000,690,0.742
235.000,689,0.741
235.000,689,0.741
235.000,689,0.741
235.000,688,0.740
250.000,688,0.740
250.000,687,0.739
250.000,687,0.739
266.000,687,0.739
266.000,687,0.739
266.000,687,0.739
282.000,686,0.738
282.000,686,0.738
282.000,686,0.738
297.000,685,0.737
297.000,685,0.737
297.000,685,0.737
313.000,685,0.737
344.000,684,0.735
344.000,685,0.737
375.000,684,0.735
375.000,683,0.734
375.000,683,0.734
375.000,683,0.734
375.000,682,0.733
375.000,682,0.733
375.000,682,0.733
375.000,683,0.734
375.000,682,0.733
375.000,682,0.733
375.000,682,0.733
375.000,681,0.732
375.000,681,0.732
391.000,681,0.732
391.000,681,0.732
391.000,680,0.731
407.000,680,0.731
407.000,679,0.730
407.000,680,0.731
422.000,680,0.731
422.000,679,0.730
422.000,679,0.730
438.000,679,0.730
438.000,679,0.730
469.000,678,0.729
485.000,678,0.729
500.000,678,0.729
500.000,677,0.728
500.000,677,0.728
500.000,678,0.729
500.000,677,0.728
500.000,677,0.728
500.000,677,0.728
500.000,676,0.727
500.000,676,0.727
500.000,676,0.727
500.000,676,0.727
500.000,675,0.726
516.000,675,0.726
516.000,675,0.726
516.000,675,0.726
532.000,674,0.725
532.000,674,0.725
532.000,674,0.725
547.000,674,0.725
547.000,674,0.725
547.000,673,0.724
563.000,673,0.724
563.000,673,0.724
594.000,673,0.724
625.000,673,0.724
625.000,673,0.724
625.000,672,0.723
625.000,672,0.723
625.000,672,0.723
625.000,672,0.723
625.000,672,0.723
625.000,671,0.722
625.000,671,0.722
625.000,671,0.722
625.000,670,0.720
625.000,665,0.715
641.000,670,0.720
641.000,670,0.720
641.000,670,0.720
641.000,670,0.720
657.000,669,0.719
657.000,670,0.720
657.000,669,0.719
672.000,669,0.719
672.000,669,0.719
672.000,668,0.718
688.000,668,0.718
688.000,668,0.718
719.000,667,0.717
750.000,668,0.718
750.000,667,0.717
750.000,666,0.716
750.000,667,0.717
750.000,667,0.717
750.000,666,0.716
750.000,665,0.715
750.000,665,0.715
750.000,665,0.715
750.000,665,0.715
750.000,664,0.714
750.000,664,0.714
766.000,664,0.714
766.000,664,0.714
766.000,664,0.714
782.000,664,0.714
782.000,663,0.713
782.000,663,0.713
797.000,662,0.712
797.000,662,0.712
797.000,661,0.711
797.000,661,0.711
813.000,661,0.711
813.000,662,0.712
813.000,661,0.711
829.000,661,0.711
860.000,661,0.711
891.000,661,0.711
891.000,661,0.711
891.000,661,0.711
891.000,661,0.711
891.000,661,0.711
891.000,661,0.711
891.000,661,0.711
891.000,662,0.712
891.000,662,0.712
891.000,662,0.712
891.000,662,0.712
891.000,662,0.712
891.000,662,0.712
907.000,662,0.712
907.000,662,0.712
907.000,662,0.712
922.000,662,0.712
922.000,662,0.712
922.000,662,0.712
938.000,662,0.712
