Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,699,0.752,0.752636
0.000,699,0.752,0.753000
0.000,700,0.753,0.753273
0.000,701,0.754,0.753636
0.000,701,0.754,0.754000
0.000,701,0.754,0.754364
0.000,703,0.756,0.754636
0.000,702,0.755,0.754909
0.000,703,0.756,0.755000
0.000,703,0.756,0.755000
0.000,703,0.756,0.755000
0.000,702,0.755,0.755000
0.000,702,0.755,0.754909
0.000,701,0.754,0.754909
0.000,701,0.754,0.754818
0.000,701,0.754,0.754727
0.000,701,0.754,0.754636
0.000,702,0.755,0.754545
0.000,702,0.755,0.754455
0.000,702,0.755,0.754455
0.000,702,0.755,0.754455
0.000,702,0.755,0.754364
0.000,701,0.754,0.754273
16.000,701,0.754,0.754091
16.000,701,0.754,0.753909
63.000,701,0.754,0.753727
79.000,700,0.753,0.753455
79.000,700,0.753,0.753182
79.000,700,0.753,0.753000
79.000,700,0.753,0.752727
79.000,700,0.753,0.752545
79.000,699,0.752,0.752273
79.000,699,0.752,0.752091
79.000,699,0.752,0.751727
79.000,698,0.751,0.751364
79.000,699,0.752,0.750909
94.000,698,0.751,0.750545
94.000,698,0.751,0.750182
94.000,697,0.749,0.749818
94.000,697,0.749,0.749364
94.000,696,0.748,0.749000
110.000,697,0.749,0.748545
110.000,696,0.748,0.748182
110.000,696,0.748,0.747727
125.000,695,0.747,0.747455
125.000,695,0.747,0.747091
125.000,695,0.747,0.746909
141.000,695,0.747,0.746545
141.000,694,0.746,0.746273
141.000,694,0.746,0.745909
157.000,693,0.745,0.745636
157.000,694,0.746,0.745455
157.000,693,0.745,0.745182
172.000,693,0.745,0.744818
172.000,692,0.744,0.744545
204.000,692,0.744,0.744182
235.000,693,0.745,0.743909
235.000,692,0.744,0.743545
235.000,691,0.743,0.743182
235.000,691,0.743,0.742909
235.000,690,0.742,0.742636
235.000,690,0.742,0.742364
235.000,690,0.742,0.742000
235.000,689,0.741,0.741636
235.000,690,0.742,0.741364
235.000,689,0.741,0.741000
235.000,689,0.741,0.740727
235.000,689,0.741,0.740455
235.000,688,0.740,0.740182
250.000,688,0.740,0.740000
250.000,687,0.739,0.739636
250.000,687,0.739,0.739364
266.000,687,0.739,0.739091
266.000,687,0.739,0.738727
266.000,687,0.739,0.738455
282.000,686,0.738,0.738182
282.000,686,0.738,0.738000
282.000,686,0.738,0.737636
297.000,685,0.737,0.737455
297.000,685,0.737,0.737091
297.000,685,0.737,0.736636
313.000,685,0.737,0.736273
344.000,684,0.735,0.735909
344.000,685,0.737,0.735455
375.000,684,0.735,0.735091
375.000,683,0.734,0.734727
375.000,683,0.734,0.734455
375.000,683,0.734,0.734091
375.000,682,0.733,0.733909
375.000,682,0.733,0.733545
375.000,682,0.733,0.733273
375.000,683,0.734,0.733091
375.000,682,0.733,0.732909
375.000,682,0.733,0.732727
375.000,682,0.733,0.732545
375.000,681,0.732,0.732364
375.000,681,0.732,0.732091
391.000,681,0.732,0.731818
391.000,681,0.732,0.731636
391.000,680,0.731,0.731364
407.000,680,0.731,0.731091
407.000,679,0.730,0.730909
407.000,680,0.731,0.730727
422.000,680,0.731,0.730455
422.000,679,0.730,0.730182
422.000,679,0.730,0.730000
438.000,679,0.730,0.729727
438.000,679,0.730,0.729545
469.000,678,0.729,0.729364
485.000,678,0.729,0.729091
500.000,678,0.729,0.728909
500.000,677,0.728,0.728727
500.000,677,0.728,0.728455
500.000,678,0.729,0.728182
500.000,677,0.728,0.728000
500.000,677,0.728,0.727818
500.000,677,0.728,0.727545
500.000,676,0.727,0.727364
500.000,676,0.727,0.727182
500.000,676,0.727,0.726909
500.000,676,0.727,0.726636
500.000,675,0.726,0.726364
516.000,675,0.726,0.726091
516.000,675,0.726,0.725909
516.000,675,0.726,0.725727
532.000,674,0.725,0.725455
532.000,674,0.725,0.725182
532.000,674,0.725,0.725000
547.000,674,0.725,0.724818
547.000,674,0.725,0.724636
547.000,673,0.724,0.724455
563.000,673,0.724,0.724273
563.000,673,0.724,0.724091
594.000,673,0.724,0.723909
625.000,673,0.724,0.723727
625.000,673,0.724,0.723545
625.000,672,0.723,0.723364
625.000,672,0.723,0.723182
625.000,672,0.723,0.723000
625.000,672,0.723,0.722636
625.000,672,0.723,0.721818
625.000,671,0.722,0.721455
625.000,671,0.722,0.721182
625.000,671,0.722,0.720909
625.000,670,0.720,0.720636
625.000,665,0.715,0.720273
641.000,670,0.720,0.720000
641.000,670,0.720,0.719727
641.000,670,0.720,0.719455
641.000,670,0.720,0.719182
657.000,669,0.719,0.719000
657.000,670,0.720,0.719273
657.000,669,0.719,0.719091
672.000,669,0.719,0.718818
672.000,669,0.719,0.718636
672.000,668,0.718,0.718364
688.000,668,0.718,0.718091
688.000,668,0.718,0.717818
719.000,667,0.717,0.717636
750.000,668,0.718,0.717364
750.000,667,0.717,0.717000
750.000,666,0.716,0.716727
750.000,667,0.717,0.716455
750.000,667,0.717,0.716182
750.000,666,0.716,0.715909
750.000,665,0.715,0.715545
750.000,665,0.715,0.715273
750.000,665,0.715,0.715091
750.000,665,0.715,0.714818
750.000,664,0.714,0.714545
750.000,664,0.714,0.714273
766.000,664,0.714,0.714091
766.000,664,0.714,0.713818
766.000,664,0.714,0.713545
782.000,664,0.714,0.713182
782.000,663,0.713,0.712909
782.000,663,0.713,0.712636
797.000,662,0.712,0.712455
797.000,662,0.712,0.712182
797.000,661,0.711,0.711909
797.000,661,0.711,0.711636
813.000,661,0.711,0.711455
813.000,662,0.712,0.711273
813.000,661,0.711,0.711182
829.000,661,0.711,0.711091
860.000,661,0.711,0.711091
891.000,661,0.711,0.711091
891.000,661,0.711,0.711091
891.000,661,0.711,0.711091
891.000,661,0.711,0.711182
891.000,661,0.711,0.711273
891.000,661,0.711,0.711364
891.000,661,0.711,0.711455
891.000,662,0.712,0.711545
891.000,662,0.712,0.711636
891.000,662,0.712,0.711727
891.000,662,0.712,0.711818
891.000,662,0.712,0.711909
891.000,662,0.712,0.712000
907.000,662,0.712,0.712000
907.000,662,0.712,0.712000
907.000,662,0.712,0.712000
922.000,662,0.712,0.712000
922.000,662,0.712,0.712000
922.000,662,0.712,0.712000
938.000,662,0.712,0.712000
938.000,662,0.712,0.712000
938.000,662,0.712,0.712000
954.000,662,0.712,0.712000
954.000,662,0.712,0.712000
969.000,662,0.712,0.712000
985.000,662,0.712,0.712000
985.000,662,0.712,0.712000
1016.000,662,0.712,0.712000
1016.000,662,0.712,0.712000
1016.000,662,0.712,0.712000
1016.000,662,0.712,0.712000
1016.000,662,0.712,0.712000
1016.000,662,0.712,0.712091
1016.000,662,0.712,0.712091
1016.000,662,0.712,0.712091
1016.000,662,0.712,0.712091
1016.000,662,0.712,0.712182
1016.000,663,0.713,0.712182
1032.000,662,0.712,0.712182
1032.000,662,0.712,0.712182
1032.000,662,0.712,0.712182
1047.000,663,0.713,0.712273
1047.000,662,0.712,0.712273
1047.000,662,0.712,0.712182
1063.000,662,0.712,0.712273
1063.000,662,0.712,0.712364
1063.000,663,0.713,0.712455
1079.000,662,0.712,0.712364
1079.000,662,0.712,0.712455
1110.000,663,0.713,0.712545
1141.000,663,0.713,0.712636
1141.000,663,0.713,0.712727
1141.000,662,0.712,0.712727
1141.000,663,0.713,0.712727
1141.000,663,0.713,0.712818
1141.000,663,0.713,0.712818
1141.000,663,0.713,0.712818
1141.000,663,0.713,0.712818
1141.000,662,0.712,0.712909
1141.000,663,0.713,0.712909
1141.000,663,0.713,0.712909
1141.000,663,0.713,0.712909
1141.000,663,0.713,0.712909
1157.000,663,0.713,0.712909
1157.000,663,0.713,0.713091
1157.000,663,0.713,0.713182
1172.000,663,0.713,0.713273
1172.000,663,0.713,0.713364
1172.000,663,0.713,0.713455
1188.000,664,0.714,0.713545
1188.000,664,0.714,0.713636
1188.000,664,0.714,0.713818
1204.000,664,0.714,0.713909
1204.000,664,0.714,0.714091
1204.000,664,0.714,0.714273
1219.000,664,0.714,0.714364
1250.000,665,0.715,0.714455
1250.000,664,0.714,0.714545
1250.000,665,0.715,0.714636
1282.000,665,0.715,0.714727
1282.000,665,0.715,0.714727
1282.000,665,0.715,0.714727
1282.000,665,0.715,0.714727
1282.000,665,0.715,0.714727
1282.000,665,0.715,0.714727
1282.000,664,0.714,0.714727
1282.000,664,0.714,0.714727
1282.000,665,0.715,0.714727
1282.000,664,0.714,0.714727
1282.000,665,0.715,0.714727
1282.000,665,0.715,0.714727
1297.000,665,0.715,0.714818
1297.000,665,0.715,0.714909
1297.000,665,0.715,0.714909
1313.000,665,0.715,0.715000
1313.000,665,0.715,0.715000
1313.000,665,0.715,0.715000
1329.000,665,0.715,0.715000
1329.000,665,0.715,0.715000
1329.000,665,0.715,0.715000
1344.000,665,0.715,0.715000
1344.000,665,0.715,0.715000
1360.000,665,0.715,0.715000
1407.000,665,0.715,0.715091
1407.000,665,0.715,0.715091
1407.000,665,0.715,0.715091
1407.000,665,0.715,0.715182
1407.000,665,0.715,0.715182
1407.000,666,0.716,0.715273
1407.000,665,0.715,0.715364
1407.000,665,0.715,0.715364
1407.000,666,0.716,0.715364
1407.000,665,0.715,0.715364
1407.000,666,0.716,0.715364
1407.000,666,0.716,0.715273
1422.000,665,0.715,0.715364
1422.000,665,0.715,0.715364
1422.000,665,0.715,0.715273
1438.000,665,0.715,0.715273
1438.000,665,0.715,0.715182
1438.000,666,0.716,0.715091
1438.000,665,0.715,0.715091
1454.000,665,0.715,0.715091
1454.000,665,0.715,0.715091
1454.000,665,0.715,0.715091
1469.000,665,0.715,0.715182
1469.000,665,0.715,0.715182
1500.000,665,0.715,0.715273
1532.000,665,0.715,0.715364
1532.000,665,0.715,0.715364
1532.000,666,0.716,0.715364
1532.000,666,0.716,0.715455
1532.000,666,0.716,0.715455
1532.000,666,0.716,0.715545
1532.000,665,0.715,0.715636
1532.000,665,0.715,0.715727
1532.000,666,0.716,0.715727
1532.000,665,0.715,0.715636
1532.000,666,0.716,0.715636
1532.000,666,0.716,0.715636
1547.000,666,0.716,0.715636
1547.000,666,0.716,0.715636
1547.000,665,0.715,0.715636
1563.000,666,0.716,0.715727
1563.000,666,0.716,0.715727
1563.000,665,0.715,0.715727
1563.000,665,0.715,0.715727
1579.000,666,0.716,0.715818
1579.000,666,0.716,0.716000
1579.000,666,0.716,0.716000
1594.000,666,0.716,0.716000
1594.000,666,0.716,0.716091
1594.000,667,0.717,0.716182
1610.000,667,0.717,0.716182
1641.000,666,0.716,0.716182
1657.000,666,0.716,0.716182
1672.000,666,0.716,0.716182
1672.000,666,0.716,0.716182
1672.000,666,0.716,0.716091
1672.000,666,0.716,0.716000
1672.000,666,0.716,0.716000
1672.000,666,0.716,0.716000
1672.000,666,0.716,0.715909
1672.000,666,0.716,0.715909
1672.000,666,0.716,0.715909
1672.000,666,0.716,0.715909
1672.000,666,0.716,0.715909
1672.000,665,0.715,0.716000
1688.000,666,0.716,0.716091
1688.000,666,0.716,0.716091
1688.000,666,0.716,0.716091
1704.000,666,0.716,0.716182
1704.000,667,0.717,0.716273
1704.000,667,0.717,0.716364
1719.000,666,0.716,0.716455
1719.000,666,0.716,0.716455
1719.000,667,0.717,0.716545
1735.000,667,0.717,0.716636
1735.000,666,0.716,0.716545
1766.000,667,0.717,0.716545
1766.000,666,0.716,0.716636
1797.000,667,0.717,0.716727
1797.000,667,0.717,0.716727
1797.000,666,0.716,0.716727
1797.000,667,0.717,0.716818
1797.000,667,0.717,0.716818
1797.000,667,0.717,0.716909
1797.000,667,0.717,0.717000
1797.000,667,0.717,0.717000
1797.000,667,0.717,0.717182
1797.000,667,0.717,0.717182
1797.000,667,0.717,0.717182
1797.000,668,0.718,0.717182
1813.000,667,0.717,0.717273
1813.000,668,0.718,0.717364
1813.000,667,0.717,0.717455
1829.000,667,0.717,0.717545
1829.000,667,0.717,0.717636
1829.000,668,0.718,0.717636
1844.000,668,0.718,0.717727
1844.000,668,0.718,0.717727
1844.000,668,0.718,0.717818
1860.000,668,0.718,0.718000
1860.000,668,0.718,0.718182
1860.000,668,0.718,0.718182
1875.000,668,0.718,0.718273
1907.000,668,0.718,0.718364
1938.000,669,0.719,0.718455
1938.000,669,0.719,0.718545
1938.000,668,0.718,0.718636
1938.000,669,0.719,0.718727
1938.000,669,0.719,0.718818
1938.000,669,0.719,0.719000
1938.000,669,0.719,0.719091
1938.000,669,0.719,0.719182
1938.000,669,0.719,0.719364
1938.000,669,0.719,0.719455
1938.000,670,0.720,0.719545
1938.000,670,0.720,0.719636
1938.000,670,0.720,0.719727
1938.000,670,0.720,0.720000
1954.000,670,0.720,0.720273
1954.000,670,0.720,0.720545
1954.000,670,0.720,0.720727
1969.000,670,0.720,0.720909
1969.000,671,0.722,0.721091
1969.000,671,0.722,0.721273
1985.000,671,0.722,0.721455
1985.000,671,0.722,0.721636
1985.000,671,0.722,0.721818
2000.000,671,0.722,0.722000
2000.000,671,0.722,0.722091
2032.000,671,0.722,0.722182
2063.000,671,0.722,0.722182
2063.000,671,0.722,0.722273
2063.000,671,0.722,0.722364
2063.000,672,0.723,0.722455
2063.000,672,0.723,0.722545
2063.000,671,0.722,0.722636
2063.000,672,0.723,0.722636
2063.000,672,0.723,0.722727
2063.000,672,0.723,0.722818
2063.000,672,0.723,0.722818
2063.000,672,0.723,0.722818
2063.000,671,0.722,0.722909
2063.000,672,0.723,0.722909
2079.000,672,0.723,0.723000
2079.000,672,0.723,0.723091
2079.000,672,0.723,0.723182
2094.000,672,0.723,0.723182
2094.000,672,0.723,0.723364
2094.000,673,0.724,0.723455
2110.000,673,0.724,0.723545
2110.000,673,0.724,0.723636
2110.000,672,0.723,0.723727
2125.000,673,0.724,0.723818
2125.000,673,0.724,0.724000
2125.000,673,0.724,0.724091
2157.000,673,0.724,0.724182
2204.000,673,0.724,0.724273
2204.000,673,0.724,0.724455
2204.000,674,0.725,0.724636
2204.000,674,0.725,0.724818
2204.000,674,0.725,0.725091
2204.000,674,0.725,0.725455
2204.000,674,0.725,0.725909
2204.000,675,0.726,0.726455
2204.000,675,0.726,0.727000
2204.000,676,0.727,0.727545
2204.000,677,0.728,0.728091
2204.000,678,0.729,0.728727
2204.000,679,0.730,0.729364
2204.000,680,0.731,0.729909
2219.000,680,0.731,0.730455
2219.000,680,0.731,0.731000
2219.000,681,0.732,0.731455
2219.000,681,0.732,0.731909
2235.000,681,0.732,0.732273
2235.000,681,0.732,0.732636
2235.000,682,0.733,0.733000
2250.000,682,0.733,0.733545
2250.000,683,0.734,0.734000
2250.000,683,0.734,0.734455
2297.000,684,0.735,0.734909
2297.000,684,0.735,0.735455
2297.000,685,0.737,0.735818
2329.000,685,0.737,0.736273
2329.000,685,0.737,0.736636
2329.000,685,0.737,0.737000
2329.000,686,0.738,0.737273
2329.000,685,0.737,0.737545
2329.000,686,0.738,0.737636
2329.000,686,0.738,0.737818
2329.000,686,0.738,0.737909
2329.000,686,0.738,0.738091
2329.000,686,0.738,0.738182
2329.000,686,0.738,0.738364
2329.000,687,0.739,0.738455
2344.000,686,0.738,0.738545
2344.000,687,0.739,0.738636
2344.000,687,0.739,0.738727
2344.000,687,0.739,0.738818
2360.000,687,0.739,0.738909
2360.000,687,0.739,0.738818
2375.000,687,0.739,0.738909
2375.000,687,0.739,0.738909
2375.000,687,0.739,0.738909
2375.000,687,0.739,0.739000
2391.000,686,0.738,0.739091
2391.000,687,0.739,0.739182
2422.000,687,0.739,0.739182
2454.000,687,0.739,0.739182
2454.000,688,0.740,0.739182
2454.000,688,0.740,0.739182
2454.000,688,0.740,0.739273
2454.000,687,0.739,0.739273
2454.000,687,0.739,0.739273
2454.000,687,0.739,0.739273
2454.000,687,0.739,0.739182
2454.000,687,0.739,0.739091
2454.000,687,0.739,0.739000
2454.000,687,0.739,0.739000
2454.000,687,0.739,0.739000
2469.000,687,0.739,0.739000
2469.000,687,0.739,0.739000
2469.000,687,0.739,0.739000
2485.000,687,0.739,0.739000
2485.000,687,0.739,0.739091
2485.000,687,0.739,0.739182
2500.000,687,0.739,0.739273
2500.000,687,0.739,0.739273
2500.000,687,0.739,0.739364
2516.000,688,0.740,0.739364
2516.000,688,0.740,0.739455
2516.000,688,0.740,0.739455
2532.000,687,0.739,0.739455
2563.000,688,0.740,0.739545
2594.000,687,0.739,0.739545
2594.000,688,0.740,0.739545
2594.000,687,0.739,0.739455
2594.000,687,0.739,0.739364
2594.000,688,0.740,0.739455
2594.000,687,0.739,0.739364
2594.000,688,0.740,0.739455
2594.000,687,0.739,0.739364
2594.000,687,0.739,0.739364
2594.000,688,0.740,0.739364
2594.000,687,0.739,0.739364
2594.000,688,0.740,0.739455
2594.000,687,0.739,0.739455
2594.000,687,0.739,0.739455
2610.000,687,0.739,0.739545
2610.000,688,0.740,0.739455
2610.000,688,0.740,0.739545
2625.000,688,0.740,0.739455
2625.000,687,0.739,0.739545
2625.000,688,0.740,0.739636
2641.000,687,0.739,0.739727
2641.000,688,0.740,0.739727
2641.000,687,0.739,0.739727
2657.000,688,0.740,0.739636
2657.000,688,0.740,0.739727
2657.000,688,0.740,0.739727
2657.000,688,0.740,0.739727
2704.000,688,0.740,0.739727
2735.000,687,0.739,0.739727
2735.000,688,0.740,0.739636
2735.000,688,0.740,0.739636
2735.000,687,0.739,0.739636
2735.000,688,0.740,0.739636
2735.000,687,0.739,0.739636
2735.000,687,0.739,0.739727
2735.000,688,0.740,0.739727
2735.000,688,0.740,0.739727
2735.000,688,0.740,0.739818
2735.000,688,0.740,0.739818
2735.000,688,0.740,0.739909
2735.000,688,0.740,0.740000
2735.000,688,0.740,0.740000
2750.000,688,0.740,0.740000
2750.000,688,0.740,0.739909
2750.000,688,0.740,0.739909
2766.000,688,0.740,0.739909
2766.000,688,0.740,0.739909
2766.000,688,0.740,0.739909
