Time(ms),ADC,Voltage(V)
0.000,687,0.739
0.000,688,0.740
0.000,688,0.740
16.000,688,0.740
16.000,688,0.740
16.000,688,0.740
32.000,688,0.740
32.000,687,0.739
32.000,687,0.739
47.000,687,0.739
47.000,688,0.740
47.000,688,0.740
63.000,687,0.739
63.000,688,0.740
63.000,688,0.740
78.000,688,0.740
78.000,688,0.740
78.000,687,0.739
78.000,688,0.740
94.000,688,0.740
94.000,688,0.740
94.000,688,0.740
110.000,688,0.740
110.000,688,0.740
110.000,688,0.740
125.000,688,0.740
125.000,687,0.739
125.000,688,0.740
141.000,687,0.739
141.000,688,0.740
141.000,687,0.739
157.000,687,0.739
157.000,688,0.740
157.000,688,0.740
172.000,688,0.740
172.000,688,0.740
172.000,688,0.740
188.000,688,0.740
188.000,688,0.740
188.000,688,0.740
203.000,687,0.739
203.000,688,0.740
203.000,688,0.740
219.000,688,0.740
219.000,688,0.740
219.000,688,0.740
235.000,688,0.740
235.000,688,0.740
235.000,688,0.740
250.000,688,0.740
250.000,688,0.740
250.000,688,0.740
250.000,688,0.740
266.000,688,0.740
266.000,688,0.740
266.000,688,0.740
282.000,688,0.740
282.000,688,0.740
282.000,688,0.740
297.000,688,0.740
297.000,688,0.740
297.000,688,0.740
313.000,688,0.740
313.000,688,0.740
313.000,688,0.740
328.000,688,0.740
328.000,688,0.740
328.000,688,0.740
344.000,688,0.740
344.000,688,0.740
344.000,688,0.740
360.000,688,0.740
360.000,688,0.740
360.000,688,0.740
360.000,688,0.740
375.000,688,0.740
375.000,689,0.741
391.000,688,0.740
391.000,688,0.740
391.000,688,0.740
407.000,689,0.741
407.000,688,0.740
407.000,688,0.740
407.000,688,0.740
422.000,688,0.740
422.000,688,0.740
422.000,688,0.740
438.000,689,0.741
438.000,688,0.740
438.000,688,0.740
453.000,688,0.740
453.000,688,0.740
453.000,689,0.741
469.000,688,0.740
469.000,688,0.740
469.000,688,0.740
485.000,688,0.740
485.000,688,0.740
485.000,689,0.741
500.000,688,0.740
500.000,688,0.740
500.000,688,0.740
516.000,688,0.740
516.000,688,0.740
516.000,689,0.741
532.000,688,0.740
532.000,688,0.740
532.000,688,0.740
547.000,688,0.740
547.000,688,0.740
547.000,688,0.740
563.000,689,0.741
563.000,688,0.740
563.000,688,0.740
578.000,688,0.740
578.000,689,0.741
578.000,688,0.740
578.000,689,0.741
594.000,689,0.741
594.000,689,0.741
594.000,689,0.741
610.000,689,0.741
610.000,689,0.741
610.000,688,0.740
625.000,688,0.740
625.000,689,0.741
625.000,688,0.740
641.000,689,0.741
641.000,689,0.741
641.000,689,0.741
657.000,688,0.740
657.000,689,0.741
657.000,689,0.741
672.000,688,0.740
672.000,688,0.740
672.000,689,0.741
688.000,689,0.741
688.000,689,0.741
688.000,689,0.741
703.000,689,0.741
703.000,689,0.741
703.000,689,0.741
719.000,689,0.741
719.000,689,0.741
719.000,689,0.741
735.000,689,0.741
735.000,688,0.740
735.000,688,0.740
735.000,688,0.740
750.000,689,0.741
750.000,689,0.741
750.000,689,0.741
766.000,689,0.741
766.000,689,0.741
766.000,689,0.741
782.000,688,0.740
782.000,689,0.741
782.000,643,0.691
797.000,644,0.692
797.000,644,0.692
797.000,644,0.692
