Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,687,0.739,0.739455
0.000,688,0.740,0.739545
0.000,688,0.740,0.739545
16.000,688,0.740,0.739545
16.000,688,0.740,0.739545
16.000,688,0.740,0.739636
32.000,688,0.740,0.739727
32.000,687,0.739,0.739636
32.000,687,0.739,0.739636
47.000,687,0.739,0.739636
47.000,688,0.740,0.739636
47.000,688,0.740,0.739636
63.000,687,0.739,0.739545
63.000,688,0.740,0.739636
63.000,688,0.740,0.739727
78.000,688,0.740,0.739818
78.000,688,0.740,0.739818
78.000,687,0.739,0.739818
78.000,688,0.740,0.739909
94.000,688,0.740,0.739909
94.000,688,0.740,0.739909
94.000,688,0.740,0.739818
110.000,688,0.740,0.739818
110.000,688,0.740,0.739818
110.000,688,0.740,0.739818
125.000,688,0.740,0.739727
125.000,687,0.739,0.739636
125.000,688,0.740,0.739636
141.000,687,0.739,0.739636
141.000,688,0.740,0.739636
141.000,687,0.739,0.739636
157.000,687,0.739,0.739636
157.000,688,0.740,0.739727
157.000,688,0.740,0.739727
172.000,688,0.740,0.739818
172.000,688,0.740,0.739727
172.000,688,0.740,0.739818
188.000,688,0.740,0.739909
188.000,688,0.740,0.739909
188.000,688,0.740,0.739909
203.000,687,0.739,0.739909
203.000,688,0.740,0.739909
203.000,688,0.740,0.739909
219.000,688,0.740,0.739909
219.000,688,0.740,0.739909
219.000,688,0.740,0.739909
235.000,688,0.740,0.740000
235.000,688,0.740,0.740000
235.000,688,0.740,0.740000
250.000,688,0.740,0.740000
250.000,688,0.740,0.740000
250.000,688,0.740,0.740000
250.000,688,0.740,0.740000
266.000,688,0.740,0.740000
266.000,688,0.740,0.740000
266.000,688,0.740,0.740000
282.000,688,0.740,0.740000
282.000,688,0.740,0.740000
282.000,688,0.740,0.740000
297.000,688,0.740,0.740000
297.000,688,0.740,0.740000
297.000,688,0.740,0.740000
313.000,688,0.740,0.740000
313.000,688,0.740,0.740000
313.000,688,0.740,0.740000
328.000,688,0.740,0.740000
328.000,688,0.740,0.740000
328.000,688,0.740,0.740000
344.000,688,0.740,0.740000
344.000,688,0.740,0.740000
344.000,688,0.740,0.740000
360.000,688,0.740,0.740091
360.000,688,0.740,0.740091
360.000,688,0.740,0.740091
360.000,688,0.740,0.740091
375.000,688,0.740,0.740182
375.000,689,0.741,0.740182
391.000,688,0.740,0.740182
391.000,688,0.740,0.740182
391.000,688,0.740,0.740182
407.000,689,0.741,0.740182
407.000,688,0.740,0.740182
407.000,688,0.740,0.740182
407.000,688,0.740,0.740182
422.000,688,0.740,0.740182
422.000,688,0.740,0.740182
422.000,688,0.740,0.740091
438.000,689,0.741,0.740182
438.000,688,0.740,0.740182
438.000,688,0.740,0.740182
453.000,688,0.740,0.740182
453.000,688,0.740,0.740182
453.000,689,0.741,0.740182
469.000,688,0.740,0.740182
469.000,688,0.740,0.740182
469.000,688,0.740,0.740182
485.000,688,0.740,0.740182
485.000,688,0.740,0.740182
485.000,689,0.741,0.740091
500.000,688,0.740,0.740182
500.000,688,0.740,0.740182
500.000,688,0.740,0.740182
516.000,688,0.740,0.740182
516.000,688,0.740,0.740182
516.000,689,0.741,0.740091
532.000,688,0.740,0.740091
532.000,688,0.740,0.740182
532.000,688,0.740,0.740182
547.000,688,0.740,0.740182
547.000,688,0.740,0.740182
547.000,688,0.740,0.740182
563.000,689,0.741,0.740182
563.000,688,0.740,0.740273
563.000,688,0.740,0.740364
578.000,688,0.740,0.740455
578.000,689,0.741,0.740545
578.000,688,0.740,0.740636
578.000,689,0.741,0.740636
594.000,689,0.741,0.740636
594.000,689,0.741,0.740636
594.000,689,0.741,0.740727
610.000,689,0.741,0.740636
610.000,689,0.741,0.740727
610.000,688,0.740,0.740727
625.000,688,0.740,0.740727
625.000,689,0.741,0.740636
625.000,688,0.740,0.740636
641.000,689,0.741,0.740636
641.000,689,0.741,0.740545
641.000,689,0.741,0.740545
657.000,688,0.740,0.740636
657.000,689,0.741,0.740636
657.000,689,0.741,0.740727
672.000,688,0.740,0.740727
672.000,688,0.740,0.740727
672.000,689,0.741,0.740727
688.000,689,0.741,0.740818
688.000,689,0.741,0.740818
688.000,689,0.741,0.740818
703.000,689,0.741,0.740909
703.000,689,0.741,0.741000
703.000,689,0.741,0.740909
719.000,689,0.741,0.740818
719.000,689,0.741,0.740727
719.000,689,0.741,0.740727
735.000,689,0.741,0.740727
735.000,688,0.740,0.740727
735.000,688,0.740,0.740727
735.000,688,0.740,0.740727
750.000,689,0.741,0.740727
750.000,689,0.741,0.740636
750.000,689,0.741,0.740636
766.000,689,0.741,0.736182
766.000,689,0.741,0.731818
766.000,689,0.741,0.727455
782.000,688,0.740,0.723000
782.000,689,0.741,0.718545
782.000,643,0.691,0.714091
797.000,644,0.692,0.709636
797.000,644,0.692,0.705182
797.000,644,0.692,0.700909
813.000,644,0.692,0.696727
813.000,644,0.692,0.692455
813.000,644,0.692,0.692727
828.000,644,0.692,0.692909
828.000,645,0.694,0.693182
828.000,645,0.694,0.693455
844.000,645,0.694,0.693727
844.000,645,0.694,0.694000
844.000,645,0.694,0.694273
860.000,646,0.695,0.694455
860.000,646,0.695,0.694545
860.000,646,0.695,0.694636
860.000,646,0.695,0.694636
875.000,646,0.695,0.694727
875.000,645,0.694,0.694818
875.000,646,0.695,0.694818
891.000,646,0.695,0.694818
891.000,645,0.694,0.694818
891.000,646,0.695,0.694818
907.000,646,0.695,0.694818
907.000,646,0.695,0.695000
907.000,646,0.695,0.695000
922.000,646,0.695,0.695000
922.000,646,0.695,0.695091
922.000,646,0.695,0.695091
938.000,647,0.696,0.695182
938.000,646,0.695,0.695182
938.000,646,0.695,0.695273
953.000,646,0.695,0.695364
953.000,646,0.695,0.695455
953.000,647,0.696,0.695545
969.000,646,0.695,0.695545
969.000,647,0.696,0.695636
969.000,647,0.696,0.695727
985.000,647,0.696,0.695818
985.000,647,0.696,0.695909
985.000,647,0.696,0.695909
1000.000,647,0.696,0.696000
