Time(ms),ADC,Voltage(V)
0.000,679,0.730
0.000,679,0.730
0.000,679,0.730
0.000,679,0.730
16.000,679,0.730
16.000,679,0.730
16.000,679,0.730
31.000,679,0.730
31.000,679,0.730
31.000,679,0.730
47.000,679,0.730
47.000,679,0.730
47.000,679,0.730
63.000,679,0.730
63.000,679,0.730
63.000,679,0.730
78.000,679,0.730
78.000,679,0.730
78.000,679,0.730
78.000,679,0.730
94.000,679,0.730
94.000,679,0.730
110.000,679,0.730
110.000,679,0.730
110.000,679,0.730
110.000,679,0.730
125.000,679,0.730
125.000,679,0.730
125.000,680,0.731
141.000,679,0.730
141.000,680,0.731
141.000,680,0.731
156.000,680,0.731
156.000,680,0.731
156.000,680,0.731
172.000,679,0.730
172.000,680,0.731
172.000,680,0.731
188.000,679,0.730
188.000,680,0.731
188.000,680,0.731
203.000,680,0.731
203.000,680,0.731
203.000,680,0.731
219.000,680,0.731
219.000,680,0.731
219.000,680,0.731
235.000,680,0.731
235.000,680,0.731
235.000,679,0.730
235.000,679,0.730
250.000,680,0.731
250.000,680,0.731
250.000,680,0.731
266.000,680,0.731
266.000,680,0.731
266.000,680,0.731
281.000,680,0.731
281.000,680,0.731
281.000,680,0.731
297.000,680,0.731
297.000,680,0.731
297.000,680,0.731
313.000,680,0.731
313.000,680,0.731
313.000,679,0.730
328.000,680,0.731
328.000,680,0.731
344.000,680,0.731
344.000,680,0.731
344.000,680,0.731
344.000,680,0.731
360.000,680,0.731
360.000,680,0.731
360.000,680,0.731
375.000,680,0.731
375.000,680,0.731
375.000,680,0.731
391.000,681,0.732
391.000,680,0.731
391.000,681,0.732
406.000,680,0.731
406.000,680,0.731
406.000,680,0.731
406.000,680,0.731
422.000,680,0.731
422.000,680,0.731
422.000,680,0.731
438.000,680,0.731
438.000,680,0.731
438.000,679,0.730
453.000,680,0.731
453.000,681,0.732
453.000,681,0.732
469.000,681,0.732
469.000,681,0.732
469.000,681,0.732
485.000,680,0.731
485.000,681,0.732
485.000,681,0.732
