Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,679,0.730,0.730000
0.000,679,0.730,0.730000
0.000,679,0.730,0.730000
0.000,679,0.730,0.730000
16.000,679,0.730,0.730000
16.000,679,0.730,0.730000
16.000,679,0.730,0.730000
31.000,679,0.730,0.730000
31.000,679,0.730,0.730000
31.000,679,0.730,0.730000
47.000,679,0.730,0.730000
47.000,679,0.730,0.730000
47.000,679,0.730,0.730000
63.000,679,0.730,0.730000
63.000,679,0.730,0.730000
63.000,679,0.730,0.730000
78.000,679,0.730,0.730000
78.000,679,0.730,0.730000
78.000,679,0.730,0.730000
78.000,679,0.730,0.730000
94.000,679,0.730,0.730000
94.000,679,0.730,0.730000
110.000,679,0.730,0.730000
110.000,679,0.730,0.730091
110.000,679,0.730,0.730091
110.000,679,0.730,0.730182
125.000,679,0.730,0.730273
125.000,679,0.730,0.730364
125.000,680,0.731,0.730455
141.000,679,0.730,0.730545
141.000,680,0.731,0.730545
141.000,680,0.731,0.730636
156.000,680,0.731,0.730727
156.000,680,0.731,0.730727
156.000,680,0.731,0.730727
172.000,679,0.730,0.730818
172.000,680,0.731,0.730818
172.000,680,0.731,0.730818
188.000,679,0.730,0.730818
188.000,680,0.731,0.730818
188.000,680,0.731,0.730818
203.000,680,0.731,0.730909
203.000,680,0.731,0.730909
203.000,680,0.731,0.730909
219.000,680,0.731,0.730909
219.000,680,0.731,0.730818
219.000,680,0.731,0.730818
235.000,680,0.731,0.730818
235.000,680,0.731,0.730818
235.000,679,0.730,0.730818
235.000,679,0.730,0.730818
250.000,680,0.731,0.730818
250.000,680,0.731,0.730818
250.000,680,0.731,0.730818
266.000,680,0.731,0.730818
266.000,680,0.731,0.730909
266.000,680,0.731,0.731000
281.000,680,0.731,0.731000
281.000,680,0.731,0.731000
281.000,680,0.731,0.731000
297.000,680,0.731,0.730909
297.000,680,0.731,0.730909
297.000,680,0.731,0.730909
313.000,680,0.731,0.730909
313.000,680,0.731,0.730909
313.000,679,0.730,0.730909
328.000,680,0.731,0.730909
328.000,680,0.731,0.730909
344.000,680,0.731,0.730909
344.000,680,0.731,0.730909
344.000,680,0.731,0.730909
344.000,680,0.731,0.731000
360.000,680,0.731,0.731000
360.000,680,0.731,0.731091
360.000,680,0.731,0.731091
375.000,680,0.731,0.731182
375.000,680,0.731,0.731182
375.000,680,0.731,0.731182
391.000,681,0.732,0.731182
391.000,680,0.731,0.731182
391.000,681,0.732,0.731182
406.000,680,0.731,0.731182
406.000,680,0.731,0.731182
406.000,680,0.731,0.731182
406.000,680,0.731,0.731091
422.000,680,0.731,0.731000
422.000,680,0.731,0.730909
422.000,680,0.731,0.731000
438.000,680,0.731,0.731091
438.000,680,0.731,0.731182
438.000,679,0.730,0.731273
453.000,680,0.731,0.731364
453.000,681,0.732,0.731364
453.000,681,0.732,0.731455
469.000,681,0.732,0.731545
469.000,681,0.732,0.731545
469.000,681,0.732,0.731727
485.000,680,0.731,0.731818
485.000,681,0.732,0.731818
485.000,681,0.732,0.731818
500.000,680,0.731,0.731818
500.000,681,0.732,0.731818
500.000,681,0.732,0.731818
516.000,681,0.732,0.731818
516.000,681,0.732,0.731818
516.000,681,0.732,0.731818
531.000,681,0.732,0.731818
531.000,681,0.732,0.731818
531.000,680,0.731,0.731818
531.000,681,0.732,0.731818
547.000,681,0.732,0.731818
547.000,680,0.731,0.731818
547.000,681,0.732,0.731818
563.000,681,0.732,0.731818
563.000,681,0.732,0.731909
563.000,681,0.732,0.731909
578.000,681,0.732,0.731909
578.000,681,0.732,0.732000
578.000,681,0.732,0.732000
594.000,681,0.732,0.732000
594.000,681,0.732,0.732000
594.000,681,0.732,0.732000
610.000,681,0.732,0.732000
610.000,681,0.732,0.731909
610.000,681,0.732,0.731909
625.000,681,0.732,0.731818
625.000,681,0.732,0.731818
625.000,681,0.732,0.731818
641.000,680,0.731,0.731818
641.000,681,0.732,0.731818
641.000,680,0.731,0.731818
656.000,681,0.732,0.731818
656.000,681,0.732,0.731818
656.000,681,0.732,0.731818
672.000,681,0.732,0.732000
672.000,681,0.732,0.732000
672.000,681,0.732,0.732182
688.000,681,0.732,0.732182
688.000,681,0.732,0.732182
688.000,682,0.733,0.732182
703.000,681,0.732,0.732182
703.000,682,0.733,0.732182
703.000,681,0.732,0.732182
703.000,681,0.732,0.732182
719.000,681,0.732,0.732182
719.000,681,0.732,0.732091
719.000,681,0.732,0.732091
735.000,681,0.732,0.732000
735.000,681,0.732,0.732000
735.000,681,0.732,0.732091
750.000,681,0.732,0.732091
750.000,681,0.732,0.732091
750.000,681,0.732,0.732182
766.000,681,0.732,0.732273
766.000,682,0.733,0.732364
766.000,681,0.732,0.732364
781.000,681,0.732,0.732455
781.000,682,0.733,0.732455
781.000,682,0.733,0.732455
797.000,682,0.733,0.732545
797.000,681,0.732,0.732545
797.000,682,0.733,0.732545
813.000,681,0.732,0.732636
813.000,681,0.732,0.732636
813.000,682,0.733,0.732545
828.000,682,0.733,0.732455
828.000,681,0.732,0.732455
828.000,682,0.733,0.732364
844.000,682,0.733,0.732455
844.000,681,0.732,0.732545
844.000,681,0.732,0.732455
860.000,681,0.732,0.732455
860.000,681,0.732,0.732545
860.000,682,0.733,0.732545
875.000,682,0.733,0.732545
875.000,681,0.732,0.732636
875.000,682,0.733,0.732727
875.000,682,0.733,0.732909
891.000,682,0.733,0.733091
891.000,682,0.733,0.733182
891.000,682,0.733,0.733273
906.000,682,0.733,0.733455
906.000,683,0.734,0.733545
906.000,683,0.734,0.733636
922.000,683,0.734,0.733818
922.000,683,0.734,0.734000
922.000,683,0.734,0.734091
938.000,683,0.734,0.734273
938.000,683,0.734,0.734364
938.000,684,0.735,0.734455
953.000,684,0.735,0.734545
953.000,683,0.734,0.734636
953.000,684,0.735,0.734727
969.000,684,0.735,0.734818
969.000,684,0.735,0.735091
969.000,684,0.735,0.735273
985.000,684,0.735,0.735545
985.000,684,0.735,0.735909
985.000,684,0.735,0.736273
1000.000,685,0.737,0.736636
1000.000,685,0.737,0.736909
1000.000,686,0.738,0.737273
1000.000,686,0.738,0.737636
1016.000,687,0.739,0.737909
1016.000,687,0.739,0.738364
1031.000,686,0.738,0.738636
1031.000,687,0.739,0.738909
1031.000,687,0.739,0.739182
1031.000,686,0.738,0.739545
1047.000,688,0.740,0.739818
1047.000,688,0.740,0.740000
1047.000,688,0.740,0.740364
