Time(ms),ADC,Voltage(V)
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
15.000,674,0.725
15.000,675,0.726
15.000,674,0.725
31.000,675,0.726
31.000,674,0.725
31.000,674,0.725
62.000,675,0.726
93.000,674,0.725
93.000,675,0.726
93.000,675,0.726
93.000,674,0.725
93.000,674,0.725
93.000,674,0.725
93.000,675,0.726
93.000,675,0.726
93.000,674,0.725
93.000,674,0.725
93.000,675,0.726
109.000,674,0.725
109.000,674,0.725
109.000,675,0.726
109.000,674,0.725
125.000,674,0.725
125.000,675,0.726
140.000,675,0.726
140.000,675,0.726
140.000,675,0.726
140.000,675,0.726
156.000,675,0.726
187.000,675,0.726
218.000,674,0.725
218.000,675,0.726
218.000,674,0.725
218.000,675,0.726
218.000,675,0.726
218.000,674,0.725
218.000,675,0.726
218.000,675,0.726
218.000,675,0.726
218.000,675,0.726
218.000,674,0.725
218.000,675,0.726
218.000,675,0.726
234.000,675,0.726
234.000,675,0.726
234.000,675,0.726
250.000,675,0.726
250.000,675,0.726
250.000,675,0.726
265.000,675,0.726
265.000,674,0.725
265.000,675,0.726
281.000,675,0.726
281.000,675,0.726
281.000,675,0.726
281.000,675,0.726
328.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,676,0.727
375.000,675,0.726
375.000,675,0.726
375.000,675,0.726
390.000,676,0.727
390.000,675,0.726
390.000,676,0.727
406.000,675,0.726
406.000,675,0.726
406.000,676,0.727
422.000,676,0.727
422.000,675,0.726
453.000,676,0.727
484.000,676,0.727
484.000,676,0.727
484.000,676,0.727
484.000,675,0.726
484.000,675,0.726
484.000,676,0.727
484.000,676,0.727
484.000,676,0.727
484.000,676,0.727
484.000,676,0.727
484.000,676,0.727
484.000,676,0.727
484.000,676,0.727
