Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725091
0.000,674,0.725,0.725091
0.000,674,0.725,0.725182
0.000,674,0.725,0.725182
15.000,674,0.725,0.725182
15.000,675,0.726,0.725273
15.000,674,0.725,0.725273
31.000,675,0.726,0.725364
31.000,674,0.725,0.725455
31.000,674,0.725,0.725455
62.000,675,0.726,0.725455
93.000,674,0.725,0.725364
93.000,675,0.726,0.725455
93.000,675,0.726,0.725455
93.000,674,0.725,0.725455
93.000,674,0.725,0.725455
93.000,674,0.725,0.725455
93.000,675,0.726,0.725455
93.000,675,0.726,0.725364
93.000,674,0.725,0.725364
93.000,674,0.725,0.725364
93.000,675,0.726,0.725364
109.000,674,0.725,0.725455
109.000,674,0.725,0.725455
109.000,675,0.726,0.725455
109.000,674,0.725,0.725545
125.000,674,0.725,0.725636
125.000,675,0.726,0.725636
140.000,675,0.726,0.725727
140.000,675,0.726,0.725727
140.000,675,0.726,0.725727
140.000,675,0.726,0.725727
156.000,675,0.726,0.725818
187.000,675,0.726,0.725818
218.000,674,0.725,0.725727
218.000,675,0.726,0.725727
218.000,674,0.725,0.725727
218.000,675,0.726,0.725727
218.000,675,0.726,0.725727
218.000,674,0.725,0.725636
218.000,675,0.726,0.725727
218.000,675,0.726,0.725727
218.000,675,0.726,0.725818
218.000,675,0.726,0.725818
218.000,674,0.725,0.725818
218.000,675,0.726,0.725909
218.000,675,0.726,0.725909
234.000,675,0.726,0.725909
234.000,675,0.726,0.725909
234.000,675,0.726,0.725818
250.000,675,0.726,0.725909
250.000,675,0.726,0.725909
250.000,675,0.726,0.725909
265.000,675,0.726,0.725909
265.000,674,0.725,0.725909
265.000,675,0.726,0.725909
281.000,675,0.726,0.725909
281.000,675,0.726,0.725909
281.000,675,0.726,0.725909
281.000,675,0.726,0.725909
328.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726091
359.000,675,0.726,0.726091
359.000,675,0.726,0.726091
359.000,675,0.726,0.726091
359.000,675,0.726,0.726182
359.000,676,0.727,0.726182
375.000,675,0.726,0.726273
375.000,675,0.726,0.726273
375.000,675,0.726,0.726273
390.000,676,0.727,0.726364
390.000,675,0.726,0.726455
390.000,676,0.727,0.726364
406.000,675,0.726,0.726455
406.000,675,0.726,0.726545
406.000,676,0.727,0.726636
422.000,676,0.727,0.726636
422.000,675,0.726,0.726636
453.000,676,0.727,0.726545
484.000,676,0.727,0.726636
484.000,676,0.727,0.726727
484.000,676,0.727,0.726727
484.000,675,0.726,0.726727
484.000,675,0.726,0.726818
484.000,676,0.727,0.726818
484.000,676,0.727,0.726818
484.000,676,0.727,0.726818
484.000,676,0.727,0.726818
484.000,676,0.727,0.726909
484.000,676,0.727,0.727000
484.000,676,0.727,0.727000
484.000,676,0.727,0.727000
500.000,676,0.727,0.727000
500.000,676,0.727,0.726909
500.000,676,0.727,0.726909
515.000,676,0.727,0.726909
515.000,676,0.727,0.726909
515.000,676,0.727,0.726909
531.000,675,0.726,0.726909
531.000,676,0.727,0.726909
531.000,676,0.727,0.726909
547.000,676,0.727,0.726909
547.000,676,0.727,0.726909
547.000,676,0.727,0.726909
578.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727000
609.000,676,0.727,0.727091
625.000,676,0.727,0.727182
625.000,676,0.727,0.727182
625.000,676,0.727,0.727182
640.000,676,0.727,0.727273
640.000,677,0.728,0.727273
640.000,677,0.728,0.727273
656.000,676,0.727,0.727273
656.000,676,0.727,0.727364
656.000,677,0.728,0.727364
672.000,676,0.727,0.727364
672.000,676,0.727,0.727273
672.000,676,0.727,0.727182
703.000,677,0.728,0.727182
734.000,676,0.727,0.727182
734.000,676,0.727,0.727182
734.000,676,0.727,0.727182
734.000,676,0.727,0.727182
734.000,676,0.727,0.727182
734.000,676,0.727,0.727182
734.000,677,0.728,0.727273
734.000,676,0.727,0.727364
734.000,676,0.727,0.727455
734.000,676,0.727,0.727545
734.000,677,0.728,0.727636
750.000,677,0.728,0.727636
750.000,677,0.728,0.727636
750.000,677,0.728,0.727727
750.000,677,0.728,0.727818
765.000,677,0.728,0.727909
765.000,676,0.727,0.727909
765.000,677,0.728,0.727909
781.000,677,0.728,0.727909
781.000,677,0.728,0.727909
781.000,677,0.728,0.727909
797.000,677,0.728,0.727909
797.000,677,0.728,0.728000
797.000,677,0.728,0.728000
828.000,677,0.728,0.728000
875.000,677,0.728,0.728000
875.000,677,0.728,0.728091
875.000,677,0.728,0.728091
875.000,677,0.728,0.728182
875.000,677,0.728,0.728182
875.000,677,0.728,0.728273
875.000,678,0.729,0.728273
875.000,677,0.728,0.728273
875.000,678,0.729,0.728364
875.000,677,0.728,0.728455
875.000,678,0.729,0.728455
875.000,677,0.728,0.728455
875.000,677,0.728,0.728364
875.000,678,0.729,0.728455
890.000,678,0.729,0.728455
890.000,677,0.728,0.728455
890.000,677,0.728,0.728364
906.000,677,0.728,0.728455
906.000,678,0.729,0.728545
906.000,678,0.729,0.728545
922.000,677,0.728,0.728545
922.000,677,0.728,0.728636
953.000,678,0.729,0.728727
953.000,678,0.729,0.728909
953.000,678,0.729,0.729000
953.000,678,0.729,0.729091
953.000,678,0.729,0.729273
953.000,678,0.729,0.729455
953.000,679,0.730,0.729545
953.000,679,0.730,0.729636
968.000,679,0.730,0.729727
968.000,679,0.730,0.729818
1000.000,679,0.730,0.729909
1000.000,679,0.730,0.730000
1000.000,679,0.730,0.730000
1000.000,679,0.730,0.730000
1000.000,679,0.730,0.730000
1000.000,679,0.730,0.730000
1000.000,679,0.730,0.730000
1015.000,679,0.730,0.730000
1015.000,679,0.730,0.730000
1015.000,679,0.730,0.730000
1031.000,679,0.730,0.730000
1031.000,679,0.730,0.730000
1031.000,679,0.730,0.730000
1047.000,679,0.730,0.730000
1047.000,679,0.730,0.730000
1047.000,679,0.730,0.730000
1078.000,679,0.730,0.730000
1078.000,679,0.730,0.730000
1078.000,679,0.730,0.730000
1078.000,679,0.730,0.730091
1078.000,679,0.730,0.730091
1078.000,679,0.730,0.730091
1078.000,679,0.730,0.730091
1093.000,679,0.730,0.730091
1093.000,680,0.731,0.730091
1125.000,679,0.730,0.730091
1125.000,679,0.730,0.730091
1125.000,679,0.730,0.730091
1125.000,679,0.730,0.730091
1125.000,679,0.730,0.730091
1125.000,679,0.730,0.730000
1125.000,679,0.730,0.730000
1140.000,679,0.730,0.730000
1140.000,679,0.730,0.730000
1140.000,679,0.730,0.730091
1156.000,679,0.730,0.730182
1156.000,679,0.730,0.730182
1156.000,679,0.730,0.730182
1172.000,679,0.730,0.730182
1172.000,680,0.731,0.730273
1172.000,680,0.731,0.730273
1203.000,679,0.730,0.730273
1203.000,679,0.730,0.730364
1203.000,679,0.730,0.730364
1203.000,680,0.731,0.730364
1203.000,679,0.730,0.730273
1203.000,679,0.730,0.730182
1218.000,680,0.731,0.730182
1218.000,679,0.730,0.730182
1218.000,679,0.730,0.730182
1218.000,679,0.730,0.730182
1250.000,679,0.730,0.730273
1250.000,679,0.730,0.730364
1250.000,679,0.730,0.730364
1250.000,679,0.730,0.730455
1250.000,680,0.731,0.730545
1250.000,680,0.731,0.730636
1265.000,680,0.731,0.730727
1265.000,680,0.731,0.730818
1265.000,680,0.731,0.730909
1281.000,680,0.731,0.730909
1281.000,680,0.731,0.730909
1281.000,680,0.731,0.730909
1297.000,680,0.731,0.730909
1297.000,680,0.731,0.730909
1297.000,679,0.730,0.730909
1312.000,680,0.731,0.730909
1328.000,680,0.731,0.730909
1343.000,680,0.731,0.730909
1343.000,680,0.731,0.730909
1343.000,680,0.731,0.730909
1343.000,680,0.731,0.731000
1343.000,680,0.731,0.731091
1343.000,680,0.731,0.731091
1343.000,680,0.731,0.731091
1343.000,680,0.731,0.731091
1359.000,680,0.731,0.731091
1390.000,681,0.732,0.731091
1390.000,680,0.731,0.731091
1390.000,680,0.731,0.731091
1390.000,680,0.731,0.731091
1390.000,680,0.731,0.731091
1390.000,680,0.731,0.731091
1390.000,680,0.731,0.731000
1390.000,680,0.731,0.731000
1406.000,680,0.731,0.731091
1406.000,680,0.731,0.731091
1406.000,680,0.731,0.731091
1422.000,680,0.731,0.731091
1422.000,680,0.731,0.731091
1453.000,681,0.732,0.731091
1453.000,680,0.731,0.731182
1453.000,680,0.731,0.731182
1453.000,680,0.731,0.731273
1453.000,680,0.731,0.731273
1453.000,680,0.731,0.731273
1453.000,681,0.732,0.731182
1468.000,680,0.731,0.731182
1468.000,681,0.732,0.731182
1468.000,680,0.731,0.731182
1484.000,680,0.731,0.731182
1484.000,680,0.731,0.731182
1484.000,680,0.731,0.731182
1515.000,680,0.731,0.731182
1515.000,680,0.731,0.731091
1515.000,680,0.731,0.731182
1515.000,680,0.731,0.731273
1515.000,681,0.732,0.731273
1515.000,680,0.731,0.731273
1515.000,680,0.731,0.731364
1531.000,681,0.732,0.731364
1531.000,681,0.732,0.731455
1547.000,680,0.731,0.731545
1547.000,680,0.731,0.731545
1547.000,681,0.732,0.731636
1547.000,680,0.731,0.731727
1578.000,681,0.732,0.731727
1578.000,681,0.732,0.731727
1578.000,681,0.732,0.731818
1578.000,681,0.732,0.731909
1578.000,681,0.732,0.731909
1578.000,681,0.732,0.731909
1593.000,681,0.732,0.731818
1593.000,681,0.732,0.731818
1593.000,681,0.732,0.731818
1609.000,681,0.732,0.731727
1609.000,680,0.731,0.731727
1609.000,680,0.731,0.731727
1625.000,681,0.732,0.731727
1640.000,681,0.732,0.731727
1640.000,680,0.731,0.731727
1640.000,681,0.732,0.731727
1640.000,681,0.732,0.731818
1640.000,681,0.732,0.731909
1656.000,681,0.732,0.731909
1656.000,681,0.732,0.731909
1656.000,681,0.732,0.732000
1672.000,681,0.732,0.732091
1672.000,681,0.732,0.732091
1672.000,681,0.732,0.732091
1687.000,681,0.732,0.732091
1718.000,681,0.732,0.732091
1718.000,682,0.733,0.732091
1718.000,681,0.732,0.732091
1718.000,681,0.732,0.732091
1718.000,681,0.732,0.732091
1718.000,681,0.732,0.732091
1718.000,681,0.732,0.732091
1718.000,681,0.732,0.732000
1718.000,681,0.732,0.732000
1734.000,681,0.732,0.732000
1765.000,681,0.732,0.732000
1765.000,681,0.732,0.732000
1765.000,681,0.732,0.732091
1765.000,681,0.732,0.732182
1765.000,681,0.732,0.732273
1765.000,681,0.732,0.732273
1765.000,681,0.732,0.732273
1765.000,682,0.733,0.732364
1781.000,682,0.733,0.732364
1781.000,682,0.733,0.732364
1781.000,681,0.732,0.732455
1797.000,681,0.732,0.732455
1797.000,682,0.733,0.732455
1797.000,681,0.732,0.732364
1812.000,681,0.732,0.732273
1812.000,682,0.733,0.732182
1843.000,681,0.732,0.732182
1843.000,681,0.732,0.732273
1843.000,681,0.732,0.732182
1843.000,681,0.732,0.732182
1843.000,681,0.732,0.732182
1843.000,681,0.732,0.732091
1843.000,682,0.733,0.732182
1843.000,681,0.732,0.732182
1859.000,681,0.732,0.732273
1859.000,681,0.732,0.732273
1859.000,681,0.732,0.732364
1890.000,682,0.733,0.732455
1890.000,681,0.732,0.732364
1890.000,682,0.733,0.732364
1906.000,681,0.732,0.732455
1906.000,682,0.733,0.732455
1906.000,682,0.733,0.732455
1906.000,681,0.732,0.732455
1906.000,681,0.732,0.732545
1906.000,682,0.733,0.732455
1922.000,681,0.732,0.732545
1922.000,681,0.732,0.732545
1922.000,682,0.733,0.732455
1937.000,682,0.733,0.732545
1937.000,681,0.732,0.732636
1937.000,682,0.733,0.732636
1968.000,682,0.733,0.732727
1968.000,681,0.732,0.732818
1968.000,682,0.733,0.732818
1968.000,682,0.733,0.732818
1968.000,682,0.733,0.732909
1968.000,682,0.733,0.732909
1984.000,682,0.733,0.732909
1984.000,682,0.733,0.733000
1984.000,682,0.733,0.733000
2015.000,682,0.733,0.733000
2015.000,682,0.733,0.733000
2015.000,682,0.733,0.733000
2015.000,682,0.733,0.732909
2015.000,682,0.733,0.732909
2015.000,682,0.733,0.732909
2015.000,682,0.733,0.732909
2031.000,682,0.733,0.732909
2031.000,681,0.732,0.732909
2031.000,682,0.733,0.732909
2047.000,682,0.733,0.732909
2047.000,682,0.733,0.732909
2047.000,682,0.733,0.732909
2062.000,682,0.733,0.732909
2062.000,682,0.733,0.733000
2062.000,682,0.733,0.733000
2093.000,682,0.733,0.733000
2093.000,682,0.733,0.733000
2093.000,682,0.733,0.733000
2093.000,682,0.733,0.733000
2093.000,682,0.733,0.733091
2093.000,682,0.733,0.733091
2109.000,682,0.733,0.733091
2109.000,682,0.733,0.733091
2109.000,682,0.733,0.733091
2125.000,683,0.734,0.733091
