Time(ms),ADC,Voltage(V)
0.000,658,0.708
0.000,659,0.709
0.000,661,0.711
15.000,658,0.708
15.000,659,0.709
15.000,659,0.709
31.000,658,0.708
31.000,659,0.709
31.000,658,0.708
47.000,659,0.709
47.000,659,0.709
47.000,659,0.709
62.000,659,0.709
62.000,658,0.708
62.000,659,0.709
78.000,659,0.709
78.000,659,0.709
78.000,659,0.709
94.000,659,0.709
94.000,659,0.709
94.000,659,0.709
94.000,659,0.709
109.000,659,0.709
109.000,658,0.708
109.000,659,0.709
125.000,659,0.709
125.000,659,0.709
125.000,659,0.709
140.000,658,0.708
140.000,659,0.709
140.000,658,0.708
156.000,659,0.709
156.000,659,0.709
156.000,659,0.709
172.000,659,0.709
172.000,659,0.709
172.000,659,0.709
187.000,659,0.709
187.000,659,0.709
187.000,659,0.709
203.000,658,0.708
203.000,659,0.709
203.000,659,0.709
219.000,659,0.709
219.000,659,0.709
219.000,659,0.709
234.000,659,0.709
234.000,659,0.709
234.000,659,0.709
250.000,659,0.709
250.000,659,0.709
250.000,659,0.709
265.000,659,0.709
265.000,659,0.709
265.000,660,0.710
281.000,660,0.710
281.000,659,0.709
281.000,659,0.709
281.000,660,0.710
297.000,660,0.710
297.000,660,0.710
297.000,660,0.710
312.000,660,0.710
312.000,660,0.710
312.000,660,0.710
328.000,660,0.710
328.000,660,0.710
328.000,660,0.710
344.000,660,0.710
344.000,661,0.711
344.000,660,0.710
359.000,660,0.710
359.000,660,0.710
359.000,661,0.711
375.000,660,0.710
375.000,660,0.710
375.000,661,0.711
390.000,661,0.711
390.000,661,0.711
390.000,661,0.711
406.000,661,0.711
406.000,661,0.711
406.000,661,0.711
422.000,661,0.711
422.000,661,0.711
422.000,661,0.711
422.000,661,0.711
437.000,661,0.711
437.000,661,0.711
437.000,661,0.711
453.000,661,0.711
453.000,661,0.711
453.000,661,0.711
469.000,661,0.711
469.000,661,0.711
469.000,661,0.711
484.000,661,0.711
484.000,661,0.711
484.000,661,0.711
500.000,661,0.711
500.000,661,0.711
500.000,661,0.711
515.000,661,0.711
515.000,661,0.711
515.000,661,0.711
531.000,661,0.711
531.000,661,0.711
531.000,661,0.711
547.000,661,0.711
547.000,661,0.711
547.000,661,0.711
562.000,661,0.711
562.000,661,0.711
562.000,662,0.712
578.000,661,0.711
578.000,661,0.711
578.000,662,0.712
578.000,661,0.711
594.000,661,0.711
594.000,661,0.711
594.000,661,0.711
609.000,661,0.711
609.000,662,0.712
609.000,661,0.711
625.000,662,0.712
625.000,661,0.711
625.000,662,0.712
640.000,661,0.711
640.000,661,0.711
640.000,662,0.712
656.000,661,0.711
656.000,662,0.712
656.000,661,0.711
672.000,661,0.711
672.000,661,0.711
672.000,662,0.712
687.000,661,0.711
687.000,661,0.711
687.000,662,0.712
703.000,661,0.711
703.000,662,0.712
703.000,661,0.711
719.000,661,0.711
719.000,662,0.712
719.000,662,0.712
719.000,662,0.712
734.000,661,0.711
734.000,662,0.712
750.000,662,0.712
750.000,661,0.711
750.000,661,0.711
750.000,662,0.712
765.000,662,0.712
765.000,661,0.711
