Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,658,0.708,0.708545
0.000,659,0.709,0.708545
0.000,661,0.711,0.708636
15.000,658,0.708,0.708636
15.000,659,0.709,0.708727
15.000,659,0.709,0.708818
31.000,658,0.708,0.708909
31.000,659,0.709,0.708909
31.000,658,0.708,0.708636
47.000,659,0.709,0.708727
47.000,659,0.709,0.708727
47.000,659,0.709,0.708727
62.000,659,0.709,0.708818
62.000,658,0.708,0.708818
62.000,659,0.709,0.708909
78.000,659,0.709,0.708909
78.000,659,0.709,0.708909
78.000,659,0.709,0.708909
94.000,659,0.709,0.708818
94.000,659,0.709,0.708909
94.000,659,0.709,0.708909
94.000,659,0.709,0.708909
109.000,659,0.709,0.708909
109.000,658,0.708,0.708818
109.000,659,0.709,0.708818
125.000,659,0.709,0.708727
125.000,659,0.709,0.708727
125.000,659,0.709,0.708727
140.000,658,0.708,0.708727
140.000,659,0.709,0.708818
140.000,658,0.708,0.708818
156.000,659,0.709,0.708818
156.000,659,0.709,0.708818
156.000,659,0.709,0.708818
172.000,659,0.709,0.708909
172.000,659,0.709,0.708818
172.000,659,0.709,0.708909
187.000,659,0.709,0.708909
187.000,659,0.709,0.708909
187.000,659,0.709,0.708909
203.000,658,0.708,0.708909
203.000,659,0.709,0.708909
203.000,659,0.709,0.708909
219.000,659,0.709,0.708909
219.000,659,0.709,0.708909
219.000,659,0.709,0.708909
234.000,659,0.709,0.709000
234.000,659,0.709,0.709000
234.000,659,0.709,0.709000
250.000,659,0.709,0.709091
250.000,659,0.709,0.709182
250.000,659,0.709,0.709182
265.000,659,0.709,0.709182
265.000,659,0.709,0.709273
265.000,660,0.710,0.709364
281.000,660,0.710,0.709455
281.000,659,0.709,0.709545
281.000,659,0.709,0.709636
281.000,660,0.710,0.709727
297.000,660,0.710,0.709818
297.000,660,0.710,0.709818
297.000,660,0.710,0.709818
312.000,660,0.710,0.709909
312.000,660,0.710,0.710000
312.000,660,0.710,0.710091
328.000,660,0.710,0.710091
328.000,660,0.710,0.710091
328.000,660,0.710,0.710091
344.000,660,0.710,0.710182
344.000,661,0.711,0.710182
344.000,660,0.710,0.710182
359.000,660,0.710,0.710273
359.000,660,0.710,0.710364
359.000,661,0.711,0.710455
375.000,660,0.710,0.710545
375.000,660,0.710,0.710545
375.000,661,0.711,0.710636
390.000,661,0.711,0.710727
390.000,661,0.711,0.710818
390.000,661,0.711,0.710818
406.000,661,0.711,0.710909
406.000,661,0.711,0.711000
406.000,661,0.711,0.711000
422.000,661,0.711,0.711000
422.000,661,0.711,0.711000
422.000,661,0.711,0.711000
422.000,661,0.711,0.711000
437.000,661,0.711,0.711000
437.000,661,0.711,0.711000
437.000,661,0.711,0.711000
453.000,661,0.711,0.711000
453.000,661,0.711,0.711000
453.000,661,0.711,0.711000
469.000,661,0.711,0.711000
469.000,661,0.711,0.711000
469.000,661,0.711,0.711000
484.000,661,0.711,0.711000
484.000,661,0.711,0.711000
484.000,661,0.711,0.711000
500.000,661,0.711,0.711000
500.000,661,0.711,0.711000
500.000,661,0.711,0.711000
515.000,661,0.711,0.711000
515.000,661,0.711,0.711000
515.000,661,0.711,0.711000
531.000,661,0.711,0.711000
531.000,661,0.711,0.711000
531.000,661,0.711,0.711000
547.000,661,0.711,0.711091
547.000,661,0.711,0.711091
547.000,661,0.711,0.711091
562.000,661,0.711,0.711182
562.000,661,0.711,0.711182
562.000,662,0.712,0.711182
578.000,661,0.711,0.711182
578.000,661,0.711,0.711182
578.000,662,0.712,0.711182
578.000,661,0.711,0.711273
594.000,661,0.711,0.711273
594.000,661,0.711,0.711273
594.000,661,0.711,0.711273
609.000,661,0.711,0.711364
609.000,662,0.712,0.711273
609.000,661,0.711,0.711273
625.000,662,0.712,0.711364
625.000,661,0.711,0.711364
625.000,662,0.712,0.711455
640.000,661,0.711,0.711455
640.000,661,0.711,0.711364
640.000,662,0.712,0.711364
656.000,661,0.711,0.711364
656.000,662,0.712,0.711364
656.000,661,0.711,0.711273
672.000,661,0.711,0.711364
672.000,661,0.711,0.711364
672.000,662,0.712,0.711364
687.000,661,0.711,0.711364
687.000,661,0.711,0.711273
687.000,662,0.712,0.711364
703.000,661,0.711,0.711455
703.000,662,0.712,0.711545
703.000,661,0.711,0.711455
719.000,661,0.711,0.711545
719.000,662,0.712,0.711636
719.000,662,0.712,0.711545
719.000,662,0.712,0.711545
734.000,661,0.711,0.711545
734.000,662,0.712,0.711636
750.000,662,0.712,0.711636
750.000,661,0.711,0.711545
750.000,661,0.711,0.711455
750.000,662,0.712,0.711455
765.000,662,0.712,0.711545
765.000,661,0.711,0.711545
765.000,661,0.711,0.711545
781.000,661,0.711,0.711636
781.000,662,0.712,0.711636
781.000,662,0.712,0.711636
797.000,662,0.712,0.711636
797.000,662,0.712,0.711727
797.000,662,0.712,0.711818
812.000,661,0.711,0.711909
812.000,662,0.712,0.711909
812.000,662,0.712,0.711909
828.000,662,0.712,0.711909
828.000,662,0.712,0.711909
828.000,662,0.712,0.711909
844.000,662,0.712,0.712000
844.000,662,0.712,0.712000
844.000,662,0.712,0.712000
859.000,662,0.712,0.712000
859.000,662,0.712,0.712000
859.000,662,0.712,0.712000
875.000,662,0.712,0.712000
875.000,662,0.712,0.712000
875.000,662,0.712,0.712000
875.000,662,0.712,0.712000
890.000,662,0.712,0.712000
890.000,662,0.712,0.712000
890.000,662,0.712,0.712000
906.000,662,0.712,0.712000
906.000,662,0.712,0.712000
906.000,662,0.712,0.712091
922.000,662,0.712,0.712091
922.000,662,0.712,0.712091
922.000,662,0.712,0.712091
937.000,662,0.712,0.712091
937.000,663,0.713,0.712091
937.000,662,0.712,0.712091
953.000,662,0.712,0.712091
953.000,662,0.712,0.712091
953.000,662,0.712,0.712091
969.000,662,0.712,0.712091
969.000,662,0.712,0.712000
969.000,662,0.712,0.712000
984.000,662,0.712,0.712000
984.000,662,0.712,0.712000
984.000,662,0.712,0.712000
1000.000,662,0.712,0.712000
1000.000,662,0.712,0.712000
1000.000,662,0.712,0.712000
1015.000,662,0.712,0.712000
1015.000,662,0.712,0.712000
1015.000,662,0.712,0.712000
1031.000,662,0.712,0.712000
1031.000,662,0.712,0.712000
1031.000,662,0.712,0.712000
1047.000,662,0.712,0.712000
1047.000,662,0.712,0.712000
1047.000,662,0.712,0.712000
1047.000,662,0.712,0.712000
1062.000,662,0.712,0.712000
1062.000,662,0.712,0.712000
1062.000,662,0.712,0.712000
1078.000,662,0.712,0.712000
1078.000,662,0.712,0.712091
1078.000,662,0.712,0.712091
1094.000,662,0.712,0.712091
1094.000,662,0.712,0.712091
1094.000,662,0.712,0.712091
1109.000,663,0.713,0.712091
1109.000,662,0.712,0.712091
1109.000,662,0.712,0.712182
1125.000,662,0.712,0.712182
1125.000,662,0.712,0.712182
1125.000,662,0.712,0.712273
1140.000,662,0.712,0.712182
1140.000,663,0.713,0.712182
1140.000,662,0.712,0.712273
1156.000,662,0.712,0.712273
1156.000,663,0.713,0.712273
1156.000,662,0.712,0.712273
1172.000,662,0.712,0.712364
1172.000,663,0.713,0.712273
1172.000,662,0.712,0.712364
1187.000,662,0.712,0.712455
1187.000,662,0.712,0.712364
1187.000,663,0.713,0.712455
1203.000,662,0.712,0.712545
1203.000,663,0.713,0.712545
1203.000,663,0.713,0.712545
1219.000,662,0.712,0.712636
1219.000,663,0.713,0.712727
1219.000,663,0.713,0.712727
1219.000,663,0.713,0.712818
1234.000,662,0.712,0.712818
1234.000,663,0.713,0.712818
1234.000,663,0.713,0.712909
1250.000,663,0.713,0.712909
1250.000,663,0.713,0.712909
1250.000,663,0.713,0.712909
1265.000,663,0.713,0.713000
1265.000,663,0.713,0.713000
1265.000,663,0.713,0.713091
1281.000,663,0.713,0.713182
1281.000,663,0.713,0.713273
1281.000,663,0.713,0.713364
1297.000,663,0.713,0.713455
1297.000,664,0.714,0.713545
1297.000,664,0.714,0.713636
1312.000,664,0.714,0.713727
1312.000,664,0.714,0.713818
1312.000,664,0.714,0.713909
1328.000,664,0.714,0.714000
1328.000,664,0.714,0.714000
1328.000,664,0.714,0.714000
1344.000,664,0.714,0.714000
1344.000,664,0.714,0.714000
1344.000,664,0.714,0.714091
1344.000,664,0.714,0.714091
1359.000,664,0.714,0.714091
1359.000,664,0.714,0.714091
1359.000,664,0.714,0.714091
1375.000,665,0.715,0.714091
1375.000,664,0.714,0.714091
1375.000,664,0.714,0.714091
1390.000,664,0.714,0.714091
1390.000,664,0.714,0.714091
1390.000,664,0.714,0.714091
1406.000,664,0.714,0.714000
