Time(ms),ADC,Voltage(V)
0.000,664,0.714
0.000,664,0.714
0.000,664,0.714
0.000,664,0.714
0.000,664,0.714
0.000,664,0.714
0.000,664,0.714
0.000,665,0.715
0.000,664,0.714
0.000,664,0.714
0.000,665,0.715
0.000,665,0.715
0.000,665,0.715
0.000,664,0.714
0.000,665,0.715
0.000,665,0.715
0.000,664,0.714
0.000,665,0.715
16.000,664,0.714
16.000,665,0.715
16.000,665,0.715
32.000,664,0.714
32.000,664,0.714
63.000,665,0.715
78.000,664,0.714
78.000,665,0.715
78.000,665,0.715
78.000,665,0.715
78.000,665,0.715
78.000,665,0.715
78.000,665,0.715
78.000,665,0.715
78.000,665,0.715
94.000,665,0.715
94.000,665,0.715
94.000,665,0.715
94.000,665,0.715
110.000,665,0.715
110.000,665,0.715
110.000,665,0.715
125.000,665,0.715
125.000,665,0.715
125.000,665,0.715
141.000,665,0.715
141.000,665,0.715
141.000,665,0.715
157.000,666,0.716
157.000,666,0.716
203.000,666,0.716
203.000,666,0.716
203.000,666,0.716
203.000,666,0.716
203.000,666,0.716
203.000,666,0.716
203.000,666,0.716
203.000,666,0.716
203.000,666,0.716
203.000,666,0.716
219.000,666,0.716
219.000,666,0.716
219.000,666,0.716
235.000,665,0.715
235.000,666,0.716
235.000,666,0.716
250.000,666,0.716
250.000,666,0.716
250.000,666,0.716
266.000,666,0.716
266.000,666,0.716
266.000,666,0.716
266.000,667,0.717
282.000,666,0.716
282.000,666,0.716
282.000,666,0.716
297.000,666,0.716
313.000,666,0.716
344.000,666,0.716
344.000,667,0.717
344.000,667,0.717
344.000,666,0.716
344.000,667,0.717
344.000,666,0.716
344.000,666,0.716
344.000,666,0.716
344.000,666,0.716
344.000,666,0.716
360.000,666,0.716
360.000,667,0.717
360.000,667,0.717
375.000,666,0.716
375.000,667,0.717
375.000,667,0.717
391.000,667,0.717
391.000,666,0.716
391.000,667,0.717
391.000,667,0.717
407.000,667,0.717
407.000,667,0.717
407.000,667,0.717
422.000,667,0.717
469.000,666,0.716
469.000,667,0.717
469.000,666,0.716
469.000,667,0.717
469.000,666,0.716
469.000,667,0.717
469.000,667,0.717
469.000,667,0.717
469.000,667,0.717
469.000,667,0.717
469.000,667,0.717
485.000,667,0.717
485.000,667,0.717
485.000,667,0.717
500.000,667,0.717
500.000,667,0.717
500.000,666,0.716
516.000,667,0.717
516.000,667,0.717
516.000,667,0.717
532.000,667,0.717
532.000,667,0.717
547.000,667,0.717
547.000,667,0.717
547.000,667,0.717
547.000,667,0.717
563.000,667,0.717
563.000,667,0.717
563.000,667,0.717
563.000,667,0.717
578.000,667,0.717
610.000,667,0.717
610.000,667,0.717
610.000,667,0.717
610.000,667,0.717
610.000,667,0.717
610.000,667,0.717
610.000,667,0.717
610.000,667,0.717
625.000,667,0.717
625.000,667,0.717
625.000,667,0.717
641.000,667,0.717
641.000,667,0.717
672.000,667,0.717
672.000,667,0.717
672.000,667,0.717
672.000,667,0.717
672.000,667,0.717
672.000,667,0.717
672.000,668,0.718
688.000,668,0.718
688.000,668,0.718
688.000,668,0.718
703.000,667,0.717
703.000,667,0.717
703.000,668,0.718
735.000,667,0.717
735.000,667,0.717
735.000,667,0.717
735.000,668,0.718
735.000,668,0.718
735.000,667,0.717
735.000,667,0.717
750.000,667,0.717
750.000,667,0.717
750.000,668,0.718
766.000,667,0.717
766.000,668,0.718
797.000,668,0.718
797.000,668,0.718
797.000,668,0.718
797.000,668,0.718
797.000,668,0.718
797.000,667,0.717
797.000,668,0.718
813.000,668,0.718
813.000,668,0.718
813.000,668,0.718
828.000,668,0.718
828.000,668,0.718
828.000,668,0.718
844.000,668,0.718
860.000,668,0.718
860.000,668,0.718
860.000,668,0.718
860.000,668,0.718
860.000,668,0.718
875.000,668,0.718
875.000,668,0.718
875.000,668,0.718
875.000,668,0.718
891.000,669,0.719
891.000,668,0.718
907.000,668,0.718
922.000,668,0.718
922.000,669,0.719
922.000,668,0.718
922.000,668,0.718
922.000,668,0.718
922.000,669,0.719
938.000,668,0.718
938.000,669,0.719
938.000,668,0.718
953.000,668,0.718
953.000,668,0.718
953.000,668,0.718
969.000,669,0.719
985.000,668,0.718
985.000,668,0.718
985.000,668,0.718
985.000,669,0.719
985.000,668,0.718
1000.000,668,0.718
1000.000,669,0.719
1000.000,668,0.718
1016.000,668,0.718
1032.000,669,0.719
1032.000,668,0.718
1032.000,669,0.719
1032.000,669,0.719
1032.000,669,0.719
1032.000,669,0.719
1047.000,668,0.718
1047.000,668,0.718
1047.000,668,0.718
1063.000,668,0.718
1063.000,669,0.719
1063.000,669,0.719
1078.000,668,0.718
1078.000,670,0.720
1078.000,669,0.719
1094.000,669,0.719
1125.000,669,0.719
1141.000,669,0.719
1141.000,669,0.719
1141.000,669,0.719
1141.000,669,0.719
1141.000,669,0.719
1141.000,669,0.719
1141.000,669,0.719
1141.000,668,0.718
1141.000,669,0.719
