Time(ms),ADC,Voltage(V)
0.000,671,0.722
0.000,671,0.722
15.000,671,0.722
15.000,672,0.723
15.000,671,0.722
31.000,671,0.722
31.000,671,0.722
31.000,672,0.723
47.000,671,0.722
47.000,671,0.722
47.000,672,0.723
62.000,672,0.723
62.000,671,0.722
62.000,671,0.722
78.000,672,0.723
78.000,672,0.723
78.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
109.000,672,0.723
109.000,672,0.723
109.000,672,0.723
125.000,672,0.723
125.000,672,0.723
125.000,672,0.723
140.000,672,0.723
140.000,672,0.723
140.000,672,0.723
140.000,671,0.722
156.000,672,0.723
156.000,672,0.723
156.000,672,0.723
172.000,672,0.723
172.000,672,0.723
172.000,672,0.723
187.000,672,0.723
187.000,672,0.723
187.000,672,0.723
203.000,672,0.723
203.000,672,0.723
203.000,672,0.723
219.000,672,0.723
219.000,673,0.724
219.000,672,0.723
234.000,672,0.723
234.000,672,0.723
234.000,672,0.723
250.000,672,0.723
250.000,672,0.723
250.000,672,0.723
265.000,672,0.723
265.000,672,0.723
265.000,672,0.723
281.000,672,0.723
281.000,672,0.723
281.000,673,0.724
281.000,672,0.723
297.000,672,0.723
297.000,672,0.723
297.000,672,0.723
312.000,673,0.724
312.000,673,0.724
312.000,673,0.724
328.000,672,0.723
328.000,673,0.724
328.000,672,0.723
344.000,672,0.723
344.000,672,0.723
344.000,672,0.723
359.000,672,0.723
359.000,673,0.724
359.000,672,0.723
375.000,673,0.724
375.000,673,0.724
375.000,672,0.723
390.000,672,0.723
390.000,672,0.723
390.000,672,0.723
406.000,672,0.723
406.000,673,0.724
406.000,672,0.723
422.000,672,0.723
422.000,672,0.723
422.000,672,0.723
437.000,672,0.723
437.000,673,0.724
437.000,673,0.724
437.000,672,0.723
453.000,673,0.724
453.000,673,0.724
469.000,673,0.724
469.000,673,0.724
469.000,673,0.724
469.000,673,0.724
484.000,673,0.724
484.000,672,0.723
484.000,673,0.724
500.000,673,0.724
500.000,673,0.724
500.000,673,0.724
515.000,673,0.724
515.000,673,0.724
515.000,673,0.724
531.000,673,0.724
531.000,673,0.724
531.000,673,0.724
547.000,673,0.724
547.000,673,0.724
547.000,673,0.724
562.000,673,0.724
562.000,673,0.724
562.000,673,0.724
578.000,673,0.724
578.000,673,0.724
578.000,673,0.724
594.000,673,0.724
594.000,673,0.724
594.000,673,0.724
594.000,674,0.725
609.000,673,0.724
609.000,673,0.724
609.000,674,0.725
625.000,674,0.725
625.000,673,0.724
625.000,673,0.724
640.000,673,0.724
640.000,674,0.725
640.000,673,0.724
656.000,673,0.724
656.000,673,0.724
656.000,674,0.725
672.000,674,0.725
672.000,674,0.725
672.000,673,0.724
687.000,674,0.725
687.000,674,0.725
687.000,674,0.725
703.000,674,0.725
703.000,674,0.725
703.000,674,0.725
719.000,674,0.725
719.000,674,0.725
719.000,674,0.725
734.000,674,0.725
734.000,674,0.725
734.000,674,0.725
734.000,674,0.725
750.000,674,0.725
750.000,674,0.725
765.000,674,0.725
765.000,674,0.725
765.000,674,0.725
765.000,674,0.725
781.000,675,0.726
781.000,674,0.725
781.000,674,0.725
797.000,674,0.725
797.000,675,0.726
797.000,675,0.726
812.000,674,0.725
812.000,675,0.726
812.000,674,0.725
828.000,674,0.725
828.000,674,0.725
828.000,674,0.725
844.000,675,0.726
844.000,674,0.725
844.000,675,0.726
859.000,675,0.726
859.000,674,0.725
859.000,675,0.726
875.000,675,0.726
875.000,675,0.726
875.000,675,0.726
890.000,675,0.726
890.000,675,0.726
890.000,674,0.725
906.000,675,0.726
906.000,675,0.726
906.000,675,0.726
906.000,675,0.726
922.000,675,0.726
922.000,675,0.726
937.000,675,0.726
937.000,675,0.726
937.000,675,0.726
937.000,675,0.726
953.000,675,0.726
953.000,675,0.726
953.000,675,0.726
969.000,674,0.725
969.000,675,0.726
969.000,675,0.726
984.000,675,0.726
984.000,675,0.726
984.000,676,0.727
1000.000,675,0.726
1000.000,676,0.727
1000.000,675,0.726
