Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,671,0.722,0.722091
0.000,671,0.722,0.722091
15.000,671,0.722,0.722182
15.000,672,0.723,0.722182
15.000,671,0.722,0.722182
31.000,671,0.722,0.722273
31.000,671,0.722,0.722364
31.000,672,0.723,0.722364
47.000,671,0.722,0.722364
47.000,671,0.722,0.722364
47.000,672,0.723,0.722455
62.000,672,0.723,0.722545
62.000,671,0.722,0.722636
62.000,671,0.722,0.722636
78.000,672,0.723,0.722727
78.000,672,0.723,0.722818
78.000,672,0.723,0.722818
94.000,672,0.723,0.722818
94.000,672,0.723,0.722909
94.000,672,0.723,0.723000
109.000,672,0.723,0.723000
109.000,672,0.723,0.723000
109.000,672,0.723,0.723000
125.000,672,0.723,0.723000
125.000,672,0.723,0.722909
125.000,672,0.723,0.722909
140.000,672,0.723,0.722909
140.000,672,0.723,0.722909
140.000,672,0.723,0.722909
140.000,671,0.722,0.722909
156.000,672,0.723,0.722909
156.000,672,0.723,0.722909
156.000,672,0.723,0.722909
172.000,672,0.723,0.722909
172.000,672,0.723,0.722909
172.000,672,0.723,0.723000
187.000,672,0.723,0.723000
187.000,672,0.723,0.723000
187.000,672,0.723,0.723091
203.000,672,0.723,0.723091
203.000,672,0.723,0.723091
203.000,672,0.723,0.723091
219.000,672,0.723,0.723091
219.000,673,0.724,0.723091
219.000,672,0.723,0.723091
234.000,672,0.723,0.723091
234.000,672,0.723,0.723091
234.000,672,0.723,0.723091
250.000,672,0.723,0.723091
250.000,672,0.723,0.723000
250.000,672,0.723,0.723000
265.000,672,0.723,0.723091
265.000,672,0.723,0.723091
265.000,672,0.723,0.723091
281.000,672,0.723,0.723091
281.000,672,0.723,0.723091
281.000,673,0.724,0.723182
281.000,672,0.723,0.723273
297.000,672,0.723,0.723364
297.000,672,0.723,0.723364
297.000,672,0.723,0.723455
312.000,673,0.724,0.723455
312.000,673,0.724,0.723364
312.000,673,0.724,0.723364
328.000,672,0.723,0.723364
328.000,673,0.724,0.723364
328.000,672,0.723,0.723455
344.000,672,0.723,0.723364
344.000,672,0.723,0.723364
344.000,672,0.723,0.723364
359.000,672,0.723,0.723364
359.000,673,0.724,0.723273
359.000,672,0.723,0.723273
375.000,673,0.724,0.723273
375.000,673,0.724,0.723273
375.000,672,0.723,0.723364
390.000,672,0.723,0.723364
390.000,672,0.723,0.723273
390.000,672,0.723,0.723273
406.000,672,0.723,0.723182
406.000,673,0.724,0.723091
406.000,672,0.723,0.723182
422.000,672,0.723,0.723273
422.000,672,0.723,0.723273
422.000,672,0.723,0.723364
437.000,672,0.723,0.723455
437.000,673,0.724,0.723455
437.000,673,0.724,0.723545
437.000,672,0.723,0.723636
453.000,673,0.724,0.723727
453.000,673,0.724,0.723818
469.000,673,0.724,0.723818
469.000,673,0.724,0.723818
469.000,673,0.724,0.723818
469.000,673,0.724,0.723909
484.000,673,0.724,0.723909
484.000,672,0.723,0.723909
484.000,673,0.724,0.723909
500.000,673,0.724,0.723909
500.000,673,0.724,0.723909
500.000,673,0.724,0.723909
515.000,673,0.724,0.723909
515.000,673,0.724,0.724000
515.000,673,0.724,0.724000
531.000,673,0.724,0.724000
531.000,673,0.724,0.724000
531.000,673,0.724,0.724000
547.000,673,0.724,0.724000
547.000,673,0.724,0.724000
547.000,673,0.724,0.724000
562.000,673,0.724,0.724000
562.000,673,0.724,0.724000
562.000,673,0.724,0.724000
578.000,673,0.724,0.724000
578.000,673,0.724,0.724091
578.000,673,0.724,0.724091
594.000,673,0.724,0.724091
594.000,673,0.724,0.724182
594.000,673,0.724,0.724273
594.000,674,0.725,0.724273
609.000,673,0.724,0.724273
609.000,673,0.724,0.724273
609.000,674,0.725,0.724364
625.000,674,0.725,0.724364
625.000,673,0.724,0.724364
625.000,673,0.724,0.724273
640.000,673,0.724,0.724364
640.000,674,0.725,0.724455
640.000,673,0.724,0.724455
656.000,673,0.724,0.724364
656.000,673,0.724,0.724455
656.000,674,0.725,0.724545
672.000,674,0.725,0.724636
672.000,674,0.725,0.724636
672.000,673,0.724,0.724727
687.000,674,0.725,0.724818
687.000,674,0.725,0.724909
687.000,674,0.725,0.724909
703.000,674,0.725,0.724909
703.000,674,0.725,0.724909
703.000,674,0.725,0.725000
719.000,674,0.725,0.725000
719.000,674,0.725,0.725000
719.000,674,0.725,0.725000
734.000,674,0.725,0.725000
734.000,674,0.725,0.725000
734.000,674,0.725,0.725000
734.000,674,0.725,0.725000
750.000,674,0.725,0.725000
750.000,674,0.725,0.725091
765.000,674,0.725,0.725091
765.000,674,0.725,0.725091
765.000,674,0.725,0.725091
765.000,674,0.725,0.725182
781.000,675,0.726,0.725273
781.000,674,0.725,0.725273
781.000,674,0.725,0.725364
797.000,674,0.725,0.725364
797.000,675,0.726,0.725364
797.000,675,0.726,0.725364
812.000,674,0.725,0.725273
812.000,675,0.726,0.725364
812.000,674,0.725,0.725364
828.000,674,0.725,0.725455
828.000,674,0.725,0.725455
828.000,674,0.725,0.725364
844.000,675,0.726,0.725455
844.000,674,0.725,0.725455
844.000,675,0.726,0.725545
859.000,675,0.726,0.725636
859.000,674,0.725,0.725727
859.000,675,0.726,0.725818
875.000,675,0.726,0.725727
875.000,675,0.726,0.725818
875.000,675,0.726,0.725818
890.000,675,0.726,0.725818
890.000,675,0.726,0.725909
890.000,674,0.725,0.725909
906.000,675,0.726,0.725909
906.000,675,0.726,0.725909
906.000,675,0.726,0.725909
906.000,675,0.726,0.725909
922.000,675,0.726,0.725909
922.000,675,0.726,0.726000
937.000,675,0.726,0.726000
937.000,675,0.726,0.726000
937.000,675,0.726,0.725909
937.000,675,0.726,0.725909
953.000,675,0.726,0.725909
953.000,675,0.726,0.725909
953.000,675,0.726,0.725909
969.000,674,0.725,0.726000
969.000,675,0.726,0.726000
969.000,675,0.726,0.726091
984.000,675,0.726,0.726091
984.000,675,0.726,0.726091
984.000,676,0.727,0.726182
1000.000,675,0.726,0.726273
1000.000,676,0.727,0.726273
1000.000,675,0.726,0.726273
1015.000,675,0.726,0.726364
1015.000,676,0.727,0.726364
1015.000,675,0.726,0.726273
1031.000,675,0.726,0.726273
1031.000,675,0.726,0.726182
1031.000,676,0.727,0.726182
1047.000,675,0.726,0.726182
1047.000,675,0.726,0.726091
1047.000,675,0.726,0.726091
1062.000,675,0.726,0.726182
1062.000,675,0.726,0.726182
1062.000,675,0.726,0.726091
1078.000,675,0.726,0.726091
1078.000,675,0.726,0.726091
1078.000,676,0.727,0.726182
1078.000,675,0.726,0.726182
1094.000,675,0.726,0.726273
1094.000,675,0.726,0.726364
1109.000,675,0.726,0.726455
1109.000,676,0.727,0.726545
1109.000,675,0.726,0.726545
1109.000,676,0.727,0.726545
1125.000,676,0.727,0.726636
1125.000,676,0.727,0.726727
1125.000,676,0.727,0.726818
1140.000,676,0.727,0.726818
1140.000,675,0.726,0.726909
1140.000,676,0.727,0.726909
1156.000,676,0.727,0.726909
1156.000,676,0.727,0.726909
1156.000,676,0.727,0.726909
1172.000,676,0.727,0.726909
1172.000,676,0.727,0.727000
1172.000,676,0.727,0.727000
1187.000,676,0.727,0.727000
1187.000,676,0.727,0.727000
1187.000,676,0.727,0.727000
1203.000,676,0.727,0.727000
1203.000,676,0.727,0.727000
1203.000,676,0.727,0.727000
1219.000,676,0.727,0.727000
1219.000,676,0.727,0.727000
1219.000,676,0.727,0.727000
1219.000,676,0.727,0.727091
1234.000,676,0.727,0.727091
1234.000,676,0.727,0.727182
1234.000,676,0.727,0.727182
1250.000,676,0.727,0.727182
1250.000,677,0.728,0.727182
1250.000,676,0.727,0.727273
1265.000,677,0.728,0.727273
1265.000,676,0.727,0.727364
1265.000,676,0.727,0.727364
1281.000,676,0.727,0.727455
1281.000,677,0.728,0.727455
1281.000,676,0.727,0.727455
1297.000,677,0.728,0.727455
1297.000,676,0.727,0.727545
1297.000,677,0.728,0.727636
1312.000,677,0.728,0.727727
1312.000,676,0.727,0.727727
1312.000,677,0.728,0.727727
1328.000,677,0.728,0.727727
1328.000,677,0.728,0.727818
1328.000,677,0.728,0.727727
1344.000,677,0.728,0.727727
1344.000,676,0.727,0.727818
1344.000,677,0.728,0.727727
1359.000,677,0.728,0.727727
1359.000,676,0.727,0.727727
1359.000,677,0.728,0.727727
1375.000,677,0.728,0.727727
1375.000,676,0.727,0.727818
1375.000,677,0.728,0.727818
1390.000,677,0.728,0.727727
1390.000,677,0.728,0.727818
1390.000,677,0.728,0.727818
1406.000,677,0.728,0.727818
1406.000,677,0.728,0.727909
1406.000,676,0.727,0.727909
1406.000,677,0.728,0.727909
