Time(ms),ADC,Voltage(V)
382,151,0.738
392,151,0.738
402,151,0.738
412,151,0.738
422,151,0.738
432,151,0.738
442,151,0.738
452,151,0.738
462,151,0.738
472,151,0.738
482,151,0.738
492,151,0.738
502,151,0.738
512,151,0.738
522,151,0.738
532,151,0.738
542,143,0.699
552,143,0.699
562,143,0.699
572,143,0.699
582,143,0.699
592,143,0.699
602,143,0.699
612,143,0.699
622,143,0.699
632,143,0.699
642,143,0.699
652,143,0.699
662,144,0.704
672,143,0.699
683,143,0.699
693,143,0.699
703,143,0.699
713,143,0.699
723,144,0.704
733,144,0.704
743,144,0.704
753,144,0.704
763,144,0.704
773,144,0.704
783,144,0.704
793,144,0.704
803,144,0.704
813,144,0.704
823,144,0.704
833,144,0.704
843,144,0.704
854,144,0.704
864,144,0.704
874,144,0.704
884,144,0.704
894,144,0.704
904,144,0.704
914,144,0.704
924,144,0.704
934,144,0.704
944,144,0.704
954,144,0.704
964,144,0.704
974,144,0.704
984,144,0.704
994,144,0.704
1004,144,0.704
1014,144,0.704
1024,144,0.704
1034,144,0.704
1044,144,0.704
1054,144,0.704
1064,144,0.704
1074,144,0.704
1084,144,0.704
1094,144,0.704
1104,144,0.704
1114,144,0.704
1124,144,0.704
1134,144,0.704
1144,144,0.704
1154,144,0.704
1164,144,0.704
1174,144,0.704
1184,144,0.704
1195,144,0.704
1205,144,0.704
1215,144,0.704
1225,144,0.704
1235,144,0.704
1245,144,0.704
1255,144,0.704
1265,144,0.704
1275,144,0.704
1285,144,0.704
1295,144,0.704
1305,144,0.704
1315,144,0.704
1325,144,0.704
1335,144,0.704
1345,144,0.704
1355,144,0.704
1366,144,0.704
1376,145,0.709
1386,144,0.704
1396,145,0.709
1406,144,0.704
1416,144,0.704
1426,144,0.704
1436,145,0.709
1446,145,0.709
1456,144,0.704
1466,144,0.704
1476,144,0.704
1486,144,0.704
1496,145,0.709
1506,145,0.709
1516,144,0.704
1526,145,0.709
1536,145,0.709
1546,145,0.709
1556,145,0.709
1566,145,0.709
1576,145,0.709
1586,144,0.704
1596,145,0.709
1606,145,0.709
1616,145,0.709
1626,145,0.709
1636,145,0.709
1646,145,0.709
1656,145,0.709
1666,145,0.709
1676,145,0.709
1686,145,0.709
1696,145,0.709
1707,145,0.709
1717,145,0.709
1727,145,0.709
1737,145,0.709
1747,145,0.709
1757,145,0.709
1767,145,0.709
1777,145,0.709
1787,145,0.709
1797,145,0.709
1807,145,0.709
1817,145,0.709
1827,145,0.709
1837,145,0.709
1847,145,0.709
1857,145,0.709
1867,145,0.709
1878,145,0.709
1888,145,0.709
1898,145,0.709
1908,145,0.709
1918,145,0.709
1928,145,0.709
1938,145,0.709
1948,145,0.709
1958,145,0.709
1968,145,0.709
1978,145,0.709
1988,145,0.709
1998,145,0.709
2008,145,0.709
2018,145,0.709
2028,145,0.709
2038,145,0.709
2048,145,0.709
2058,145,0.709
2068,145,0.709
2078,145,0.709
2088,145,0.709
2098,145,0.709
2108,145,0.709
2118,145,0.709
2128,145,0.709
2138,145,0.709
2148,146,0.714
2158,145,0.709
2168,145,0.709
2178,145,0.709
2188,146,0.714
2198,145,0.709
2208,145,0.709
2219,145,0.709
2229,145,0.709
2239,146,0.714
2249,145,0.709
2259,146,0.714
2269,146,0.714
2279,145,0.709
2289,146,0.714
2299,146,0.714
2309,145,0.709
2319,145,0.709
