Time(ms),ADC,Voltage(V)
382,244,1.193
392,244,1.193
402,244,1.193
412,245,1.197
422,244,1.193
432,244,1.193
442,245,1.197
452,244,1.193
462,244,1.193
472,243,1.188
482,243,1.188
492,243,1.188
502,243,1.188
512,244,1.193
522,243,1.188
532,244,1.193
542,243,1.188
552,243,1.188
562,243,1.188
572,243,1.188
582,243,1.188
592,243,1.188
602,243,1.188
612,243,1.188
622,243,1.188
632,243,1.188
642,243,1.188
652,243,1.188
662,243,1.188
672,242,1.183
683,243,1.188
693,243,1.188
703,243,1.188
713,243,1.188
723,243,1.188
733,242,1.183
743,243,1.188
753,242,1.183
763,242,1.183
773,242,1.183
783,242,1.183
793,242,1.183
803,242,1.183
813,242,1.183
823,242,1.183
833,242,1.183
843,242,1.183
854,242,1.183
864,242,1.183
874,242,1.183
884,242,1.183
894,242,1.183
904,242,1.183
914,242,1.183
924,242,1.183
934,242,1.183
944,242,1.183
954,242,1.183
964,242,1.183
974,241,1.178
984,241,1.178
994,241,1.178
1004,242,1.183
1014,242,1.183
1024,242,1.183
1034,241,1.178
1044,241,1.178
1054,241,1.178
1064,242,1.183
1074,241,1.178
1084,242,1.183
1094,241,1.178
1104,241,1.178
1114,241,1.178
1124,242,1.183
1134,241,1.178
1144,241,1.178
1154,241,1.178
1164,241,1.178
1174,240,1.173
1184,241,1.178
1195,240,1.173
1205,240,1.173
1215,241,1.178
1225,241,1.178
1235,241,1.178
1245,241,1.178
1255,240,1.173
1265,240,1.173
1275,240,1.173
1285,241,1.178
1295,240,1.173
1305,240,1.173
1315,241,1.178
1325,240,1.173
1335,240,1.173
1345,240,1.173
1355,240,1.173
1366,240,1.173
1376,240,1.173
1386,240,1.173
1396,240,1.173
1406,240,1.173
1416,240,1.173
1426,240,1.173
1436,240,1.173
1446,239,1.168
1456,240,1.173
1466,239,1.168
1476,239,1.168
1486,239,1.168
1496,239,1.168
1506,239,1.168
1516,239,1.168
1526,239,1.168
1536,239,1.168
1546,240,1.173
1556,239,1.168
1566,239,1.168
1576,239,1.168
1586,239,1.168
1596,239,1.168
1606,239,1.168
1616,239,1.168
1626,239,1.168
1636,239,1.168
1646,239,1.168
1656,239,1.168
1666,239,1.168
1676,239,1.168
1686,239,1.168
1696,239,1.168
1707,239,1.168
1717,239,1.168
1727,239,1.168
1737,239,1.168
1747,239,1.168
1757,238,1.163
1767,238,1.163
1777,238,1.163
1787,238,1.163
1797,238,1.163
1807,238,1.163
1817,238,1.163
1827,238,1.163
1837,238,1.163
1847,238,1.163
1857,238,1.163
1867,238,1.163
1878,238,1.163
1888,238,1.163
1898,237,1.158
1908,238,1.163
1918,238,1.163
1928,238,1.163
1938,238,1.163
1948,238,1.163
1958,237,1.158
1968,238,1.163
1978,238,1.163
1988,237,1.158
1998,237,1.158
2008,237,1.158
2018,237,1.158
2028,238,1.163
2038,237,1.158
2048,237,1.158
2058,237,1.158
2068,237,1.158
2078,237,1.158
2088,237,1.158
2098,237,1.158
2108,237,1.158
2118,237,1.158
2128,237,1.158
2138,237,1.158
2148,237,1.158
2158,237,1.158
2168,237,1.158
2178,237,1.158
2188,237,1.158
2198,237,1.158
2208,237,1.158
2219,237,1.158
2229,236,1.153
2239,237,1.158
2249,237,1.158
2259,236,1.153
2269,236,1.153
2279,236,1.153
2289,236,1.153
2299,236,1.153
2309,236,1.153
2319,236,1.153
2329,236,1.153
2339,236,1.153
2349,236,1.153
2359,236,1.153
2369,236,1.153
2379,236,1.153
2390,236,1.153
2400,235,1.149
2410,235,1.149
2420,235,1.149
2430,235,1.149
2440,236,1.153
2450,236,1.153
2460,236,1.153
2470,236,1.153
2480,236,1.153
2490,236,1.153
2500,236,1.153
2510,235,1.149
2520,235,1.149
2530,235,1.149
2540,235,1.149
2550,236,1.153
2560,235,1.149
2570,235,1.149
2580,235,1.149
2590,235,1.149
2600,235,1.149
2610,235,1.149
2620,235,1.149
2630,235,1.149
2640,235,1.149
2650,235,1.149
2660,235,1.149
2670,235,1.149
2680,235,1.149
2690,235,1.149
2700,235,1.149
2710,235,1.149
2720,234,1.144
2731,235,1.149
2741,235,1.149
2751,235,1.149
2761,234,1.144
2771,234,1.144
2781,234,1.144
2791,234,1.144
2801,234,1.144
2811,234,1.144
2821,234,1.144
2831,234,1.144
2841,234,1.144
2851,234,1.144
2861,234,1.144
2871,234,1.144
2881,234,1.144
2891,234,1.144
2902,234,1.144
2912,234,1.144
2922,234,1.144
2932,234,1.144
2942,234,1.144
2952,234,1.144
2962,234,1.144
2972,234,1.144
2982,234,1.144
2992,234,1.144
3002,234,1.144
3012,234,1.144
3022,233,1.139
3032,233,1.139
3042,233,1.139
3052,234,1.144
3062,234,1.144
3072,233,1.139
3082,234,1.144
3092,233,1.139
3102,233,1.139
3112,233,1.139
3122,233,1.139
3132,233,1.139
3142,233,1.139
3152,233,1.139
3162,233,1.139
3172,233,1.139
3182,234,1.144
3192,233,1.139
3202,233,1.139
3212,233,1.139
3222,233,1.139
3232,233,1.139
3243,232,1.134
3253,233,1.139
3263,233,1.139
3273,233,1.139
3283,233,1.139
3293,232,1.134
3303,232,1.134
3313,233,1.139
3323,232,1.134
3333,232,1.134
3343,232,1.134
3353,233,1.139
3363,232,1.134
3373,232,1.134
3383,233,1.139
3393,233,1.139
3403,232,1.134
3414,232,1.134
3424,232,1.134
3434,232,1.134
3444,232,1.134
3454,232,1.134
3464,232,1.134
3474,232,1.134
3484,232,1.134
3494,232,1.134
3504,232,1.134
3514,232,1.134
3524,232,1.134
3534,231,1.129
3544,231,1.129
3554,232,1.134
3564,232,1.134
3574,232,1.134
3584,231,1.129
3594,231,1.129
3604,231,1.129
3614,231,1.129
3624,231,1.129
3634,231,1.129
3644,231,1.129
3654,231,1.129
3664,231,1.129
3674,231,1.129
3684,231,1.129
3694,231,1.129
3704,231,1.129
3714,231,1.129
3724,231,1.129
3734,230,1.124
3744,231,1.129
3755,230,1.124
3765,232,1.134
3775,231,1.129
3785,231,1.129
3795,231,1.129
3805,230,1.124
3815,230,1.124
3825,230,1.124
3835,231,1.129
3845,230,1.124
3855,230,1.124
3865,230,1.124
3875,231,1.129
3885,231,1.129
3895,230,1.124
3905,230,1.124
3915,230,1.124
3926,230,1.124
3936,230,1.124
3946,230,1.124
3956,230,1.124
3966,230,1.124
3976,230,1.124
3986,230,1.124
3996,230,1.124
4006,230,1.124
4016,230,1.124
4026,229,1.119
4036,229,1.119
4046,229,1.119
4056,229,1.119
4066,230,1.124
4076,230,1.124
4086,230,1.124
4096,229,1.119
4106,230,1.124
4116,229,1.119
4126,229,1.119
4136,229,1.119
4146,229,1.119
4156,229,1.119
4166,229,1.119
4176,229,1.119
4186,230,1.124
4196,229,1.119
4206,229,1.119
4216,229,1.119
4226,229,1.119
4236,229,1.119
4246,229,1.119
4256,229,1.119
4267,228,1.114
4277,229,1.119
4287,229,1.119
4297,229,1.119
4307,229,1.119
4317,229,1.119
4327,228,1.114
4337,228,1.114
4347,228,1.114
4357,228,1.114
4367,228,1.114
4377,228,1.114
4387,229,1.119
4397,228,1.114
4407,228,1.114
4417,228,1.114
4427,228,1.114
4438,228,1.114
4448,228,1.114
4458,228,1.114
4468,227,1.109
4478,228,1.114
4488,228,1.114
4498,228,1.114
4508,228,1.114
4518,228,1.114
4528,227,1.109
4538,227,1.109
4548,227,1.109
4558,227,1.109
4568,227,1.109
4578,227,1.109
4588,227,1.109
4598,227,1.109
4608,227,1.109
4618,227,1.109
4628,227,1.109
4638,227,1.109
4648,227,1.109
4658,226,1.105
4668,226,1.105
4678,227,1.109
4688,227,1.109
4698,227,1.109
4708,227,1.109
4718,227,1.109
4728,226,1.105
4738,226,1.105
4748,226,1.105
4758,226,1.105
4768,226,1.105
4779,226,1.105
4789,226,1.105
4799,226,1.105
4809,226,1.105
4819,226,1.105
4829,226,1.105
4839,226,1.105
4849,226,1.105
4859,226,1.105
4869,226,1.105
4879,226,1.105
4889,226,1.105
4899,226,1.105
4909,225,1.100
4919,225,1.100
4929,225,1.100
4939,225,1.100
4950,225,1.100
4960,226,1.105
4970,225,1.100
4980,225,1.100
4990,225,1.100
5000,226,1.105
5010,226,1.105
5020,225,1.100
5030,225,1.100
5040,225,1.100
5050,225,1.100
5060,225,1.100
5070,225,1.100
5080,224,1.095
5090,225,1.100
5100,225,1.100
5110,225,1.100
5120,225,1.100
5130,225,1.100
5140,224,1.095
5150,224,1.095
5160,224,1.095
5170,224,1.095
5180,225,1.100
5190,224,1.095
5200,224,1.095
5210,224,1.095
5220,224,1.095
5230,224,1.095
5240,224,1.095
5250,224,1.095
5260,224,1.095
5270,224,1.095
5280,224,1.095
5291,224,1.095
5301,224,1.095
5311,224,1.095
5321,224,1.095
5331,223,1.090
5341,223,1.090
5351,223,1.090
5361,223,1.090
5371,223,1.090
5381,224,1.095
5391,223,1.090
5401,224,1.095
5411,223,1.090
5421,223,1.090
5431,223,1.090
5441,223,1.090
5451,223,1.090
5462,223,1.090
5472,223,1.090
5482,223,1.090
5492,223,1.090
5502,223,1.090
5512,223,1.090
5522,223,1.090
5532,223,1.090
5542,223,1.090
5552,222,1.085
5562,222,1.085
5572,222,1.085
5582,222,1.085
5592,222,1.085
5602,223,1.090
5612,223,1.090
5622,222,1.085
5632,222,1.085
5642,222,1.085
5652,222,1.085
5662,222,1.085
5672,222,1.085
5682,222,1.085
5692,222,1.085
5702,222,1.085
5712,222,1.085
5722,222,1.085
5732,222,1.085
5742,222,1.085
5752,222,1.085
5762,222,1.085
5772,222,1.085
5782,221,1.080
5792,221,1.080
5803,222,1.085
5813,221,1.080
5823,221,1.080
5833,221,1.080
5843,221,1.080
5853,221,1.080
5863,221,1.080
5873,221,1.080
5883,221,1.080
5893,221,1.080
5903,222,1.085
5913,221,1.080
5923,221,1.080
5933,221,1.080
5943,221,1.080
5953,221,1.080
5963,221,1.080
5974,220,1.075
5984,221,1.080
5994,221,1.080
6004,221,1.080
6014,221,1.080
6024,221,1.080
6034,221,1.080
6044,221,1.080
6054,221,1.080
6064,220,1.075
6074,221,1.080
6084,220,1.075
6094,220,1.075
6104,221,1.080
6114,221,1.080
6124,220,1.075
6134,220,1.075
6144,220,1.075
6154,220,1.075
6164,220,1.075
6174,221,1.080
6184,220,1.075
6194,220,1.075
6204,220,1.075
6214,220,1.075
6224,220,1.075
6234,220,1.075
6244,220,1.075
6254,220,1.075
6264,220,1.075
6274,219,1.070
6284,219,1.070
6294,219,1.070
6304,220,1.075
6315,220,1.075
6325,219,1.070
6335,219,1.070
6345,219,1.070
6355,219,1.070
6365,219,1.070
6375,219,1.070
6385,219,1.070
6395,219,1.070
6405,218,1.065
6415,219,1.070
6425,220,1.075
6435,219,1.070
6445,219,1.070
6455,219,1.070
6465,219,1.070
6475,218,1.065
6486,219,1.070
6496,219,1.070
6506,218,1.065
6516,219,1.070
6526,219,1.070
6536,218,1.065
6546,218,1.065
6556,218,1.065
6566,218,1.065
6576,218,1.065
6586,218,1.065
6596,218,1.065
6606,218,1.065
6616,218,1.065
6626,218,1.065
6636,218,1.065
6646,218,1.065
6656,218,1.065
6666,218,1.065
6676,218,1.065
6686,218,1.065
6696,218,1.065
6706,217,1.061
6716,218,1.065
6726,218,1.065
6736,217,1.061
6746,217,1.061
6756,218,1.065
6766,217,1.061
6776,217,1.061
6786,217,1.061
6796,217,1.061
6806,217,1.061
6816,217,1.061
6827,217,1.061
6837,217,1.061
6847,217,1.061
6857,217,1.061
6867,217,1.061
6877,217,1.061
6887,216,1.056
6897,216,1.056
6907,216,1.056
6917,216,1.056
6927,217,1.061
6937,217,1.061
6947,216,1.056
6957,216,1.056
6967,216,1.056
6977,216,1.056
6987,216,1.056
6998,216,1.056
7008,216,1.056
7018,216,1.056
7028,216,1.056
7038,216,1.056
7048,216,1.056
7058,216,1.056
7068,216,1.056
7078,216,1.056
7088,216,1.056
7098,216,1.056
7108,215,1.051
7118,216,1.056
7128,216,1.056
7138,216,1.056
7148,216,1.056
7158,215,1.051
7168,216,1.056
7178,216,1.056
7188,215,1.051
7198,215,1.051
7208,215,1.051
7218,215,1.051
7228,215,1.051
7238,215,1.051
7248,215,1.051
7258,215,1.051
7268,215,1.051
7278,215,1.051
7288,215,1.051
7298,215,1.051
7308,215,1.051
7318,215,1.051
7328,215,1.051
7339,215,1.051
7349,215,1.051
7359,215,1.051
7369,215,1.051
7379,215,1.051
7389,215,1.051
7399,215,1.051
7409,215,1.051
7419,215,1.051
7429,215,1.051
7439,215,1.051
7449,215,1.051
7459,215,1.051
7469,215,1.051
7479,215,1.051
7489,215,1.051
7499,215,1.051
7510,214,1.046
7520,215,1.051
7530,214,1.046
7540,215,1.051
7550,215,1.051
7560,215,1.051
7570,214,1.046
7580,214,1.046
7590,214,1.046
7600,214,1.046
7610,214,1.046
7620,214,1.046
7630,214,1.046
7640,214,1.046
7650,214,1.046
7660,215,1.051
7670,214,1.046
7680,214,1.046
7690,214,1.046
7700,214,1.046
7710,214,1.046
7720,214,1.046
7730,213,1.041
7740,214,1.046
7750,214,1.046
7760,214,1.046
7770,214,1.046
7780,213,1.041
7790,213,1.041
7800,213,1.041
7810,213,1.041
7820,213,1.041
7830,213,1.041
7840,213,1.041
7851,213,1.041
7861,213,1.041
7871,213,1.041
7881,213,1.041
7891,213,1.041
7901,213,1.041
7911,213,1.041
7921,213,1.041
7931,213,1.041
7941,213,1.041
7951,213,1.041
7961,213,1.041
7971,213,1.041
7981,212,1.036
7991,212,1.036
8001,213,1.041
8011,212,1.036
8022,212,1.036
8032,212,1.036
8042,212,1.036
8052,212,1.036
8062,212,1.036
8072,212,1.036
8082,212,1.036
8092,212,1.036
8102,212,1.036
8112,212,1.036
8122,212,1.036
8132,212,1.036
8142,212,1.036
8152,212,1.036
8162,212,1.036
8172,212,1.036
8182,212,1.036
8192,212,1.036
8202,211,1.031
8212,211,1.031
8222,211,1.031
8232,211,1.031
8242,211,1.031
8252,212,1.036
8262,211,1.031
8272,211,1.031
8282,211,1.031
8292,211,1.031
8302,211,1.031
8312,211,1.031
8322,211,1.031
8332,211,1.031
8342,211,1.031
8352,211,1.031
8363,211,1.031
8373,211,1.031
8383,211,1.031
8393,210,1.026
8403,210,1.026
8413,211,1.031
8423,210,1.026
8433,210,1.026
8443,210,1.026
8453,210,1.026
8463,210,1.026
8473,210,1.026
8483,210,1.026
8493,210,1.026
8503,210,1.026
8513,210,1.026
8523,210,1.026
8534,210,1.026
8544,210,1.026
8554,210,1.026
8564,210,1.026
8574,210,1.026
8584,210,1.026
8594,210,1.026
8604,210,1.026
8614,210,1.026
8624,210,1.026
8634,210,1.026
8644,210,1.026
8654,211,1.031
8664,211,1.031
8674,211,1.031
8684,211,1.031
8694,210,1.026
8704,211,1.031
8714,211,1.031
8724,210,1.026
8734,211,1.031
8744,211,1.031
8754,211,1.031
8764,211,1.031
8774,211,1.031
8784,211,1.031
8794,211,1.031
8804,211,1.031
8814,211,1.031
8824,211,1.031
8834,211,1.031
8844,212,1.036
8854,211,1.031
8864,212,1.036
8875,212,1.036
8885,212,1.036
8895,212,1.036
8905,212,1.036
8915,212,1.036
