Time(ms),ADC,Voltage(V)
0.000,678,0.729
0.000,678,0.729
0.000,679,0.730
0.000,679,0.730
15.000,679,0.730
15.000,679,0.730
15.000,678,0.729
31.000,679,0.730
31.000,679,0.730
31.000,678,0.729
46.000,679,0.730
46.000,679,0.730
46.000,678,0.729
62.000,679,0.730
62.000,678,0.729
62.000,678,0.729
78.000,679,0.730
78.000,678,0.729
78.000,679,0.730
109.000,679,0.730
109.000,679,0.730
109.000,678,0.729
109.000,679,0.730
109.000,679,0.730
109.000,679,0.730
109.000,679,0.730
125.000,679,0.730
125.000,679,0.730
125.000,680,0.731
140.000,680,0.731
140.000,680,0.731
140.000,680,0.731
156.000,680,0.731
156.000,680,0.731
156.000,680,0.731
171.000,680,0.731
171.000,680,0.731
171.000,680,0.731
187.000,680,0.731
187.000,680,0.731
187.000,680,0.731
203.000,680,0.731
203.000,680,0.731
203.000,680,0.731
218.000,680,0.731
234.000,680,0.731
234.000,680,0.731
234.000,680,0.731
234.000,680,0.731
234.000,680,0.731
250.000,680,0.731
250.000,680,0.731
250.000,680,0.731
265.000,680,0.731
265.000,680,0.731
265.000,680,0.731
281.000,680,0.731
281.000,679,0.730
281.000,680,0.731
281.000,680,0.731
296.000,680,0.731
296.000,680,0.731
296.000,680,0.731
312.000,680,0.731
312.000,681,0.732
312.000,681,0.732
328.000,680,0.731
343.000,680,0.731
343.000,680,0.731
343.000,680,0.731
343.000,680,0.731
343.000,680,0.731
359.000,680,0.731
359.000,680,0.731
359.000,680,0.731
375.000,680,0.731
375.000,680,0.731
375.000,680,0.731
390.000,680,0.731
390.000,681,0.732
390.000,680,0.731
406.000,681,0.732
406.000,680,0.731
406.000,681,0.732
406.000,680,0.731
421.000,680,0.731
421.000,681,0.732
437.000,680,0.731
437.000,681,0.732
453.000,680,0.731
468.000,680,0.731
468.000,681,0.732
468.000,681,0.732
468.000,682,0.733
468.000,682,0.733
468.000,682,0.733
468.000,683,0.734
484.000,683,0.734
484.000,683,0.734
484.000,683,0.734
500.000,683,0.734
500.000,683,0.734
500.000,684,0.735
515.000,683,0.734
515.000,683,0.734
515.000,683,0.734
531.000,683,0.734
531.000,683,0.734
531.000,684,0.735
546.000,683,0.734
546.000,683,0.734
562.000,683,0.734
562.000,683,0.734
562.000,683,0.734
562.000,683,0.734
578.000,683,0.734
578.000,683,0.734
578.000,683,0.734
578.000,683,0.734
593.000,683,0.734
593.000,683,0.734
593.000,683,0.734
609.000,683,0.734
609.000,683,0.734
609.000,683,0.734
625.000,684,0.735
625.000,684,0.735
625.000,684,0.735
640.000,683,0.734
640.000,683,0.734
640.000,683,0.734
656.000,684,0.735
671.000,684,0.735
671.000,684,0.735
671.000,683,0.734
671.000,683,0.734
671.000,683,0.734
687.000,684,0.735
687.000,684,0.735
687.000,683,0.734
703.000,683,0.734
703.000,683,0.734
703.000,683,0.734
718.000,684,0.735
718.000,684,0.735
718.000,684,0.735
734.000,684,0.735
734.000,684,0.735
734.000,683,0.734
734.000,683,0.734
750.000,683,0.734
750.000,684,0.735
750.000,684,0.735
781.000,683,0.734
781.000,683,0.734
781.000,683,0.734
781.000,684,0.735
781.000,683,0.734
781.000,684,0.735
796.000,684,0.735
796.000,683,0.734
796.000,683,0.734
812.000,684,0.735
812.000,683,0.734
812.000,684,0.735
828.000,684,0.735
828.000,684,0.735
828.000,683,0.734
843.000,684,0.735
843.000,684,0.735
843.000,684,0.735
859.000,684,0.735
859.000,684,0.735
859.000,684,0.735
890.000,684,0.735
890.000,684,0.735
890.000,684,0.735
890.000,684,0.735
890.000,684,0.735
890.000,684,0.735
906.000,683,0.734
906.000,684,0.735
906.000,684,0.735
921.000,684,0.735
921.000,683,0.734
921.000,684,0.735
921.000,684,0.735
937.000,683,0.734
937.000,684,0.735
937.000,684,0.735
953.000,684,0.735
953.000,684,0.735
953.000,684,0.735
968.000,684,0.735
968.000,683,0.734
968.000,684,0.735
984.000,684,0.735
984.000,683,0.734
984.000,685,0.737
1000.000,684,0.735
1031.000,684,0.735
1031.000,684,0.735
1031.000,684,0.735
1031.000,684,0.735
1031.000,684,0.735
1031.000,684,0.735
1031.000,684,0.735
1031.000,684,0.735
1046.000,684,0.735
1046.000,684,0.735
1046.000,684,0.735
1046.000,684,0.735
1062.000,684,0.735
1062.000,684,0.735
1062.000,684,0.735
1078.000,684,0.735
1078.000,684,0.735
1078.000,684,0.735
1093.000,684,0.735
1093.000,684,0.735
1093.000,684,0.735
1109.000,684,0.735
1109.000,684,0.735
1109.000,684,0.735
1125.000,684,0.735
1125.000,684,0.735
1125.000,685,0.737
1140.000,684,0.735
1156.000,684,0.735
1156.000,684,0.735
1156.000,684,0.735
1156.000,684,0.735
1156.000,685,0.737
1171.000,684,0.735
1171.000,684,0.735
1171.000,684,0.735
1187.000,684,0.735
1187.000,684,0.735
1187.000,684,0.735
1203.000,685,0.737
1203.000,684,0.735
1203.000,684,0.735
1203.000,684,0.735
1218.000,685,0.737
1218.000,685,0.737
1218.000,684,0.735
1234.000,685,0.737
1234.000,684,0.735
1234.000,684,0.735
1250.000,685,0.737
1250.000,685,0.737
1250.000,685,0.737
1265.000,684,0.735
1281.000,685,0.737
1281.000,684,0.735
1281.000,684,0.735
1281.000,684,0.735
1281.000,684,0.735
1296.000,684,0.735
1296.000,684,0.735
1296.000,684,0.735
1312.000,684,0.735
1312.000,684,0.735
1312.000,684,0.735
1328.000,684,0.735
1328.000,684,0.735
1328.000,684,0.735
1343.000,685,0.737
1343.000,685,0.737
1343.000,684,0.735
1359.000,685,0.737
1359.000,685,0.737
1359.000,685,0.737
1375.000,685,0.737
1375.000,684,0.735
1406.000,685,0.737
1406.000,685,0.737
1406.000,684,0.735
1406.000,684,0.735
1406.000,685,0.737
1406.000,685,0.737
1406.000,685,0.737
1406.000,685,0.737
1421.000,685,0.737
1421.000,684,0.735
1421.000,685,0.737
1437.000,685,0.737
1437.000,685,0.737
1437.000,685,0.737
1453.000,685,0.737
1453.000,685,0.737
1453.000,685,0.737
1468.000,685,0.737
1468.000,685,0.737
1468.000,685,0.737
1484.000,685,0.737
1484.000,685,0.737
1484.000,685,0.737
1500.000,685,0.737
1500.000,685,0.737
1500.000,685,0.737
1531.000,685,0.737
1531.000,685,0.737
1531.000,685,0.737
1531.000,684,0.735
1531.000,685,0.737
1531.000,686,0.738
1531.000,685,0.737
1546.000,685,0.737
1546.000,685,0.737
1546.000,685,0.737
1562.000,685,0.737
1562.000,685,0.737
1562.000,685,0.737
1578.000,685,0.737
1578.000,685,0.737
1578.000,685,0.737
1593.000,685,0.737
1593.000,685,0.737
1593.000,685,0.737
1609.000,685,0.737
1609.000,685,0.737
1609.000,685,0.737
1625.000,684,0.735
1625.000,685,0.737
1625.000,686,0.738
1640.000,685,0.737
1656.000,685,0.737
1656.000,685,0.737
1656.000,685,0.737
