Time(ms),ADC,Voltage(V)
0.000,679,0.730
0.000,679,0.730
0.000,680,0.731
0.000,680,0.731
0.000,680,0.731
0.000,680,0.731
0.000,679,0.730
0.000,679,0.730
0.000,680,0.731
0.000,680,0.731
0.000,680,0.731
15.000,680,0.731
15.000,680,0.731
15.000,680,0.731
31.000,680,0.731
47.000,680,0.731
47.000,680,0.731
47.000,680,0.731
47.000,680,0.731
47.000,680,0.731
62.000,680,0.731
62.000,680,0.731
62.000,680,0.731
78.000,680,0.731
94.000,680,0.731
94.000,680,0.731
94.000,680,0.731
94.000,680,0.731
94.000,680,0.731
94.000,680,0.731
109.000,680,0.731
109.000,680,0.731
109.000,680,0.731
125.000,680,0.731
125.000,680,0.731
125.000,681,0.732
140.000,681,0.732
140.000,681,0.732
140.000,683,0.734
156.000,682,0.733
172.000,682,0.733
172.000,682,0.733
172.000,683,0.734
172.000,683,0.734
172.000,683,0.734
187.000,683,0.734
187.000,683,0.734
187.000,683,0.734
203.000,682,0.733
219.000,683,0.734
219.000,683,0.734
219.000,683,0.734
219.000,682,0.733
219.000,683,0.734
234.000,682,0.733
234.000,683,0.734
234.000,683,0.734
234.000,683,0.734
250.000,682,0.733
250.000,683,0.734
250.000,682,0.733
281.000,683,0.734
281.000,682,0.733
281.000,682,0.733
281.000,683,0.734
281.000,683,0.734
281.000,683,0.734
297.000,683,0.734
297.000,683,0.734
297.000,683,0.734
312.000,683,0.734
312.000,683,0.734
312.000,683,0.734
344.000,683,0.734
344.000,683,0.734
344.000,683,0.734
344.000,683,0.734
344.000,683,0.734
344.000,683,0.734
359.000,683,0.734
359.000,683,0.734
359.000,683,0.734
375.000,683,0.734
375.000,683,0.734
375.000,683,0.734
390.000,684,0.735
390.000,683,0.734
406.000,684,0.735
406.000,684,0.735
406.000,684,0.735
406.000,683,0.734
406.000,683,0.734
422.000,683,0.734
422.000,683,0.734
422.000,684,0.735
437.000,683,0.734
437.000,683,0.734
437.000,683,0.734
453.000,683,0.734
469.000,684,0.735
