Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,679,0.730,0.730364
0.000,679,0.730,0.730364
0.000,680,0.731,0.730364
0.000,680,0.731,0.730455
0.000,680,0.731,0.730545
0.000,680,0.731,0.730636
0.000,679,0.730,0.730727
0.000,679,0.730,0.730818
0.000,680,0.731,0.730818
0.000,680,0.731,0.730818
0.000,680,0.731,0.730818
15.000,680,0.731,0.730818
15.000,680,0.731,0.730909
15.000,680,0.731,0.731000
31.000,680,0.731,0.731000
47.000,680,0.731,0.731000
47.000,680,0.731,0.731000
47.000,680,0.731,0.731000
47.000,680,0.731,0.731000
47.000,680,0.731,0.731000
62.000,680,0.731,0.731000
62.000,680,0.731,0.731000
62.000,680,0.731,0.731000
78.000,680,0.731,0.731000
94.000,680,0.731,0.731000
94.000,680,0.731,0.731000
94.000,680,0.731,0.731000
94.000,680,0.731,0.731000
94.000,680,0.731,0.731000
94.000,680,0.731,0.731000
109.000,680,0.731,0.731091
109.000,680,0.731,0.731182
109.000,680,0.731,0.731273
125.000,680,0.731,0.731545
125.000,680,0.731,0.731727
125.000,681,0.732,0.731909
140.000,681,0.732,0.732091
140.000,681,0.732,0.732364
140.000,683,0.734,0.732636
156.000,682,0.733,0.732909
172.000,682,0.733,0.733182
172.000,682,0.733,0.733364
172.000,683,0.734,0.733545
172.000,683,0.734,0.733636
172.000,683,0.734,0.733636
187.000,683,0.734,0.733727
187.000,683,0.734,0.733818
187.000,683,0.734,0.733818
203.000,682,0.733,0.733818
219.000,683,0.734,0.733727
219.000,683,0.734,0.733727
219.000,683,0.734,0.733727
219.000,682,0.733,0.733727
219.000,683,0.734,0.733636
234.000,682,0.733,0.733727
234.000,683,0.734,0.733636
234.000,683,0.734,0.733636
234.000,683,0.734,0.733545
250.000,682,0.733,0.733545
250.000,683,0.734,0.733545
250.000,682,0.733,0.733636
281.000,683,0.734,0.733636
281.000,682,0.733,0.733636
281.000,682,0.733,0.733636
281.000,683,0.734,0.733727
281.000,683,0.734,0.733727
281.000,683,0.734,0.733818
297.000,683,0.734,0.733818
297.000,683,0.734,0.733909
297.000,683,0.734,0.734000
312.000,683,0.734,0.734000
312.000,683,0.734,0.734000
312.000,683,0.734,0.734000
344.000,683,0.734,0.734000
344.000,683,0.734,0.734000
344.000,683,0.734,0.734000
344.000,683,0.734,0.734000
344.000,683,0.734,0.734000
344.000,683,0.734,0.734000
359.000,683,0.734,0.734000
359.000,683,0.734,0.734091
359.000,683,0.734,0.734091
375.000,683,0.734,0.734182
375.000,683,0.734,0.734273
375.000,683,0.734,0.734364
390.000,684,0.735,0.734364
390.000,683,0.734,0.734364
406.000,684,0.735,0.734364
406.000,684,0.735,0.734364
406.000,684,0.735,0.734455
406.000,683,0.734,0.734455
406.000,683,0.734,0.734364
422.000,683,0.734,0.734364
422.000,683,0.734,0.734273
422.000,684,0.735,0.734273
437.000,683,0.734,0.734182
437.000,683,0.734,0.734182
437.000,683,0.734,0.734182
453.000,683,0.734,0.734182
469.000,684,0.735,0.734273
469.000,683,0.734,0.734273
469.000,683,0.734,0.734273
469.000,683,0.734,0.734364
469.000,683,0.734,0.734455
484.000,684,0.735,0.734545
484.000,684,0.735,0.734455
484.000,683,0.734,0.734545
500.000,684,0.735,0.734636
500.000,684,0.735,0.734727
500.000,684,0.735,0.734818
515.000,683,0.734,0.734818
531.000,684,0.735,0.734727
531.000,684,0.735,0.734727
531.000,684,0.735,0.734636
531.000,684,0.735,0.734636
531.000,684,0.735,0.734545
531.000,683,0.734,0.734636
547.000,683,0.734,0.734636
547.000,683,0.734,0.734636
547.000,684,0.735,0.734636
578.000,683,0.734,0.734636
578.000,684,0.735,0.734636
578.000,684,0.735,0.734727
578.000,684,0.735,0.734818
578.000,684,0.735,0.734909
578.000,684,0.735,0.734909
594.000,684,0.735,0.735000
594.000,684,0.735,0.735000
594.000,684,0.735,0.735000
609.000,684,0.735,0.735000
609.000,684,0.735,0.735000
609.000,684,0.735,0.735000
625.000,684,0.735,0.735000
625.000,684,0.735,0.735000
625.000,684,0.735,0.735000
640.000,684,0.735,0.735000
672.000,684,0.735,0.735000
687.000,684,0.735,0.735000
687.000,684,0.735,0.735000
687.000,684,0.735,0.735000
687.000,684,0.735,0.735000
687.000,684,0.735,0.735000
687.000,684,0.735,0.735000
687.000,684,0.735,0.735000
687.000,684,0.735,0.735000
687.000,684,0.735,0.735000
687.000,684,0.735,0.735000
703.000,684,0.735,0.735000
703.000,684,0.735,0.735000
703.000,684,0.735,0.735182
703.000,684,0.735,0.735182
719.000,684,0.735,0.735182
719.000,684,0.735,0.735182
719.000,684,0.735,0.735182
734.000,685,0.737,0.735182
734.000,684,0.735,0.735182
734.000,684,0.735,0.735182
750.000,684,0.735,0.735182
750.000,684,0.735,0.735182
750.000,684,0.735,0.735182
765.000,684,0.735,0.735182
765.000,684,0.735,0.735182
765.000,684,0.735,0.735364
781.000,684,0.735,0.735364
797.000,684,0.735,0.735545
828.000,685,0.737,0.735727
828.000,684,0.735,0.735727
828.000,685,0.737,0.735727
828.000,684,0.735,0.735909
828.000,685,0.737,0.736091
828.000,685,0.737,0.736273
828.000,684,0.735,0.736091
828.000,684,0.735,0.736091
828.000,685,0.737,0.735909
828.000,685,0.737,0.735909
844.000,685,0.737,0.735727
844.000,684,0.735,0.735727
844.000,684,0.735,0.735727
859.000,684,0.735,0.735727
859.000,684,0.735,0.735545
859.000,684,0.735,0.735545
875.000,685,0.737,0.735545
875.000,684,0.735,0.735727
875.000,684,0.735,0.735909
875.000,684,0.735,0.735909
890.000,685,0.737,0.736091
890.000,685,0.737,0.736273
890.000,685,0.737,0.736273
906.000,685,0.737,0.736455
922.000,684,0.735,0.736636
953.000,685,0.737,0.736818
953.000,685,0.737,0.736818
953.000,685,0.737,0.736818
953.000,685,0.737,0.736818
953.000,685,0.737,0.736818
953.000,685,0.737,0.737000
953.000,685,0.737,0.736818
953.000,685,0.737,0.736636
953.000,685,0.737,0.736636
953.000,685,0.737,0.736636
969.000,685,0.737,0.736636
969.000,684,0.735,0.736636
969.000,684,0.735,0.736636
984.000,685,0.737,0.736636
984.000,685,0.737,0.736727
984.000,685,0.737,0.736727
1000.000,685,0.737,0.736727
1000.000,685,0.737,0.736909
1000.000,685,0.737,0.737091
1015.000,686,0.738,0.737091
1015.000,685,0.737,0.737091
1015.000,685,0.737,0.737091
1015.000,685,0.737,0.737091
1047.000,685,0.737,0.737091
1078.000,685,0.737,0.737091
1078.000,685,0.737,0.737000
1078.000,685,0.737,0.737000
1078.000,685,0.737,0.737000
1078.000,685,0.737,0.737000
1078.000,685,0.737,0.737000
1078.000,685,0.737,0.737000
1078.000,685,0.737,0.737000
1078.000,685,0.737,0.737000
1078.000,685,0.737,0.737000
1078.000,685,0.737,0.737000
