Time(ms),PCElapsed(ms),ADC,Voltage(V)
1413677,0.000,673,0.724
1413682,31.000,672,0.723
1413687,31.000,673,0.724
1413692,31.000,672,0.723
1413697,31.000,672,0.723
1413702,31.000,673,0.724
1413707,31.000,673,0.724
1413712,31.000,673,0.724
1413718,31.000,673,0.724
1413723,31.000,673,0.724
1413728,31.000,672,0.723
1413733,31.000,673,0.724
1413738,31.000,672,0.723
1413743,47.000,672,0.723
1413748,47.000,672,0.723
1413753,47.000,673,0.724
1413758,63.000,673,0.724
1413763,63.000,673,0.724
1413768,63.000,673,0.724
1413773,63.000,673,0.724
1413778,78.000,673,0.724
1413783,78.000,673,0.724
1413788,110.000,673,0.724
1413793,110.000,673,0.724
1413798,110.000,673,0.724
1413803,110.000,673,0.724
1413808,110.000,673,0.724
1413813,110.000,673,0.724
1413818,110.000,672,0.723
1413823,125.000,672,0.723
1413828,125.000,673,0.724
1413833,156.000,673,0.724
1413838,156.000,673,0.724
1413843,156.000,673,0.724
1413848,156.000,673,0.724
1413853,156.000,673,0.724
1413858,156.000,673,0.724
1413863,156.000,673,0.724
1413868,172.000,673,0.724
1413873,172.000,673,0.724
1413878,172.000,673,0.724
1413883,188.000,674,0.725
1413888,188.000,673,0.724
1413893,188.000,673,0.724
1413898,188.000,674,0.725
1413903,203.000,674,0.725
1413908,203.000,673,0.724
1413913,219.000,673,0.724
1413918,219.000,673,0.724
1413923,219.000,673,0.724
1413928,219.000,674,0.725
1413933,235.000,673,0.724
1413938,235.000,674,0.725
1413943,235.000,674,0.725
1413948,250.000,674,0.725
1413953,250.000,674,0.725
1413958,250.000,674,0.725
1413963,266.000,673,0.724
1413968,281.000,673,0.724
1413974,281.000,674,0.725
1413979,281.000,674,0.725
1413984,281.000,674,0.725
1413989,281.000,674,0.725
1413994,297.000,674,0.725
1413999,297.000,674,0.725
1414004,297.000,673,0.724
1414009,313.000,673,0.724
1414014,313.000,674,0.725
1414019,313.000,674,0.725
1414024,328.000,673,0.724
1414029,344.000,674,0.725
1414034,344.000,674,0.725
1414039,344.000,674,0.725
1414044,344.000,674,0.725
1414049,344.000,674,0.725
1414054,360.000,674,0.725
1414059,360.000,674,0.725
1414064,360.000,674,0.725
1414069,360.000,674,0.725
1414074,375.000,674,0.725
1414079,375.000,674,0.725
1414084,406.000,674,0.725
1414089,406.000,674,0.725
1414094,406.000,674,0.725
1414099,406.000,674,0.725
1414104,406.000,674,0.725
1414109,406.000,674,0.725
1414114,406.000,674,0.725
1414119,422.000,674,0.725
1414124,422.000,674,0.725
1414129,422.000,674,0.725
1414134,438.000,674,0.725
1414139,438.000,675,0.726
1414144,438.000,674,0.725
1414149,438.000,674,0.725
1414154,469.000,674,0.725
1414159,469.000,674,0.725
1414164,469.000,675,0.726
1414169,469.000,675,0.726
1414174,469.000,675,0.726
1414179,469.000,675,0.726
1414184,485.000,674,0.725
1414189,485.000,674,0.725
1414194,485.000,675,0.726
1414199,500.000,674,0.725
1414204,500.000,674,0.725
1414209,531.000,675,0.726
1414214,531.000,675,0.726
1414219,531.000,674,0.725
1414224,531.000,674,0.725
1414230,531.000,674,0.725
1414235,531.000,674,0.725
1414240,531.000,674,0.725
1414245,547.000,675,0.726
1414250,547.000,675,0.726
1414255,547.000,675,0.726
1414260,563.000,674,0.725
1414265,563.000,675,0.726
1414270,563.000,675,0.726
1414275,594.000,675,0.726
1414280,594.000,675,0.726
1414285,594.000,675,0.726
1414290,594.000,675,0.726
1414295,594.000,674,0.725
1414300,594.000,675,0.726
1414305,610.000,675,0.726
1414310,610.000,675,0.726
1414315,610.000,675,0.726
1414320,610.000,675,0.726
1414325,625.000,675,0.726
1414330,625.000,675,0.726
1414335,656.000,675,0.726
1414340,656.000,675,0.726
1414345,656.000,675,0.726
1414350,656.000,675,0.726
1414355,656.000,675,0.726
1414360,656.000,675,0.726
1414365,656.000,675,0.726
1414370,672.000,675,0.726
1414375,672.000,675,0.726
1414380,672.000,675,0.726
1414385,688.000,675,0.726
1414390,688.000,675,0.726
1414395,719.000,674,0.725
1414400,719.000,675,0.726
1414405,719.000,675,0.726
1414410,719.000,675,0.726
1414415,719.000,675,0.726
1414420,719.000,675,0.726
1414425,719.000,675,0.726
1414430,735.000,675,0.726
1414435,735.000,675,0.726
1414440,735.000,675,0.726
1414445,735.000,675,0.726
1414450,750.000,675,0.726
1414455,766.000,675,0.726
1414460,766.000,675,0.726
1414465,766.000,675,0.726
1414470,766.000,675,0.726
1414475,766.000,676,0.727
1414480,781.000,676,0.727
1414486,781.000,675,0.726
1414491,781.000,676,0.727
1414496,797.000,675,0.726
1414501,797.000,675,0.726
1414506,797.000,676,0.727
1414511,813.000,676,0.727
1414516,813.000,676,0.727
1414521,813.000,676,0.727
1414526,828.000,676,0.727
1414531,844.000,676,0.727
1414536,844.000,677,0.728
1414541,844.000,677,0.728
1414546,844.000,677,0.728
1414551,844.000,678,0.729
1414556,860.000,678,0.729
1414561,860.000,677,0.728
1414566,860.000,678,0.729
1414571,860.000,677,0.728
1414576,906.000,678,0.729
1414581,906.000,678,0.729
1414586,906.000,678,0.729
1414591,906.000,677,0.728
1414596,906.000,678,0.729
1414601,906.000,678,0.729
1414606,906.000,678,0.729
1414611,906.000,678,0.729
1414616,906.000,678,0.729
1414621,922.000,678,0.729
1414626,922.000,678,0.729
1414631,922.000,678,0.729
1414636,938.000,677,0.728
1414641,938.000,678,0.729
1414646,938.000,678,0.729
1414651,969.000,678,0.729
1414656,969.000,678,0.729
1414661,969.000,679,0.730
1414666,969.000,678,0.729
1414671,969.000,678,0.729
1414676,969.000,678,0.729
1414681,985.000,678,0.729
1414686,985.000,678,0.729
1414691,985.000,678,0.729
1414696,1000.000,678,0.729
1414701,1000.000,678,0.729
1414706,1000.000,678,0.729
1414711,1031.000,678,0.729
1414716,1031.000,678,0.729
1414721,1031.000,678,0.729
1414726,1031.000,678,0.729
1414731,1031.000,678,0.729
1414736,1031.000,678,0.729
1414742,1031.000,678,0.729
1414747,1047.000,678,0.729
1414752,1047.000,678,0.729
1414757,1047.000,679,0.730
1414762,1063.000,678,0.729
1414767,1063.000,678,0.729
1414772,1094.000,679,0.730
1414777,1094.000,678,0.729
1414782,1094.000,678,0.729
1414787,1094.000,679,0.730
1414792,1094.000,678,0.729
1414797,1094.000,678,0.729
1414802,1094.000,678,0.729
1414807,1110.000,678,0.729
1414812,1110.000,678,0.729
1414817,1110.000,678,0.729
1414822,1125.000,678,0.729
1414827,1125.000,678,0.729
1414832,1156.000,678,0.729
1414837,1156.000,678,0.729
1414842,1156.000,678,0.729
1414847,1156.000,678,0.729
