Time(ms),PCElapsed(ms),ADC,Voltage(V)
3285444,15.000,659,0.709
3285449,15.000,659,0.709
3285454,31.000,659,0.709
3285459,31.000,659,0.709
3285464,31.000,659,0.709
3285469,31.000,659,0.709
3285474,31.000,659,0.709
3285479,31.000,659,0.709
3285484,31.000,659,0.709
3285489,31.000,659,0.709
3285494,31.000,659,0.709
3285499,31.000,658,0.708
3285504,47.000,659,0.709
3285509,47.000,659,0.709
3285514,47.000,659,0.709
3285519,62.000,659,0.709
3285524,62.000,659,0.709
3285529,62.000,659,0.709
3285534,78.000,659,0.709
3285539,78.000,659,0.709
3285544,78.000,659,0.709
3285549,109.000,659,0.709
3285554,109.000,659,0.709
3285559,109.000,659,0.709
3285564,109.000,659,0.709
3285569,109.000,660,0.710
3285574,109.000,659,0.709
3285579,125.000,659,0.709
3285584,125.000,659,0.709
3285590,125.000,659,0.709
3285595,156.000,659,0.709
3285600,156.000,659,0.709
3285605,156.000,659,0.709
3285610,156.000,659,0.709
3285615,156.000,659,0.709
3285620,156.000,659,0.709
3285625,172.000,659,0.709
3285630,172.000,659,0.709
3285635,172.000,659,0.709
3285640,172.000,659,0.709
3285645,187.000,659,0.709
3285650,187.000,659,0.709
3285655,187.000,659,0.709
3285660,203.000,659,0.709
3285665,203.000,659,0.709
3285670,203.000,660,0.710
3285675,234.000,660,0.710
3285680,234.000,659,0.709
3285685,234.000,659,0.709
3285690,234.000,660,0.710
3285695,234.000,659,0.709
3285700,234.000,659,0.709
3285705,250.000,659,0.709
3285710,250.000,659,0.709
3285715,250.000,660,0.710
3285720,265.000,659,0.709
3285725,281.000,659,0.709
3285730,281.000,660,0.710
3285735,281.000,660,0.710
3285740,281.000,659,0.709
3285745,281.000,660,0.710
3285750,297.000,660,0.710
3285755,297.000,660,0.710
3285760,297.000,659,0.709
3285765,297.000,660,0.710
3285770,312.000,660,0.710
3285775,312.000,659,0.709
3285780,312.000,660,0.710
3285785,343.000,660,0.710
3285790,343.000,660,0.710
3285795,343.000,660,0.710
3285800,343.000,660,0.710
3285805,343.000,660,0.710
3285810,343.000,660,0.710
3285815,359.000,660,0.710
3285820,359.000,660,0.710
3285825,359.000,660,0.710
3285830,375.000,660,0.710
3285835,375.000,660,0.710
3285840,375.000,660,0.710
3285846,390.000,660,0.710
3285851,406.000,660,0.710
3285856,406.000,660,0.710
3285861,406.000,660,0.710
3285866,406.000,660,0.710
3285871,406.000,660,0.710
3285876,422.000,660,0.710
3285881,422.000,659,0.709
3285886,422.000,660,0.710
3285891,437.000,660,0.710
3285896,453.000,660,0.710
3285901,468.000,660,0.710
3285906,468.000,660,0.710
3285911,468.000,660,0.710
3285916,468.000,660,0.710
