Time(ms),PCElapsed(ms),ADC,Voltage(V)
2406199,0.000,658,0.708
2406204,0.000,658,0.708
2406209,0.000,658,0.708
2406214,0.000,658,0.708
2406219,0.000,658,0.708
2406224,0.000,659,0.709
2406230,0.000,658,0.708
2406235,0.000,658,0.708
2406240,0.000,658,0.708
2406245,0.000,658,0.708
2406250,0.000,658,0.708
2406255,0.000,659,0.709
2406260,0.000,659,0.709
2406265,15.000,658,0.708
2406270,15.000,659,0.709
2406275,15.000,659,0.709
2406280,31.000,659,0.709
2406285,31.000,659,0.709
2406290,31.000,659,0.709
2406295,31.000,658,0.708
2406300,62.000,658,0.708
2406305,62.000,659,0.709
2406310,62.000,659,0.709
2406315,62.000,658,0.708
2406320,62.000,659,0.709
2406325,62.000,659,0.709
2406330,78.000,659,0.709
2406335,78.000,659,0.709
2406340,78.000,659,0.709
2406345,109.000,659,0.709
2406350,109.000,659,0.709
2406355,109.000,659,0.709
2406360,109.000,660,0.710
2406365,109.000,659,0.709
2406370,109.000,658,0.708
2406375,125.000,659,0.709
2406380,125.000,659,0.709
2406385,125.000,659,0.709
2406390,140.000,659,0.709
2406395,140.000,659,0.709
2406400,140.000,659,0.709
2406405,156.000,659,0.709
2406410,172.000,659,0.709
2406415,172.000,659,0.709
2406420,172.000,659,0.709
2406425,172.000,659,0.709
2406430,172.000,659,0.709
2406435,187.000,659,0.709
2406440,187.000,659,0.709
2406445,187.000,660,0.710
2406450,187.000,659,0.709
2406455,203.000,659,0.709
2406460,203.000,660,0.710
2406465,203.000,660,0.710
2406470,234.000,660,0.710
2406475,234.000,660,0.710
2406480,234.000,659,0.709
2406486,234.000,660,0.710
2406491,234.000,659,0.709
2406496,234.000,659,0.709
2406501,250.000,660,0.710
2406506,250.000,659,0.709
2406511,250.000,659,0.709
2406516,281.000,659,0.709
2406521,281.000,660,0.710
2406526,281.000,660,0.710
2406531,281.000,660,0.710
2406536,281.000,660,0.710
2406541,281.000,660,0.710
2406546,297.000,660,0.710
2406551,297.000,659,0.709
2406556,297.000,659,0.709
2406561,312.000,660,0.710
2406566,312.000,660,0.710
2406571,312.000,659,0.709
2406576,312.000,660,0.710
2406581,328.000,660,0.710
2406586,328.000,660,0.710
2406591,359.000,660,0.710
2406596,359.000,660,0.710
2406601,359.000,660,0.710
2406606,359.000,660,0.710
2406611,359.000,660,0.710
2406616,359.000,659,0.709
2406621,359.000,659,0.709
2406626,375.000,660,0.710
2406631,375.000,660,0.710
2406636,375.000,660,0.710
2406641,422.000,660,0.710
2406646,422.000,660,0.710
2406651,422.000,660,0.710
2406656,422.000,660,0.710
2406661,422.000,660,0.710
2406666,422.000,659,0.709
2406671,422.000,660,0.710
2406676,422.000,660,0.710
2406681,422.000,660,0.710
2406686,437.000,660,0.710
2406691,437.000,660,0.710
2406696,437.000,660,0.710
2406701,453.000,660,0.710
2406706,453.000,660,0.710
2406711,484.000,660,0.710
2406716,484.000,659,0.709
2406721,484.000,660,0.710
2406726,484.000,661,0.711
2406731,484.000,660,0.710
2406736,484.000,660,0.710
2406742,484.000,660,0.710
2406747,484.000,660,0.710
2406752,500.000,660,0.710
2406757,500.000,660,0.710
2406762,500.000,660,0.710
2406767,515.000,660,0.710
2406772,547.000,660,0.710
2406777,547.000,660,0.710
2406782,547.000,660,0.710
2406787,547.000,660,0.710
2406792,547.000,660,0.710
2406797,547.000,660,0.710
2406802,547.000,660,0.710
2406807,547.000,660,0.710
2406812,562.000,660,0.710
2406817,562.000,660,0.710
2406822,562.000,660,0.710
2406827,578.000,661,0.711
2406832,578.000,661,0.711
2406837,609.000,661,0.711
