Time(ms),PCElapsed(ms),ADC,Voltage(V)
606891,0.000,678,0.729
606896,0.000,679,0.730
606901,16.000,679,0.730
606906,16.000,678,0.729
606911,16.000,679,0.730
606916,31.000,679,0.730
606921,31.000,679,0.730
606926,47.000,679,0.730
606931,62.000,679,0.730
606936,62.000,679,0.730
606941,62.000,679,0.730
606946,62.000,679,0.730
606951,62.000,679,0.730
606956,62.000,679,0.730
606961,62.000,679,0.730
606966,78.000,679,0.730
606971,78.000,678,0.729
606976,78.000,679,0.730
606981,94.000,679,0.730
606986,94.000,679,0.730
606991,94.000,678,0.729
606996,109.000,679,0.730
607001,109.000,679,0.730
607006,109.000,679,0.730
607011,125.000,679,0.730
607016,125.000,679,0.730
607021,125.000,679,0.730
607026,141.000,679,0.730
607031,141.000,679,0.730
607036,141.000,679,0.730
607041,172.000,679,0.730
607046,187.000,679,0.730
607051,187.000,680,0.731
607056,187.000,679,0.730
607062,187.000,679,0.730
607067,187.000,679,0.730
607072,187.000,679,0.730
607077,187.000,679,0.730
607082,187.000,679,0.730
607087,187.000,679,0.730
607092,203.000,679,0.730
607097,203.000,679,0.730
607102,203.000,679,0.730
607107,219.000,679,0.730
607112,219.000,679,0.730
607117,219.000,680,0.731
607122,234.000,679,0.730
607127,234.000,679,0.730
607132,234.000,680,0.731
607137,250.000,680,0.731
607142,250.000,679,0.730
607147,250.000,679,0.730
607152,266.000,679,0.730
607157,266.000,679,0.730
607162,281.000,679,0.730
607167,312.000,679,0.730
607172,312.000,679,0.730
607177,312.000,679,0.730
607182,312.000,680,0.731
607187,312.000,679,0.730
607192,312.000,679,0.730
607197,312.000,680,0.731
607202,312.000,680,0.731
607207,312.000,679,0.730
607212,312.000,680,0.731
607217,328.000,680,0.731
607222,328.000,679,0.730
607227,328.000,680,0.731
607232,344.000,680,0.731
607237,344.000,680,0.731
607242,344.000,681,0.732
607247,359.000,680,0.731
607252,359.000,680,0.731
607257,359.000,680,0.731
607262,375.000,679,0.730
607267,375.000,680,0.731
607272,375.000,680,0.731
607277,406.000,679,0.730
