Time(ms),ADC,Voltage(V)
15.000,668,0.718
15.000,669,0.719
15.000,668,0.718
15.000,669,0.719
15.000,668,0.718
15.000,668,0.718
15.000,669,0.719
15.000,669,0.719
15.000,668,0.718
31.000,669,0.719
31.000,669,0.719
62.000,669,0.719
62.000,669,0.719
62.000,669,0.719
62.000,669,0.719
62.000,669,0.719
62.000,669,0.719
62.000,669,0.719
78.000,669,0.719
78.000,669,0.719
78.000,669,0.719
93.000,668,0.718
93.000,669,0.719
93.000,669,0.719
93.000,669,0.719
109.000,668,0.718
109.000,669,0.719
109.000,669,0.719
125.000,669,0.719
125.000,669,0.719
125.000,669,0.719
140.000,669,0.719
140.000,669,0.719
140.000,669,0.719
156.000,669,0.719
156.000,669,0.719
187.000,669,0.719
187.000,669,0.719
187.000,669,0.719
187.000,669,0.719
187.000,670,0.720
187.000,669,0.719
187.000,669,0.719
203.000,669,0.719
203.000,669,0.719
203.000,669,0.719
218.000,669,0.719
218.000,669,0.719
218.000,669,0.719
234.000,670,0.720
234.000,670,0.720
234.000,671,0.722
250.000,671,0.722
250.000,671,0.722
250.000,672,0.723
265.000,671,0.722
265.000,671,0.722
265.000,671,0.722
281.000,672,0.723
281.000,672,0.723
281.000,672,0.723
281.000,671,0.722
312.000,671,0.722
312.000,671,0.722
312.000,672,0.723
312.000,672,0.723
312.000,672,0.723
312.000,671,0.722
328.000,671,0.722
328.000,671,0.722
328.000,672,0.723
343.000,672,0.723
343.000,671,0.722
343.000,672,0.723
359.000,672,0.723
359.000,672,0.723
359.000,671,0.722
375.000,672,0.723
375.000,672,0.723
375.000,672,0.723
390.000,672,0.723
390.000,672,0.723
390.000,672,0.723
406.000,671,0.722
406.000,671,0.722
406.000,672,0.723
406.000,671,0.722
437.000,671,0.722
437.000,672,0.723
437.000,672,0.723
437.000,672,0.723
437.000,672,0.723
437.000,672,0.723
453.000,672,0.723
453.000,672,0.723
453.000,672,0.723
468.000,672,0.723
468.000,672,0.723
468.000,672,0.723
484.000,672,0.723
484.000,672,0.723
484.000,672,0.723
500.000,672,0.723
500.000,672,0.723
500.000,672,0.723
515.000,672,0.723
515.000,672,0.723
515.000,672,0.723
531.000,671,0.722
546.000,672,0.723
546.000,672,0.723
546.000,672,0.723
546.000,672,0.723
546.000,672,0.723
562.000,672,0.723
562.000,672,0.723
562.000,672,0.723
578.000,672,0.723
578.000,672,0.723
578.000,672,0.723
578.000,672,0.723
593.000,672,0.723
