Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
15.000,668,0.718,0.718182
15.000,669,0.719,0.718273
15.000,668,0.718,0.718364
15.000,669,0.719,0.718364
15.000,668,0.718,0.718455
15.000,668,0.718,0.718545
15.000,669,0.719,0.718636
15.000,669,0.719,0.718636
15.000,668,0.718,0.718727
31.000,669,0.719,0.718727
31.000,669,0.719,0.718818
62.000,669,0.719,0.718909
62.000,669,0.719,0.718909
62.000,669,0.719,0.718909
62.000,669,0.719,0.719000
62.000,669,0.719,0.719000
62.000,669,0.719,0.718909
62.000,669,0.719,0.718909
78.000,669,0.719,0.718909
78.000,669,0.719,0.718909
78.000,669,0.719,0.718818
93.000,668,0.718,0.718818
93.000,669,0.719,0.718818
93.000,669,0.719,0.718818
93.000,669,0.719,0.718818
109.000,668,0.718,0.718818
109.000,669,0.719,0.718818
109.000,669,0.719,0.718909
125.000,669,0.719,0.718909
125.000,669,0.719,0.718909
125.000,669,0.719,0.718909
140.000,669,0.719,0.719000
140.000,669,0.719,0.719000
140.000,669,0.719,0.719000
156.000,669,0.719,0.719000
156.000,669,0.719,0.719091
187.000,669,0.719,0.719091
187.000,669,0.719,0.719091
187.000,669,0.719,0.719091
187.000,669,0.719,0.719091
187.000,670,0.720,0.719091
187.000,669,0.719,0.719091
187.000,669,0.719,0.719091
203.000,669,0.719,0.719091
203.000,669,0.719,0.719182
203.000,669,0.719,0.719273
218.000,669,0.719,0.719455
218.000,669,0.719,0.719727
218.000,669,0.719,0.720000
234.000,670,0.720,0.720364
234.000,670,0.720,0.720636
234.000,671,0.722,0.720909
250.000,671,0.722,0.721182
250.000,671,0.722,0.721545
250.000,672,0.723,0.721909
265.000,671,0.722,0.722182
265.000,671,0.722,0.722364
265.000,671,0.722,0.722364
281.000,672,0.723,0.722364
281.000,672,0.723,0.722455
281.000,672,0.723,0.722455
281.000,671,0.722,0.722545
312.000,671,0.722,0.722545
312.000,671,0.722,0.722545
312.000,672,0.723,0.722455
312.000,672,0.723,0.722455
312.000,672,0.723,0.722455
312.000,671,0.722,0.722455
328.000,671,0.722,0.722545
328.000,671,0.722,0.722636
328.000,672,0.723,0.722636
343.000,672,0.723,0.722545
343.000,671,0.722,0.722545
343.000,672,0.723,0.722636
359.000,672,0.723,0.722727
359.000,672,0.723,0.722818
359.000,671,0.722,0.722818
375.000,672,0.723,0.722818
375.000,672,0.723,0.722818
375.000,672,0.723,0.722727
390.000,672,0.723,0.722727
390.000,672,0.723,0.722636
390.000,672,0.723,0.722636
406.000,671,0.722,0.722636
406.000,671,0.722,0.722636
406.000,672,0.723,0.722636
406.000,671,0.722,0.722636
437.000,671,0.722,0.722636
437.000,672,0.723,0.722636
437.000,672,0.723,0.722727
437.000,672,0.723,0.722818
437.000,672,0.723,0.722818
437.000,672,0.723,0.722909
453.000,672,0.723,0.723000
453.000,672,0.723,0.723000
453.000,672,0.723,0.723000
468.000,672,0.723,0.723000
468.000,672,0.723,0.723000
468.000,672,0.723,0.723000
484.000,672,0.723,0.723000
484.000,672,0.723,0.723000
484.000,672,0.723,0.723000
500.000,672,0.723,0.723000
500.000,672,0.723,0.722909
500.000,672,0.723,0.722909
515.000,672,0.723,0.722909
515.000,672,0.723,0.722909
515.000,672,0.723,0.722909
531.000,671,0.722,0.722909
546.000,672,0.723,0.722909
546.000,672,0.723,0.722909
546.000,672,0.723,0.722909
546.000,672,0.723,0.722909
546.000,672,0.723,0.722909
562.000,672,0.723,0.723000
562.000,672,0.723,0.723000
562.000,672,0.723,0.723000
578.000,672,0.723,0.723000
578.000,672,0.723,0.723000
578.000,672,0.723,0.723000
578.000,672,0.723,0.723000
593.000,672,0.723,0.723000
593.000,672,0.723,0.723000
609.000,672,0.723,0.723000
609.000,672,0.723,0.723000
609.000,672,0.723,0.723000
609.000,672,0.723,0.722909
625.000,672,0.723,0.722909
625.000,672,0.723,0.722909
625.000,672,0.723,0.722909
640.000,672,0.723,0.722909
656.000,671,0.722,0.722909
656.000,672,0.723,0.722909
656.000,672,0.723,0.722909
656.000,672,0.723,0.722909
656.000,672,0.723,0.722909
671.000,672,0.723,0.722909
671.000,672,0.723,0.723000
671.000,672,0.723,0.723000
687.000,672,0.723,0.723000
687.000,672,0.723,0.723000
687.000,672,0.723,0.723000
703.000,672,0.723,0.723000
703.000,672,0.723,0.723000
703.000,672,0.723,0.723000
718.000,672,0.723,0.723091
718.000,672,0.723,0.723091
718.000,672,0.723,0.723182
734.000,672,0.723,0.723182
734.000,672,0.723,0.723273
734.000,673,0.724,0.723364
750.000,672,0.723,0.723364
765.000,673,0.724,0.723364
765.000,672,0.723,0.723364
765.000,673,0.724,0.723364
765.000,673,0.724,0.723364
765.000,672,0.723,0.723273
781.000,672,0.723,0.723364
781.000,672,0.723,0.723273
781.000,672,0.723,0.723273
781.000,672,0.723,0.723182
796.000,672,0.723,0.723091
796.000,673,0.724,0.723091
796.000,672,0.723,0.723091
812.000,672,0.723,0.723091
812.000,672,0.723,0.723091
812.000,672,0.723,0.723182
828.000,672,0.723,0.723182
828.000,672,0.723,0.723182
828.000,672,0.723,0.723273
843.000,672,0.723,0.723364
843.000,673,0.724,0.723455
843.000,672,0.723,0.723545
859.000,673,0.724,0.723545
875.000,673,0.724,0.723636
875.000,673,0.724,0.723727
875.000,673,0.724,0.723727
890.000,673,0.724,0.723636
890.000,672,0.723,0.723636
890.000,673,0.724,0.723545
890.000,673,0.724,0.723545
890.000,672,0.723,0.723545
906.000,672,0.723,0.723545
906.000,672,0.723,0.723455
