Time(ms),ADC,Voltage(V)
382,148,0.723
392,148,0.723
402,148,0.723
412,148,0.723
422,148,0.723
432,148,0.723
442,148,0.723
452,148,0.723
462,148,0.723
472,148,0.723
482,148,0.723
492,148,0.723
502,148,0.723
512,148,0.723
522,148,0.723
532,149,0.728
542,148,0.723
552,149,0.728
562,148,0.723
572,148,0.723
582,149,0.728
592,149,0.728
602,149,0.728
612,149,0.728
622,149,0.728
632,149,0.728
642,149,0.728
652,149,0.728
662,149,0.728
672,149,0.728
683,149,0.728
693,150,0.733
703,150,0.733
713,150,0.733
723,150,0.733
733,150,0.733
743,150,0.733
753,150,0.733
763,150,0.733
773,150,0.733
783,150,0.733
793,150,0.733
803,150,0.733
813,150,0.733
823,150,0.733
833,150,0.733
843,151,0.738
854,150,0.733
864,150,0.733
874,150,0.733
884,150,0.733
894,151,0.738
904,151,0.738
914,151,0.738
924,151,0.738
934,151,0.738
944,151,0.738
954,151,0.738
964,151,0.738
974,151,0.738
984,150,0.733
994,151,0.738
1004,150,0.733
1014,150,0.733
1024,149,0.728
1034,150,0.733
1044,149,0.728
1054,149,0.728
1064,149,0.728
1074,149,0.728
1084,149,0.728
1094,149,0.728
1104,149,0.728
1114,149,0.728
1124,149,0.728
1134,149,0.728
1144,149,0.728
1154,148,0.723
1164,149,0.728
1174,148,0.723
1184,149,0.728
1195,148,0.723
1205,148,0.723
1215,148,0.723
1225,148,0.723
1235,148,0.723
1245,148,0.723
1255,148,0.723
1265,148,0.723
1275,147,0.718
1285,147,0.718
1295,147,0.718
1305,148,0.723
1315,148,0.723
1325,147,0.718
1335,147,0.718
1345,147,0.718
1355,147,0.718
1366,147,0.718
1376,147,0.718
1386,147,0.718
1396,146,0.714
1406,147,0.718
1416,147,0.718
1426,146,0.714
1436,146,0.714
1446,146,0.714
1456,146,0.714
1466,146,0.714
1476,146,0.714
1486,146,0.714
1496,146,0.714
1506,146,0.714
1516,146,0.714
1526,146,0.714
1536,146,0.714
1546,146,0.714
1556,145,0.709
1566,145,0.709
1576,145,0.709
1586,145,0.709
1596,145,0.709
1606,145,0.709
1616,145,0.709
1626,145,0.709
1636,145,0.709
1646,145,0.709
1656,145,0.709
1666,146,0.714
1676,146,0.714
1686,146,0.714
1696,145,0.709
1707,146,0.714
1717,147,0.718
1727,146,0.714
1737,146,0.714
1747,146,0.714
1757,146,0.714
1767,146,0.714
1777,146,0.714
1787,146,0.714
1797,146,0.714
1807,146,0.714
1817,147,0.718
1827,147,0.718
1837,147,0.718
1847,147,0.718
1857,147,0.718
1867,147,0.718
1878,147,0.718
1888,147,0.718
1898,147,0.718
1908,146,0.714
1918,147,0.718
1928,147,0.718
1938,147,0.718
1948,148,0.723
1958,147,0.718
1968,147,0.718
1978,147,0.718
1988,147,0.718
1998,148,0.723
2008,147,0.718
2018,148,0.723
2028,148,0.723
2038,148,0.723
2048,148,0.723
2058,148,0.723
2068,148,0.723
2078,148,0.723
2088,148,0.723
2098,148,0.723
2108,148,0.723
2118,148,0.723
2128,148,0.723
2138,148,0.723
2148,149,0.728
2158,148,0.723
2168,148,0.723
2178,149,0.728
2188,148,0.723
2198,149,0.728
2208,148,0.723
2219,149,0.728
2229,149,0.728
2239,149,0.728
2249,149,0.728
2259,149,0.728
2269,149,0.728
2279,149,0.728
2289,149,0.728
2299,149,0.728
2309,149,0.728
2319,149,0.728
2329,150,0.733
2339,150,0.733
2349,150,0.733
2359,150,0.733
2369,150,0.733
2379,150,0.733
2390,150,0.733
2400,150,0.733
2410,150,0.733
2420,150,0.733
2430,151,0.738
2440,151,0.738
2450,151,0.738
2460,151,0.738
2470,151,0.738
2480,151,0.738
2490,151,0.738
2500,151,0.738
2510,151,0.738
2520,151,0.738
2530,150,0.733
2540,150,0.733
2550,150,0.733
2560,150,0.733
2570,150,0.733
2580,149,0.728
2590,149,0.728
2600,149,0.728
2610,149,0.728
2620,149,0.728
2630,149,0.728
2640,149,0.728
2650,149,0.728
2660,149,0.728
2670,149,0.728
2680,149,0.728
2690,148,0.723
2700,148,0.723
2710,148,0.723
2720,148,0.723
2731,149,0.728
2741,148,0.723
2751,148,0.723
2761,148,0.723
2771,148,0.723
2781,148,0.723
2791,148,0.723
2801,148,0.723
2811,147,0.718
2821,147,0.718
2831,148,0.723
2841,147,0.718
2851,147,0.718
2861,147,0.718
2871,147,0.718
2881,147,0.718
2891,147,0.718
2902,147,0.718
2912,147,0.718
2922,146,0.714
2932,147,0.718
2942,147,0.718
2952,146,0.714
2962,146,0.714
2972,146,0.714
2982,146,0.714
2992,146,0.714
3002,146,0.714
3012,146,0.714
3022,146,0.714
3032,145,0.709
