Time(ms),ADC,Voltage(V)
0.000,675,0.726
0.000,675,0.726
0.000,675,0.726
0.000,675,0.726
16.000,675,0.726
16.000,675,0.726
16.000,675,0.726
31.000,675,0.726
31.000,675,0.726
31.000,675,0.726
47.000,676,0.727
47.000,675,0.726
47.000,675,0.726
62.000,675,0.726
62.000,675,0.726
62.000,675,0.726
94.000,675,0.726
94.000,675,0.726
94.000,675,0.726
94.000,675,0.726
94.000,675,0.726
94.000,675,0.726
109.000,675,0.726
109.000,675,0.726
109.000,676,0.727
125.000,675,0.726
125.000,675,0.726
125.000,675,0.726
141.000,675,0.726
141.000,675,0.726
141.000,676,0.727
156.000,676,0.727
156.000,675,0.726
156.000,675,0.726
156.000,676,0.727
172.000,675,0.726
172.000,675,0.726
172.000,675,0.726
187.000,675,0.726
203.000,675,0.726
203.000,676,0.727
203.000,675,0.726
203.000,676,0.727
203.000,676,0.727
219.000,676,0.727
219.000,676,0.727
219.000,676,0.727
234.000,675,0.726
234.000,675,0.726
234.000,676,0.727
250.000,676,0.727
250.000,676,0.727
250.000,676,0.727
266.000,676,0.727
266.000,676,0.727
266.000,676,0.727
281.000,676,0.727
281.000,676,0.727
281.000,676,0.727
297.000,675,0.726
297.000,676,0.727
297.000,676,0.727
312.000,676,0.727
328.000,675,0.726
328.000,675,0.726
328.000,676,0.727
328.000,676,0.727
328.000,676,0.727
328.000,676,0.727
344.000,675,0.726
344.000,676,0.727
344.000,676,0.727
359.000,676,0.727
359.000,676,0.727
359.000,676,0.727
375.000,676,0.727
375.000,676,0.727
375.000,676,0.727
391.000,676,0.727
391.000,676,0.727
391.000,676,0.727
406.000,676,0.727
406.000,676,0.727
406.000,676,0.727
422.000,676,0.727
422.000,676,0.727
422.000,676,0.727
437.000,676,0.727
437.000,676,0.727
453.000,676,0.727
453.000,676,0.727
453.000,676,0.727
453.000,676,0.727
453.000,676,0.727
469.000,676,0.727
469.000,676,0.727
469.000,676,0.727
484.000,676,0.727
484.000,676,0.727
484.000,676,0.727
500.000,676,0.727
500.000,676,0.727
500.000,676,0.727
516.000,676,0.727
516.000,676,0.727
516.000,677,0.728
531.000,677,0.728
531.000,676,0.727
531.000,676,0.727
547.000,676,0.727
547.000,677,0.728
547.000,677,0.728
562.000,676,0.727
562.000,677,0.728
562.000,676,0.727
578.000,677,0.728
578.000,676,0.727
578.000,677,0.728
594.000,677,0.728
594.000,676,0.727
594.000,676,0.727
609.000,676,0.727
609.000,676,0.727
609.000,677,0.728
625.000,676,0.727
625.000,677,0.728
625.000,676,0.727
625.000,677,0.728
641.000,676,0.727
641.000,676,0.727
656.000,676,0.727
656.000,677,0.728
656.000,677,0.728
656.000,677,0.728
672.000,677,0.728
672.000,677,0.728
672.000,677,0.728
687.000,677,0.728
687.000,677,0.728
687.000,678,0.729
703.000,679,0.730
703.000,678,0.729
703.000,679,0.730
719.000,679,0.730
719.000,679,0.730
719.000,679,0.730
734.000,678,0.729
734.000,679,0.730
734.000,679,0.730
750.000,679,0.730
750.000,679,0.730
750.000,679,0.730
766.000,679,0.730
766.000,679,0.730
766.000,679,0.730
766.000,679,0.730
781.000,679,0.730
781.000,679,0.730
781.000,679,0.730
797.000,679,0.730
797.000,679,0.730
797.000,679,0.730
812.000,679,0.730
812.000,679,0.730
812.000,679,0.730
828.000,679,0.730
828.000,679,0.730
828.000,679,0.730
844.000,679,0.730
844.000,679,0.730
844.000,678,0.729
859.000,679,0.730
859.000,679,0.730
875.000,679,0.730
875.000,679,0.730
875.000,679,0.730
875.000,679,0.730
891.000,679,0.730
891.000,679,0.730
891.000,679,0.730
906.000,679,0.730
906.000,679,0.730
906.000,679,0.730
922.000,679,0.730
922.000,679,0.730
922.000,679,0.730
937.000,679,0.730
937.000,679,0.730
937.000,679,0.730
937.000,679,0.730
953.000,679,0.730
953.000,679,0.730
953.000,679,0.730
969.000,679,0.730
984.000,679,0.730
984.000,679,0.730
984.000,679,0.730
984.000,680,0.731
984.000,679,0.730
1000.000,679,0.730
1000.000,680,0.731
1000.000,679,0.730
1016.000,679,0.730
1016.000,679,0.730
1016.000,679,0.730
1031.000,679,0.730
1031.000,679,0.730
1031.000,679,0.730
1047.000,680,0.731
1047.000,680,0.731
1047.000,680,0.731
1062.000,679,0.730
1062.000,680,0.731
1062.000,680,0.731
1078.000,679,0.730
1078.000,680,0.731
1078.000,679,0.730
1094.000,679,0.730
1109.000,680,0.731
1109.000,680,0.731
1109.000,680,0.731
1109.000,680,0.731
1109.000,680,0.731
1109.000,680,0.731
1125.000,680,0.731
1125.000,680,0.731
1125.000,679,0.730
1141.000,679,0.730
1141.000,679,0.730
1141.000,680,0.731
1156.000,680,0.731
1156.000,680,0.731
1156.000,680,0.731
1172.000,680,0.731
1172.000,680,0.731
1172.000,680,0.731
1187.000,680,0.731
1187.000,680,0.731
1187.000,680,0.731
1203.000,680,0.731
1203.000,680,0.731
1203.000,680,0.731
1219.000,680,0.731
1234.000,680,0.731
1234.000,680,0.731
1234.000,680,0.731
1234.000,680,0.731
1234.000,680,0.731
