Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,675,0.726,0.726000
0.000,675,0.726,0.726000
0.000,675,0.726,0.726000
0.000,675,0.726,0.726000
16.000,675,0.726,0.726000
16.000,675,0.726,0.726091
16.000,675,0.726,0.726091
31.000,675,0.726,0.726091
31.000,675,0.726,0.726091
31.000,675,0.726,0.726091
47.000,676,0.727,0.726091
47.000,675,0.726,0.726091
47.000,675,0.726,0.726091
62.000,675,0.726,0.726091
62.000,675,0.726,0.726091
62.000,675,0.726,0.726091
94.000,675,0.726,0.726000
94.000,675,0.726,0.726000
94.000,675,0.726,0.726000
94.000,675,0.726,0.726091
94.000,675,0.726,0.726091
94.000,675,0.726,0.726091
109.000,675,0.726,0.726091
109.000,675,0.726,0.726091
109.000,676,0.727,0.726091
125.000,675,0.726,0.726182
125.000,675,0.726,0.726273
125.000,675,0.726,0.726273
141.000,675,0.726,0.726273
141.000,675,0.726,0.726364
141.000,676,0.727,0.726273
156.000,676,0.727,0.726273
156.000,675,0.726,0.726273
156.000,675,0.726,0.726273
156.000,676,0.727,0.726273
172.000,675,0.726,0.726364
172.000,675,0.726,0.726273
172.000,675,0.726,0.726273
187.000,675,0.726,0.726364
203.000,675,0.726,0.726455
203.000,676,0.727,0.726455
203.000,675,0.726,0.726545
203.000,676,0.727,0.726545
203.000,676,0.727,0.726545
219.000,676,0.727,0.726636
219.000,676,0.727,0.726727
219.000,676,0.727,0.726727
234.000,675,0.726,0.726818
234.000,675,0.726,0.726818
234.000,676,0.727,0.726818
250.000,676,0.727,0.726818
250.000,676,0.727,0.726818
250.000,676,0.727,0.726818
266.000,676,0.727,0.726909
266.000,676,0.727,0.726909
266.000,676,0.727,0.726909
281.000,676,0.727,0.726909
281.000,676,0.727,0.726909
281.000,676,0.727,0.726818
297.000,675,0.726,0.726727
297.000,676,0.727,0.726727
297.000,676,0.727,0.726727
312.000,676,0.727,0.726727
328.000,675,0.726,0.726727
328.000,675,0.726,0.726636
328.000,676,0.727,0.726727
328.000,676,0.727,0.726727
328.000,676,0.727,0.726727
328.000,676,0.727,0.726727
344.000,675,0.726,0.726818
344.000,676,0.727,0.726909
344.000,676,0.727,0.726909
359.000,676,0.727,0.726909
359.000,676,0.727,0.726909
359.000,676,0.727,0.726909
375.000,676,0.727,0.727000
375.000,676,0.727,0.727000
375.000,676,0.727,0.727000
391.000,676,0.727,0.727000
391.000,676,0.727,0.727000
391.000,676,0.727,0.727000
406.000,676,0.727,0.727000
406.000,676,0.727,0.727000
406.000,676,0.727,0.727000
422.000,676,0.727,0.727000
422.000,676,0.727,0.727000
422.000,676,0.727,0.727000
437.000,676,0.727,0.727000
437.000,676,0.727,0.727000
453.000,676,0.727,0.727000
453.000,676,0.727,0.727000
453.000,676,0.727,0.727000
453.000,676,0.727,0.727000
453.000,676,0.727,0.727000
469.000,676,0.727,0.727000
469.000,676,0.727,0.727000
469.000,676,0.727,0.727000
484.000,676,0.727,0.727000
484.000,676,0.727,0.727000
484.000,676,0.727,0.727000
500.000,676,0.727,0.727091
500.000,676,0.727,0.727182
500.000,676,0.727,0.727182
516.000,676,0.727,0.727182
516.000,676,0.727,0.727182
516.000,677,0.728,0.727273
531.000,677,0.728,0.727364
531.000,676,0.727,0.727364
531.000,676,0.727,0.727455
547.000,676,0.727,0.727455
547.000,677,0.728,0.727545
547.000,677,0.728,0.727455
562.000,676,0.727,0.727455
562.000,677,0.728,0.727545
562.000,676,0.727,0.727545
578.000,677,0.728,0.727545
578.000,676,0.727,0.727455
578.000,677,0.728,0.727364
594.000,677,0.728,0.727455
594.000,676,0.727,0.727364
594.000,676,0.727,0.727455
609.000,676,0.727,0.727364
609.000,676,0.727,0.727455
609.000,677,0.728,0.727364
625.000,676,0.727,0.727273
625.000,677,0.728,0.727273
625.000,676,0.727,0.727364
625.000,677,0.728,0.727455
641.000,676,0.727,0.727545
641.000,676,0.727,0.727545
656.000,676,0.727,0.727636
656.000,677,0.728,0.727636
656.000,677,0.728,0.727727
656.000,677,0.728,0.727727
672.000,677,0.728,0.727909
672.000,677,0.728,0.728182
672.000,677,0.728,0.728364
687.000,677,0.728,0.728545
687.000,677,0.728,0.728727
687.000,678,0.729,0.728909
703.000,679,0.730,0.729091
703.000,678,0.729,0.729182
703.000,679,0.730,0.729364
719.000,679,0.730,0.729545
719.000,679,0.730,0.729727
719.000,679,0.730,0.729818
734.000,678,0.729,0.729818
734.000,679,0.730,0.729909
734.000,679,0.730,0.729909
750.000,679,0.730,0.729909
750.000,679,0.730,0.729909
750.000,679,0.730,0.729909
766.000,679,0.730,0.730000
766.000,679,0.730,0.730000
766.000,679,0.730,0.730000
766.000,679,0.730,0.730000
781.000,679,0.730,0.730000
781.000,679,0.730,0.730000
781.000,679,0.730,0.730000
797.000,679,0.730,0.730000
797.000,679,0.730,0.730000
797.000,679,0.730,0.730000
812.000,679,0.730,0.730000
812.000,679,0.730,0.730000
812.000,679,0.730,0.730000
828.000,679,0.730,0.729909
828.000,679,0.730,0.729909
828.000,679,0.730,0.729909
844.000,679,0.730,0.729909
844.000,679,0.730,0.729909
844.000,678,0.729,0.729909
859.000,679,0.730,0.729909
859.000,679,0.730,0.729909
875.000,679,0.730,0.729909
875.000,679,0.730,0.729909
875.000,679,0.730,0.729909
875.000,679,0.730,0.730000
891.000,679,0.730,0.730000
891.000,679,0.730,0.730000
891.000,679,0.730,0.730000
906.000,679,0.730,0.730000
906.000,679,0.730,0.730000
906.000,679,0.730,0.730000
922.000,679,0.730,0.730000
922.000,679,0.730,0.730000
922.000,679,0.730,0.730000
937.000,679,0.730,0.730000
937.000,679,0.730,0.730000
937.000,679,0.730,0.730000
937.000,679,0.730,0.730000
953.000,679,0.730,0.730000
953.000,679,0.730,0.730000
953.000,679,0.730,0.730091
969.000,679,0.730,0.730091
984.000,679,0.730,0.730091
984.000,679,0.730,0.730182
984.000,679,0.730,0.730182
984.000,680,0.731,0.730182
984.000,679,0.730,0.730182
1000.000,679,0.730,0.730182
1000.000,680,0.731,0.730182
1000.000,679,0.730,0.730182
1016.000,679,0.730,0.730182
1016.000,679,0.730,0.730182
1016.000,679,0.730,0.730273
1031.000,679,0.730,0.730364
1031.000,679,0.730,0.730273
1031.000,679,0.730,0.730364
1047.000,680,0.731,0.730455
1047.000,680,0.731,0.730455
1047.000,680,0.731,0.730545
1062.000,679,0.730,0.730545
1062.000,680,0.731,0.730545
1062.000,680,0.731,0.730636
1078.000,679,0.730,0.730636
1078.000,680,0.731,0.730636
1078.000,679,0.730,0.730636
1094.000,679,0.730,0.730727
1109.000,680,0.731,0.730727
1109.000,680,0.731,0.730727
1109.000,680,0.731,0.730818
1109.000,680,0.731,0.730727
1109.000,680,0.731,0.730727
1109.000,680,0.731,0.730727
1125.000,680,0.731,0.730727
1125.000,680,0.731,0.730727
1125.000,679,0.730,0.730727
1141.000,679,0.730,0.730727
1141.000,679,0.730,0.730727
1141.000,680,0.731,0.730727
1156.000,680,0.731,0.730727
1156.000,680,0.731,0.730727
1156.000,680,0.731,0.730818
1172.000,680,0.731,0.730909
1172.000,680,0.731,0.731000
1172.000,680,0.731,0.731000
1187.000,680,0.731,0.731000
1187.000,680,0.731,0.731000
1187.000,680,0.731,0.731000
1203.000,680,0.731,0.731000
1203.000,680,0.731,0.731000
1203.000,680,0.731,0.731000
1219.000,680,0.731,0.731000
