Time(ms),ADC,Voltage(V)
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
0.000,674,0.725
15.000,674,0.725
15.000,674,0.725
15.000,675,0.726
31.000,674,0.725
31.000,674,0.725
47.000,674,0.725
62.000,675,0.726
62.000,674,0.725
62.000,675,0.726
62.000,675,0.726
62.000,674,0.725
62.000,674,0.725
78.000,674,0.725
78.000,675,0.726
78.000,674,0.725
93.000,674,0.725
93.000,674,0.725
93.000,675,0.726
109.000,675,0.726
109.000,674,0.725
109.000,675,0.726
125.000,675,0.726
125.000,675,0.726
125.000,675,0.726
140.000,675,0.726
140.000,675,0.726
140.000,675,0.726
156.000,675,0.726
156.000,675,0.726
172.000,675,0.726
172.000,675,0.726
172.000,674,0.725
172.000,674,0.725
172.000,674,0.725
187.000,674,0.725
187.000,674,0.725
187.000,675,0.726
203.000,675,0.726
203.000,675,0.726
203.000,675,0.726
218.000,675,0.726
218.000,675,0.726
218.000,676,0.727
234.000,675,0.726
234.000,675,0.726
234.000,675,0.726
250.000,675,0.726
250.000,675,0.726
265.000,674,0.725
281.000,675,0.726
281.000,675,0.726
281.000,675,0.726
281.000,675,0.726
281.000,675,0.726
281.000,674,0.725
297.000,675,0.726
297.000,675,0.726
297.000,675,0.726
312.000,675,0.726
312.000,675,0.726
312.000,675,0.726
328.000,675,0.726
328.000,675,0.726
328.000,675,0.726
328.000,675,0.726
343.000,675,0.726
343.000,675,0.726
343.000,675,0.726
359.000,675,0.726
359.000,675,0.726
359.000,675,0.726
375.000,675,0.726
390.000,675,0.726
390.000,675,0.726
390.000,675,0.726
390.000,675,0.726
390.000,675,0.726
406.000,675,0.726
406.000,676,0.727
406.000,675,0.726
422.000,676,0.727
422.000,676,0.727
422.000,675,0.726
437.000,675,0.726
437.000,675,0.726
437.000,675,0.726
453.000,676,0.727
453.000,675,0.726
453.000,676,0.727
468.000,675,0.726
468.000,675,0.726
468.000,675,0.726
468.000,676,0.727
484.000,676,0.727
500.000,676,0.727
500.000,675,0.726
500.000,676,0.727
500.000,675,0.726
500.000,676,0.727
515.000,676,0.727
515.000,676,0.727
515.000,676,0.727
531.000,676,0.727
531.000,676,0.727
531.000,676,0.727
547.000,676,0.727
547.000,676,0.727
547.000,676,0.727
