Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,674,0.725,0.725000
0.000,674,0.725,0.725000
0.000,674,0.725,0.725091
0.000,674,0.725,0.725091
0.000,674,0.725,0.725091
15.000,674,0.725,0.725091
15.000,674,0.725,0.725182
15.000,675,0.726,0.725182
31.000,674,0.725,0.725273
31.000,674,0.725,0.725364
47.000,674,0.725,0.725364
62.000,675,0.726,0.725364
62.000,674,0.725,0.725364
62.000,675,0.726,0.725364
62.000,675,0.726,0.725364
62.000,674,0.725,0.725364
62.000,674,0.725,0.725364
78.000,674,0.725,0.725364
78.000,675,0.726,0.725455
78.000,674,0.725,0.725364
93.000,674,0.725,0.725364
93.000,674,0.725,0.725455
93.000,675,0.726,0.725545
109.000,675,0.726,0.725636
109.000,674,0.725,0.725636
109.000,675,0.726,0.725727
125.000,675,0.726,0.725818
125.000,675,0.726,0.725909
125.000,675,0.726,0.725909
140.000,675,0.726,0.725909
140.000,675,0.726,0.726000
140.000,675,0.726,0.725909
156.000,675,0.726,0.725818
156.000,675,0.726,0.725727
172.000,675,0.726,0.725636
172.000,675,0.726,0.725545
172.000,674,0.725,0.725545
172.000,674,0.725,0.725545
172.000,674,0.725,0.725545
187.000,674,0.725,0.725545
187.000,674,0.725,0.725545
187.000,675,0.726,0.725545
203.000,675,0.726,0.725727
203.000,675,0.726,0.725818
203.000,675,0.726,0.725909
218.000,675,0.726,0.726000
218.000,675,0.726,0.726091
218.000,676,0.727,0.726091
234.000,675,0.726,0.726000
234.000,675,0.726,0.726000
234.000,675,0.726,0.726000
250.000,675,0.726,0.726000
250.000,675,0.726,0.726000
265.000,674,0.725,0.725909
281.000,675,0.726,0.725818
281.000,675,0.726,0.725818
281.000,675,0.726,0.725818
281.000,675,0.726,0.725818
281.000,675,0.726,0.725818
281.000,674,0.725,0.725909
297.000,675,0.726,0.725909
297.000,675,0.726,0.725909
297.000,675,0.726,0.725909
312.000,675,0.726,0.725909
312.000,675,0.726,0.725909
312.000,675,0.726,0.726000
328.000,675,0.726,0.726000
328.000,675,0.726,0.726000
328.000,675,0.726,0.726000
328.000,675,0.726,0.726000
343.000,675,0.726,0.726000
343.000,675,0.726,0.726000
343.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726000
359.000,675,0.726,0.726000
375.000,675,0.726,0.726000
390.000,675,0.726,0.726000
390.000,675,0.726,0.726091
390.000,675,0.726,0.726091
390.000,675,0.726,0.726182
390.000,675,0.726,0.726273
406.000,675,0.726,0.726273
406.000,676,0.727,0.726273
406.000,675,0.726,0.726273
422.000,676,0.727,0.726273
422.000,676,0.727,0.726364
422.000,675,0.726,0.726364
437.000,675,0.726,0.726455
437.000,675,0.726,0.726364
437.000,675,0.726,0.726364
453.000,676,0.727,0.726273
453.000,675,0.726,0.726273
453.000,676,0.727,0.726364
468.000,675,0.726,0.726455
468.000,675,0.726,0.726455
468.000,675,0.726,0.726545
468.000,676,0.727,0.726455
484.000,676,0.727,0.726545
500.000,676,0.727,0.726545
500.000,675,0.726,0.726636
500.000,676,0.727,0.726727
500.000,675,0.726,0.726818
500.000,676,0.727,0.726818
515.000,676,0.727,0.726818
515.000,676,0.727,0.726818
515.000,676,0.727,0.726909
531.000,676,0.727,0.726909
531.000,676,0.727,0.727000
531.000,676,0.727,0.727000
547.000,676,0.727,0.727000
547.000,676,0.727,0.727000
547.000,676,0.727,0.727000
562.000,676,0.727,0.727000
562.000,676,0.727,0.727000
562.000,676,0.727,0.727000
578.000,676,0.727,0.727000
578.000,676,0.727,0.727000
578.000,676,0.727,0.727000
593.000,676,0.727,0.727000
593.000,676,0.727,0.727000
609.000,676,0.727,0.727000
625.000,676,0.727,0.727000
625.000,676,0.727,0.727091
625.000,676,0.727,0.727091
625.000,676,0.727,0.727091
625.000,676,0.727,0.727091
625.000,676,0.727,0.727091
625.000,677,0.728,0.727091
640.000,676,0.727,0.727091
640.000,676,0.727,0.727091
656.000,676,0.727,0.727091
656.000,676,0.727,0.727091
656.000,676,0.727,0.727091
656.000,676,0.727,0.727000
672.000,676,0.727,0.727000
672.000,676,0.727,0.727000
672.000,676,0.727,0.727000
687.000,676,0.727,0.727000
687.000,676,0.727,0.727000
687.000,676,0.727,0.727091
703.000,676,0.727,0.727182
718.000,676,0.727,0.727273
718.000,676,0.727,0.727364
718.000,676,0.727,0.727364
718.000,677,0.728,0.727364
718.000,677,0.728,0.727364
734.000,677,0.728,0.727455
734.000,677,0.728,0.727545
734.000,676,0.727,0.727636
750.000,676,0.727,0.727636
750.000,676,0.727,0.727545
750.000,677,0.728,0.727455
765.000,677,0.728,0.727364
765.000,677,0.728,0.727273
765.000,676,0.727,0.727273
781.000,676,0.727,0.727273
781.000,676,0.727,0.727273
781.000,676,0.727,0.727182
781.000,676,0.727,0.727091
797.000,676,0.727,0.727091
797.000,676,0.727,0.727091
797.000,676,0.727,0.727182
812.000,676,0.727,0.727273
812.000,676,0.727,0.727364
812.000,677,0.728,0.727364
828.000,676,0.727,0.727455
843.000,677,0.728,0.727455
843.000,677,0.728,0.727545
843.000,677,0.728,0.727545
843.000,676,0.727,0.727636
843.000,677,0.728,0.727636
859.000,676,0.727,0.727636
859.000,677,0.728,0.727636
859.000,676,0.727,0.727636
875.000,677,0.728,0.727636
875.000,677,0.728,0.727636
875.000,676,0.727,0.727545
890.000,677,0.728,0.727636
890.000,677,0.728,0.727545
890.000,677,0.728,0.727636
906.000,676,0.727,0.727636
906.000,676,0.727,0.727636
906.000,677,0.728,0.727727
922.000,676,0.727,0.727727
922.000,677,0.728,0.727727
922.000,677,0.728,0.727727
937.000,677,0.728,0.727818
937.000,677,0.728,0.727909
953.000,677,0.728,0.727909
953.000,677,0.728,0.728000
953.000,677,0.728,0.728000
953.000,677,0.728,0.728000
968.000,677,0.728,0.728000
968.000,677,0.728,0.728000
968.000,677,0.728,0.728000
968.000,677,0.728,0.728000
984.000,677,0.728,0.728000
984.000,677,0.728,0.728000
984.000,677,0.728,0.728000
1000.000,677,0.728,0.728000
1000.000,677,0.728,0.728000
1000.000,677,0.728,0.728091
1015.000,677,0.728,0.728091
1015.000,677,0.728,0.728091
1015.000,677,0.728,0.728182
1031.000,677,0.728,0.728182
1031.000,678,0.729,0.728182
1031.000,677,0.728,0.728182
1047.000,677,0.728,0.728182
1062.000,678,0.729,0.728182
1062.000,677,0.728,0.728182
1062.000,677,0.728,0.728182
1062.000,677,0.728,0.728091
1062.000,677,0.728,0.728091
1078.000,677,0.728,0.728091
1078.000,677,0.728,0.728000
1078.000,677,0.728,0.728000
1093.000,677,0.728,0.728000
1093.000,677,0.728,0.728000
1093.000,677,0.728,0.728091
1093.000,677,0.728,0.728182
1109.000,677,0.728,0.728273
1109.000,677,0.728,0.728273
1125.000,677,0.728,0.728273
1125.000,678,0.729,0.728364
1125.000,678,0.729,0.728455
1125.000,678,0.729,0.728545
1140.000,677,0.728,0.728636
1140.000,677,0.728,0.728636
1140.000,678,0.729,0.728727
1156.000,678,0.729,0.728727
1172.000,678,0.729,0.728636
1172.000,678,0.729,0.728636
1172.000,677,0.728,0.728636
1172.000,678,0.729,0.728636
1172.000,678,0.729,0.728545
1187.000,677,0.728,0.728545
1187.000,678,0.729,0.728455
1187.000,677,0.728,0.728364
1203.000,677,0.728,0.728455
1203.000,677,0.728,0.728455
1203.000,678,0.729,0.728455
1218.000,677,0.728,0.728545
1218.000,677,0.728,0.728545
1218.000,678,0.729,0.728636
1234.000,678,0.729,0.728727
1234.000,678,0.729,0.728818
1234.000,678,0.729,0.728818
1250.000,678,0.729,0.728909
1250.000,678,0.729,0.729000
1265.000,678,0.729,0.729000
1281.000,678,0.729,0.729000
1281.000,678,0.729,0.729000
1281.000,678,0.729,0.729000
1281.000,678,0.729,0.728909
1281.000,678,0.729,0.728909
1281.000,678,0.729,0.728909
1281.000,678,0.729,0.728909
1297.000,678,0.729,0.728909
1297.000,677,0.728,0.728909
1297.000,678,0.729,0.728909
1312.000,678,0.729,0.728909
1312.000,678,0.729,0.728909
1312.000,678,0.729,0.728909
1328.000,678,0.729,0.728909
1328.000,678,0.729,0.729000
1328.000,678,0.729,0.729000
1343.000,678,0.729,0.729000
1343.000,678,0.729,0.729000
1343.000,678,0.729,0.729000
1359.000,678,0.729,0.729000
1359.000,678,0.729,0.729000
1359.000,678,0.729,0.729000
1375.000,678,0.729,0.729000
1390.000,678,0.729,0.729000
1390.000,678,0.729,0.729000
1390.000,678,0.729,0.729000
1390.000,678,0.729,0.729000
1390.000,678,0.729,0.729000
1406.000,678,0.729,0.729000
1406.000,678,0.729,0.729091
1406.000,678,0.729,0.729182
1406.000,678,0.729,0.729182
1422.000,678,0.729,0.729182
1422.000,678,0.729,0.729182
1437.000,679,0.730,0.729273
1437.000,679,0.730,0.729273
1437.000,678,0.729,0.729364
1437.000,678,0.729,0.729364
1453.000,678,0.729,0.729455
1453.000,679,0.730,0.729455
1453.000,678,0.729,0.729364
1468.000,679,0.730,0.729273
1468.000,678,0.729,0.729273
1468.000,679,0.730,0.729273
1484.000,678,0.729,0.729364
1500.000,678,0.729,0.729364
1500.000,678,0.729,0.729364
1500.000,678,0.729,0.729364
1500.000,678,0.729,0.729364
1500.000,679,0.730,0.729273
1515.000,679,0.730,0.729364
1515.000,678,0.729,0.729455
1515.000,679,0.730,0.729545
1531.000,678,0.729,0.729545
1531.000,678,0.729,0.729636
1531.000,679,0.730,0.729545
1547.000,679,0.730,0.729545
1547.000,679,0.730,0.729636
1547.000,678,0.729,0.729636
1562.000,679,0.730,0.729727
1562.000,678,0.729,0.729818
1562.000,679,0.730,0.729818
1578.000,679,0.730,0.729818
1578.000,679,0.730,0.729727
1593.000,679,0.730,0.729818
1609.000,679,0.730,0.729818
1609.000,679,0.730,0.729909
1609.000,679,0.730,0.729909
1609.000,678,0.729,0.729909
1609.000,679,0.730,0.729818
1609.000,679,0.730,0.729818
1609.000,679,0.730,0.729818
1625.000,679,0.730,0.729818
1625.000,679,0.730,0.729818
1625.000,678,0.729,0.729909
1640.000,679,0.730,0.729909
1640.000,679,0.730,0.729909
1640.000,679,0.730,0.729909
1656.000,679,0.730,0.729909
1656.000,679,0.730,0.729909
1656.000,679,0.730,0.730000
1672.000,679,0.730,0.730000
1672.000,679,0.730,0.730000
1672.000,679,0.730,0.730000
1687.000,679,0.730,0.730000
1687.000,679,0.730,0.730000
1687.000,679,0.730,0.730000
1703.000,679,0.730,0.730000
1718.000,679,0.730,0.730000
1718.000,679,0.730,0.730000
1718.000,679,0.730,0.730000
1718.000,679,0.730,0.730000
1718.000,679,0.730,0.730091
1734.000,679,0.730,0.730182
1734.000,679,0.730,0.730182
1734.000,679,0.730,0.730273
1734.000,679,0.730,0.730273
1750.000,680,0.731,0.730273
1750.000,680,0.731,0.730273
1750.000,679,0.730,0.730273
1765.000,680,0.731,0.730273
1765.000,679,0.730,0.730273
1765.000,679,0.730,0.730273
1781.000,679,0.730,0.730273
1781.000,679,0.730,0.730182
1781.000,679,0.730,0.730273
1797.000,679,0.730,0.730182
1797.000,679,0.730,0.730182
1812.000,680,0.731,0.730182
1828.000,679,0.730,0.730182
1828.000,680,0.731,0.730182
1828.000,679,0.730,0.730182
1828.000,679,0.730,0.730273
1828.000,679,0.730,0.730364
1828.000,679,0.730,0.730364
1843.000,679,0.730,0.730455
1843.000,679,0.730,0.730455
1843.000,680,0.731,0.730455
1859.000,680,0.731,0.730545
1859.000,680,0.731,0.730545
1859.000,680,0.731,0.730636
1875.000,680,0.731,0.730727
1875.000,679,0.730,0.730818
1875.000,680,0.731,0.730727
1890.000,679,0.730,0.730727
1890.000,680,0.731,0.730727
1890.000,680,0.731,0.730727
1906.000,680,0.731,0.730727
1906.000,679,0.730,0.730818
1922.000,680,0.731,0.730818
1922.000,680,0.731,0.730909
1922.000,680,0.731,0.730909
1922.000,680,0.731,0.730909
1922.000,680,0.731,0.730909
1937.000,680,0.731,0.731000
1937.000,680,0.731,0.731000
1937.000,680,0.731,0.731000
1953.000,680,0.731,0.731000
1953.000,680,0.731,0.731000
1953.000,680,0.731,0.731000
1968.000,680,0.731,0.731000
1968.000,680,0.731,0.731000
1968.000,680,0.731,0.731000
1984.000,680,0.731,0.731000
1984.000,680,0.731,0.731000
1984.000,680,0.731,0.731000
2000.000,680,0.731,0.731000
2000.000,680,0.731,0.731000
2000.000,680,0.731,0.731000
2015.000,680,0.731,0.731000
2015.000,680,0.731,0.731000
2031.000,680,0.731,0.731091
2031.000,680,0.731,0.731182
2031.000,680,0.731,0.731273
2031.000,680,0.731,0.731273
2047.000,680,0.731,0.731273
2047.000,681,0.732,0.731364
2047.000,681,0.732,0.731364
2047.000,681,0.732,0.731455
2062.000,680,0.731,0.731545
2062.000,680,0.731,0.731636
2062.000,681,0.732,0.731636
2078.000,680,0.731,0.731636
2078.000,681,0.732,0.731545
2078.000,681,0.732,0.731545
2093.000,681,0.732,0.731636
2093.000,680,0.731,0.731636
2093.000,681,0.732,0.731545
2109.000,680,0.731,0.731545
2109.000,681,0.732,0.731545
2109.000,681,0.732,0.731455
2125.000,680,0.731,0.731455
2140.000,680,0.731,0.731455
2140.000,680,0.731,0.731455
2140.000,681,0.732,0.731545
2140.000,680,0.731,0.731455
2140.000,681,0.732,0.731455
2156.000,680,0.731,0.731545
2156.000,681,0.732,0.731545
2156.000,681,0.732,0.731545
2172.000,680,0.731,0.731545
2172.000,681,0.732,0.731636
2172.000,681,0.732,0.731636
2187.000,680,0.731,0.731636
