Time(ms),ADC,Voltage(V)
0.000,645,0.694
15.000,645,0.694
15.000,645,0.694
31.000,645,0.694
31.000,645,0.694
31.000,645,0.694
31.000,645,0.694
31.000,645,0.694
31.000,645,0.694
31.000,645,0.694
31.000,644,0.692
46.000,645,0.694
46.000,645,0.694
46.000,645,0.694
62.000,645,0.694
62.000,645,0.694
62.000,645,0.694
78.000,645,0.694
78.000,645,0.694
78.000,645,0.694
93.000,645,0.694
93.000,645,0.694
93.000,645,0.694
109.000,645,0.694
109.000,645,0.694
109.000,645,0.694
109.000,645,0.694
125.000,646,0.695
140.000,645,0.694
140.000,645,0.694
140.000,646,0.695
140.000,645,0.694
140.000,645,0.694
156.000,645,0.694
156.000,646,0.695
156.000,645,0.694
171.000,646,0.695
171.000,646,0.695
171.000,646,0.695
187.000,646,0.695
187.000,646,0.695
187.000,645,0.694
203.000,645,0.694
203.000,646,0.695
203.000,646,0.695
218.000,645,0.694
218.000,646,0.695
218.000,646,0.695
234.000,646,0.695
265.000,646,0.695
265.000,646,0.695
265.000,646,0.695
265.000,646,0.695
265.000,645,0.694
265.000,646,0.695
265.000,646,0.695
265.000,646,0.695
265.000,646,0.695
281.000,646,0.695
281.000,646,0.695
281.000,646,0.695
296.000,643,0.691
296.000,646,0.695
296.000,646,0.695
312.000,646,0.695
312.000,646,0.695
312.000,646,0.695
328.000,646,0.695
328.000,646,0.695
328.000,646,0.695
343.000,646,0.695
343.000,646,0.695
343.000,646,0.695
359.000,646,0.695
359.000,646,0.695
359.000,646,0.695
375.000,646,0.695
390.000,647,0.696
390.000,646,0.695
390.000,646,0.695
390.000,646,0.695
390.000,646,0.695
406.000,646,0.695
406.000,647,0.696
406.000,646,0.695
421.000,647,0.696
421.000,647,0.696
421.000,646,0.695
437.000,646,0.695
437.000,647,0.696
437.000,646,0.695
437.000,647,0.696
453.000,646,0.695
453.000,646,0.695
453.000,646,0.695
468.000,646,0.695
468.000,647,0.696
468.000,647,0.696
484.000,647,0.696
484.000,647,0.696
500.000,646,0.695
500.000,647,0.696
500.000,647,0.696
500.000,647,0.696
515.000,646,0.695
515.000,647,0.696
515.000,647,0.696
