Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,645,0.694,0.694000
15.000,645,0.694,0.694000
15.000,645,0.694,0.694000
31.000,645,0.694,0.694000
31.000,645,0.694,0.694000
31.000,645,0.694,0.693818
31.000,645,0.694,0.693818
31.000,645,0.694,0.693818
31.000,645,0.694,0.693818
31.000,645,0.694,0.693818
31.000,644,0.692,0.693818
46.000,645,0.694,0.693818
46.000,645,0.694,0.693818
46.000,645,0.694,0.693818
62.000,645,0.694,0.693818
62.000,645,0.694,0.693818
62.000,645,0.694,0.694000
78.000,645,0.694,0.694000
78.000,645,0.694,0.694000
78.000,645,0.694,0.694000
93.000,645,0.694,0.694000
93.000,645,0.694,0.694000
93.000,645,0.694,0.694091
109.000,645,0.694,0.694091
109.000,645,0.694,0.694091
109.000,645,0.694,0.694182
109.000,645,0.694,0.694182
125.000,646,0.695,0.694182
140.000,645,0.694,0.694182
140.000,645,0.694,0.694273
140.000,646,0.695,0.694273
140.000,645,0.694,0.694364
140.000,645,0.694,0.694455
156.000,645,0.694,0.694455
156.000,646,0.695,0.694545
156.000,645,0.694,0.694636
171.000,646,0.695,0.694545
171.000,646,0.695,0.694545
171.000,646,0.695,0.694636
187.000,646,0.695,0.694727
187.000,646,0.695,0.694636
187.000,645,0.694,0.694727
203.000,645,0.694,0.694727
203.000,646,0.695,0.694727
203.000,646,0.695,0.694727
218.000,645,0.694,0.694727
218.000,646,0.695,0.694727
218.000,646,0.695,0.694818
234.000,646,0.695,0.694818
265.000,646,0.695,0.694818
265.000,646,0.695,0.694818
265.000,646,0.695,0.694909
265.000,646,0.695,0.694909
265.000,645,0.694,0.694909
265.000,646,0.695,0.694909
265.000,646,0.695,0.694909
265.000,646,0.695,0.694545
265.000,646,0.695,0.694545
281.000,646,0.695,0.694545
281.000,646,0.695,0.694636
281.000,646,0.695,0.694636
296.000,643,0.691,0.694636
296.000,646,0.695,0.694636
296.000,646,0.695,0.694636
312.000,646,0.695,0.694636
312.000,646,0.695,0.694636
312.000,646,0.695,0.694636
328.000,646,0.695,0.695000
