Time(ms),ADC,Voltage(V)
0.000,668,0.718
0.000,669,0.719
0.000,669,0.719
0.000,668,0.718
16.000,668,0.718
16.000,668,0.718
32.000,668,0.718
32.000,668,0.718
32.000,668,0.718
32.000,668,0.718
47.000,668,0.718
47.000,669,0.719
47.000,668,0.718
63.000,668,0.718
63.000,668,0.718
63.000,668,0.718
78.000,668,0.718
78.000,669,0.719
78.000,668,0.718
94.000,668,0.718
94.000,669,0.719
94.000,668,0.718
110.000,668,0.718
110.000,669,0.719
110.000,669,0.719
125.000,668,0.718
125.000,669,0.719
125.000,668,0.718
141.000,669,0.719
141.000,669,0.719
141.000,669,0.719
157.000,668,0.718
157.000,669,0.719
157.000,669,0.719
157.000,668,0.718
172.000,668,0.718
172.000,668,0.718
172.000,669,0.719
188.000,668,0.718
188.000,669,0.719
188.000,669,0.719
203.000,669,0.719
203.000,669,0.719
203.000,669,0.719
219.000,669,0.719
219.000,669,0.719
219.000,669,0.719
235.000,669,0.719
235.000,669,0.719
235.000,669,0.719
250.000,669,0.719
250.000,669,0.719
250.000,670,0.720
266.000,669,0.719
266.000,669,0.719
266.000,669,0.719
282.000,669,0.719
282.000,669,0.719
282.000,669,0.719
297.000,669,0.719
297.000,669,0.719
297.000,670,0.720
313.000,670,0.720
313.000,669,0.719
313.000,669,0.719
328.000,670,0.720
328.000,669,0.719
328.000,670,0.720
328.000,669,0.719
344.000,670,0.720
344.000,669,0.719
344.000,669,0.719
360.000,669,0.719
360.000,669,0.719
360.000,669,0.719
375.000,669,0.719
375.000,669,0.719
375.000,669,0.719
391.000,669,0.719
391.000,669,0.719
391.000,670,0.720
407.000,669,0.719
407.000,669,0.719
407.000,670,0.720
422.000,670,0.720
422.000,669,0.719
422.000,669,0.719
438.000,669,0.719
438.000,670,0.720
438.000,670,0.720
453.000,670,0.720
453.000,670,0.720
453.000,670,0.720
453.000,669,0.719
469.000,669,0.719
469.000,669,0.719
469.000,669,0.719
485.000,670,0.720
485.000,670,0.720
485.000,670,0.720
500.000,670,0.720
500.000,669,0.719
500.000,670,0.720
516.000,670,0.720
516.000,670,0.720
516.000,670,0.720
532.000,670,0.720
532.000,669,0.719
532.000,670,0.720
547.000,670,0.720
547.000,670,0.720
547.000,670,0.720
563.000,670,0.720
563.000,670,0.720
563.000,670,0.720
578.000,670,0.720
578.000,670,0.720
578.000,669,0.719
594.000,670,0.720
594.000,670,0.720
594.000,670,0.720
610.000,670,0.720
610.000,670,0.720
610.000,670,0.720
625.000,670,0.720
625.000,670,0.720
625.000,670,0.720
625.000,670,0.720
641.000,670,0.720
641.000,670,0.720
641.000,670,0.720
657.000,670,0.720
657.000,670,0.720
657.000,670,0.720
672.000,670,0.720
672.000,670,0.720
672.000,670,0.720
688.000,670,0.720
688.000,670,0.720
688.000,670,0.720
703.000,670,0.720
703.000,671,0.722
703.000,670,0.720
719.000,670,0.720
719.000,670,0.720
719.000,670,0.720
735.000,670,0.720
735.000,670,0.720
735.000,670,0.720
750.000,671,0.722
750.000,670,0.720
750.000,670,0.720
766.000,670,0.720
766.000,670,0.720
766.000,670,0.720
782.000,671,0.722
782.000,670,0.720
782.000,670,0.720
797.000,671,0.722
797.000,671,0.722
797.000,671,0.722
797.000,671,0.722
813.000,671,0.722
813.000,670,0.720
813.000,671,0.722
828.000,671,0.722
828.000,671,0.722
828.000,671,0.722
844.000,671,0.722
844.000,671,0.722
844.000,671,0.722
860.000,671,0.722
860.000,670,0.720
860.000,671,0.722
875.000,671,0.722
875.000,670,0.720
875.000,670,0.720
891.000,671,0.722
891.000,671,0.722
891.000,671,0.722
907.000,671,0.722
907.000,671,0.722
907.000,671,0.722
922.000,671,0.722
922.000,671,0.722
922.000,671,0.722
938.000,671,0.722
938.000,671,0.722
938.000,671,0.722
938.000,671,0.722
953.000,671,0.722
953.000,671,0.722
953.000,671,0.722
969.000,671,0.722
969.000,672,0.723
969.000,672,0.723
985.000,671,0.722
985.000,671,0.722
985.000,671,0.722
1000.000,671,0.722
1000.000,670,0.720
1000.000,671,0.722
1016.000,671,0.722
1016.000,671,0.722
1016.000,671,0.722
1032.000,671,0.722
1032.000,671,0.722
1032.000,672,0.723
1047.000,672,0.723
1047.000,671,0.722
1047.000,671,0.722
1063.000,672,0.723
1063.000,672,0.723
1063.000,672,0.723
