Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,668,0.718,0.718182
0.000,669,0.719,0.718182
0.000,669,0.719,0.718182
0.000,668,0.718,0.718182
16.000,668,0.718,0.718182
16.000,668,0.718,0.718182
32.000,668,0.718,0.718273
32.000,668,0.718,0.718182
32.000,668,0.718,0.718091
32.000,668,0.718,0.718091
47.000,668,0.718,0.718091
47.000,669,0.719,0.718091
47.000,668,0.718,0.718182
63.000,668,0.718,0.718182
63.000,668,0.718,0.718182
63.000,668,0.718,0.718273
78.000,668,0.718,0.718273
78.000,669,0.719,0.718182
78.000,668,0.718,0.718273
94.000,668,0.718,0.718364
94.000,669,0.719,0.718364
94.000,668,0.718,0.718455
110.000,668,0.718,0.718455
110.000,669,0.719,0.718455
110.000,669,0.719,0.718545
125.000,668,0.718,0.718636
125.000,669,0.719,0.718545
125.000,668,0.718,0.718636
141.000,669,0.719,0.718727
141.000,669,0.719,0.718636
141.000,669,0.719,0.718545
157.000,668,0.718,0.718545
157.000,669,0.719,0.718545
157.000,669,0.719,0.718545
157.000,668,0.718,0.718545
172.000,668,0.718,0.718545
172.000,668,0.718,0.718545
172.000,669,0.719,0.718636
188.000,668,0.718,0.718636
188.000,669,0.719,0.718636
188.000,669,0.719,0.718727
203.000,669,0.719,0.718818
203.000,669,0.719,0.718909
203.000,669,0.719,0.718909
219.000,669,0.719,0.719000
219.000,669,0.719,0.719000
219.000,669,0.719,0.719000
235.000,669,0.719,0.719091
235.000,669,0.719,0.719091
235.000,669,0.719,0.719091
250.000,669,0.719,0.719091
250.000,669,0.719,0.719091
250.000,670,0.720,0.719091
266.000,669,0.719,0.719091
266.000,669,0.719,0.719091
266.000,669,0.719,0.719091
282.000,669,0.719,0.719182
282.000,669,0.719,0.719273
282.000,669,0.719,0.719182
297.000,669,0.719,0.719182
297.000,669,0.719,0.719273
297.000,670,0.720,0.719273
313.000,670,0.720,0.719364
313.000,669,0.719,0.719364
313.000,669,0.719,0.719455
328.000,670,0.720,0.719455
328.000,669,0.719,0.719455
328.000,670,0.720,0.719364
328.000,669,0.719,0.719273
