Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
16.000,655,0.704,0.704000
16.000,655,0.704,0.704000
16.000,655,0.704,0.704091
16.000,655,0.704,0.704091
16.000,655,0.704,0.704091
32.000,655,0.704,0.704091
32.000,655,0.704,0.704091
32.000,656,0.705,0.704091
47.000,655,0.704,0.704091
47.000,655,0.704,0.704091
47.000,655,0.704,0.704091
63.000,655,0.704,0.704091
63.000,655,0.704,0.704091
63.000,655,0.704,0.704000
78.000,655,0.704,0.703909
78.000,655,0.704,0.703909
78.000,655,0.704,0.703909
94.000,655,0.704,0.703909
94.000,655,0.704,0.703909
110.000,654,0.703,0.703909
110.000,655,0.704,0.704000
110.000,655,0.704,0.704000
110.000,655,0.704,0.704000
125.000,655,0.704,0.704000
125.000,655,0.704,0.704000
125.000,656,0.705,0.704091
141.000,655,0.704,0.704091
141.000,655,0.704,0.704091
141.000,655,0.704,0.704091
157.000,655,0.704,0.704091
157.000,655,0.704,0.704091
157.000,655,0.704,0.704000
172.000,655,0.704,0.704000
172.000,655,0.704,0.704091
172.000,655,0.704,0.704273
172.000,655,0.704,0.704455
188.000,655,0.704,0.704636
188.000,655,0.704,0.704818
188.000,656,0.705,0.705000
203.000,657,0.706,0.705182
203.000,657,0.706,0.705364
203.000,657,0.706,0.705545
219.000,657,0.706,0.705727
235.000,657,0.706,0.705909
235.000,657,0.706,0.706000
235.000,657,0.706,0.706000
235.000,657,0.706,0.706000
235.000,657,0.706,0.706000
250.000,657,0.706,0.706000
250.000,657,0.706,0.706000
250.000,657,0.706,0.706000
266.000,657,0.706,0.705909
266.000,657,0.706,0.705909
266.000,657,0.706,0.705909
282.000,657,0.706,0.705909
282.000,657,0.706,0.705909
282.000,656,0.705,0.705909
297.000,657,0.706,0.705909
297.000,657,0.706,0.705909
297.000,657,0.706,0.705909
313.000,657,0.706,0.705909
313.000,657,0.706,0.705909
313.000,657,0.706,0.706000
313.000,657,0.706,0.706000
328.000,657,0.706,0.706000
328.000,657,0.706,0.706000
328.000,657,0.706,0.706000
360.000,657,0.706,0.706000
360.000,657,0.706,0.706000
360.000,657,0.706,0.706000
360.000,657,0.706,0.706000
360.000,657,0.706,0.706000
360.000,657,0.706,0.706000
375.000,657,0.706,0.706000
375.000,657,0.706,0.706000
375.000,657,0.706,0.706000
391.000,657,0.706,0.706000
391.000,657,0.706,0.706182
391.000,657,0.706,0.706182
407.000,657,0.706,0.706182
407.000,657,0.706,0.706182
407.000,657,0.706,0.706182
422.000,658,0.708,0.706182
422.000,657,0.706,0.706182
422.000,657,0.706,0.706182
438.000,657,0.706,0.706364
438.000,657,0.706,0.706545
438.000,657,0.706,0.706545
453.000,657,0.706,0.706364
453.000,657,0.706,0.706364
453.000,658,0.708,0.706545
469.000,658,0.708,0.706727
469.000,657,0.706,0.706909
469.000,657,0.706,0.707091
485.000,657,0.706,0.707273
485.000,658,0.708,0.707455
485.000,658,0.708,0.707273
485.000,658,0.708,0.707273
500.000,658,0.708,0.707455
500.000,658,0.708,0.707636
500.000,658,0.708,0.707818
516.000,657,0.706,0.707909
516.000,658,0.708,0.707909
516.000,658,0.708,0.707909
532.000,658,0.708,0.707909
532.000,658,0.708,0.707909
532.000,659,0.709,0.707909
547.000,658,0.708,0.708091
547.000,658,0.708,0.708091
547.000,658,0.708,0.708091
563.000,658,0.708,0.708091
563.000,658,0.708,0.708182
563.000,658,0.708,0.708182
578.000,658,0.708,0.708364
594.000,658,0.708,0.708545
594.000,658,0.708,0.708818
594.000,659,0.709,0.709091
594.000,659,0.709,0.709364
594.000,660,0.710,0.709636
610.000,660,0.710,0.709909
610.000,661,0.711,0.710091
610.000,661,0.711,0.710364
625.000,661,0.711,0.710545
625.000,661,0.711,0.710727
625.000,661,0.711,0.710818
641.000,660,0.710,0.710909
641.000,661,0.711,0.710909
641.000,661,0.711,0.710909
657.000,661,0.711,0.710909
657.000,661,0.711,0.710909
657.000,661,0.711,0.710909
657.000,661,0.711,0.711000
672.000,661,0.711,0.711000
672.000,661,0.711,0.711000
672.000,661,0.711,0.711000
688.000,661,0.711,0.711000
688.000,661,0.711,0.711000
688.000,661,0.711,0.711000
703.000,661,0.711,0.711000
719.000,661,0.711,0.711000
719.000,661,0.711,0.711000
719.000,661,0.711,0.711000
719.000,661,0.711,0.711000
719.000,661,0.711,0.711000
735.000,661,0.711,0.711000
735.000,661,0.711,0.711000
735.000,661,0.711,0.711000
750.000,661,0.711,0.711000
750.000,661,0.711,0.711000
750.000,661,0.711,0.711000
766.000,661,0.711,0.711000
766.000,661,0.711,0.711000
766.000,661,0.711,0.711000
782.000,661,0.711,0.711000
782.000,661,0.711,0.711000
782.000,661,0.711,0.711000
782.000,661,0.711,0.711000
797.000,661,0.711,0.711000
797.000,661,0.711,0.711000
813.000,661,0.711,0.711091
813.000,661,0.711,0.711091
813.000,661,0.711,0.711091
813.000,661,0.711,0.711091
828.000,661,0.711,0.711182
828.000,662,0.712,0.711182
828.000,661,0.711,0.711182
844.000,661,0.711,0.711273
844.000,661,0.711,0.711273
844.000,662,0.712,0.711364
860.000,661,0.711,0.711364
860.000,661,0.711,0.711273
860.000,662,0.712,0.711273
875.000,661,0.711,0.711364
875.000,662,0.712,0.711364
