Time(ms),ADC,Voltage(V)
0.000,681,0.732
0.000,682,0.733
0.000,682,0.733
0.000,681,0.732
0.000,682,0.733
0.000,681,0.732
0.000,682,0.733
16.000,682,0.733
16.000,681,0.732
16.000,682,0.733
31.000,682,0.733
31.000,682,0.733
31.000,681,0.732
31.000,682,0.733
47.000,682,0.733
47.000,682,0.733
47.000,682,0.733
63.000,682,0.733
63.000,682,0.733
63.000,682,0.733
78.000,682,0.733
78.000,682,0.733
78.000,682,0.733
109.000,682,0.733
109.000,682,0.733
109.000,682,0.733
109.000,682,0.733
109.000,681,0.732
109.000,682,0.733
125.000,682,0.733
125.000,682,0.733
125.000,682,0.733
141.000,682,0.733
141.000,682,0.733
141.000,682,0.733
156.000,682,0.733
156.000,682,0.733
156.000,682,0.733
156.000,682,0.733
172.000,682,0.733
172.000,682,0.733
172.000,682,0.733
188.000,683,0.734
188.000,682,0.733
188.000,682,0.733
203.000,682,0.733
203.000,682,0.733
203.000,682,0.733
234.000,681,0.732
234.000,682,0.733
234.000,682,0.733
234.000,682,0.733
234.000,682,0.733
234.000,682,0.733
250.000,682,0.733
250.000,682,0.733
250.000,682,0.733
266.000,682,0.733
266.000,682,0.733
266.000,682,0.733
281.000,682,0.733
281.000,682,0.733
281.000,682,0.733
297.000,683,0.734
297.000,682,0.733
297.000,683,0.734
313.000,682,0.733
313.000,683,0.734
313.000,682,0.733
328.000,683,0.734
328.000,683,0.734
328.000,683,0.734
328.000,682,0.733
344.000,682,0.733
344.000,683,0.734
375.000,682,0.733
375.000,683,0.734
375.000,682,0.733
375.000,683,0.734
375.000,683,0.734
375.000,683,0.734
375.000,682,0.733
391.000,683,0.734
391.000,683,0.734
391.000,682,0.733
406.000,682,0.733
406.000,683,0.734
406.000,682,0.733
422.000,683,0.734
422.000,683,0.734
422.000,683,0.734
438.000,683,0.734
438.000,683,0.734
438.000,683,0.734
453.000,683,0.734
453.000,683,0.734
453.000,683,0.734
469.000,682,0.733
469.000,682,0.733
469.000,683,0.734
500.000,683,0.734
500.000,683,0.734
500.000,683,0.734
500.000,683,0.734
500.000,682,0.733
500.000,683,0.734
500.000,682,0.733
516.000,683,0.734
516.000,683,0.734
516.000,683,0.734
531.000,683,0.734
531.000,683,0.734
531.000,683,0.734
547.000,683,0.734
547.000,683,0.734
547.000,683,0.734
563.000,683,0.734
563.000,683,0.734
563.000,683,0.734
578.000,683,0.734
578.000,683,0.734
578.000,683,0.734
594.000,683,0.734
594.000,683,0.734
594.000,683,0.734
609.000,683,0.734
625.000,683,0.734
625.000,683,0.734
625.000,683,0.734
625.000,683,0.734
625.000,683,0.734
641.000,683,0.734
641.000,684,0.735
641.000,684,0.735
656.000,683,0.734
656.000,684,0.735
656.000,683,0.734
656.000,684,0.735
672.000,684,0.735
672.000,684,0.735
672.000,683,0.734
688.000,683,0.734
688.000,684,0.735
688.000,683,0.734
703.000,683,0.734
703.000,684,0.735
703.000,683,0.734
719.000,683,0.734
719.000,683,0.734
750.000,683,0.734
750.000,683,0.734
750.000,683,0.734
750.000,683,0.734
750.000,683,0.734
750.000,683,0.734
750.000,684,0.735
766.000,684,0.735
766.000,684,0.735
766.000,683,0.734
781.000,683,0.734
781.000,684,0.735
781.000,683,0.734
797.000,683,0.734
797.000,684,0.735
797.000,683,0.734
797.000,684,0.735
813.000,683,0.734
813.000,684,0.735
813.000,684,0.735
828.000,683,0.734
828.000,683,0.734
828.000,684,0.735
844.000,684,0.735
844.000,684,0.735
844.000,684,0.735
875.000,683,0.734
875.000,684,0.735
875.000,683,0.734
875.000,684,0.735
875.000,683,0.734
875.000,684,0.735
891.000,683,0.734
891.000,684,0.735
891.000,684,0.735
906.000,683,0.734
906.000,683,0.734
906.000,684,0.735
922.000,684,0.735
922.000,683,0.734
922.000,683,0.734
938.000,684,0.735
938.000,684,0.735
938.000,684,0.735
953.000,684,0.735
953.000,684,0.735
953.000,684,0.735
953.000,684,0.735
969.000,684,0.735
969.000,684,0.735
1000.000,683,0.734
1000.000,684,0.735
1000.000,684,0.735
1000.000,684,0.735
1000.000,684,0.735
1000.000,684,0.735
1000.000,684,0.735
1016.000,684,0.735
1016.000,683,0.734
1016.000,684,0.735
1031.000,684,0.735
1031.000,684,0.735
1031.000,684,0.735
1047.000,683,0.734
1047.000,684,0.735
1047.000,684,0.735
1063.000,684,0.735
1063.000,684,0.735
1063.000,684,0.735
1078.000,684,0.735
1078.000,684,0.735
1078.000,684,0.735
1094.000,685,0.737
1094.000,684,0.735
1094.000,684,0.735
1109.000,684,0.735
1125.000,684,0.735
1125.000,684,0.735
1125.000,684,0.735
1125.000,684,0.735
1125.000,684,0.735
1125.000,684,0.735
1141.000,684,0.735
1141.000,684,0.735
1141.000,683,0.734
1156.000,684,0.735
1156.000,684,0.735
1156.000,685,0.737
1172.000,684,0.735
1172.000,684,0.735
1172.000,684,0.735
1188.000,684,0.735
1188.000,684,0.735
1188.000,684,0.735
1203.000,684,0.735
1203.000,684,0.735
1203.000,684,0.735
1219.000,684,0.735
1219.000,685,0.737
1219.000,684,0.735
1234.000,685,0.737
1234.000,684,0.735
1266.000,684,0.735
1266.000,684,0.735
1266.000,685,0.737
1266.000,685,0.737
1266.000,685,0.737
1266.000,685,0.737
1266.000,684,0.735
1281.000,684,0.735
1281.000,684,0.735
1281.000,685,0.737
1281.000,685,0.737
1297.000,685,0.737
1297.000,685,0.737
1297.000,685,0.737
1313.000,685,0.737
1313.000,685,0.737
1313.000,685,0.737
1328.000,685,0.737
1328.000,685,0.737
1328.000,684,0.735
1344.000,685,0.737
1344.000,685,0.737
1344.000,685,0.737
1359.000,685,0.737
1359.000,684,0.735
1375.000,685,0.737
1375.000,685,0.737
1375.000,685,0.737
1375.000,685,0.737
1391.000,685,0.737
1391.000,684,0.735
1391.000,685,0.737
1406.000,685,0.737
1406.000,685,0.737
1406.000,685,0.737
1422.000,685,0.737
1422.000,684,0.735
1422.000,685,0.737
1438.000,685,0.737
1438.000,685,0.737
1438.000,685,0.737
1438.000,685,0.737
1453.000,685,0.737
1453.000,685,0.737
1453.000,685,0.737
1469.000,685,0.737
1484.000,685,0.737
1484.000,685,0.737
1484.000,685,0.737
1484.000,685,0.737
1484.000,685,0.737
1500.000,685,0.737
1500.000,685,0.737
1500.000,685,0.737
1516.000,685,0.737
1516.000,685,0.737
1516.000,685,0.737
1531.000,684,0.735
1531.000,685,0.737
1531.000,685,0.737
1547.000,685,0.737
1547.000,685,0.737
1547.000,685,0.737
1563.000,685,0.737
1563.000,685,0.737
1563.000,685,0.737
1578.000,686,0.738
1594.000,685,0.737
1594.000,685,0.737
1594.000,686,0.738
1594.000,685,0.737
1594.000,685,0.737
1609.000,685,0.737
1609.000,685,0.737
1609.000,685,0.737
1609.000,685,0.737
1625.000,685,0.737
1625.000,686,0.738
1625.000,685,0.737
1641.000,685,0.737
1641.000,686,0.738
1641.000,685,0.737
1656.000,685,0.737
1656.000,685,0.737
1656.000,686,0.738
1672.000,685,0.737
1672.000,686,0.738
1672.000,685,0.737
1688.000,686,0.738
1688.000,685,0.737
1688.000,685,0.737
1703.000,686,0.738
1719.000,685,0.737
1719.000,686,0.738
1719.000,686,0.738
1719.000,686,0.738
1719.000,685,0.737
1734.000,685,0.737
1734.000,686,0.738
1734.000,685,0.737
1734.000,686,0.738
1750.000,686,0.738
1750.000,685,0.737
1750.000,686,0.738
1766.000,686,0.738
1766.000,686,0.738
1766.000,686,0.738
1781.000,686,0.738
1781.000,686,0.738
1781.000,686,0.738
1797.000,686,0.738
1797.000,686,0.738
