Time(ms),ADC,Voltage(V)
0.000,660,0.710
0.000,660,0.710
0.000,660,0.710
15.000,660,0.710
15.000,660,0.710
15.000,660,0.710
31.000,661,0.711
31.000,660,0.710
31.000,660,0.710
47.000,660,0.710
47.000,660,0.710
47.000,661,0.711
62.000,661,0.711
62.000,661,0.711
62.000,661,0.711
78.000,661,0.711
78.000,661,0.711
78.000,660,0.710
94.000,660,0.710
94.000,661,0.711
94.000,660,0.710
109.000,661,0.711
109.000,660,0.710
109.000,661,0.711
125.000,661,0.711
125.000,661,0.711
125.000,661,0.711
125.000,661,0.711
140.000,661,0.711
140.000,661,0.711
156.000,661,0.711
156.000,661,0.711
156.000,661,0.711
172.000,662,0.712
172.000,661,0.711
172.000,661,0.711
172.000,661,0.711
187.000,661,0.711
187.000,661,0.711
187.000,661,0.711
203.000,660,0.710
203.000,661,0.711
203.000,662,0.712
219.000,661,0.711
219.000,661,0.711
219.000,661,0.711
234.000,661,0.711
234.000,661,0.711
234.000,661,0.711
250.000,661,0.711
250.000,661,0.711
250.000,661,0.711
265.000,661,0.711
265.000,661,0.711
265.000,661,0.711
281.000,661,0.711
281.000,662,0.712
281.000,661,0.711
297.000,662,0.712
297.000,661,0.711
297.000,661,0.711
297.000,662,0.712
312.000,661,0.711
312.000,662,0.712
312.000,662,0.712
328.000,661,0.711
328.000,661,0.711
328.000,662,0.712
344.000,661,0.711
344.000,661,0.711
344.000,662,0.712
359.000,661,0.711
359.000,661,0.711
359.000,662,0.712
375.000,662,0.712
375.000,661,0.711
375.000,662,0.712
390.000,662,0.712
390.000,662,0.712
390.000,662,0.712
406.000,662,0.712
406.000,662,0.712
406.000,662,0.712
422.000,662,0.712
422.000,662,0.712
422.000,662,0.712
437.000,662,0.712
437.000,662,0.712
437.000,662,0.712
453.000,662,0.712
453.000,662,0.712
453.000,662,0.712
469.000,662,0.712
469.000,662,0.712
469.000,662,0.712
484.000,662,0.712
484.000,663,0.713
484.000,662,0.712
484.000,663,0.713
500.000,662,0.712
500.000,662,0.712
500.000,663,0.713
515.000,662,0.712
515.000,662,0.712
515.000,663,0.713
531.000,662,0.712
531.000,662,0.712
531.000,662,0.712
547.000,663,0.713
547.000,662,0.712
547.000,662,0.712
562.000,662,0.712
562.000,662,0.712
562.000,662,0.712
578.000,663,0.713
578.000,663,0.713
578.000,663,0.713
594.000,662,0.712
594.000,663,0.713
594.000,663,0.713
609.000,663,0.713
609.000,663,0.713
625.000,663,0.713
625.000,663,0.713
625.000,662,0.712
625.000,663,0.713
625.000,663,0.713
640.000,663,0.713
640.000,662,0.712
640.000,663,0.713
656.000,662,0.712
656.000,663,0.713
656.000,663,0.713
672.000,662,0.712
672.000,663,0.713
672.000,663,0.713
687.000,663,0.713
687.000,663,0.713
687.000,663,0.713
703.000,663,0.713
703.000,662,0.712
703.000,663,0.713
719.000,663,0.713
719.000,663,0.713
719.000,663,0.713
734.000,663,0.713
734.000,663,0.713
734.000,663,0.713
