Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,660,0.710,0.710000
0.000,660,0.710,0.710091
0.000,660,0.710,0.710091
15.000,660,0.710,0.710091
15.000,660,0.710,0.710091
15.000,660,0.710,0.710091
31.000,661,0.711,0.710182
31.000,660,0.710,0.710273
31.000,660,0.710,0.710364
47.000,660,0.710,0.710455
47.000,660,0.710,0.710545
47.000,661,0.711,0.710636
62.000,661,0.711,0.710545
62.000,661,0.711,0.710545
62.000,661,0.711,0.710636
78.000,661,0.711,0.710636
78.000,661,0.711,0.710727
78.000,660,0.710,0.710636
94.000,660,0.710,0.710636
94.000,661,0.711,0.710636
94.000,660,0.710,0.710636
109.000,661,0.711,0.710636
109.000,660,0.710,0.710636
109.000,661,0.711,0.710727
125.000,661,0.711,0.710818
125.000,661,0.711,0.710818
125.000,661,0.711,0.710909
125.000,661,0.711,0.710909
140.000,661,0.711,0.711091
140.000,661,0.711,0.711091
156.000,661,0.711,0.711091
156.000,661,0.711,0.711091
156.000,661,0.711,0.711091
172.000,662,0.712,0.711091
172.000,661,0.711,0.711091
172.000,661,0.711,0.711000
172.000,661,0.711,0.711000
187.000,661,0.711,0.711091
187.000,661,0.711,0.711091
187.000,661,0.711,0.711000
203.000,660,0.710,0.711000
203.000,661,0.711,0.711000
203.000,662,0.712,0.711000
219.000,661,0.711,0.711000
219.000,661,0.711,0.711000
219.000,661,0.711,0.711000
234.000,661,0.711,0.711091
234.000,661,0.711,0.711091
234.000,661,0.711,0.711000
250.000,661,0.711,0.711000
250.000,661,0.711,0.711000
250.000,661,0.711,0.711091
265.000,661,0.711,0.711091
265.000,661,0.711,0.711182
265.000,661,0.711,0.711182
281.000,661,0.711,0.711182
281.000,662,0.712,0.711273
281.000,661,0.711,0.711273
297.000,662,0.712,0.711364
297.000,661,0.711,0.711455
297.000,661,0.711,0.711455
297.000,662,0.712,0.711455
312.000,661,0.711,0.711455
312.000,662,0.712,0.711455
312.000,662,0.712,0.711364
328.000,661,0.711,0.711455
328.000,661,0.711,0.711455
328.000,662,0.712,0.711364
344.000,661,0.711,0.711455
344.000,661,0.711,0.711455
344.000,662,0.712,0.711364
359.000,661,0.711,0.711455
359.000,661,0.711,0.711545
359.000,662,0.712,0.711545
375.000,662,0.712,0.711636
375.000,661,0.711,0.711727
375.000,662,0.712,0.711727
390.000,662,0.712,0.711818
390.000,662,0.712,0.711909
390.000,662,0.712,0.711909
406.000,662,0.712,0.711909
406.000,662,0.712,0.712000
406.000,662,0.712,0.712000
422.000,662,0.712,0.712000
422.000,662,0.712,0.712000
422.000,662,0.712,0.712000
437.000,662,0.712,0.712000
437.000,662,0.712,0.712000
437.000,662,0.712,0.712000
453.000,662,0.712,0.712000
453.000,662,0.712,0.712000
453.000,662,0.712,0.712091
469.000,662,0.712,0.712091
469.000,662,0.712,0.712182
469.000,662,0.712,0.712182
484.000,662,0.712,0.712182
484.000,663,0.713,0.712273
484.000,662,0.712,0.712273
484.000,663,0.713,0.712273
500.000,662,0.712,0.712364
500.000,662,0.712,0.712364
500.000,663,0.713,0.712364
515.000,662,0.712,0.712273
515.000,662,0.712,0.712364
515.000,663,0.713,0.712273
531.000,662,0.712,0.712273
531.000,662,0.712,0.712273
531.000,662,0.712,0.712182
547.000,663,0.713,0.712182
547.000,662,0.712,0.712273
547.000,662,0.712,0.712273
562.000,662,0.712,0.712364
562.000,662,0.712,0.712364
562.000,662,0.712,0.712455
578.000,663,0.713,0.712455
578.000,663,0.713,0.712545
578.000,663,0.713,0.712636
594.000,662,0.712,0.712727
594.000,663,0.713,0.712818
594.000,663,0.713,0.712818
609.000,663,0.713,0.712818
609.000,663,0.713,0.712818
625.000,663,0.713,0.712818
625.000,663,0.713,0.712818
625.000,662,0.712,0.712818
625.000,663,0.713,0.712727
625.000,663,0.713,0.712727
640.000,663,0.713,0.712727
640.000,662,0.712,0.712636
640.000,663,0.713,0.712636
656.000,662,0.712,0.712727
656.000,663,0.713,0.712727
656.000,663,0.713,0.712727
672.000,662,0.712,0.712727
672.000,663,0.713,0.712818
672.000,663,0.713,0.712727
687.000,663,0.713,0.712818
687.000,663,0.713,0.712818
687.000,663,0.713,0.712818
703.000,663,0.713,0.712909
703.000,662,0.712,0.712909
703.000,663,0.713,0.712909
719.000,663,0.713,0.712909
719.000,663,0.713,0.712909
719.000,663,0.713,0.712909
734.000,663,0.713,0.712909
734.000,663,0.713,0.713000
734.000,663,0.713,0.713000
750.000,663,0.713,0.713000
750.000,663,0.713,0.713000
750.000,663,0.713,0.713000
765.000,663,0.713,0.713000
765.000,663,0.713,0.713000
765.000,663,0.713,0.713000
781.000,663,0.713,0.713000
781.000,663,0.713,0.713000
781.000,663,0.713,0.713000
781.000,663,0.713,0.713000
797.000,663,0.713,0.713000
797.000,663,0.713,0.713000
812.000,663,0.713,0.713000
812.000,663,0.713,0.713000
812.000,663,0.713,0.713000
812.000,663,0.713,0.713000
828.000,663,0.713,0.713000
828.000,663,0.713,0.713091
828.000,663,0.713,0.713091
844.000,663,0.713,0.713091
844.000,663,0.713,0.713091
844.000,663,0.713,0.713091
859.000,664,0.714,0.713091
859.000,663,0.713,0.713182
859.000,663,0.713,0.713273
875.000,663,0.713,0.713364
875.000,663,0.713,0.713455
875.000,663,0.713,0.713545
890.000,664,0.714,0.713636
890.000,664,0.714,0.713727
890.000,664,0.714,0.713818
906.000,664,0.714,0.713909
906.000,664,0.714,0.714000
906.000,665,0.715,0.714091
922.000,664,0.714,0.714091
922.000,664,0.714,0.714091
922.000,664,0.714,0.714091
937.000,664,0.714,0.714091
937.000,664,0.714,0.714091
937.000,664,0.714,0.714000
953.000,664,0.714,0.714000
953.000,664,0.714,0.714000
953.000,664,0.714,0.714000
953.000,664,0.714,0.714091
969.000,664,0.714,0.714182
969.000,664,0.714,0.714182
969.000,664,0.714,0.714182
984.000,664,0.714,0.714182
984.000,665,0.715,0.714182
984.000,665,0.715,0.714182
1000.000,664,0.714,0.714182
1000.000,664,0.714,0.714273
1000.000,664,0.714,0.714273
1015.000,664,0.714,0.714273
1015.000,664,0.714,0.714182
1015.000,664,0.714,0.714091
1031.000,665,0.715,0.714182
1031.000,664,0.714,0.714182
1031.000,664,0.714,0.714182
1047.000,664,0.714,0.714182
1047.000,664,0.714,0.714182
1047.000,665,0.715,0.714273
1062.000,664,0.714,0.714182
1062.000,664,0.714,0.714273
1062.000,664,0.714,0.714364
1078.000,664,0.714,0.714455
1078.000,665,0.715,0.714545
1078.000,664,0.714,0.714545
1094.000,665,0.715,0.714636
1094.000,665,0.715,0.714727
1094.000,665,0.715,0.714727
1109.000,665,0.715,0.714818
1109.000,665,0.715,0.714818
1109.000,665,0.715,0.714909
1109.000,665,0.715,0.714909
1125.000,664,0.714,0.714909
1125.000,665,0.715,0.714818
1125.000,665,0.715,0.714818
1140.000,665,0.715,0.714818
1140.000,665,0.715,0.714818
1140.000,665,0.715,0.714818
1156.000,664,0.714,0.714909
1156.000,665,0.715,0.714909
1156.000,665,0.715,0.714909
1172.000,665,0.715,0.714909
1172.000,665,0.715,0.715000
1172.000,665,0.715,0.715000
1187.000,665,0.715,0.715091
1187.000,665,0.715,0.715182
1187.000,665,0.715,0.715182
1203.000,666,0.716,0.715273
1203.000,665,0.715,0.715364
1203.000,665,0.715,0.715364
1219.000,666,0.716,0.715364
1219.000,665,0.715,0.715364
1219.000,666,0.716,0.715455
1234.000,666,0.716,0.715455
1234.000,665,0.715,0.715455
1234.000,665,0.715,0.715545
1234.000,665,0.715,0.715455
1250.000,666,0.716,0.715455
1250.000,666,0.716,0.715455
1265.000,665,0.715,0.715364
1265.000,666,0.716,0.715455
1265.000,665,0.715,0.715545
1265.000,665,0.715,0.715636
1281.000,666,0.716,0.715545
1281.000,665,0.715,0.715545
1281.000,666,0.716,0.715636
1297.000,666,0.716,0.715636
1297.000,666,0.716,0.715727
1297.000,665,0.715,0.715818
1312.000,666,0.716,0.715818
1312.000,666,0.716,0.715909
1312.000,666,0.716,0.715909
1328.000,666,0.716,0.715909
1328.000,666,0.716,0.715909
1328.000,666,0.716,0.716000
1344.000,666,0.716,0.716000
1344.000,666,0.716,0.716000
1344.000,666,0.716,0.716000
1359.000,666,0.716,0.716000
1359.000,666,0.716,0.716000
1359.000,666,0.716,0.716000
1375.000,666,0.716,0.716000
1375.000,666,0.716,0.716000
1375.000,666,0.716,0.716000
1390.000,666,0.716,0.716000
1390.000,666,0.716,0.716091
1390.000,666,0.716,0.716091
1406.000,666,0.716,0.716091
1406.000,666,0.716,0.716091
1406.000,666,0.716,0.716182
1406.000,667,0.717,0.716182
1422.000,666,0.716,0.716182
1422.000,666,0.716,0.716273
1422.000,666,0.716,0.716182
1437.000,667,0.717,0.716182
1437.000,666,0.716,0.716182
1437.000,666,0.716,0.716091
1453.000,667,0.717,0.716091
1453.000,665,0.715,0.716091
1453.000,666,0.716,0.716091
1469.000,666,0.716,0.716091
1469.000,666,0.716,0.716182
1469.000,666,0.716,0.716273
1484.000,666,0.716,0.716273
1484.000,666,0.716,0.716545
1484.000,667,0.717,0.716636
1500.000,667,0.717,0.716727
1500.000,667,0.717,0.716818
1500.000,667,0.717,0.716909
1515.000,668,0.718,0.717000
1515.000,667,0.717,0.717091
1515.000,667,0.717,0.717091
1531.000,667,0.717,0.717091
1531.000,667,0.717,0.717091
1531.000,667,0.717,0.717091
1547.000,667,0.717,0.717000
1547.000,667,0.717,0.717000
1547.000,667,0.717,0.717000
1562.000,667,0.717,0.717000
1562.000,667,0.717,0.717000
1562.000,667,0.717,0.717000
1562.000,667,0.717,0.717091
1578.000,667,0.717,0.717182
1578.000,667,0.717,0.717182
1594.000,667,0.717,0.717273
1594.000,667,0.717,0.717273
1594.000,668,0.718,0.717364
1594.000,668,0.718,0.717364
1609.000,667,0.717,0.717364
1609.000,668,0.718,0.717364
1609.000,667,0.717,0.717455
1625.000,668,0.718,0.717545
1625.000,667,0.717,0.717545
1625.000,667,0.717,0.717455
1640.000,667,0.717,0.717455
1640.000,668,0.718,0.717364
1640.000,668,0.718,0.717364
1656.000,668,0.718,0.717273
1656.000,667,0.717,0.717364
1656.000,667,0.717,0.717364
1672.000,667,0.717,0.717364
1672.000,667,0.717,0.717364
1672.000,667,0.717,0.717364
1687.000,668,0.718,0.717273
1687.000,667,0.717,0.717364
1687.000,667,0.717,0.717455
1703.000,668,0.718,0.717545
1703.000,668,0.718,0.717636
1703.000,667,0.717,0.717727
1719.000,668,0.718,0.717727
1719.000,668,0.718,0.717818
1719.000,668,0.718,0.717909
1719.000,668,0.718,0.717909
1734.000,668,0.718,0.717909
1734.000,668,0.718,0.717909
1750.000,668,0.718,0.717909
