Time(ms),PCElapsed(ms),ADC,Voltage(V)
132016,0.000,630,0.677
132021,0.000,630,0.677
132026,15.000,632,0.680
132031,15.000,632,0.680
132036,15.000,632,0.680
132041,31.000,632,0.680
132046,31.000,632,0.680
132051,31.000,632,0.680
132056,47.000,632,0.680
132061,47.000,632,0.680
132066,47.000,632,0.680
132071,62.000,632,0.680
132076,62.000,632,0.680
132081,62.000,632,0.680
132086,78.000,632,0.680
132091,78.000,632,0.680
132096,78.000,632,0.680
132101,78.000,632,0.680
132106,94.000,632,0.680
132111,94.000,632,0.680
132116,94.000,632,0.680
132121,109.000,632,0.680
132126,109.000,633,0.681
132131,109.000,634,0.682
132136,125.000,634,0.682
132141,125.000,634,0.682
132146,125.000,634,0.682
132151,140.000,634,0.682
132156,140.000,634,0.682
132161,140.000,634,0.682
132166,156.000,634,0.682
132171,156.000,634,0.682
132176,156.000,634,0.682
132182,172.000,634,0.682
132187,172.000,634,0.682
132192,172.000,634,0.682
132197,187.000,634,0.682
132202,187.000,634,0.682
132207,187.000,635,0.683
132212,203.000,634,0.682
132217,203.000,634,0.682
132222,203.000,634,0.682
132227,219.000,634,0.682
132232,219.000,636,0.684
132237,219.000,636,0.684
132242,234.000,636,0.684
132247,234.000,636,0.684
132252,234.000,636,0.684
132257,250.000,636,0.684
132262,250.000,636,0.684
132267,250.000,636,0.684
132272,250.000,636,0.684
132277,265.000,636,0.684
132282,265.000,636,0.684
132287,265.000,637,0.685
132292,281.000,636,0.684
132297,281.000,636,0.684
132302,281.000,636,0.684
132307,297.000,636,0.684
132312,297.000,636,0.684
132317,297.000,636,0.684
132322,312.000,637,0.685
132327,312.000,636,0.684
132332,312.000,639,0.687
132337,328.000,639,0.687
132342,328.000,638,0.686
132347,344.000,639,0.687
132352,344.000,639,0.687
132357,344.000,638,0.686
132362,344.000,639,0.687
132367,359.000,638,0.686
132372,359.000,638,0.686
132377,359.000,638,0.686
132382,375.000,639,0.687
132387,375.000,638,0.686
132392,375.000,638,0.686
132397,375.000,638,0.686
132402,390.000,638,0.686
132407,390.000,638,0.686
132412,390.000,638,0.686
132417,406.000,638,0.686
132422,406.000,639,0.687
132427,406.000,638,0.686
132432,422.000,640,0.688
132438,422.000,641,0.689
132443,422.000,641,0.689
132448,437.000,641,0.689
132453,437.000,641,0.689
132458,453.000,641,0.689
132463,453.000,641,0.689
132468,453.000,641,0.689
132473,453.000,641,0.689
132478,469.000,641,0.689
132483,469.000,641,0.689
132488,469.000,641,0.689
132493,484.000,641,0.689
132498,484.000,641,0.689
132503,484.000,641,0.689
132508,500.000,641,0.689
132513,500.000,641,0.689
132518,500.000,641,0.689
132523,515.000,641,0.689
132528,515.000,641,0.689
132533,515.000,641,0.689
132538,531.000,644,0.692
132543,531.000,643,0.691
132548,531.000,643,0.691
132553,547.000,643,0.691
132558,547.000,643,0.691
132563,547.000,643,0.691
132568,547.000,643,0.691
132573,562.000,643,0.691
132578,562.000,643,0.691
132583,562.000,643,0.691
132588,578.000,643,0.691
132593,578.000,643,0.691
132598,578.000,643,0.691
132603,594.000,643,0.691
132608,594.000,643,0.691
132613,594.000,643,0.691
132618,609.000,643,0.691
132623,609.000,643,0.691
132628,609.000,644,0.692
132633,625.000,643,0.691
132638,625.000,646,0.695
132643,625.000,646,0.695
132648,640.000,646,0.695
132653,640.000,646,0.695
132658,640.000,645,0.694
132663,656.000,645,0.694
132668,656.000,645,0.694
132673,656.000,646,0.695
132678,672.000,645,0.694
132683,672.000,645,0.694
132688,672.000,646,0.695
132694,687.000,645,0.694
132699,687.000,646,0.695
132704,687.000,646,0.695
132709,703.000,646,0.695
132714,703.000,645,0.694
132719,703.000,645,0.694
132724,719.000,646,0.695
132729,719.000,645,0.694
132734,719.000,645,0.694
132739,719.000,647,0.696
132744,734.000,648,0.697
132749,734.000,648,0.697
132754,734.000,648,0.697
132759,750.000,648,0.697
132764,750.000,648,0.697
132769,750.000,648,0.697
132774,765.000,648,0.697
132779,765.000,647,0.696
132784,765.000,647,0.696
132789,781.000,647,0.696
132794,781.000,648,0.697
132799,781.000,648,0.697
132804,797.000,648,0.697
132809,797.000,647,0.696
132814,797.000,648,0.697
132819,812.000,647,0.696
132824,812.000,647,0.696
132829,812.000,647,0.696
132834,828.000,648,0.697
132839,828.000,648,0.697
132844,828.000,650,0.699
132849,844.000,650,0.699
132854,844.000,650,0.699
132859,844.000,650,0.699
132864,844.000,650,0.699
132869,859.000,650,0.699
132874,859.000,650,0.699
132879,875.000,650,0.699
132884,875.000,650,0.699
132889,875.000,649,0.698
132894,875.000,650,0.699
132899,890.000,649,0.698
132904,890.000,649,0.698
132909,890.000,650,0.699
132914,906.000,649,0.698
132919,906.000,650,0.699
132924,906.000,650,0.699
132929,922.000,650,0.699
132934,922.000,649,0.698
132939,922.000,650,0.699
132944,937.000,652,0.701
132950,937.000,652,0.701
132955,937.000,652,0.701
132960,953.000,652,0.701
132965,953.000,652,0.701
132970,953.000,652,0.701
132975,969.000,652,0.701
132980,969.000,652,0.701
132985,969.000,652,0.701
132990,984.000,652,0.701
132995,984.000,652,0.701
133000,984.000,652,0.701
133005,1000.000,652,0.701
133010,1000.000,652,0.701
133015,1000.000,652,0.701
133020,1015.000,652,0.701
133025,1015.000,652,0.701
133030,1015.000,652,0.701
133035,1015.000,651,0.700
133040,1031.000,652,0.701
133045,1031.000,654,0.703
133050,1031.000,654,0.703
133055,1047.000,654,0.703
133060,1047.000,654,0.703
133065,1047.000,654,0.703
133070,1062.000,654,0.703
133075,1062.000,654,0.703
133080,1062.000,654,0.703
133085,1078.000,654,0.703
133090,1078.000,654,0.703
133095,1078.000,654,0.703
133100,1094.000,654,0.703
133105,1094.000,654,0.703
133110,1094.000,654,0.703
133115,1109.000,654,0.703
133120,1109.000,654,0.703
133125,1109.000,654,0.703
133130,1125.000,654,0.703
133135,1125.000,654,0.703
133140,1125.000,654,0.703
133145,1140.000,655,0.704
133150,1140.000,656,0.705
133155,1140.000,656,0.705
133160,1156.000,656,0.705
133165,1156.000,656,0.705
133170,1156.000,656,0.705
133175,1156.000,656,0.705
133180,1172.000,656,0.705
133185,1172.000,656,0.705
133190,1172.000,656,0.705
133195,1187.000,656,0.705
133200,1187.000,656,0.705
133206,1187.000,656,0.705
133211,1203.000,656,0.705
133216,1203.000,656,0.705
133221,1203.000,656,0.705
133226,1219.000,656,0.705
133231,1219.000,656,0.705
133236,1219.000,656,0.705
133241,1234.000,656,0.705
133246,1234.000,656,0.705
133251,1234.000,658,0.708
133256,1250.000,659,0.709
133261,1250.000,659,0.709
133266,1250.000,659,0.709
133271,1265.000,658,0.708
133276,1265.000,658,0.708
133281,1265.000,658,0.708
133286,1281.000,658,0.708
133291,1281.000,658,0.708
133296,1297.000,658,0.708
133301,1297.000,658,0.708
133306,1297.000,658,0.708
133311,1297.000,658,0.708
133316,1312.000,658,0.708
133321,1312.000,658,0.708
133326,1312.000,659,0.709
133331,1328.000,658,0.708
133336,1328.000,658,0.708
133341,1328.000,658,0.708
133346,1344.000,658,0.708
133351,1344.000,660,0.710
133356,1344.000,661,0.711
133361,1344.000,661,0.711
133366,1359.000,661,0.711
133371,1359.000,661,0.711
133376,1359.000,661,0.711
133381,1375.000,660,0.710
133386,1375.000,661,0.711
133391,1375.000,660,0.710
133396,1390.000,661,0.711
133401,1390.000,660,0.710
133406,1390.000,660,0.710
133411,1406.000,661,0.711
133416,1406.000,660,0.710
133421,1406.000,661,0.711
133426,1422.000,660,0.710
133431,1422.000,661,0.711
133436,1422.000,661,0.711
133441,1437.000,660,0.710
133446,1437.000,660,0.710
133451,1437.000,662,0.712
133456,1453.000,663,0.713
133462,1453.000,662,0.712
133467,1453.000,663,0.713
133472,1469.000,663,0.713
133477,1469.000,663,0.713
133482,1469.000,663,0.713
133487,1484.000,662,0.712
133492,1484.000,662,0.712
133497,1484.000,663,0.713
133502,1500.000,663,0.713
133507,1500.000,663,0.713
133512,1500.000,662,0.712
133517,1500.000,663,0.713
133522,1515.000,662,0.712
133527,1515.000,662,0.712
133532,1515.000,662,0.712
133537,1531.000,662,0.712
133542,1531.000,662,0.712
133547,1531.000,663,0.713
133552,1547.000,662,0.712
133557,1547.000,665,0.715
133562,1547.000,665,0.715
133567,1562.000,665,0.715
133572,1562.000,665,0.715
133577,1562.000,665,0.715
133582,1578.000,664,0.714
133587,1578.000,665,0.715
133592,1578.000,665,0.715
133597,1594.000,665,0.715
133602,1594.000,664,0.714
133607,1594.000,664,0.714
133612,1609.000,664,0.714
133617,1609.000,664,0.714
133622,1609.000,665,0.715
133627,1625.000,665,0.715
133632,1625.000,664,0.714
133637,1625.000,665,0.715
133642,1640.000,664,0.714
133647,1640.000,664,0.714
133652,1640.000,664,0.714
133657,1640.000,667,0.717
133662,1656.000,667,0.717
133667,1656.000,667,0.717
133672,1656.000,667,0.717
133677,1672.000,667,0.717
133682,1672.000,667,0.717
133687,1672.000,667,0.717
133692,1687.000,666,0.716
133697,1687.000,667,0.717
133702,1687.000,666,0.716
133707,1703.000,666,0.716
133712,1703.000,667,0.717
133718,1703.000,666,0.716
133723,1719.000,666,0.716
133728,1719.000,667,0.717
133733,1719.000,667,0.717
133738,1734.000,667,0.717
133743,1734.000,667,0.717
133748,1734.000,666,0.716
133753,1750.000,666,0.716
133758,1750.000,668,0.718
133763,1750.000,669,0.719
133768,1765.000,669,0.719
133773,1765.000,668,0.718
133778,1765.000,669,0.719
133783,1781.000,668,0.718
133788,1781.000,669,0.719
133793,1781.000,669,0.719
133798,1797.000,669,0.719
133803,1797.000,668,0.718
133808,1797.000,669,0.719
133813,1797.000,669,0.719
133818,1812.000,669,0.719
133823,1812.000,668,0.718
133828,1812.000,668,0.718
133833,1828.000,669,0.719
133838,1828.000,669,0.719
133843,1828.000,669,0.719
133848,1844.000,668,0.718
133853,1844.000,668,0.718
133858,1844.000,668,0.718
133863,1859.000,671,0.722
133868,1859.000,671,0.722
133873,1859.000,671,0.722
133878,1875.000,671,0.722
133883,1875.000,671,0.722
133888,1875.000,670,0.720
133893,1890.000,671,0.722
133898,1890.000,671,0.722
