Time(ms),PCElapsed(ms),ADC,Voltage(V)
272851,0.000,797,0.857
272856,0.000,797,0.857
272861,0.000,798,0.858
272866,0.000,798,0.858
272871,16.000,798,0.858
272876,16.000,798,0.858
272881,31.000,798,0.858
272886,31.000,798,0.858
272891,31.000,798,0.858
272896,31.000,798,0.858
272901,47.000,798,0.858
272906,47.000,798,0.858
272911,47.000,798,0.858
272916,63.000,798,0.858
272921,63.000,798,0.858
272926,63.000,798,0.858
272931,78.000,798,0.858
272936,78.000,798,0.858
272941,78.000,798,0.858
272946,78.000,798,0.858
272951,94.000,798,0.858
272956,94.000,798,0.858
272961,94.000,798,0.858
272966,110.000,799,0.859
272971,110.000,799,0.859
272976,110.000,799,0.859
272982,125.000,798,0.858
272987,125.000,798,0.858
272992,125.000,799,0.859
272997,141.000,799,0.859
273002,141.000,799,0.859
273007,141.000,799,0.859
273012,156.000,799,0.859
273017,156.000,799,0.859
273022,156.000,799,0.859
273027,172.000,799,0.859
273032,172.000,798,0.858
273037,172.000,799,0.859
273042,188.000,799,0.859
273047,188.000,799,0.859
273052,188.000,799,0.859
273057,203.000,799,0.859
273062,203.000,799,0.859
273067,203.000,799,0.859
273072,219.000,800,0.860
273077,219.000,799,0.859
273082,219.000,799,0.859
273087,235.000,799,0.859
273092,235.000,800,0.860
273097,235.000,799,0.859
273102,250.000,799,0.859
273107,250.000,799,0.859
273112,250.000,799,0.859
273117,250.000,800,0.860
273122,266.000,799,0.859
273127,266.000,798,0.858
273132,266.000,799,0.859
273137,281.000,799,0.859
273142,281.000,799,0.859
273147,281.000,799,0.859
273152,297.000,799,0.859
273157,297.000,799,0.859
273162,297.000,799,0.859
273167,313.000,799,0.859
273172,313.000,800,0.860
273177,313.000,800,0.860
273182,328.000,800,0.860
273187,328.000,800,0.860
273192,328.000,800,0.860
273197,344.000,800,0.860
273202,344.000,801,0.861
273207,344.000,801,0.861
273212,360.000,800,0.860
273217,360.000,800,0.860
273222,360.000,800,0.860
273227,375.000,800,0.860
273232,375.000,800,0.860
273238,375.000,800,0.860
273243,391.000,800,0.860
273248,391.000,800,0.860
273253,391.000,800,0.860
273258,406.000,800,0.860
273263,406.000,800,0.860
273268,406.000,800,0.860
273273,422.000,801,0.861
273278,422.000,800,0.860
273283,422.000,800,0.860
273288,422.000,800,0.860
273293,438.000,800,0.860
273298,453.000,800,0.860
273303,453.000,800,0.860
273308,453.000,801,0.861
273313,453.000,800,0.860
273318,453.000,800,0.860
273323,469.000,800,0.860
273328,469.000,801,0.861
273333,469.000,801,0.861
273338,485.000,800,0.860
273343,485.000,800,0.860
273348,485.000,800,0.860
273353,500.000,801,0.861
273358,500.000,800,0.860
273363,500.000,800,0.860
273368,516.000,801,0.861
273373,516.000,801,0.861
273378,516.000,801,0.861
273383,531.000,801,0.861
273388,531.000,801,0.861
273393,531.000,801,0.861
273398,547.000,801,0.861
273403,547.000,801,0.861
273408,547.000,801,0.861
273413,563.000,801,0.861
273418,563.000,801,0.861
273423,563.000,801,0.861
273428,563.000,801,0.861
273433,578.000,801,0.861
273438,578.000,801,0.861
273443,578.000,801,0.861
273448,594.000,801,0.861
273453,594.000,801,0.861
273458,594.000,801,0.861
273463,610.000,801,0.861
273468,610.000,802,0.862
273473,610.000,801,0.861
273478,625.000,802,0.862
273483,625.000,802,0.862
273488,625.000,802,0.862
273494,641.000,801,0.861
273499,641.000,802,0.862
273504,641.000,802,0.862
273509,656.000,801,0.861
273514,656.000,802,0.862
273519,656.000,801,0.861
273524,672.000,802,0.862
273529,672.000,802,0.862
273534,672.000,802,0.862
273539,688.000,802,0.862
273544,688.000,801,0.861
273549,688.000,802,0.862
273554,703.000,802,0.862
273559,703.000,801,0.861
273564,703.000,802,0.862
273569,719.000,801,0.861
273574,719.000,802,0.862
273579,719.000,802,0.862
273584,719.000,802,0.862
273589,735.000,803,0.863
273594,735.000,802,0.862
273599,735.000,802,0.862
273604,750.000,802,0.862
273609,750.000,803,0.863
273614,750.000,802,0.862
273619,766.000,803,0.863
273624,766.000,803,0.863
273629,781.000,802,0.862
273634,781.000,803,0.863
273639,781.000,802,0.862
273644,781.000,802,0.862
273649,797.000,802,0.862
273654,797.000,803,0.863
273659,797.000,802,0.862
273664,813.000,802,0.862
273669,813.000,803,0.863
273674,813.000,802,0.862
273679,828.000,803,0.863
273684,828.000,803,0.863
273689,828.000,803,0.863
273694,844.000,803,0.863
273699,844.000,803,0.863
273704,844.000,803,0.863
273709,860.000,803,0.863
273714,860.000,803,0.863
273719,860.000,803,0.863
273724,860.000,803,0.863
