Time(ms),ADC,Voltage(V)
387,614,0.660
392,615,0.661
397,615,0.661
402,615,0.661
407,615,0.661
412,615,0.661
417,614,0.660
422,615,0.661
427,615,0.661
432,615,0.661
437,615,0.661
442,615,0.661
447,616,0.662
452,615,0.661
457,615,0.661
462,615,0.661
467,615,0.661
472,615,0.661
477,615,0.661
482,615,0.661
487,615,0.661
492,615,0.661
497,615,0.661
502,615,0.661
507,615,0.661
512,615,0.661
517,615,0.661
522,615,0.661
527,615,0.661
532,615,0.661
537,616,0.662
542,616,0.662
547,615,0.661
552,615,0.661
557,615,0.661
562,616,0.662
567,616,0.662
572,616,0.662
577,616,0.662
582,616,0.662
587,616,0.662
592,617,0.663
598,616,0.662
603,616,0.662
608,616,0.662
613,617,0.663
618,617,0.663
623,617,0.663
628,617,0.663
633,617,0.663
638,617,0.663
643,617,0.663
648,617,0.663
653,617,0.663
658,617,0.663
663,617,0.663
668,617,0.663
673,617,0.663
678,617,0.663
683,617,0.663
688,617,0.663
693,617,0.663
698,617,0.663
703,617,0.663
708,617,0.663
713,617,0.663
718,617,0.663
723,617,0.663
728,617,0.663
733,617,0.663
738,617,0.663
743,617,0.663
748,617,0.663
753,618,0.665
758,618,0.665
763,617,0.663
768,618,0.665
773,617,0.663
778,617,0.663
783,617,0.663
788,617,0.663
793,617,0.663
798,617,0.663
803,617,0.663
808,617,0.663
813,617,0.663
818,617,0.663
823,617,0.663
828,618,0.665
833,618,0.665
838,618,0.665
843,618,0.665
848,618,0.665
854,618,0.665
859,619,0.666
864,618,0.665
869,618,0.665
874,618,0.665
879,618,0.665
884,618,0.665
889,618,0.665
894,618,0.665
899,618,0.665
904,618,0.665
909,618,0.665
914,618,0.665
919,618,0.665
924,618,0.665
929,618,0.665
934,618,0.665
939,618,0.665
944,619,0.666
949,619,0.666
954,618,0.665
959,619,0.666
964,619,0.666
969,618,0.665
974,619,0.666
979,618,0.665
984,619,0.666
989,618,0.665
994,619,0.666
999,618,0.665
1004,619,0.666
1009,618,0.665
1014,618,0.665
1019,619,0.666
1024,619,0.666
1029,619,0.666
1034,619,0.666
1039,619,0.666
1044,619,0.666
1049,619,0.666
1054,619,0.666
1059,619,0.666
1064,619,0.666
1069,619,0.666
1074,619,0.666
1079,619,0.666
1084,619,0.666
1089,619,0.666
1094,619,0.666
1099,619,0.666
1104,619,0.666
1110,619,0.666
1115,619,0.666
1120,619,0.666
1125,619,0.666
1130,619,0.666
1135,619,0.666
1140,619,0.666
1145,620,0.667
1150,619,0.666
1155,619,0.666
1160,619,0.666
1165,619,0.666
1170,619,0.666
1175,619,0.666
1180,620,0.667
1185,619,0.666
1190,619,0.666
1195,620,0.667
1200,620,0.667
1205,619,0.666
1210,620,0.667
1215,619,0.666
1220,619,0.666
1225,619,0.666
1230,619,0.666
1235,619,0.666
1240,620,0.667
1245,620,0.667
1250,620,0.667
1255,620,0.667
1260,620,0.667
1265,620,0.667
1270,620,0.667
1275,620,0.667
1280,620,0.667
1285,620,0.667
1290,620,0.667
1295,620,0.667
1300,620,0.667
1305,620,0.667
1310,620,0.667
1315,620,0.667
1320,620,0.667
1325,620,0.667
1330,620,0.667
1335,620,0.667
1340,620,0.667
1345,620,0.667
1350,620,0.667
1355,620,0.667
1360,620,0.667
1366,620,0.667
1371,620,0.667
1376,620,0.667
1381,620,0.667
1386,620,0.667
1391,620,0.667
1396,621,0.668
1401,620,0.667
1406,620,0.667
1411,620,0.667
1416,620,0.667
1421,620,0.667
1426,620,0.667
1431,620,0.667
1436,619,0.666
1441,621,0.668
1446,620,0.667
1451,621,0.668
1456,620,0.667
1461,620,0.667
1466,621,0.668
1471,620,0.667
1476,621,0.668
1481,621,0.668
1486,621,0.668
1491,621,0.668
1496,620,0.667
1501,620,0.667
1506,620,0.667
1511,620,0.667
1516,621,0.668
1521,621,0.668
1526,621,0.668
1531,621,0.668
1536,621,0.668
1541,621,0.668
1546,621,0.668
1551,621,0.668
1556,621,0.668
1561,621,0.668
1566,621,0.668
1571,621,0.668
1576,621,0.668
1581,621,0.668
1586,621,0.668
1591,621,0.668
1596,621,0.668
1601,621,0.668
1606,621,0.668
1611,621,0.668
1616,621,0.668
1622,621,0.668
1627,621,0.668
1632,621,0.668
1637,621,0.668
1642,621,0.668
1647,622,0.669
1652,621,0.668
1657,621,0.668
1662,622,0.669
1667,622,0.669
1672,622,0.669
1677,621,0.668
1682,621,0.668
1687,621,0.668
1692,622,0.669
1697,621,0.668
1702,621,0.668
1707,621,0.668
1712,621,0.668
1717,622,0.669
1722,621,0.668
1727,621,0.668
1732,622,0.669
1737,621,0.668
1742,621,0.668
1747,621,0.668
1752,621,0.668
1757,622,0.669
1762,622,0.669
1767,621,0.668
1772,622,0.669
1777,622,0.669
1782,621,0.668
1787,622,0.669
1792,622,0.669
1797,622,0.669
1802,622,0.669
1807,622,0.669
1812,622,0.669
1817,622,0.669
1822,622,0.669
1827,622,0.669
1832,622,0.669
1837,621,0.668
1842,622,0.669
1847,622,0.669
1852,622,0.669
1857,622,0.669
1862,622,0.669
1867,622,0.669
1872,622,0.669
1878,622,0.669
1883,622,0.669
1888,622,0.669
1893,622,0.669
1898,622,0.669
1903,622,0.669
1908,622,0.669
1913,622,0.669
1918,622,0.669
1923,622,0.669
1928,622,0.669
1933,622,0.669
1938,622,0.669
1943,622,0.669
1948,622,0.669
1953,622,0.669
1958,622,0.669
1963,622,0.669
1968,622,0.669
1973,622,0.669
1978,623,0.670
1983,622,0.669
1988,622,0.669
1993,622,0.669
1998,623,0.670
2003,622,0.669
2008,622,0.669
2013,622,0.669
2018,622,0.669
2023,622,0.669
2028,622,0.669
2033,622,0.669
2038,622,0.669
2043,622,0.669
2048,622,0.669
2053,623,0.670
2058,623,0.670
2063,622,0.669
2068,623,0.670
2073,623,0.670
2078,622,0.669
2083,623,0.670
2088,623,0.670
2093,623,0.670
2098,622,0.669
2103,623,0.670
2108,622,0.669
2113,622,0.669
2118,623,0.670
2123,623,0.670
2128,622,0.669
2134,622,0.669
2139,623,0.670
2144,622,0.669
2149,623,0.670
2154,623,0.670
2159,623,0.670
2164,623,0.670
2169,623,0.670
2174,623,0.670
2179,623,0.670
2184,623,0.670
2189,623,0.670
2194,623,0.670
2199,623,0.670
2204,623,0.670
2209,623,0.670
2214,623,0.670
2219,623,0.670
2224,623,0.670
2229,623,0.670
2234,623,0.670
2239,623,0.670
2244,623,0.670
2249,623,0.670
2254,623,0.670
2259,623,0.670
2264,623,0.670
2269,623,0.670
2274,623,0.670
2279,623,0.670
2284,623,0.670
2289,623,0.670
2294,623,0.670
2299,624,0.671
