Time(ms),ADC,Voltage(V)
387,686,0.738
392,686,0.738
397,686,0.738
402,686,0.738
407,686,0.738
412,686,0.738
417,687,0.739
422,686,0.738
427,686,0.738
432,687,0.739
437,687,0.739
442,687,0.739
447,687,0.739
452,687,0.739
457,687,0.739
462,687,0.739
467,687,0.739
472,687,0.739
477,687,0.739
482,687,0.739
487,687,0.739
492,687,0.739
497,687,0.739
502,687,0.739
507,687,0.739
512,687,0.739
517,687,0.739
522,687,0.739
527,687,0.739
532,687,0.739
537,688,0.740
542,687,0.739
547,688,0.740
552,687,0.739
557,687,0.739
562,688,0.740
567,688,0.740
572,688,0.740
577,687,0.739
582,687,0.739
587,688,0.740
592,688,0.740
598,688,0.740
603,688,0.740
608,688,0.740
613,688,0.740
618,687,0.739
623,687,0.739
628,687,0.739
633,687,0.739
638,688,0.740
643,688,0.740
648,688,0.740
653,688,0.740
658,688,0.740
663,688,0.740
668,688,0.740
673,688,0.740
678,688,0.740
683,688,0.740
688,688,0.740
693,688,0.740
698,688,0.740
703,688,0.740
708,688,0.740
713,688,0.740
718,688,0.740
723,688,0.740
728,688,0.740
733,688,0.740
738,688,0.740
743,689,0.741
748,688,0.740
753,688,0.740
758,688,0.740
763,688,0.740
768,689,0.741
773,688,0.740
778,688,0.740
783,688,0.740
788,688,0.740
793,688,0.740
798,689,0.741
803,689,0.741
808,689,0.741
813,688,0.740
818,689,0.741
823,688,0.740
828,688,0.740
833,688,0.740
838,688,0.740
843,688,0.740
848,688,0.740
854,689,0.741
859,594,0.639
864,551,0.592
869,554,0.596
874,554,0.596
879,555,0.597
884,556,0.598
889,557,0.599
894,557,0.599
899,557,0.599
904,558,0.600
909,558,0.600
914,558,0.600
919,558,0.600
924,559,0.601
929,559,0.601
934,559,0.601
939,560,0.602
944,560,0.602
949,561,0.603
954,560,0.602
959,561,0.603
964,561,0.603
969,561,0.603
974,562,0.604
979,562,0.604
984,562,0.604
989,562,0.604
994,562,0.604
999,562,0.604
1004,562,0.604
1009,562,0.604
1014,562,0.604
1019,563,0.605
1024,563,0.605
1029,563,0.605
1034,563,0.605
1039,563,0.605
1044,563,0.605
1049,564,0.606
1054,564,0.606
1059,564,0.606
1064,564,0.606
1069,564,0.606
1074,564,0.606
1079,564,0.606
1084,564,0.606
1089,565,0.608
1094,564,0.606
1099,564,0.606
1104,564,0.606
1110,565,0.608
1115,564,0.606
1120,565,0.608
1125,565,0.608
1130,564,0.606
1135,564,0.606
1140,565,0.608
1145,565,0.608
1150,566,0.609
