Time(ms),PCElapsed(ms),ADC,Voltage(V)
5773453,15.000,643,0.691
5773458,31.000,643,0.691
5773463,47.000,643,0.691
5773468,47.000,643,0.691
5773473,47.000,643,0.691
5773478,47.000,643,0.691
5773483,47.000,643,0.691
5773488,47.000,643,0.691
5773493,47.000,643,0.691
5773498,47.000,643,0.691
5773503,47.000,644,0.692
5773508,47.000,644,0.692
5773513,47.000,644,0.692
5773518,47.000,644,0.692
5773523,47.000,644,0.692
5773528,47.000,643,0.691
5773533,47.000,644,0.692
5773538,62.000,644,0.692
5773543,62.000,644,0.692
5773548,62.000,644,0.692
5773553,78.000,644,0.692
5773558,78.000,644,0.692
5773563,78.000,643,0.691
5773568,78.000,643,0.691
5773573,93.000,644,0.692
5773578,93.000,644,0.692
5773583,93.000,644,0.692
5773588,109.000,643,0.691
5773593,109.000,643,0.691
5773598,109.000,644,0.692
5773603,125.000,644,0.692
5773608,125.000,644,0.692
5773613,125.000,644,0.692
5773618,140.000,644,0.692
5773623,140.000,644,0.692
5773628,140.000,644,0.692
5773633,156.000,644,0.692
5773638,187.000,644,0.692
5773643,187.000,644,0.692
5773648,187.000,644,0.692
5773654,187.000,644,0.692
5773659,187.000,644,0.692
5773664,187.000,644,0.692
5773669,187.000,644,0.692
5773674,187.000,644,0.692
5773679,203.000,644,0.692
5773684,203.000,644,0.692
5773689,203.000,644,0.692
5773694,218.000,644,0.692
5773699,218.000,644,0.692
5773704,218.000,645,0.694
5773709,234.000,645,0.694
5773714,234.000,645,0.694
5773719,234.000,645,0.694
5773724,250.000,645,0.694
5773729,250.000,645,0.694
5773734,250.000,645,0.694
5773739,250.000,645,0.694
5773744,265.000,645,0.694
5773749,265.000,645,0.694
5773754,265.000,645,0.694
5773759,281.000,645,0.694
5773764,297.000,644,0.692
5773769,312.000,645,0.694
5773774,312.000,645,0.694
5773779,312.000,645,0.694
5773784,312.000,645,0.694
5773789,312.000,645,0.694
5773794,312.000,645,0.694
5773799,312.000,645,0.694
5773804,328.000,645,0.694
5773809,328.000,646,0.695
5773814,328.000,645,0.694
5773819,343.000,645,0.694
5773824,343.000,645,0.694
5773829,343.000,645,0.694
5773834,359.000,645,0.694
5773839,359.000,646,0.695
5773844,359.000,645,0.694
5773849,375.000,645,0.694
5773854,375.000,645,0.694
5773859,375.000,645,0.694
5773864,390.000,645,0.694
5773869,390.000,645,0.694
5773874,390.000,645,0.694
5773879,390.000,645,0.694
5773884,406.000,646,0.695
5773889,453.000,645,0.694
5773894,453.000,646,0.695
5773899,453.000,645,0.694
5773904,453.000,645,0.694
5773910,453.000,646,0.695
5773915,453.000,646,0.695
5773920,453.000,646,0.695
5773925,453.000,646,0.695
5773930,453.000,646,0.695
5773935,453.000,646,0.695
5773940,453.000,646,0.695
5773945,468.000,646,0.695
5773950,468.000,646,0.695
5773955,468.000,646,0.695
5773960,484.000,646,0.695
5773965,484.000,646,0.695
5773970,484.000,646,0.695
5773975,500.000,646,0.695
5773980,500.000,646,0.695
5773985,500.000,645,0.694
5773990,515.000,646,0.695
5773995,515.000,646,0.695
5774000,515.000,646,0.695
5774005,531.000,646,0.695
5774010,531.000,647,0.696
5774015,531.000,646,0.695
5774020,547.000,646,0.695
5774025,547.000,647,0.696
5774030,547.000,646,0.695
5774035,562.000,647,0.696
5774040,593.000,646,0.695
5774045,593.000,646,0.695
5774050,593.000,647,0.696
5774055,593.000,646,0.695
5774060,593.000,646,0.695
5774065,593.000,646,0.695
5774070,593.000,646,0.695
5774075,593.000,646,0.695
5774080,593.000,646,0.695
5774085,609.000,647,0.696
5774090,609.000,646,0.695
5774095,609.000,646,0.695
5774100,625.000,646,0.695
5774105,625.000,646,0.695
5774110,625.000,646,0.695
5774115,640.000,647,0.696
5774120,640.000,647,0.696
5774125,640.000,647,0.696
5774130,656.000,647,0.696
5774135,656.000,647,0.696
5774140,656.000,647,0.696
5774145,672.000,647,0.696
5774150,672.000,647,0.696
5774155,672.000,647,0.696
5774160,687.000,647,0.696
5774166,687.000,648,0.697
5774171,734.000,647,0.696
5774176,734.000,648,0.697
5774181,734.000,648,0.697
5774186,734.000,647,0.696
5774191,734.000,648,0.697
5774196,734.000,649,0.698
5774201,734.000,648,0.697
5774206,734.000,648,0.697
5774211,734.000,648,0.697
5774216,734.000,649,0.698
5774221,734.000,649,0.698
5774226,750.000,649,0.698
5774231,750.000,649,0.698
5774236,750.000,649,0.698
5774241,765.000,649,0.698
5774246,765.000,649,0.698
5774251,765.000,649,0.698
5774256,781.000,649,0.698
5774261,781.000,649,0.698
5774266,781.000,649,0.698
5774271,797.000,649,0.698
5774276,797.000,648,0.697
5774281,797.000,649,0.698
5774286,812.000,649,0.698
5774291,812.000,649,0.698
5774296,812.000,649,0.698
5774301,828.000,648,0.697
5774306,828.000,649,0.698
5774311,828.000,649,0.698
5774316,843.000,649,0.698
5774321,875.000,649,0.698
5774326,875.000,650,0.699
5774331,875.000,649,0.698
5774336,875.000,649,0.698
5774341,875.000,649,0.698
5774346,875.000,649,0.698
5774351,875.000,649,0.698
5774356,875.000,649,0.698
5774361,875.000,649,0.698
5774366,890.000,649,0.698
5774371,890.000,649,0.698
5774376,890.000,649,0.698
5774381,906.000,649,0.698
5774386,906.000,649,0.698
5774391,906.000,649,0.698
5774396,922.000,649,0.698
5774401,922.000,649,0.698
5774406,922.000,649,0.698
5774411,937.000,649,0.698
5774416,937.000,649,0.698
5774422,937.000,649,0.698
5774427,953.000,650,0.699
5774432,953.000,649,0.698
5774437,953.000,650,0.699
5774442,968.000,650,0.699
5774447,968.000,650,0.699
5774452,968.000,650,0.699
5774457,1015.000,649,0.698
5774462,1015.000,649,0.698
5774467,1015.000,650,0.699
5774472,1015.000,650,0.699
5774477,1015.000,650,0.699
5774482,1015.000,649,0.698
5774487,1015.000,649,0.698
5774492,1015.000,650,0.699
5774497,1015.000,650,0.699
5774502,1031.000,650,0.699
5774507,1031.000,650,0.699
5774512,1031.000,650,0.699
5774517,1031.000,650,0.699
5774522,1047.000,650,0.699
5774527,1047.000,650,0.699
5774532,1047.000,651,0.700
5774537,1062.000,651,0.700
5774542,1062.000,651,0.700
5774547,1062.000,650,0.699
5774552,1078.000,650,0.699
5774557,1078.000,651,0.700
5774562,1078.000,651,0.700
5774567,1093.000,650,0.699
5774572,1093.000,650,0.699
5774577,1093.000,650,0.699
5774582,1109.000,650,0.699
5774587,1109.000,650,0.699
5774592,1109.000,650,0.699
5774597,1156.000,650,0.699
5774602,1156.000,650,0.699
5774607,1156.000,650,0.699
5774612,1156.000,650,0.699
5774617,1156.000,650,0.699
5774622,1156.000,651,0.700
5774627,1156.000,651,0.700
5774632,1156.000,651,0.700
5774637,1156.000,651,0.700
5774642,1172.000,651,0.700
5774647,1172.000,651,0.700
5774652,1172.000,651,0.700
5774657,1172.000,651,0.700
5774662,1187.000,651,0.700
5774667,1187.000,651,0.700
5774672,1203.000,651,0.700
5774678,1203.000,651,0.700
5774683,1203.000,651,0.700
5774688,1203.000,651,0.700
5774693,1218.000,651,0.700
5774698,1218.000,651,0.700
5774703,1218.000,651,0.700
5774708,1234.000,651,0.700
5774713,1234.000,651,0.700
5774718,1234.000,651,0.700
5774723,1250.000,651,0.700
5774728,1250.000,652,0.701
5774733,1250.000,651,0.700
5774738,1297.000,652,0.701
5774743,1297.000,652,0.701
5774748,1297.000,651,0.700
5774753,1297.000,652,0.701
5774758,1297.000,652,0.701
5774763,1297.000,651,0.700
5774768,1297.000,651,0.700
5774773,1297.000,652,0.701
5774778,1297.000,652,0.701
5774783,1312.000,651,0.700
5774788,1312.000,651,0.700
5774793,1312.000,652,0.701
5774798,1328.000,651,0.700
5774803,1328.000,651,0.700
5774808,1328.000,651,0.700
5774813,1343.000,652,0.701
5774818,1343.000,651,0.700
5774823,1343.000,652,0.701
5774828,1343.000,652,0.701
5774833,1359.000,652,0.701
5774838,1359.000,652,0.701
5774843,1359.000,652,0.701
5774848,1375.000,652,0.701
5774853,1375.000,652,0.701
5774858,1375.000,652,0.701
5774863,1390.000,652,0.701
5774868,1390.000,652,0.701
5774873,1390.000,652,0.701
5774878,1437.000,652,0.701
5774883,1437.000,652,0.701
5774888,1437.000,652,0.701
