Time(ms),PCElapsed(ms),ADC,Voltage(V)
7786366,0.000,630,0.677
7786371,47.000,630,0.677
7786376,47.000,630,0.677
7786381,47.000,631,0.678
7786386,47.000,631,0.678
7786391,47.000,631,0.678
7786396,47.000,631,0.678
7786401,47.000,631,0.678
7786406,47.000,631,0.678
7786411,47.000,631,0.678
7786416,47.000,631,0.678
7786421,47.000,631,0.678
7786426,47.000,631,0.678
7786431,47.000,631,0.678
7786436,47.000,631,0.678
7786441,47.000,631,0.678
7786446,63.000,631,0.678
7786451,63.000,631,0.678
7786456,63.000,631,0.678
7786461,63.000,631,0.678
7786466,78.000,631,0.678
7786471,78.000,631,0.678
7786476,78.000,631,0.678
7786481,94.000,631,0.678
7786486,94.000,632,0.680
7786491,94.000,632,0.680
7786496,110.000,632,0.680
7786501,110.000,632,0.680
7786506,110.000,632,0.680
7786511,125.000,632,0.680
7786516,125.000,632,0.680
7786521,125.000,632,0.680
7786526,141.000,632,0.680
7786531,141.000,632,0.680
7786536,172.000,632,0.680
7786541,172.000,632,0.680
7786546,172.000,632,0.680
7786551,172.000,632,0.680
7786556,172.000,632,0.680
7786561,172.000,632,0.680
7786566,172.000,632,0.680
7786571,188.000,632,0.680
7786576,188.000,632,0.680
7786582,188.000,632,0.680
7786587,203.000,633,0.681
7786592,203.000,633,0.681
7786597,203.000,633,0.681
7786602,219.000,633,0.681
7786607,219.000,633,0.681
7786612,219.000,633,0.681
7786617,219.000,633,0.681
7786622,235.000,633,0.681
7786627,235.000,633,0.681
7786632,235.000,633,0.681
7786637,250.000,633,0.681
7786642,250.000,633,0.681
7786647,250.000,633,0.681
7786652,266.000,633,0.681
7786657,266.000,633,0.681
7786662,266.000,633,0.681
7786667,282.000,633,0.681
7786672,313.000,633,0.681
7786677,313.000,633,0.681
7786682,313.000,633,0.681
7786687,313.000,633,0.681
7786692,313.000,634,0.682
7786697,313.000,634,0.682
7786702,313.000,634,0.682
7786707,313.000,634,0.682
7786712,328.000,634,0.682
7786717,328.000,634,0.682
7786722,328.000,634,0.682
7786727,344.000,634,0.682
7786732,344.000,634,0.682
7786737,344.000,634,0.682
7786742,360.000,634,0.682
7786747,360.000,634,0.682
7786752,360.000,634,0.682
7786757,375.000,634,0.682
7786762,375.000,634,0.682
7786767,375.000,634,0.682
7786772,375.000,634,0.682
7786777,391.000,635,0.683
7786782,391.000,634,0.682
7786787,391.000,634,0.682
7786792,407.000,635,0.683
7786797,438.000,635,0.683
7786802,438.000,635,0.683
7786807,438.000,635,0.683
7786812,453.000,635,0.683
7786817,453.000,635,0.683
7786822,453.000,635,0.683
7786827,453.000,634,0.682
7786832,453.000,634,0.682
7786838,453.000,635,0.683
7786843,453.000,635,0.683
7786848,453.000,635,0.683
7786853,469.000,635,0.683
7786858,469.000,634,0.682
7786863,469.000,635,0.683
7786868,485.000,635,0.683
7786873,485.000,635,0.683
7786878,485.000,635,0.683
7786883,500.000,635,0.683
7786888,500.000,635,0.683
7786893,500.000,636,0.684
7786898,516.000,636,0.684
7786903,516.000,636,0.684
7786908,516.000,636,0.684
7786913,532.000,636,0.684
7786918,532.000,636,0.684
7786923,532.000,636,0.684
7786928,578.000,636,0.684
7786933,578.000,636,0.684
7786938,578.000,635,0.683
7786943,578.000,636,0.684
7786948,578.000,636,0.684
7786953,578.000,636,0.684
7786958,578.000,636,0.684
7786963,578.000,635,0.683
7786968,578.000,635,0.683
7786973,578.000,636,0.684
