Time(ms),PCElapsed(ms),ADC,Voltage(V),SmoothedVoltage(V)
423404,0.000,631,0.678,0.677909
423409,0.000,631,0.678,0.677818
423414,16.000,631,0.678,0.677727
423419,16.000,631,0.678,0.677727
423424,16.000,631,0.678,0.677636
423429,32.000,630,0.677,0.677636
423434,32.000,630,0.677,0.677636
423439,32.000,630,0.677,0.677636
423444,47.000,631,0.678,0.677545
423449,47.000,630,0.677,0.677545
423454,47.000,631,0.678,0.677545
423459,63.000,631,0.678,0.677636
423464,63.000,631,0.678,0.677727
423469,63.000,630,0.677,0.677818
423474,63.000,631,0.678,0.678000
423479,79.000,631,0.678,0.678091
423484,79.000,631,0.678,0.678091
423489,79.000,631,0.678,0.678091
423494,94.000,631,0.678,0.678091
423499,94.000,632,0.680,0.678364
423504,94.000,631,0.678,0.678364
423510,110.000,631,0.678,0.678364
423515,110.000,631,0.678,0.678364
423520,110.000,631,0.678,0.678364
423525,125.000,632,0.680,0.678364
423530,125.000,631,0.678,0.678182
423535,125.000,631,0.678,0.678182
423540,141.000,631,0.678,0.678182
423545,141.000,631,0.678,0.678182
423550,141.000,631,0.678,0.678364
423555,157.000,631,0.678,0.678364
423560,157.000,631,0.678,0.678545
423565,157.000,631,0.678,0.678545
423570,172.000,631,0.678,0.678727
423575,172.000,632,0.680,0.678909
423580,172.000,632,0.680,0.679091
423585,188.000,632,0.680,0.679091
423590,188.000,631,0.678,0.679273
423595,188.000,632,0.680,0.679455
423600,204.000,632,0.680,0.679455
423605,204.000,632,0.680,0.679455
423610,204.000,631,0.678,0.679273
423615,219.000,632,0.680,0.679273
423620,219.000,632,0.680,0.679455
423625,219.000,631,0.678,0.679455
423630,235.000,632,0.680,0.679455
423635,235.000,631,0.678,0.679273
423640,235.000,632,0.680,0.679455
423645,235.000,632,0.680,0.679455
423650,250.000,632,0.680,0.679455
423655,250.000,632,0.680,0.679636
423660,250.000,631,0.678,0.679636
423665,266.000,632,0.680,0.679818
423670,266.000,632,0.680,0.679818
423675,266.000,632,0.680,0.679818
423680,282.000,632,0.680,0.679818
423685,282.000,632,0.680,0.679818
423690,282.000,632,0.680,0.680000
423695,297.000,632,0.680,0.680000
423700,297.000,632,0.680,0.680000
423705,297.000,632,0.680,0.680000
