Time(ms),PCElapsed(ms),ADC,Voltage(V)
165999,0.000,682,0.733
166004,0.000,682,0.733
166009,0.000,682,0.733
166014,0.000,682,0.733
166019,15.000,682,0.733
166024,15.000,683,0.734
166029,15.000,683,0.734
166034,31.000,683,0.734
166039,31.000,683,0.734
166044,31.000,684,0.735
166049,46.000,683,0.734
166054,46.000,683,0.734
166059,46.000,683,0.734
166064,62.000,683,0.734
166069,62.000,683,0.734
166074,62.000,683,0.734
166079,78.000,686,0.738
166084,78.000,686,0.738
166089,78.000,686,0.738
166094,93.000,686,0.738
166099,93.000,685,0.737
166104,93.000,685,0.737
166109,109.000,686,0.738
166114,109.000,686,0.738
166119,109.000,685,0.737
166124,109.000,685,0.737
166129,125.000,686,0.738
166134,125.000,686,0.738
166139,125.000,686,0.738
166144,140.000,685,0.737
166149,140.000,685,0.737
166154,140.000,685,0.737
166159,156.000,685,0.737
166164,156.000,685,0.737
166169,156.000,686,0.738
166174,171.000,686,0.738
166179,171.000,687,0.739
166184,171.000,689,0.741
166189,187.000,688,0.740
166194,187.000,688,0.740
166199,187.000,688,0.740
166204,203.000,688,0.740
166209,203.000,688,0.740
166214,203.000,688,0.740
166219,218.000,688,0.740
166224,218.000,688,0.740
166230,218.000,688,0.740
166235,234.000,688,0.740
166240,234.000,688,0.740
166245,234.000,688,0.740
166250,250.000,688,0.740
166255,250.000,688,0.740
166260,250.000,688,0.740
166265,265.000,688,0.740
166270,265.000,688,0.740
166275,265.000,688,0.740
166280,265.000,688,0.740
166285,281.000,691,0.743
166290,281.000,632,0.680
166295,281.000,570,0.613
166300,296.000,557,0.599
166305,296.000,558,0.600
166310,296.000,559,0.601
166315,312.000,560,0.602
166320,312.000,561,0.603
166325,312.000,561,0.603
166330,328.000,562,0.604
166335,328.000,562,0.604
166340,328.000,563,0.605
166345,343.000,563,0.605
166350,343.000,563,0.605
166355,343.000,563,0.605
166360,359.000,564,0.606
166365,359.000,564,0.606
166370,359.000,564,0.606
166375,375.000,564,0.606
166380,375.000,565,0.608
166385,375.000,568,0.611
166390,390.000,568,0.611
166395,390.000,568,0.611
166400,390.000,568,0.611
166405,390.000,568,0.611
166410,406.000,568,0.611
166415,406.000,568,0.611
166420,406.000,568,0.611
166425,421.000,568,0.611
166430,421.000,569,0.612
166435,437.000,569,0.612
166440,437.000,569,0.612
166445,437.000,568,0.611
166450,437.000,569,0.612
166455,453.000,569,0.612
166460,453.000,569,0.612
166465,453.000,569,0.612
166470,468.000,569,0.612
166475,468.000,569,0.612
166480,468.000,569,0.612
166486,484.000,572,0.615
166491,484.000,573,0.616
166496,484.000,573,0.616
166501,500.000,573,0.616
166506,500.000,573,0.616
166511,500.000,572,0.615
166516,515.000,573,0.616
166521,515.000,573,0.616
166526,515.000,573,0.616
166531,531.000,573,0.616
166536,531.000,572,0.615
166541,531.000,573,0.616
166546,546.000,573,0.616
166551,546.000,573,0.616
166556,546.000,572,0.615
166561,562.000,573,0.616
166566,562.000,573,0.616
166571,562.000,573,0.616
166576,562.000,573,0.616
166581,578.000,573,0.616
166586,578.000,574,0.617
166591,578.000,576,0.619
166596,593.000,576,0.619
166601,593.000,576,0.619
166606,593.000,576,0.619
166611,609.000,576,0.619
166616,609.000,576,0.619
166621,609.000,576,0.619
166626,625.000,576,0.619
166631,625.000,576,0.619
166636,625.000,577,0.620
166641,640.000,577,0.620
166646,640.000,576,0.619
166651,640.000,577,0.620
166656,656.000,577,0.620
166661,656.000,577,0.620
166666,656.000,576,0.619
166671,671.000,577,0.620
166676,671.000,577,0.620
166681,671.000,577,0.620
166686,687.000,577,0.620
166691,687.000,580,0.624
166696,687.000,580,0.624
166701,687.000,580,0.624
166706,703.000,580,0.624
166711,703.000,580,0.624
166716,718.000,580,0.624
166721,718.000,580,0.624
166726,718.000,579,0.623
166731,718.000,580,0.624
166736,734.000,580,0.624
166742,734.000,580,0.624
166747,734.000,580,0.624
166752,750.000,580,0.624
166757,750.000,580,0.624
166762,750.000,580,0.624
166767,765.000,580,0.624
166772,765.000,580,0.624
166777,765.000,580,0.624
166782,781.000,580,0.624
166787,781.000,580,0.624
166792,781.000,581,0.625
166797,796.000,583,0.627
166802,796.000,583,0.627
166807,796.000,583,0.627
166812,812.000,583,0.627
166817,812.000,583,0.627
166822,812.000,583,0.627
166827,828.000,583,0.627
166832,828.000,583,0.627
166837,828.000,583,0.627
166842,843.000,583,0.627
166847,843.000,583,0.627
166852,859.000,583,0.627
166857,859.000,583,0.627
166862,859.000,583,0.627
166867,859.000,583,0.627
166872,859.000,583,0.627
166877,875.000,583,0.627
166882,875.000,583,0.627
166887,875.000,583,0.627
166892,890.000,584,0.628
166897,890.000,586,0.630
166902,890.000,586,0.630
166907,906.000,586,0.630
166912,906.000,586,0.630
166917,906.000,586,0.630
166922,921.000,586,0.630
166927,921.000,586,0.630
166932,921.000,586,0.630
166937,937.000,586,0.630
166942,937.000,586,0.630
166947,937.000,586,0.630
166952,953.000,586,0.630
166957,953.000,586,0.630
166962,953.000,586,0.630
166967,968.000,586,0.630
166972,968.000,586,0.630
166977,968.000,586,0.630
166982,984.000,586,0.630
166987,984.000,586,0.630
166992,984.000,586,0.630
166998,1000.000,589,0.633
167003,1000.000,589,0.633
167008,1000.000,589,0.633
167013,1015.000,589,0.633
167018,1015.000,589,0.633
167023,1015.000,589,0.633
167028,1031.000,589,0.633
167033,1031.000,588,0.632
167038,1031.000,589,0.633
167043,1031.000,589,0.633
167048,1046.000,589,0.633
167053,1046.000,589,0.633
167058,1046.000,588,0.632
167063,1062.000,589,0.633
167068,1062.000,589,0.633
167073,1062.000,588,0.632
167078,1078.000,589,0.633
167083,1078.000,589,0.633
167088,1078.000,589,0.633
167093,1093.000,589,0.633
167098,1093.000,591,0.635
167103,1093.000,592,0.637
167108,1109.000,592,0.637
167113,1109.000,592,0.637
167118,1109.000,592,0.637
167123,1125.000,592,0.637
167128,1125.000,592,0.637
167133,1125.000,592,0.637
167138,1140.000,592,0.637
167143,1140.000,592,0.637
167148,1140.000,592,0.637
167153,1156.000,592,0.637
167158,1156.000,592,0.637
167163,1156.000,592,0.637
167168,1171.000,592,0.637
167173,1171.000,592,0.637
167178,1171.000,592,0.637
167183,1171.000,592,0.637
167188,1187.000,591,0.635
167193,1187.000,592,0.637
167198,1187.000,593,0.638
167203,1203.000,595,0.640
167208,1203.000,595,0.640
167213,1203.000,595,0.640
167218,1218.000,595,0.640
167223,1218.000,595,0.640
167228,1218.000,595,0.640
167233,1234.000,594,0.639
167238,1234.000,594,0.639
167243,1234.000,595,0.640
167248,1250.000,595,0.640
167254,1250.000,594,0.639
167259,1250.000,595,0.640
167264,1265.000,595,0.640
167269,1265.000,594,0.639
167274,1265.000,594,0.639
167279,1281.000,595,0.640
167284,1281.000,595,0.640
167289,1281.000,595,0.640
167294,1296.000,595,0.640
167299,1296.000,595,0.640
167304,1296.000,597,0.642
167309,1312.000,597,0.642
167314,1312.000,598,0.643
167319,1312.000,598,0.643
167324,1328.000,597,0.642
167329,1328.000,598,0.643
167334,1328.000,598,0.643
167339,1328.000,598,0.643
167344,1343.000,597,0.642
167349,1343.000,598,0.643
167354,1343.000,597,0.642
167359,1359.000,598,0.643
167364,1359.000,597,0.642
167369,1375.000,598,0.643
167374,1375.000,598,0.643
167379,1375.000,597,0.642
167384,1375.000,597,0.642
167389,1390.000,597,0.642
167394,1390.000,597,0.642
167399,1390.000,598,0.643
167404,1406.000,600,0.645
167409,1406.000,600,0.645
167414,1406.000,601,0.646
167419,1421.000,601,0.646
167424,1421.000,600,0.645
167429,1421.000,600,0.645
167434,1437.000,600,0.645
167439,1437.000,600,0.645
167444,1437.000,601,0.646
167449,1453.000,600,0.645
167454,1453.000,600,0.645
167459,1453.000,601,0.646
167464,1468.000,601,0.646
167469,1468.000,600,0.645
167474,1468.000,600,0.645
167479,1484.000,600,0.645
167484,1484.000,601,0.646
167489,1484.000,600,0.645
167494,1500.000,600,0.645
167499,1500.000,600,0.645
167504,1500.000,601,0.646
167510,1500.000,603,0.648
167515,1515.000,603,0.648
167520,1515.000,603,0.648
167525,1515.000,603,0.648
167530,1531.000,603,0.648
167535,1531.000,603,0.648
167540,1531.000,603,0.648
167545,1546.000,603,0.648
167550,1546.000,603,0.648
167555,1546.000,603,0.648
167560,1562.000,604,0.649
167565,1562.000,603,0.648
167570,1562.000,603,0.648
167575,1578.000,603,0.648
167580,1578.000,603,0.648
167585,1578.000,603,0.648
167590,1593.000,603,0.648
167595,1593.000,603,0.648
167600,1593.000,603,0.648
167605,1609.000,603,0.648
167610,1609.000,606,0.652
167615,1609.000,606,0.652
167620,1625.000,605,0.651
167625,1625.000,606,0.652
167630,1625.000,606,0.652
167635,1640.000,606,0.652
167640,1640.000,606,0.652
167645,1640.000,606,0.652
167650,1656.000,605,0.651
167655,1656.000,605,0.651
167660,1656.000,605,0.651
167665,1656.000,606,0.652
167670,1671.000,605,0.651
167675,1671.000,605,0.651
167680,1671.000,606,0.652
167685,1687.000,605,0.651
167690,1687.000,605,0.651
167695,1687.000,606,0.652
167700,1703.000,606,0.652
167705,1703.000,606,0.652
167710,1703.000,608,0.654
167715,1718.000,608,0.654
167720,1718.000,608,0.654
167725,1718.000,608,0.654
167730,1734.000,608,0.654
167735,1734.000,609,0.655
167740,1734.000,608,0.654
167745,1750.000,608,0.654
167750,1750.000,608,0.654
167755,1750.000,608,0.654
167760,1765.000,608,0.654
167766,1765.000,608,0.654
167771,1765.000,608,0.654
167776,1781.000,608,0.654
167781,1781.000,608,0.654
167786,1781.000,608,0.654
167791,1796.000,608,0.654
167796,1796.000,608,0.654
167801,1796.000,608,0.654
167806,1812.000,608,0.654
167811,1812.000,609,0.655
