Time(ms),ADC,Voltage(V)
387,673,0.724
392,679,0.730
397,687,0.739
402,693,0.745
407,667,0.717
412,666,0.716
417,681,0.732
422,697,0.749
427,676,0.727
432,667,0.717
437,686,0.738
442,696,0.748
447,668,0.718
452,660,0.710
457,687,0.739
462,689,0.741
467,664,0.714
472,670,0.720
477,699,0.752
482,681,0.732
487,659,0.709
492,674,0.725
497,687,0.739
502,684,0.735
507,668,0.718
512,672,0.723
517,694,0.746
522,693,0.745
527,672,0.723
532,670,0.720
537,687,0.739
542,694,0.746
547,667,0.717
552,665,0.715
557,690,0.742
562,689,0.741
567,663,0.713
572,669,0.719
577,694,0.746
582,682,0.733
587,677,0.728
592,673,0.724
598,703,0.756
603,694,0.746
608,671,0.722
613,676,0.727
618,697,0.749
623,686,0.738
628,668,0.718
633,681,0.732
638,707,0.760
643,688,0.740
648,657,0.706
653,675,0.726
658,696,0.748
663,682,0.733
668,664,0.714
673,673,0.724
678,702,0.755
683,692,0.744
688,666,0.716
693,681,0.732
698,695,0.747
703,675,0.726
708,665,0.715
713,677,0.728
718,704,0.757
723,692,0.744
728,664,0.714
733,667,0.717
738,703,0.756
743,696,0.748
748,657,0.706
753,673,0.724
758,702,0.755
763,686,0.738
768,656,0.705
773,673,0.724
778,702,0.755
783,684,0.735
788,656,0.705
793,671,0.722
798,704,0.757
803,684,0.735
808,657,0.706
813,674,0.725
818,695,0.747
823,685,0.737
828,670,0.720
833,680,0.731
838,716,0.770
843,686,0.738
848,652,0.701
854,670,0.720
859,710,0.763
864,689,0.741
869,662,0.712
874,673,0.724
879,693,0.745
884,677,0.728
889,673,0.724
894,678,0.729
899,704,0.757
904,683,0.734
909,653,0.702
914,670,0.720
919,697,0.749
924,679,0.730
929,675,0.726
934,676,0.727
939,692,0.744
944,680,0.731
949,665,0.715
954,687,0.739
959,695,0.747
964,688,0.740
969,673,0.724
974,686,0.738
979,693,0.745
984,684,0.735
989,667,0.717
994,678,0.729
999,687,0.739
1004,681,0.732
1009,663,0.713
1014,682,0.733
1019,698,0.751
1024,681,0.732
1029,674,0.725
1034,683,0.734
1039,694,0.746
1044,673,0.724
1049,668,0.718
1054,685,0.737
1059,683,0.734
1064,666,0.716
1069,671,0.722
1074,675,0.726
1079,689,0.741
1084,668,0.718
1089,670,0.720
1094,691,0.743
1099,695,0.747
1104,669,0.719
1110,674,0.725
1115,692,0.744
1120,689,0.741
1125,671,0.722
1130,666,0.716
1135,680,0.731
1140,689,0.741
1145,672,0.723
1150,666,0.716
1155,700,0.753
1160,681,0.732
1165,651,0.700
1170,668,0.718
1175,695,0.747
1180,693,0.745
1185,673,0.724
1190,670,0.720
1195,688,0.740
1200,692,0.744
1205,671,0.722
1210,671,0.722
1215,697,0.749
1220,686,0.738
1225,661,0.711
1230,669,0.719
1235,696,0.748
1240,693,0.745
1245,678,0.729
1250,675,0.726
1255,699,0.752
1260,694,0.746
1265,666,0.716
1270,675,0.726
1275,682,0.733
1280,693,0.745
1285,666,0.716
1290,665,0.715
1295,697,0.749
1300,694,0.746
1305,660,0.710
1310,665,0.715
1315,695,0.747
1320,681,0.732
1325,672,0.723
1330,665,0.715
1335,699,0.752
1340,687,0.739
1345,672,0.723
1350,668,0.718
1355,705,0.758
1360,698,0.751
1366,671,0.722
1371,670,0.720
1376,696,0.748
1381,687,0.739
1386,658,0.708
1391,665,0.715
1396,712,0.766
1401,685,0.737
1406,658,0.708
1411,675,0.726
1416,693,0.745
1421,686,0.738
1426,661,0.711
1431,676,0.727
1436,700,0.753
1441,681,0.732
1446,649,0.698
1451,677,0.728
1456,706,0.759
1461,688,0.740
1466,660,0.710
1471,674,0.725
1476,703,0.756
1481,683,0.734
1486,660,0.710
1491,671,0.722
1496,707,0.760
1501,691,0.743
1506,657,0.706
1511,671,0.722
1516,711,0.765
1521,691,0.743
1526,662,0.712
1531,674,0.725
1536,707,0.760
1541,698,0.751
1546,656,0.705
1551,675,0.726
1556,704,0.757
1561,687,0.739
1566,657,0.706
1571,684,0.735
1576,697,0.749
1581,695,0.747
1586,666,0.716
1591,674,0.725
1596,698,0.751
1601,692,0.744
1606,653,0.702
1611,676,0.727
1616,693,0.745
1622,687,0.739
1627,674,0.725
1632,682,0.733
1637,705,0.758
1642,688,0.740
1647,674,0.725
1652,677,0.728
1657,686,0.738
1662,666,0.716
1667,675,0.726
1672,684,0.735
1677,696,0.748
1682,680,0.731
1687,669,0.719
1692,691,0.743
1697,695,0.747
1702,678,0.729
1707,670,0.720
1712,679,0.730
1717,696,0.748
1722,685,0.737
1727,670,0.720
1732,695,0.747
1737,708,0.761
1742,681,0.732
1747,679,0.730
1752,686,0.738
1757,697,0.749
1762,687,0.739
1767,678,0.729
1772,691,0.743
1777,690,0.742
1782,679,0.730
1787,678,0.729
1792,682,0.733
1797,700,0.753
1802,681,0.732
1807,673,0.724
1812,695,0.747
1817,700,0.753
1822,670,0.720
1827,674,0.725
1832,697,0.749
1837,701,0.754
1842,671,0.722
1847,670,0.720
1852,695,0.747
1857,694,0.746
1862,672,0.723
1867,677,0.728
1872,697,0.749
1878,705,0.758
1883,674,0.725
1888,682,0.733
1893,702,0.755
1898,695,0.747
1903,665,0.715
1908,690,0.742
1913,714,0.768
1918,686,0.738
1923,675,0.726
1928,679,0.730
1933,701,0.754
1938,692,0.744
1943,667,0.717
1948,676,0.727
1953,708,0.761
1958,703,0.756
1963,671,0.722
1968,675,0.726
1973,705,0.758
1978,696,0.748
1983,682,0.733
1988,679,0.730
1993,717,0.771
1998,694,0.746
2003,668,0.718
2008,682,0.733
2013,706,0.759
2018,698,0.751
2023,665,0.715
2028,676,0.727
2033,705,0.758
