Time(ms),ADC,Voltage(V)
0.000,672,0.723
0.000,672,0.723
16.000,671,0.722
16.000,672,0.723
16.000,672,0.723
31.000,672,0.723
31.000,672,0.723
31.000,672,0.723
47.000,672,0.723
47.000,672,0.723
47.000,672,0.723
63.000,672,0.723
63.000,672,0.723
63.000,672,0.723
78.000,672,0.723
78.000,672,0.723
78.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
110.000,672,0.723
110.000,672,0.723
110.000,672,0.723
125.000,672,0.723
125.000,672,0.723
125.000,672,0.723
125.000,672,0.723
141.000,672,0.723
141.000,672,0.723
141.000,672,0.723
156.000,672,0.723
156.000,672,0.723
156.000,672,0.723
172.000,672,0.723
172.000,672,0.723
172.000,672,0.723
188.000,672,0.723
188.000,672,0.723
188.000,672,0.723
203.000,673,0.724
203.000,672,0.723
203.000,672,0.723
219.000,672,0.723
219.000,672,0.723
219.000,672,0.723
235.000,672,0.723
235.000,672,0.723
235.000,672,0.723
250.000,673,0.724
250.000,672,0.723
250.000,673,0.724
266.000,673,0.724
266.000,672,0.723
266.000,673,0.724
281.000,673,0.724
281.000,673,0.724
281.000,673,0.724
281.000,673,0.724
297.000,672,0.723
297.000,673,0.724
297.000,672,0.723
313.000,673,0.724
313.000,672,0.723
313.000,672,0.723
328.000,672,0.723
328.000,672,0.723
328.000,672,0.723
344.000,672,0.723
344.000,673,0.724
344.000,673,0.724
360.000,673,0.724
360.000,673,0.724
360.000,673,0.724
375.000,673,0.724
375.000,673,0.724
375.000,673,0.724
391.000,673,0.724
391.000,673,0.724
391.000,673,0.724
406.000,672,0.723
406.000,673,0.724
406.000,673,0.724
422.000,673,0.724
422.000,672,0.723
422.000,672,0.723
438.000,673,0.724
438.000,672,0.723
438.000,673,0.724
453.000,673,0.724
453.000,673,0.724
453.000,673,0.724
453.000,673,0.724
469.000,673,0.724
469.000,673,0.724
469.000,673,0.724
485.000,673,0.724
485.000,673,0.724
485.000,673,0.724
500.000,673,0.724
500.000,673,0.724
500.000,673,0.724
516.000,673,0.724
516.000,673,0.724
516.000,673,0.724
531.000,673,0.724
531.000,673,0.724
531.000,673,0.724
547.000,673,0.724
547.000,673,0.724
547.000,673,0.724
563.000,673,0.724
563.000,674,0.725
563.000,674,0.725
578.000,673,0.724
578.000,674,0.725
578.000,674,0.725
594.000,673,0.724
594.000,674,0.725
594.000,674,0.725
610.000,673,0.724
610.000,674,0.725
610.000,673,0.724
610.000,673,0.724
625.000,673,0.724
