Time(ms),ADC,Voltage(V),SmoothedVoltage(V)
0.000,672,0.723,0.722909
0.000,672,0.723,0.722909
16.000,671,0.722,0.722909
16.000,672,0.723,0.722909
16.000,672,0.723,0.722909
31.000,672,0.723,0.722909
31.000,672,0.723,0.722909
31.000,672,0.723,0.722909
47.000,672,0.723,0.723000
47.000,672,0.723,0.723000
47.000,672,0.723,0.723000
63.000,672,0.723,0.723000
63.000,672,0.723,0.723000
63.000,672,0.723,0.723000
78.000,672,0.723,0.723000
78.000,672,0.723,0.723000
78.000,672,0.723,0.723000
94.000,672,0.723,0.723000
94.000,672,0.723,0.723000
94.000,672,0.723,0.723000
110.000,672,0.723,0.723000
110.000,672,0.723,0.723000
110.000,672,0.723,0.723000
125.000,672,0.723,0.723000
125.000,672,0.723,0.723000
125.000,672,0.723,0.723000
125.000,672,0.723,0.723000
141.000,672,0.723,0.723000
141.000,672,0.723,0.723000
141.000,672,0.723,0.723000
156.000,672,0.723,0.723000
156.000,672,0.723,0.723000
156.000,672,0.723,0.723000
172.000,672,0.723,0.723000
172.000,672,0.723,0.723091
172.000,672,0.723,0.723091
188.000,672,0.723,0.723091
188.000,672,0.723,0.723091
188.000,672,0.723,0.723091
203.000,673,0.724,0.723091
203.000,672,0.723,0.723091
203.000,672,0.723,0.723091
219.000,672,0.723,0.723091
219.000,672,0.723,0.723182
219.000,672,0.723,0.723182
235.000,672,0.723,0.723182
235.000,672,0.723,0.723273
235.000,672,0.723,0.723273
250.000,673,0.724,0.723364
250.000,672,0.723,0.723455
250.000,673,0.724,0.723545
266.000,673,0.724,0.723636
266.000,672,0.723,0.723727
266.000,673,0.724,0.723727
281.000,673,0.724,0.723727
281.000,673,0.724,0.723727
281.000,673,0.724,0.723727
281.000,673,0.724,0.723636
297.000,672,0.723,0.723636
297.000,673,0.724,0.723545
297.000,672,0.723,0.723455
313.000,673,0.724,0.723364
313.000,672,0.723,0.723273
313.000,672,0.723,0.723273
328.000,672,0.723,0.723364
328.000,672,0.723,0.723364
328.000,672,0.723,0.723455
344.000,672,0.723,0.723455
344.000,673,0.724,0.723545
344.000,673,0.724,0.723636
360.000,673,0.724,0.723727
360.000,673,0.724,0.723818
