Time(ms),ADC,Voltage(V)
387,681,0.732
392,681,0.732
397,681,0.732
402,681,0.732
407,681,0.732
412,680,0.731
417,680,0.731
422,681,0.732
427,680,0.731
432,681,0.732
437,681,0.732
442,680,0.731
447,681,0.732
452,681,0.732
457,680,0.731
462,680,0.731
467,681,0.732
472,681,0.732
477,681,0.732
482,681,0.732
487,681,0.732
492,681,0.732
497,681,0.732
502,681,0.732
507,681,0.732
512,681,0.732
517,681,0.732
522,681,0.732
527,681,0.732
532,681,0.732
537,681,0.732
542,681,0.732
547,681,0.732
552,681,0.732
557,681,0.732
562,681,0.732
567,681,0.732
572,682,0.733
577,681,0.732
582,681,0.732
587,681,0.732
592,681,0.732
598,681,0.732
603,681,0.732
608,682,0.733
613,682,0.733
618,681,0.732
623,681,0.732
628,682,0.733
633,681,0.732
638,682,0.733
643,681,0.732
648,682,0.733
653,681,0.732
658,681,0.732
663,681,0.732
668,681,0.732
673,681,0.732
678,682,0.733
683,682,0.733
688,682,0.733
693,682,0.733
698,682,0.733
703,682,0.733
708,682,0.733
713,682,0.733
718,682,0.733
723,682,0.733
728,682,0.733
733,682,0.733
738,682,0.733
743,682,0.733
748,682,0.733
753,682,0.733
758,682,0.733
763,682,0.733
768,682,0.733
773,682,0.733
778,683,0.734
783,682,0.733
788,683,0.734
793,682,0.733
798,683,0.734
803,682,0.733
808,682,0.733
813,682,0.733
818,682,0.733
823,682,0.733
828,682,0.733
833,682,0.733
838,682,0.733
843,682,0.733
848,682,0.733
854,682,0.733
859,682,0.733
864,683,0.734
869,682,0.733
874,683,0.734
879,683,0.734
884,683,0.734
889,683,0.734
894,683,0.734
899,683,0.734
904,683,0.734
909,683,0.734
914,683,0.734
919,683,0.734
924,683,0.734
929,683,0.734
934,683,0.734
939,683,0.734
944,683,0.734
949,683,0.734
954,683,0.734
959,683,0.734
964,683,0.734
969,683,0.734
974,683,0.734
979,683,0.734
984,684,0.735
989,683,0.734
994,683,0.734
999,683,0.734
1004,683,0.734
1009,683,0.734
1014,683,0.734
1019,683,0.734
1024,683,0.734
1029,683,0.734
1034,683,0.734
1039,683,0.734
1044,683,0.734
1049,683,0.734
1054,683,0.734
1059,683,0.734
1064,683,0.734
1069,683,0.734
1074,683,0.734
1079,684,0.735
1084,684,0.735
1089,683,0.734
1094,684,0.735
1099,683,0.734
1104,684,0.735
1110,684,0.735
1115,684,0.735
1120,683,0.734
1125,684,0.735
1130,683,0.734
1135,684,0.735
1140,683,0.734
1145,684,0.735
1150,683,0.734
1155,683,0.734
1160,683,0.734
1165,683,0.734
1170,684,0.735
1175,684,0.735
1180,684,0.735
1185,684,0.735
