Time(ms),ADC,Voltage(V)
387,647,0.696
392,647,0.696
397,647,0.696
402,647,0.696
407,647,0.696
412,647,0.696
417,647,0.696
422,648,0.697
427,648,0.697
432,646,0.695
437,648,0.697
442,648,0.697
447,648,0.697
452,648,0.697
457,648,0.697
462,648,0.697
467,648,0.697
472,648,0.697
477,648,0.697
482,648,0.697
487,648,0.697
492,648,0.697
497,648,0.697
502,648,0.697
507,648,0.697
512,648,0.697
517,648,0.697
522,648,0.697
527,648,0.697
532,649,0.698
537,648,0.697
542,648,0.697
547,649,0.698
552,648,0.697
557,648,0.697
562,649,0.698
567,648,0.697
572,649,0.698
577,648,0.697
582,649,0.698
587,649,0.698
592,649,0.698
598,648,0.697
603,649,0.698
608,648,0.697
613,649,0.698
618,649,0.698
623,649,0.698
628,649,0.698
633,649,0.698
638,649,0.698
643,649,0.698
648,649,0.698
653,649,0.698
658,649,0.698
663,649,0.698
668,649,0.698
673,649,0.698
678,649,0.698
683,649,0.698
688,649,0.698
693,649,0.698
698,649,0.698
703,649,0.698
708,649,0.698
713,650,0.699
718,649,0.698
723,649,0.698
728,649,0.698
733,650,0.699
738,650,0.699
743,650,0.699
748,650,0.699
753,650,0.699
758,650,0.699
763,650,0.699
768,650,0.699
773,649,0.698
778,650,0.699
783,650,0.699
788,650,0.699
793,650,0.699
798,650,0.699
803,650,0.699
808,650,0.699
813,650,0.699
818,650,0.699
823,650,0.699
828,650,0.699
833,651,0.700
838,651,0.700
843,651,0.700
848,650,0.699
854,651,0.700
859,650,0.699
864,650,0.699
869,650,0.699
874,650,0.699
879,650,0.699
884,651,0.700
889,650,0.699
894,651,0.700
899,651,0.700
904,650,0.699
909,650,0.699
914,651,0.700
919,651,0.700
924,650,0.699
929,650,0.699
934,651,0.700
939,651,0.700
944,651,0.700
949,651,0.700
954,651,0.700
959,651,0.700
964,651,0.700
969,651,0.700
974,652,0.701
979,651,0.700
984,651,0.700
989,651,0.700
994,652,0.701
999,651,0.700
1004,651,0.700
1009,651,0.700
1014,651,0.700
1019,651,0.700
1024,651,0.700
1029,651,0.700
1034,651,0.700
1039,652,0.701
1044,651,0.700
1049,652,0.701
1054,652,0.701
1059,652,0.701
1064,652,0.701
1069,652,0.701
1074,652,0.701
1079,652,0.701
1084,652,0.701
1089,652,0.701
1094,652,0.701
1099,652,0.701
1104,652,0.701
1110,652,0.701
1115,651,0.700
1120,652,0.701
1125,652,0.701
1130,652,0.701
1135,652,0.701
1140,653,0.702
1145,653,0.702
1150,652,0.701
1155,653,0.702
1160,653,0.702
1165,652,0.701
1170,652,0.701
1175,652,0.701
1180,652,0.701
1185,652,0.701
1190,653,0.702
1195,652,0.701
1200,652,0.701
1205,653,0.702
1210,653,0.702
1215,653,0.702
1220,653,0.702
1225,653,0.702
1230,652,0.701
1235,652,0.701
1240,654,0.703
1245,653,0.702
1250,653,0.702
1255,653,0.702
1260,653,0.702
1265,653,0.702
1270,653,0.702
1275,653,0.702
1280,653,0.702
1285,653,0.702
1290,653,0.702
1295,653,0.702
1300,653,0.702
1305,653,0.702
1310,653,0.702
1315,653,0.702
1320,653,0.702
1325,653,0.702
1330,653,0.702
1335,653,0.702
1340,654,0.703
1345,654,0.703
1350,654,0.703
1355,654,0.703
1360,654,0.703
1366,654,0.703
1371,654,0.703
1376,654,0.703
1381,654,0.703
1386,654,0.703
1391,654,0.703
1396,654,0.703
1401,654,0.703
1406,654,0.703
1411,654,0.703
1416,654,0.703
1421,654,0.703
1426,654,0.703
1431,654,0.703
1436,654,0.703
1441,654,0.703
1446,655,0.704
1451,655,0.704
1456,655,0.704
1461,655,0.704
1466,654,0.703
1471,655,0.704
1476,655,0.704
1481,655,0.704
1486,654,0.703
1491,655,0.704
1496,655,0.704
1501,654,0.703
1506,655,0.704
1511,655,0.704
1516,655,0.704
1521,654,0.703
1526,655,0.704
1531,655,0.704
1536,654,0.703
1541,654,0.703
1546,655,0.704
1551,655,0.704
1556,656,0.705
1561,655,0.704
1566,655,0.704
1571,656,0.705
1576,655,0.704
1581,656,0.705
1586,655,0.704
1591,655,0.704
1596,656,0.705
1601,655,0.704
1606,655,0.704
1611,655,0.704
1616,655,0.704
1622,655,0.704
1627,655,0.704
1632,655,0.704
1637,656,0.705
1642,655,0.704
1647,656,0.705
1652,656,0.705
1657,657,0.706
1662,657,0.706
1667,656,0.705
1672,657,0.706
1677,658,0.708
1682,658,0.708
1687,658,0.708
1692,659,0.709
1697,659,0.709
1702,658,0.708
1707,659,0.709
1712,659,0.709
1717,659,0.709
1722,659,0.709
1727,659,0.709
1732,659,0.709
1737,659,0.709
1742,659,0.709
1747,660,0.710
1752,660,0.710
1757,661,0.711
1762,661,0.711
1767,661,0.711
1772,661,0.711
1777,661,0.711
1782,661,0.711
1787,661,0.711
1792,662,0.712
1797,661,0.711
1802,661,0.711
1807,661,0.711
1812,662,0.712
1817,662,0.712
1822,662,0.712
1827,662,0.712
1832,662,0.712
1837,662,0.712
1842,663,0.713
1847,662,0.712
1852,664,0.714
1857,664,0.714
1862,663,0.713
1867,663,0.713
1872,663,0.713
1878,664,0.714
1883,664,0.714
1888,664,0.714
1893,664,0.714
1898,664,0.714
1903,664,0.714
1908,664,0.714
1913,664,0.714
1918,664,0.714
1923,664,0.714
1928,664,0.714
1933,665,0.715
1938,664,0.714
1943,664,0.714
1948,664,0.714
1953,665,0.715
1958,666,0.716
1963,666,0.716
1968,666,0.716
1973,666,0.716
1978,666,0.716
1983,665,0.715
1988,667,0.717
1993,666,0.716
1998,666,0.716
2003,667,0.717
2008,667,0.717
2013,667,0.717
2018,667,0.717
2023,667,0.717
2028,667,0.717
2033,667,0.717
2038,667,0.717
2043,667,0.717
2048,667,0.717
2053,668,0.718
2058,669,0.719
2063,669,0.719
2068,668,0.718
2073,669,0.719
2078,668,0.718
2083,668,0.718
2088,668,0.718
2093,669,0.719
2098,669,0.719
2103,668,0.718
2108,669,0.719
2113,669,0.719
2118,669,0.719
2123,669,0.719
2128,669,0.719
2134,669,0.719
2139,669,0.719
2144,669,0.719
2149,669,0.719
2154,669,0.719
2159,669,0.719
2164,670,0.720
2169,670,0.720
2174,670,0.720
2179,669,0.719
2184,669,0.719
2189,670,0.720
2194,669,0.719
2199,669,0.719
2204,669,0.719
2209,669,0.719
2214,669,0.719
2219,669,0.719
2224,669,0.719
2229,669,0.719
2234,669,0.719
2239,669,0.719
2244,669,0.719
2249,669,0.719
2254,670,0.720
2259,670,0.720
2264,669,0.719
2269,669,0.719
2274,670,0.720
2279,670,0.720
2284,670,0.720
2289,670,0.720
2294,669,0.719
2299,670,0.720
2304,670,0.720
2309,670,0.720
2314,670,0.720
2319,670,0.720
2324,670,0.720
2329,670,0.720
2334,670,0.720
2339,671,0.722
2344,671,0.722
2349,672,0.723
2354,673,0.724
2359,672,0.723
2364,672,0.723
2369,672,0.723
2374,672,0.723
2379,672,0.723
2384,672,0.723
2390,672,0.723
2395,672,0.723
2400,672,0.723
2405,672,0.723
2410,672,0.723
2415,672,0.723
2420,672,0.723
2425,673,0.724
2430,672,0.723
2435,672,0.723
2440,672,0.723
2445,672,0.723
2450,672,0.723
2455,670,0.720
2460,672,0.723
2465,672,0.723
2470,672,0.723
2475,674,0.725
2480,673,0.724
2485,673,0.724
2490,673,0.724
2495,673,0.724
2500,673,0.724
2505,673,0.724
2510,672,0.723
2515,673,0.724
2520,673,0.724
2525,673,0.724
2530,673,0.724
2535,672,0.723
2540,673,0.724
2545,672,0.723
2550,673,0.724
2555,673,0.724
2560,673,0.724
2565,674,0.725
2570,673,0.724
2575,674,0.725
2580,674,0.725
2585,672,0.723
2590,674,0.725
2595,674,0.725
2600,673,0.724
2605,673,0.724
2610,673,0.724
2615,674,0.725
2620,674,0.725
2625,674,0.725
2630,673,0.724
2635,673,0.724
2640,673,0.724
2646,674,0.725
2651,674,0.725
2656,674,0.725
2661,674,0.725
2666,675,0.726
2671,675,0.726
2676,674,0.725
2681,675,0.726
2686,674,0.725
2691,674,0.725
2696,674,0.725
2701,674,0.725
2706,674,0.725
2711,673,0.724
2716,674,0.725
2721,674,0.725
2726,674,0.725
2731,674,0.725
2736,674,0.725
2741,674,0.725
2746,674,0.725
2751,674,0.725
2756,674,0.725
2761,674,0.725
2766,675,0.726
2771,674,0.725
2776,674,0.725
2781,675,0.726
2786,675,0.726
2791,675,0.726
2796,674,0.725
2801,675,0.726
2806,675,0.726
2811,675,0.726
2816,675,0.726
2821,675,0.726
2826,675,0.726
2831,674,0.725
2836,675,0.726
2841,675,0.726
2846,675,0.726
2851,675,0.726
2856,675,0.726
2861,675,0.726
2866,675,0.726
2871,675,0.726
2876,675,0.726
2881,676,0.727
2886,676,0.727
2891,676,0.727
2896,675,0.726
2902,676,0.727
2907,675,0.726
2912,675,0.726
2917,675,0.726
2922,676,0.727
2927,676,0.727
2932,676,0.727
2937,676,0.727
2942,675,0.726
2947,676,0.727
2952,676,0.727
2957,675,0.726
2962,675,0.726
2967,674,0.725
2972,676,0.727
2977,677,0.728
2982,676,0.727
2987,677,0.728
2992,676,0.727
2997,677,0.728
3002,676,0.727
3007,677,0.728
3012,676,0.727
3017,677,0.728
3022,676,0.727
3027,676,0.727
3032,677,0.728
3037,677,0.728
3042,676,0.727
3047,676,0.727
3052,676,0.727
3057,676,0.727
3062,676,0.727
3067,676,0.727
3072,676,0.727
3077,677,0.728
3082,677,0.728
3087,677,0.728
3092,677,0.728
3097,677,0.728
3102,677,0.728
3107,677,0.728
3112,677,0.728
3117,677,0.728
3122,677,0.728
3127,677,0.728
3132,677,0.728
3137,677,0.728
3142,677,0.728
3147,677,0.728
3152,677,0.728
3158,676,0.727
3163,677,0.728
3168,677,0.728
3173,676,0.727
3178,678,0.729
3183,678,0.729
3188,678,0.729
3193,678,0.729
3198,678,0.729
3203,678,0.729
3208,678,0.729
3213,678,0.729
3218,678,0.729
3223,678,0.729
3228,678,0.729
3233,678,0.729
3238,678,0.729
3243,678,0.729
3248,678,0.729
3253,678,0.729
3258,679,0.730
3263,678,0.729
3268,678,0.729
3273,678,0.729
3278,679,0.730
3283,679,0.730
3288,679,0.730
3293,679,0.730
3298,678,0.729
3303,678,0.729
3308,678,0.729
3313,678,0.729
3318,678,0.729
3323,678,0.729
3328,679,0.730
3333,678,0.729
3338,679,0.730
3343,678,0.729
3348,678,0.729
3353,678,0.729
3358,678,0.729
3363,678,0.729
3368,678,0.729
3373,679,0.730
3378,679,0.730
3383,679,0.730
3388,679,0.730
3393,678,0.729
3398,679,0.730
3403,679,0.730
3408,679,0.730
3414,679,0.730
3419,679,0.730
3424,679,0.730
3429,679,0.730
3434,679,0.730
3439,679,0.730
3444,679,0.730
3449,679,0.730
3454,679,0.730
3459,679,0.730
3464,679,0.730
3469,679,0.730
3474,679,0.730
3479,679,0.730
3484,680,0.731
3489,679,0.730
3494,680,0.731
3499,679,0.730
3504,680,0.731
3509,680,0.731
3514,679,0.730
3519,680,0.731
3524,680,0.731
3529,680,0.731
3534,680,0.731
3539,679,0.730
3544,680,0.731
3549,680,0.731
3554,679,0.730
3559,680,0.731
3564,679,0.730
3569,679,0.730
3574,679,0.730
3579,679,0.730
3584,680,0.731
3589,680,0.731
3594,681,0.732
3599,680,0.731
3604,681,0.732
3609,680,0.731
3614,680,0.731
3619,680,0.731
3624,680,0.731
3629,680,0.731
3634,680,0.731
3639,680,0.731
3644,680,0.731
3649,680,0.731
3654,680,0.731
3659,680,0.731
3664,680,0.731
3670,681,0.732
3675,680,0.731
3680,680,0.731
3685,680,0.731
3690,681,0.732
3695,681,0.732
3700,681,0.732
3705,681,0.732
3710,681,0.732
3715,681,0.732
3720,681,0.732
3725,681,0.732
3730,681,0.732
3735,681,0.732
3740,681,0.732
3745,681,0.732
3750,680,0.731
3755,681,0.732
3760,681,0.732
3765,681,0.732
3770,679,0.730
3775,681,0.732
3780,681,0.732
3785,681,0.732
3790,681,0.732
3795,682,0.733
3800,681,0.732
3805,683,0.734
3810,682,0.733
3815,682,0.733
3820,681,0.732
3825,681,0.732
3830,681,0.732
3835,681,0.732
3840,681,0.732
3845,681,0.732
3850,681,0.732
3855,682,0.733
3860,684,0.735
3865,683,0.734
3870,684,0.735
3875,683,0.734
3880,684,0.735
3885,683,0.734
3890,684,0.735
3895,684,0.735
3900,684,0.735
3905,685,0.737
3910,684,0.735
3915,684,0.735
3920,684,0.735
3926,684,0.735
3931,684,0.735
3936,684,0.735
3941,684,0.735
3946,684,0.735
3951,684,0.735
3956,684,0.735
3961,684,0.735
3966,684,0.735
3971,684,0.735
3976,684,0.735
3981,684,0.735
3986,684,0.735
3991,684,0.735
3996,684,0.735
4001,685,0.737
4006,684,0.735
4011,685,0.737
4016,684,0.735
4021,685,0.737
4026,685,0.737
4031,685,0.737
4036,684,0.735
4041,684,0.735
4046,684,0.735
4051,684,0.735
4056,684,0.735
4061,684,0.735
4066,684,0.735
4071,684,0.735
4076,684,0.735
4081,685,0.737
4086,684,0.735
4091,684,0.735
4096,685,0.737
4101,685,0.737
4106,685,0.737
4111,685,0.737
4116,685,0.737
4121,685,0.737
4126,685,0.737
4131,685,0.737
4136,685,0.737
4141,685,0.737
4146,684,0.735
4151,685,0.737
4156,684,0.735
4161,685,0.737
4166,685,0.737
4171,685,0.737
4176,685,0.737
4182,685,0.737
4187,685,0.737
4192,685,0.737
4197,686,0.738
4202,686,0.738
4207,686,0.738
4212,685,0.737
4217,686,0.738
4222,686,0.738
4227,686,0.738
4232,686,0.738
4237,685,0.737
4242,685,0.737
4247,686,0.738
4252,686,0.738
4257,685,0.737
4262,686,0.738
4267,685,0.737
4272,685,0.737
4277,686,0.738
4282,686,0.738
4287,686,0.738
4292,685,0.737
4297,686,0.738
4302,686,0.738
4307,686,0.738
4312,686,0.738
4317,686,0.738
4322,686,0.738
4327,686,0.738
4332,686,0.738
4337,686,0.738
4342,686,0.738
4347,686,0.738
4352,686,0.738
4357,686,0.738
4362,686,0.738
4367,686,0.738
4372,686,0.738
4377,686,0.738
4382,686,0.738
4387,685,0.737
4392,686,0.738
4397,686,0.738
4402,686,0.738
4407,686,0.738
4412,687,0.739
4417,687,0.739
4422,687,0.739
4427,687,0.739
4432,686,0.738
4438,687,0.739
4443,687,0.739
4448,686,0.738
