Time(ms),ADC,Voltage(V)
16.000,672,0.723
16.000,672,0.723
62.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,673,0.724
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,672,0.723
94.000,673,0.724
109.000,673,0.724
109.000,672,0.723
109.000,672,0.723
125.000,672,0.723
125.000,673,0.724
125.000,672,0.723
141.000,673,0.724
141.000,673,0.724
141.000,673,0.724
156.000,673,0.724
156.000,673,0.724
156.000,672,0.723
172.000,673,0.724
203.000,673,0.724
234.000,673,0.724
234.000,673,0.724
234.000,673,0.724
234.000,673,0.724
234.000,673,0.724
234.000,673,0.724
234.000,673,0.724
234.000,673,0.724
234.000,672,0.723
234.000,673,0.724
234.000,673,0.724
234.000,673,0.724
234.000,673,0.724
234.000,673,0.724
250.000,673,0.724
250.000,673,0.724
250.000,673,0.724
266.000,673,0.724
266.000,673,0.724
266.000,673,0.724
281.000,673,0.724
281.000,673,0.724
281.000,673,0.724
297.000,673,0.724
297.000,673,0.724
375.000,673,0.724
375.000,673,0.724
375.000,673,0.724
375.000,673,0.724
375.000,673,0.724
375.000,674,0.725
375.000,673,0.724
375.000,673,0.724
375.000,673,0.724
375.000,673,0.724
375.000,674,0.725
375.000,673,0.724
375.000,673,0.724
375.000,673,0.724
375.000,674,0.725
375.000,673,0.724
375.000,673,0.724
391.000,673,0.724
391.000,673,0.724
391.000,673,0.724
406.000,673,0.724
406.000,673,0.724
406.000,673,0.724
422.000,673,0.724
422.000,673,0.724
422.000,673,0.724
516.000,673,0.724
516.000,673,0.724
516.000,674,0.725
516.000,674,0.725
516.000,673,0.724
516.000,674,0.725
516.000,673,0.724
516.000,673,0.724
516.000,674,0.725
516.000,673,0.724
516.000,674,0.725
516.000,674,0.725
516.000,674,0.725
516.000,674,0.725
516.000,674,0.725
516.000,674,0.725
516.000,674,0.725
516.000,674,0.725
516.000,673,0.724
531.000,674,0.725
531.000,674,0.725
531.000,674,0.725
547.000,674,0.725
547.000,674,0.725
547.000,674,0.725
562.000,673,0.724
609.000,674,0.725
609.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
656.000,674,0.725
672.000,674,0.725
672.000,674,0.725
672.000,675,0.726
687.000,674,0.725
687.000,674,0.725
687.000,674,0.725
703.000,674,0.725
703.000,674,0.725
781.000,674,0.725
797.000,674,0.725
797.000,674,0.725
797.000,675,0.726
797.000,674,0.725
797.000,674,0.725
797.000,674,0.725
797.000,674,0.725
797.000,674,0.725
797.000,675,0.726
797.000,674,0.725
797.000,674,0.725
797.000,675,0.726
797.000,675,0.726
797.000,674,0.725
797.000,674,0.725
797.000,674,0.725
797.000,674,0.725
797.000,675,0.726
797.000,675,0.726
812.000,674,0.725
812.000,675,0.726
828.000,674,0.725
828.000,674,0.725
828.000,674,0.725
828.000,674,0.725
844.000,675,0.726
875.000,674,0.725
875.000,675,0.726
875.000,674,0.725
875.000,675,0.726
875.000,675,0.726
875.000,675,0.726
875.000,675,0.726
875.000,675,0.726
891.000,675,0.726
891.000,675,0.726
891.000,675,0.726
906.000,675,0.726
937.000,675,0.726
937.000,675,0.726
937.000,675,0.726
937.000,675,0.726
937.000,675,0.726
937.000,675,0.726
937.000,675,0.726
937.000,675,0.726
937.000,675,0.726
953.000,675,0.726
953.000,675,0.726
969.000,675,0.726
969.000,675,0.726
969.000,675,0.726
969.000,675,0.726
1016.000,675,0.726
1016.000,675,0.726
1016.000,675,0.726
1016.000,675,0.726
1016.000,675,0.726
1016.000,675,0.726
1016.000,676,0.727
1016.000,675,0.726
1016.000,675,0.726
1031.000,675,0.726
1031.000,675,0.726
1031.000,675,0.726
1078.000,675,0.726
1078.000,675,0.726
1078.000,675,0.726
1078.000,676,0.727
1078.000,676,0.727
1078.000,676,0.727
1078.000,675,0.726
1078.000,675,0.726
1078.000,676,0.727
1094.000,676,0.727
1094.000,675,0.726
1094.000,676,0.727
1109.000,675,0.726
1109.000,675,0.726
1109.000,676,0.727
1125.000,675,0.726
1156.000,675,0.726
1156.000,675,0.726
1156.000,676,0.727
1156.000,676,0.727
1156.000,676,0.727
1156.000,675,0.726
1156.000,676,0.727
1156.000,676,0.727
1156.000,677,0.728
1172.000,676,0.727
1172.000,676,0.727
1172.000,676,0.727
